-4.960167e+09 + i 2.909118e+10 ; -3.238154e+08 + i 5.980237e+08 ; -3.251733e+08 + i 6.005897e+08 ; -8.591615e+09 + i -8.387720e+09 ; -4.720170e+08 + i -1.553606e+09 ; -4.743966e+08 + i -1.554489e+09 ; 2.797047e+09 + i 3.766045e+09 ; 1.260749e+08 + i 7.840740e+08 ; 1.373867e+08 + i 5.033744e+08 ; -4.810270e+08 + i 4.331695e+09 ; -2.646030e+09 + i -1.509903e+09 ; -5.394331e+08 + i -1.364396e+08 ; 2.798946e+09 + i 3.769386e+09 ; 1.395650e+08 + i 5.000381e+08 ; 1.273893e+08 + i 7.811479e+08 ; -4.824850e+08 + i 4.336084e+09 ; -5.328533e+08 + i -1.323918e+08 ; -2.645376e+09 + i -1.510081e+09 ; 2.474976e+09 + i 5.448939e+07 ; 3.071318e+08 + i 4.790176e+08 ; 3.101420e+08 + i 4.815336e+08 ; 2.799895e+09 + i 5.787975e+08 ; -9.377589e+08 + i 5.799710e+07 ; -9.356368e+08 + i 5.907072e+07 ; -2.953013e+08 + i -1.188652e+09 ; -7.085234e+07 + i 7.649835e+07 ; -7.153926e+07 + i 7.640344e+07 ; 1.049676e+08 + i -6.459490e+08 ; 2.826601e+07 + i 4.275916e+07 ; 2.819643e+07 + i 4.309885e+07 ; -7.259750e+08 + i -1.959906e+07 ; -1.520046e+08 + i 1.070934e+08 ; -1.995332e+07 + i 9.335259e+07 ; -4.998513e+08 + i -1.860796e+08 ; 1.056386e+07 + i 4.858925e+07 ; 4.099957e+07 + i 3.257013e+07 ; -7.255921e+08 + i -1.775628e+07 ; -1.886546e+07 + i 9.361131e+07 ; -1.523500e+08 + i 1.068588e+08 ; -5.001976e+08 + i -1.849119e+08 ; 4.116416e+07 + i 3.219973e+07 ; 1.031457e+07 + i 4.862188e+07 ; -4.063602e+08 + i 6.726842e+08 ; -7.503052e+07 + i 1.118794e+08 ; -7.513887e+07 + i 1.112287e+08 ; -5.231939e+08 + i 4.592194e+08 ; 2.588564e+07 + i 3.737919e+07 ; 2.576305e+07 + i 3.723130e+07 ; 
1.590996e+08 + i -3.280892e+07 ; -3.138189e+07 + i -9.219847e+06 ; -3.859376e+06 + i -9.472907e+07 ; 1.675785e+08 + i -8.206795e+07 ; -4.992938e+07 + i -7.047987e+07 ; 2.187863e+08 + i -1.916943e+08 ; 1.384226e+08 + i 2.309308e+07 ; -2.726440e+07 + i -9.181032e+06 ; 3.699101e+07 + i -8.041298e+07 ; 1.648407e+08 + i -1.433044e+07 ; -3.741167e+07 + i -6.519455e+07 ; 2.902030e+08 + i -9.007691e+07 ; 7.715186e+07 + i 2.582862e+08 ; -7.329700e+06 + i -5.985794e+06 ; -9.300740e+06 + i -8.455753e+07 ; 1.922373e+08 + i 3.294533e+08 ; 2.574736e+07 + i -3.473309e+07 ; 2.316062e+08 + i -1.874583e+08 ; -3.936347e+07 + i 3.301147e+08 ; -1.109530e+07 + i -2.840520e+06 ; 2.722940e+07 + i -7.711857e+07 ; 1.034076e+08 + i 5.199683e+08 ; 5.968321e+05 + i -4.188428e+07 ; 3.270338e+08 + i -5.167186e+07 ; -5.672169e+07 + i -5.427332e+08 ; -9.458902e+07 + i -5.790156e+08 ; 2.495065e+09 + i 1.156192e+08 ; 7.225327e+07 + i -5.222731e+08 ; 1.495708e+08 + i -7.791228e+08 ; 2.792733e+09 + i 3.807305e+09 ; 1.797184e+08 + i -7.427665e+08 ; 4.527598e+07 + i -5.526384e+08 ; 2.775311e+09 + i 3.781866e+09 ; 5.208049e+08 + i -4.335345e+08 ; 5.023858e+08 + i -4.683889e+08 ; -4.974292e+09 + i 2.908627e+10 ; 9.487128e+08 + i 4.463589e+08 ; 9.654044e+08 + i 3.867864e+08 ; 2.932146e+09 + i 6.086395e+08 ; 5.639373e+08 + i 4.390065e+08 ; 1.957367e+09 + i 2.330688e+09 ; -4.084895e+08 + i 4.462509e+09 ; 1.898799e+09 + i 2.397695e+09 ; 5.807585e+08 + i 4.021616e+08 ; -4.305108e+08 + i 4.434467e+09 ; -1.297714e+08 + i 1.616898e+09 ; -9.063610e+07 + i 1.581358e+09 ; -8.667879e+09 + i -8.260908e+09 ; 
-7.271790e+08 + i -1.999651e+07 ; 6.341288e+07 + i -1.397222e+08 ; -1.991783e+08 + i 1.067694e+08 ; -8.412806e+08 + i 2.412217e+08 ; 2.604560e+08 + i 1.316770e+08 ; -7.114397e+08 + i -6.407406e+08 ; -4.109826e+08 + i 6.696666e+08 ; 7.997438e+07 + i -1.589256e+08 ; -1.192265e+08 + i 1.242732e+08 ; -2.158040e+08 + i 8.335607e+08 ; 5.067977e+08 + i 8.275007e+07 ; -4.767377e+08 + i -2.037015e+08 ; -3.000643e+08 + i -1.178751e+09 ; 1.566868e+08 + i -1.079079e+08 ; -1.567396e+08 + i 7.666688e+07 ; -1.323012e+09 + i -1.609094e+09 ; 2.246076e+08 + i 4.483003e+08 ; -7.757352e+07 + i -4.853044e+08 ; -7.271195e+08 + i -2.130904e+07 ; 1.699333e+08 + i -1.640889e+08 ; -7.952058e+07 + i 1.189974e+08 ; -8.494742e+08 + i 2.325934e+08 ; 8.410614e+08 + i 4.463239e+08 ; -2.055266e+08 + i -1.859663e+08 ; 2.688639e+09 + i 3.686065e+09 ; 9.539735e+07 + i 4.636112e+08 ; -9.639113e+07 + i -7.540399e+08 ; -5.204277e+08 + i 4.354851e+09 ; -6.200848e+08 + i -1.650260e+08 ; 2.237548e+09 + i 2.424854e+09 ; 2.340888e+09 + i 1.339271e+08 ; 2.456164e+08 + i 4.554929e+08 ; -1.633314e+08 + i -4.844175e+08 ; 2.807061e+09 + i 6.011257e+08 ; -1.003169e+09 + i 9.408460e+06 ; 1.050890e+09 + i 2.532852e+08 ; -4.986688e+09 + i 2.886262e+10 ; -3.625118e+08 + i 5.274830e+08 ; 4.067896e+08 + i -5.321835e+08 ; -8.628298e+09 + i -8.404517e+09 ; -4.369131e+08 + i -1.617630e+09 ; 2.255717e+08 + i 1.691201e+09 ; 2.637519e+09 + i 3.721687e+09 ; 5.582210e+07 + i 7.188303e+08 ; -2.343634e+07 + i -4.745326e+08 ; -4.998442e+08 + i 4.349913e+09 ; -2.643931e+09 + i -1.743607e+09 ; 6.012566e+08 + i 2.676201e+08 ; 
-1.291287e+08 + i -2.629277e+08 ; 2.304492e+08 + i -1.791682e+08 ; -5.810342e+07 + i -5.123426e+07 ; -2.050227e+08 + i -2.338816e+08 ; 6.665907e+08 + i 2.592481e+08 ; -2.337702e+07 + i -1.681131e+08 ; 3.084927e+08 + i 1.532687e+08 ; 2.345335e+08 + i -1.927932e+08 ; 1.721287e+07 + i -4.465736e+07 ; 4.458544e+08 + i 8.997845e+07 ; 5.923344e+08 + i 3.382939e+08 ; 2.250862e+08 + i 8.727844e+07 ; 1.828811e+07 + i -3.308836e+08 ; 2.943192e+08 + i -7.028913e+07 ; -5.268146e+07 + i -5.180721e+07 ; -1.286501e+08 + i -3.711479e+08 ; 6.642993e+08 + i 7.543939e+08 ; 2.411291e+07 + i -1.408973e+08 ; 3.839666e+08 + i 4.936309e+08 ; 3.323389e+08 + i -5.513279e+07 ; 2.479246e+06 + i -3.525819e+07 ; 8.697991e+08 + i 4.222375e+08 ; 2.742885e+08 + i 8.315317e+08 ; 3.546167e+07 + i 4.419348e+07 ; 1.414831e+08 + i 4.742928e+08 ; 2.815846e+09 + i 3.707309e+09 ; -1.674742e+08 + i -7.999723e+08 ; 3.021923e+08 + i 5.003158e+08 ; 2.520709e+09 + i 1.176107e+08 ; -1.831933e+08 + i -5.317656e+08 ; -5.274568e+08 + i -1.077576e+08 ; -4.481151e+08 + i 4.341765e+09 ; 2.231280e+09 + i 2.419936e+09 ; -9.521266e+08 + i 5.151288e+07 ; 2.939548e+09 + i 6.252444e+08 ; 1.017982e+09 + i 2.413791e+08 ; -2.780429e+08 + i 5.382336e+08 ; -4.970251e+09 + i 2.898492e+10 ; 3.763866e+08 + i -6.041057e+08 ; 1.266928e+08 + i 7.397229e+08 ; 2.748767e+09 + i 3.811400e+09 ; -2.795486e+07 + i -5.208821e+08 ; -3.675950e+08 + i -1.458670e+09 ; -8.641335e+09 + i -8.388821e+09 ; 2.507812e+08 + i 1.650783e+09 ; -2.637739e+09 + i -1.666591e+09 ; -4.431178e+08 + i 4.442595e+09 ; 5.694236e+08 + i 2.555910e+08 ; 
-4.027249e+08 + i -4.781342e+08 ; 2.082298e+06 + i -3.330958e+07 ; 3.394064e+08 + i -4.353979e+07 ; -9.027381e+08 + i -4.181895e+08 ; 5.754615e+07 + i 3.068945e+07 ; 2.874865e+08 + i 8.428982e+08 ; -3.121193e+08 + i -1.320461e+08 ; 1.104463e+07 + i -4.678843e+07 ; 2.429735e+08 + i -1.862532e+08 ; -4.652703e+08 + i -7.517137e+07 ; 2.434622e+08 + i 3.307923e+07 ; 5.993337e+08 + i 3.442417e+08 ; -3.070063e+07 + i 3.288800e+08 ; -6.508069e+07 + i -4.234241e+07 ; 2.896518e+08 + i -8.713832e+07 ; 8.027560e+07 + i 3.603539e+08 ; -1.258417e+07 + i -1.486522e+08 ; 6.607260e+08 + i 7.414005e+08 ; 1.245048e+08 + i 2.706711e+08 ; -7.127137e+07 + i -3.564447e+07 ; 2.210799e+08 + i -1.926184e+08 ; 1.798684e+08 + i 2.383389e+08 ; -6.782026e+07 + i -1.573117e+08 ; 6.648119e+08 + i 2.488253e+08 ; 5.620456e+08 + i 1.454514e+09 ; 6.452892e+08 + i 1.584002e+09 ; -8.645953e+09 + i -8.355302e+09 ; 2.615646e+09 + i 1.731631e+09 ; 5.619305e+08 + i 1.538547e+08 ; -4.650088e+08 + i 4.454972e+09 ; 5.073364e+08 + i 8.502722e+07 ; 2.614841e+09 + i 1.781905e+09 ; -4.390312e+08 + i 4.369557e+09 ; 9.838555e+08 + i -1.846579e+07 ; 1.002978e+09 + i 2.575494e+07 ; 2.940303e+09 + i 6.574003e+08 ; 2.702329e+08 + i -6.212741e+08 ; 3.150602e+08 + i -6.519363e+08 ; -4.970903e+09 + i 2.899796e+10 ; -3.408747e+08 + i -7.633906e+08 ; -1.455380e+08 + i -5.376248e+08 ; 2.818313e+09 + i 3.810864e+09 ; -1.917049e+08 + i -4.937758e+08 ; -3.519923e+08 + i -7.793855e+08 ; 2.839839e+09 + i 3.723603e+09 ; -3.364092e+08 + i -4.795713e+08 ; -2.900788e+08 + i -4.890493e+08 ; 2.557430e+09 + i 7.168706e+07 ; 
-5.019904e+08 + i -1.834932e+08 ; -3.775713e+07 + i -4.436675e+07 ; -3.496561e+07 + i 5.894706e+07 ; -7.191190e+08 + i -3.820072e+06 ; 3.494519e+07 + i -9.845931e+07 ; -2.189954e+08 + i 7.038074e+07 ; -5.261203e+08 + i 4.534990e+08 ; -2.431352e+07 + i -4.417203e+07 ; -5.176085e+05 + i 6.755935e+07 ; -3.969404e+08 + i 6.750992e+08 ; 8.990917e+07 + i -1.066154e+08 ; -1.218799e+08 + i 1.127051e+08 ; 9.829186e+07 + i -6.438043e+08 ; -1.972919e+07 + i -5.192336e+07 ; -1.515747e+06 + i 2.639085e+07 ; -3.014690e+08 + i -1.167550e+09 ; 8.955461e+07 + i -7.295174e+07 ; -1.404098e+08 + i 1.418084e+07 ; -5.020202e+08 + i -1.899276e+08 ; -4.293422e+06 + i -5.385636e+07 ; 1.451431e+07 + i 4.403660e+07 ; -7.196872e+08 + i -1.353115e+07 ; 1.708271e+08 + i -9.236751e+07 ; -7.653967e+07 + i 8.612141e+07 ; -5.674498e+08 + i 4.307100e+09 ; 5.560481e+08 + i 2.223540e+08 ; -1.921447e+09 + i -2.330145e+09 ; 2.811789e+09 + i 3.753535e+09 ; -8.496129e+07 + i -5.394856e+08 ; 4.463553e+08 + i 9.017025e+08 ; 2.781355e+09 + i 6.349781e+08 ; 9.709635e+08 + i 5.478703e+07 ; -9.583239e+08 + i -2.562726e+08 ; 2.478622e+09 + i 4.124293e+07 ; -2.400935e+08 + i -5.355345e+08 ; 1.887130e+08 + i 4.945433e+08 ; -8.639790e+09 + i -8.419293e+09 ; 3.104264e+08 + i 1.604402e+09 ; -4.899109e+08 + i -1.731522e+09 ; -4.945007e+09 + i 2.907786e+10 ; 4.062425e+08 + i -5.885923e+08 ; -5.103437e+08 + i 4.447516e+08 ; -5.374627e+08 + i 4.369484e+09 ; 2.536409e+09 + i 1.895152e+09 ; -5.698810e+08 + i -2.367795e+08 ; 2.777036e+09 + i 3.754691e+09 ; -3.554573e+07 + i -7.563536e+08 ; -3.750755e+06 + i 4.857069e+08 ; 
1.584702e+08 + i -3.296974e+07 ; -3.764353e+06 + i -9.532075e+07 ; -2.851987e+07 + i -8.105541e+06 ; 1.656682e+08 + i -8.160178e+07 ; 2.192930e+08 + i -1.922046e+08 ; -4.466196e+07 + i -6.698526e+07 ; 8.103074e+07 + i 2.604175e+08 ; -1.017731e+07 + i -8.510527e+07 ; -7.653660e+06 + i -2.914292e+06 ; 1.962075e+08 + i 3.260086e+08 ; 2.315712e+08 + i -1.861563e+08 ; 2.435016e+07 + i -2.878467e+07 ; 1.322462e+08 + i 2.701774e+07 ; 3.814670e+07 + i -8.013731e+07 ; -2.491409e+07 + i -9.393986e+06 ; 1.573215e+08 + i -6.960716e+06 ; 2.912325e+08 + i -8.935257e+07 ; -3.434235e+07 + i -6.236513e+07 ; -4.921108e+07 + i 3.336207e+08 ; 2.736981e+07 + i -7.759784e+07 ; -1.000214e+07 + i -1.549119e+06 ; 9.255571e+07 + i 5.307429e+08 ; 3.274047e+08 + i -5.031487e+07 ; -1.919110e+06 + i -3.877653e+07 ; -6.185483e+07 + i -5.136264e+08 ; 2.496756e+09 + i 1.174465e+08 ; -8.907504e+07 + i -5.046066e+08 ; 4.401260e+07 + i -4.995603e+08 ; 2.799286e+09 + i 3.810768e+09 ; -6.472734e+07 + i -7.929839e+08 ; 9.292771e+08 + i 3.329276e+08 ; 2.933017e+09 + i 6.297823e+08 ; 9.893655e+08 + i 3.159989e+08 ; 5.523346e+08 + i 3.371391e+08 ; -4.468582e+08 + i 4.460179e+09 ; 2.040451e+09 + i 2.439145e+09 ; 1.410310e+08 + i -6.920428e+08 ; 2.754158e+09 + i 3.778026e+09 ; 4.371374e+06 + i -4.890606e+08 ; 5.046288e+08 + i -4.538894e+08 ; -4.968656e+09 + i 2.907323e+10 ; 4.194234e+08 + i -5.594048e+08 ; 1.925712e+09 + i 2.516801e+09 ; -4.485381e+08 + i 4.453640e+09 ; 5.483325e+08 + i 2.864352e+08 ; -4.743095e+07 + i 1.667873e+09 ; -8.670625e+09 + i -8.271572e+09 ; 1.304353e+08 + i 1.592759e+09 ; 
7.152295e+07 + i -3.416637e+08 ; -1.607965e+07 + i -2.931956e+06 ; 2.686563e+07 + i -9.031575e+07 ; -4.842461e+07 + i -5.494464e+08 ; -1.909353e+07 + i -3.663133e+07 ; 3.186793e+08 + i -6.910590e+07 ; -6.450285e+07 + i -2.773546e+08 ; -9.689249e+06 + i -5.982655e+06 ; -1.416358e+07 + i -9.568227e+07 ; -1.722164e+08 + i -3.561562e+08 ; 1.361613e+07 + i -3.770673e+07 ; 2.209490e+08 + i -1.966338e+08 ; -1.181688e+08 + i -2.605148e+06 ; -2.746936e+07 + i -4.381115e+05 ; 2.970027e+07 + i -7.146664e+07 ; -1.052221e+08 + i 3.176113e+07 ; -4.843392e+07 + i -4.810986e+07 ; 2.880605e+08 + i -7.925279e+07 ; -1.402630e+08 + i 3.950738e+07 ; -2.939271e+07 + i -8.715868e+05 ; -6.782792e+06 + i -8.406285e+07 ; -1.293849e+08 + i 7.837608e+07 ; -5.966430e+07 + i -5.366992e+07 ; 2.229959e+08 + i -1.860863e+08 ; -1.891958e+09 + i -2.433023e+09 ; 5.405134e+08 + i 1.438141e+08 ; -5.171034e+08 + i 4.392745e+09 ; -4.885699e+08 + i -1.774456e+09 ; 5.211384e+08 + i 1.669366e+09 ; -8.691480e+09 + i -8.299171e+09 ; -9.408888e+08 + i -4.072277e+08 ; 1.018691e+09 + i 6.539218e+07 ; 2.904907e+09 + i 6.688178e+08 ; -5.014726e+08 + i -2.976374e+08 ; 2.566790e+09 + i 1.947272e+09 ; -4.649003e+08 + i 4.479858e+09 ; 4.336427e+08 + i 8.704553e+08 ; -1.176726e+08 + i -5.355968e+08 ; 2.832043e+09 + i 3.823873e+09 ; -5.206645e+08 + i 4.037592e+08 ; 3.808536e+08 + i -6.353689e+08 ; -4.995718e+09 + i 2.913261e+10 ; 1.238087e+08 + i 4.777149e+08 ; -2.412193e+08 + i -4.574615e+08 ; 2.561742e+09 + i 7.948735e+07 ; -1.572527e+07 + i 5.402414e+08 ; -2.436946e+08 + i -8.340381e+08 ; 2.849505e+09 + i 3.843288e+09 ; 
-4.123022e+08 + i 6.654492e+08 ; -1.295476e+08 + i 1.154557e+08 ; -1.297689e+08 + i 1.153599e+08 ; -2.149589e+08 + i 8.354457e+08 ; -4.619585e+08 + i -2.310529e+08 ; -4.621146e+08 + i -2.313533e+08 ; -7.258833e+08 + i -2.541878e+07 ; -9.237978e+07 + i 1.092824e+08 ; -2.034381e+08 + i 9.389749e+07 ; -8.428513e+08 + i 2.434104e+08 ; -2.134744e+08 + i -2.109074e+08 ; -6.546877e+08 + i -6.690330e+08 ; -7.270669e+08 + i -2.493186e+07 ; -2.031362e+08 + i 9.293702e+07 ; -9.130471e+07 + i 1.087925e+08 ; -8.449421e+08 + i 2.439995e+08 ; -6.536894e+08 + i -6.688599e+08 ; -2.127070e+08 + i -2.096642e+08 ; -2.959435e+08 + i -1.182308e+09 ; -1.614772e+08 + i 6.442334e+07 ; -1.606110e+08 + i 6.492994e+07 ; -1.324374e+09 + i -1.604369e+09 ; -5.042683e+07 + i -4.914025e+08 ; -5.103815e+07 + i -4.909482e+08 ; 2.312494e+09 + i 1.241520e+08 ; -9.373815e+07 + i -4.356246e+08 ; -9.304296e+07 + i -4.356841e+08 ; 2.804135e+09 + i 6.068949e+08 ; 9.853601e+08 + i 2.698919e+08 ; 9.854076e+08 + i 2.710532e+08 ; 2.652412e+09 + i 3.685026e+09 ; -5.980672e+06 + i -4.585463e+08 ; -3.714059e+07 + i -7.218768e+08 ; -5.197133e+08 + i 4.371071e+09 ; 5.930114e+08 + i 2.505717e+08 ; 2.021972e+09 + i 2.531826e+09 ; 2.654555e+09 + i 3.688260e+09 ; -3.749254e+07 + i -7.205128e+08 ; -8.328570e+06 + i -4.565113e+08 ; -5.214153e+08 + i 4.374347e+09 ; 2.018401e+09 + i 2.531833e+09 ; 5.896363e+08 + i 2.458350e+08 ; -4.979683e+09 + i 2.882458e+10 ; 4.317626e+08 + i -5.106936e+08 ; 4.278721e+08 + i -5.110082e+08 ; -8.654095e+09 + i -8.403647e+09 ; 1.596343e+08 + i 1.686802e+09 ; 1.603636e+08 + i 1.683785e+09 ; 
-3.062194e+08 + i -1.556540e+08 ; 2.432462e+08 + i -1.832808e+08 ; -2.147204e+07 + i 4.019530e+07 ; -4.549522e+08 + i -1.021354e+08 ; 5.935690e+08 + i 3.456276e+08 ; -2.114770e+08 + i -1.041713e+08 ; 1.139433e+08 + i 2.847959e+08 ; 2.240154e+08 + i -1.903449e+08 ; 4.800984e+07 + i 5.315008e+07 ; 1.824040e+08 + i 2.580513e+08 ; 6.651428e+08 + i 2.535821e+08 ; 1.001663e+07 + i 1.515646e+08 ; -3.736960e+08 + i -5.122787e+08 ; 3.395469e+08 + i -4.324342e+07 ; -5.577665e+04 + i 3.296340e+07 ; -8.804573e+08 + i -4.726227e+08 ; 2.831030e+08 + i 8.372631e+08 ; -3.198855e+07 + i -3.422767e+07 ; -4.404922e+07 + i 3.337285e+08 ; 2.930979e+08 + i -8.434092e+07 ; 4.769404e+07 + i 5.430918e+07 ; 7.901416e+07 + i 3.739082e+08 ; 6.631698e+08 + i 7.453283e+08 ; -3.715962e+07 + i 1.395552e+08 ; 5.156503e+08 + i 1.017255e+08 ; -4.939251e+08 + i 4.326391e+09 ; -1.907390e+09 + i -2.375777e+09 ; 9.836310e+08 + i 8.471797e+06 ; 2.904540e+09 + i 6.619699e+08 ; -9.124808e+08 + i -2.942327e+08 ; -1.435406e+08 + i -4.954442e+08 ; 2.837408e+09 + i 3.721996e+09 ; 4.575984e+08 + i 8.577592e+08 ; -2.829856e+08 + i -4.730595e+08 ; 2.559356e+09 + i 8.133011e+07 ; 1.568832e+08 + i 4.979279e+08 ; 4.309895e+08 + i 1.513743e+09 ; -8.673538e+09 + i -8.403729e+09 ; -5.109551e+08 + i -1.702482e+09 ; 2.556228e+09 + i 1.871380e+09 ; -5.052490e+08 + i 4.459831e+09 ; -5.439599e+08 + i -2.477673e+08 ; 3.234200e+08 + i -6.048234e+08 ; -4.966399e+09 + i 2.901964e+10 ; -5.044459e+08 + i 4.531925e+08 ; -2.364522e+08 + i -7.882566e+08 ; 2.823163e+09 + i 3.829559e+09 ; -3.717910e+07 + i 5.254989e+08 ; 
-3.055351e+08 + i -1.561123e+08 ; -2.121823e+07 + i 4.005813e+07 ; 2.439937e+08 + i -1.835370e+08 ; -4.547947e+08 + i -1.015785e+08 ; -2.109859e+08 + i -1.041575e+08 ; 5.952399e+08 + i 3.454528e+08 ; -3.727498e+08 + i -5.133960e+08 ; 2.400862e+05 + i 3.312409e+07 ; 3.409508e+08 + i -4.448544e+07 ; -8.801413e+08 + i -4.730035e+08 ; -3.146342e+07 + i -3.385881e+07 ; 2.871388e+08 + i 8.387072e+08 ; 1.144537e+08 + i 2.837925e+08 ; 4.804527e+07 + i 5.317655e+07 ; 2.221256e+08 + i -1.906833e+08 ; 1.823385e+08 + i 2.575540e+08 ; 1.042303e+07 + i 1.520655e+08 ; 6.654275e+08 + i 2.529327e+08 ; -4.193384e+07 + i 3.350327e+08 ; 4.752033e+07 + i 5.428245e+07 ; 2.907324e+08 + i -8.659089e+07 ; 8.000211e+07 + i 3.757069e+08 ; -3.734010e+07 + i 1.394692e+08 ; 6.612035e+08 + i 7.451461e+08 ; 5.129373e+08 + i 1.046085e+08 ; -1.906355e+09 + i -2.375370e+09 ; -4.939034e+08 + i 4.323433e+09 ; 9.849078e+08 + i 8.254304e+06 ; -9.107686e+08 + i -2.947915e+08 ; 2.906060e+09 + i 6.574626e+08 ; 4.281534e+08 + i 1.512333e+09 ; -5.088659e+08 + i -1.700794e+09 ; -8.666894e+09 + i -8.398244e+09 ; 2.556389e+09 + i 1.872987e+09 ; -5.435379e+08 + i -2.471238e+08 ; -4.897768e+08 + i 4.464131e+09 ; -1.451309e+08 + i -4.922080e+08 ; 4.589386e+08 + i 8.626872e+08 ; 2.854400e+09 + i 3.740867e+09 ; -2.806203e+08 + i -4.690667e+08 ; 1.597354e+08 + i 4.994460e+08 ; 2.568054e+09 + i 7.168640e+07 ; 3.180894e+08 + i -6.079820e+08 ; -5.049851e+08 + i 4.524458e+08 ; -4.975118e+09 + i 2.902446e+10 ; -2.371222e+08 + i -7.870203e+08 ; -3.749183e+07 + i 5.243271e+08 ; 2.832104e+09 + i 3.827626e+09 ; 
-5.220445e+08 + i 4.491694e+08 ; 4.791599e+06 + i 6.997433e+07 ; 4.867497e+06 + i 6.999631e+07 ; -3.920697e+08 + i 6.783005e+08 ; -1.138172e+08 + i 1.069782e+08 ; -1.136908e+08 + i 1.068071e+08 ; -4.969041e+08 + i -1.895529e+08 ; 1.006205e+07 + i 5.385213e+07 ; -2.607372e+07 + i 5.753056e+07 ; -7.163159e+08 + i -1.141877e+06 ; -8.087122e+07 + i 1.004635e+08 ; -2.045739e+08 + i 5.916127e+07 ; -4.978739e+08 + i -1.890596e+08 ; -2.632794e+07 + i 5.728343e+07 ; 1.005463e+07 + i 5.363343e+07 ; -7.173845e+08 + i -6.183383e+05 ; -2.045903e+08 + i 5.885112e+07 ; -8.047130e+07 + i 1.009098e+08 ; 1.041019e+08 + i -6.445740e+08 ; -1.459780e+05 + i 3.523272e+07 ; -1.031113e+05 + i 3.495742e+07 ; -3.028339e+08 + i -1.162595e+09 ; -1.329362e+08 + i 2.255376e+07 ; -1.333062e+08 + i 2.287838e+07 ; 2.744438e+09 + i 6.433079e+08 ; -8.929679e+08 + i -3.147166e+08 ; -8.931982e+08 + i -3.164925e+08 ; 2.470777e+09 + i 5.291802e+07 ; 8.038276e+07 + i 3.943451e+08 ; 7.929293e+07 + i 3.948763e+08 ; -5.940274e+08 + i 4.325376e+09 ; -5.145799e+08 + i -1.969483e+08 ; -1.787429e+09 + i -2.404690e+09 ; 2.810263e+09 + i 3.769592e+09 ; -4.511576e+07 + i 5.247405e+08 ; 3.136514e+08 + i 8.415627e+08 ; -5.928770e+08 + i 4.328330e+09 ; -1.783930e+09 + i -2.403590e+09 ; -5.108535e+08 + i -1.922090e+08 ; 2.812109e+09 + i 3.774507e+09 ; 3.152060e+08 + i 8.408399e+08 ; -4.297846e+07 + i 5.231805e+08 ; -8.675998e+09 + i -8.467643e+09 ; -3.575354e+08 + i -1.701257e+09 ; -3.575540e+08 + i -1.697334e+09 ; -4.947570e+09 + i 2.908583e+10 ; -5.312929e+08 + i 4.401589e+08 ; -5.280686e+08 + i 4.409205e+08 ; 
-6.326607e+07 + i -2.744426e+08 ; -1.361762e+07 + i -9.249206e+07 ; 2.356995e+06 + i 2.612638e+06 ; -1.709278e+08 + i -3.532044e+08 ; 2.208985e+08 + i -1.894700e+08 ; -3.009915e+07 + i 2.315296e+07 ; -1.406551e+08 + i 2.342884e+07 ; -5.759747e+06 + i -8.384919e+07 ; 2.421449e+07 + i 1.205347e+07 ; -1.407773e+08 + i 5.413224e+07 ; 2.247592e+08 + i -1.819269e+08 ; 3.523379e+07 + i 6.725514e+07 ; 7.260547e+07 + i -3.248857e+08 ; 2.646287e+07 + i -8.757677e+07 ; 9.620630e+06 + i -3.015240e+06 ; -4.425349e+07 + i -5.308078e+08 ; 3.162175e+08 + i -6.296050e+07 ; -8.538067e+05 + i 2.674942e+07 ; -1.213437e+08 + i -1.404384e+07 ; 3.182396e+07 + i -7.187825e+07 ; 2.111989e+07 + i 9.619668e+06 ; -1.208822e+08 + i 1.842844e+07 ; 2.907762e+08 + i -7.726188e+07 ; 2.768250e+07 + i 6.094449e+07 ; -8.847877e+08 + i -3.859246e+08 ; 2.877697e+09 + i 6.761876e+08 ; -9.021574e+08 + i -3.289515e+08 ; -5.097738e+08 + i -2.395600e+08 ; -5.122074e+08 + i 4.443328e+09 ; -1.801427e+09 + i -2.413173e+09 ; 5.619990e+07 + i 3.624633e+08 ; 2.551168e+09 + i 9.817002e+07 ; 8.111572e+07 + i 3.911549e+08 ; -6.674378e+07 + i 4.939946e+08 ; 2.849020e+09 + i 3.845694e+09 ; 3.134853e+08 + i 8.468003e+08 ; -1.752685e+09 + i -2.468970e+09 ; -5.441981e+08 + i 4.406003e+09 ; -5.196214e+08 + i -2.006736e+08 ; -3.225179e+08 + i -1.750983e+09 ; -8.712657e+09 + i -8.331680e+09 ; -3.746628e+08 + i -1.705434e+09 ; 2.787085e+08 + i 8.306088e+08 ; 2.828723e+09 + i 3.841448e+09 ; -4.267303e+07 + i 5.228005e+08 ; -5.447346e+08 + i 4.089758e+08 ; -4.981632e+09 + i 2.915014e+10 ; -5.340559e+08 + i 4.439561e+08 ; 
