5.340975e+08 + i 4.387093e+09 ; 5.155150e+07 + i 9.737573e+07 ; 5.243182e+07 + i 9.751481e+07 ; -1.645889e+09 + i -2.534581e+08 ; -2.205049e+08 + i -9.477178e+07 ; -2.204815e+08 + i -9.445743e+07 ; 6.239841e+08 + i 3.240116e+08 ; 1.004960e+08 + i 7.020518e+07 ; 9.144592e+07 + i 2.897106e+06 ; 4.005164e+08 + i 5.745790e+08 ; -3.789573e+08 + i 5.900513e+07 ; -5.711481e+07 + i 6.168501e+07 ; 6.244357e+08 + i 3.230211e+08 ; 9.051289e+07 + i 2.271189e+06 ; 9.946421e+07 + i 7.036803e+07 ; 4.019777e+08 + i 5.750431e+08 ; -5.600654e+07 + i 6.021722e+07 ; -3.791512e+08 + i 5.893810e+07 ; 3.128933e+08 + i -4.077031e+08 ; 9.873597e+07 + i -1.117805e+07 ; 9.920566e+07 + i -1.204677e+07 ; 3.629036e+08 + i -3.993242e+08 ; -7.406436e+07 + i 9.499054e+07 ; -7.389350e+07 + i 9.413500e+07 ; -1.604895e+08 + i -1.370514e+08 ; 5.961218e+06 + i 1.511453e+07 ; 6.105800e+06 + i 1.534848e+07 ; -6.409958e+07 + i -1.177317e+08 ; 6.293306e+06 + i -2.613875e+06 ; 6.406696e+06 + i -2.691689e+06 ; -7.731741e+07 + i 7.834842e+07 ; 1.317598e+06 + i 2.240420e+07 ; 1.279650e+07 + i 8.185359e+06 ; -7.849731e+07 + i 3.794339e+07 ; 4.892877e+06 + i -1.001817e+06 ; 4.464168e+06 + i -6.230381e+06 ; -7.681389e+07 + i 7.797543e+07 ; 1.289778e+07 + i 7.881116e+06 ; 1.387043e+06 + i 2.258773e+07 ; -7.818648e+07 + i 3.781825e+07 ; 4.384026e+06 + i -6.241658e+06 ; 4.988159e+06 + i -1.003519e+06 ; 1.076720e+08 + i 1.177889e+08 ; 9.460831e+06 + i 1.289739e+07 ; 9.253006e+06 + i 1.303730e+07 ; 7.034109e+07 + i 1.216578e+08 ; 3.298080e+06 + i -4.789306e+06 ; 3.296949e+06 + i -4.703558e+06 ; 
6.003040e+06 + i -3.952238e+07 ; -1.102726e+06 + i 4.047853e+06 ; -1.433388e+07 + i 9.355316e+06 ; -2.477368e+06 + i -4.629336e+07 ; -1.370875e+07 + i 3.398853e+06 ; -2.362884e+07 + i -4.018121e+07 ; 1.554168e+07 + i -2.330989e+07 ; -1.069110e+06 + i 3.193484e+06 ; -6.675494e+06 + i -3.623392e+06 ; 1.195048e+07 + i -3.104220e+07 ; -1.257329e+07 + i 2.821848e+06 ; 1.281032e+07 + i -3.902009e+07 ; 4.246531e+07 + i 2.550855e+07 ; 1.815838e+05 + i 4.358525e+05 ; -1.078719e+07 + i 9.548082e+06 ; 6.097909e+07 + i 2.213646e+07 ; -3.233649e+06 + i -5.648632e+06 ; -2.097588e+07 + i -4.234256e+07 ; 3.173238e+07 + i 5.415116e+07 ; 6.452281e+05 + i 4.986872e+05 ; -5.262208e+06 + i -2.079019e+06 ; 6.429417e+07 + i 6.388049e+07 ; -6.126397e+06 + i -5.052763e+06 ; 2.002826e+07 + i -4.013263e+07 ; -1.056169e+08 + i -6.155237e+07 ; -1.166053e+08 + i -5.477388e+07 ; 3.260495e+08 + i -3.991686e+08 ; -9.723786e+07 + i -6.201014e+07 ; -6.789180e+07 + i -1.215184e+08 ; 6.230134e+08 + i 3.330062e+08 ; -5.931244e+07 + i -1.249515e+08 ; -1.054202e+08 + i -5.741186e+07 ; 6.169073e+08 + i 3.332100e+08 ; -3.221966e+06 + i -1.260362e+08 ; -9.892707e+06 + i -1.238741e+08 ; 5.123576e+08 + i 4.389520e+09 ; 1.744660e+08 + i -5.258715e+07 ; 1.698440e+08 + i -6.405093e+07 ; 3.748730e+08 + i -4.239254e+08 ; 1.334739e+08 + i -4.436275e+07 ; 4.221786e+08 + i 1.411606e+08 ; 4.292029e+08 + i 5.749578e+08 ; 4.235086e+08 + i 1.598836e+08 ; 1.310169e+08 + i -5.263281e+07 ; 4.225820e+08 + i 5.774677e+08 ; 1.638017e+08 + i 2.215858e+08 ; 1.643763e+08 + i 2.110574e+08 ; -1.637825e+09 + i -2.158159e+08 ; 
-7.682074e+07 + i 7.676380e+07 ; -2.251271e+07 + i -1.221165e+07 ; -3.543156e+06 + i 3.409813e+07 ; -6.199172e+07 + i 1.094230e+08 ; 3.085516e+07 + i -2.485900e+07 ; -1.387245e+08 + i -9.586328e+06 ; 1.057936e+08 + i 1.186991e+08 ; -2.131857e+07 + i -1.210786e+07 ; 1.669316e+07 + i 2.273962e+07 ; 1.427944e+08 + i 1.029501e+08 ; 4.678304e+07 + i -4.171687e+07 ; -6.519812e+07 + i 3.073843e+07 ; -1.573927e+08 + i -1.347638e+08 ; -6.251314e+06 + i -2.725548e+07 ; 2.501121e+05 + i 2.697360e+07 ; -2.902084e+08 + i -1.073777e+08 ; 6.950075e+07 + i 1.392338e+07 ; -6.747574e+07 + i -4.587365e+07 ; -7.847393e+07 + i 7.867274e+07 ; -8.819286e+06 + i -2.896931e+07 ; 1.994844e+07 + i 1.673338e+07 ; -6.478404e+07 + i 1.116219e+08 ; 1.169153e+08 + i -2.819296e+07 ; -3.967506e+07 + i 1.262816e+07 ; 5.962712e+08 + i 3.241912e+08 ; 8.602838e+07 + i 8.227259e+06 ; -8.779557e+07 + i -7.122409e+07 ; 4.034004e+08 + i 5.824596e+08 ; -6.583537e+07 + i 7.302762e+07 ; 4.891478e+08 + i 7.986453e+07 ; 3.251053e+08 + i -3.761783e+08 ; 9.707115e+07 + i -3.643445e+06 ; -1.018483e+08 + i -1.828120e+07 ; 3.671934e+08 + i -4.014214e+08 ; -8.188553e+07 + i 9.917984e+07 ; 1.305875e+08 + i -1.009168e+08 ; 4.928638e+08 + i 4.359537e+09 ; 3.788731e+07 + i 9.846068e+07 ; -3.730315e+07 + i -1.074455e+08 ; -1.648682e+09 + i -2.443010e+08 ; -2.247104e+08 + i -1.055416e+08 ; 2.238271e+08 + i 1.577374e+08 ; 6.089098e+08 + i 3.499937e+08 ; 8.450400e+07 + i 7.704137e+07 ; -9.161386e+07 + i -2.407581e+07 ; 4.046665e+08 + i 5.808258e+08 ; -4.063397e+08 + i 4.309915e+07 ; 8.413390e+07 + i -7.006945e+07 ; 
-4.325612e+07 + i 7.044763e+06 ; -1.863201e+07 + i -4.398826e+07 ; -1.258142e+07 + i 5.458935e+06 ; -4.227217e+07 + i 1.542625e+07 ; 1.015480e+08 + i -4.521815e+07 ; -2.372009e+07 + i -1.791150e+07 ; 4.260694e+07 + i -2.173542e+07 ; -2.288997e+07 + i -4.316408e+07 ; -2.301218e+06 + i -4.887042e+06 ; 4.743067e+07 + i -3.107188e+07 ; 9.726884e+07 + i -3.637761e+07 ; 3.020180e+07 + i -1.047660e+07 ; -4.288209e+07 + i -3.030735e+07 ; 1.825780e+07 + i -3.931334e+07 ; -1.118853e+07 + i 6.136408e+06 ; -5.538858e+07 + i -1.777044e+07 ; 1.412753e+08 + i 4.477629e+07 ; -1.743803e+07 + i -1.808739e+07 ; 9.013077e+07 + i 4.762949e+06 ; 1.855915e+07 + i -4.149868e+07 ; -2.810530e+06 + i -2.489574e+06 ; 1.178360e+08 + i -3.498558e+07 ; 1.134094e+08 + i 7.480059e+07 ; 8.462836e+06 + i 1.090291e+06 ; 8.694179e+07 + i 5.415114e+06 ; 6.091621e+08 + i 3.122750e+08 ; -9.959856e+07 + i -6.441439e+07 ; 1.032025e+08 + i -6.132253e+06 ; 3.288731e+08 + i -4.120398e+08 ; -1.068640e+08 + i -2.057633e+07 ; -5.469296e+07 + i 6.686165e+07 ; 4.038017e+08 + i 5.754295e+08 ; 4.904059e+08 + i 7.842830e+07 ; -7.434729e+07 + i 9.627068e+07 ; 3.758581e+08 + i -4.279416e+08 ; 1.259334e+08 + i -9.667881e+07 ; 4.183474e+07 + i 8.918572e+07 ; 5.022335e+08 + i 4.382481e+09 ; -5.054774e+07 + i -1.070989e+08 ; 8.996242e+07 + i 7.056979e+07 ; 6.292634e+08 + i 3.489490e+08 ; -9.644840e+07 + i -2.727846e+07 ; -2.002607e+08 + i -1.013701e+08 ; -1.655940e+09 + i -2.335286e+08 ; 2.218576e+08 + i 1.489967e+08 ; -3.943177e+08 + i 4.816419e+07 ; 4.239182e+08 + i 5.801036e+08 ; 7.929256e+07 + i -6.597111e+07 ; 
-8.600340e+07 + i -5.138244e+05 ; -2.577127e+06 + i -2.816943e+06 ; 2.243549e+07 + i -4.180917e+07 ; -1.172745e+08 + i 4.244424e+07 ; 6.881688e+06 + i -4.035213e+06 ; 1.180743e+08 + i 7.308285e+07 ; -3.643259e+07 + i 2.125491e+07 ; -3.054936e+06 + i -4.623302e+06 ; -2.025007e+07 + i -4.489450e+07 ; -4.324942e+07 + i 3.451012e+07 ; 2.293344e+07 + i -1.782830e+07 ; 1.001419e+08 + i -3.780121e+07 ; 4.118531e+07 + i 3.197886e+07 ; -8.688435e+06 + i 8.534099e+06 ; 1.334235e+07 + i -3.860154e+07 ; 4.958624e+07 + i 2.714992e+07 ; -2.072277e+07 + i -9.696283e+06 ; 1.376088e+08 + i 4.394312e+07 ; 4.399084e+07 + i -7.742617e+06 ; -8.480849e+06 + i 8.592688e+06 ; -2.346007e+07 + i -4.136567e+07 ; 4.161750e+07 + i -1.033166e+07 ; -2.379246e+07 + i -6.969645e+06 ; 9.737917e+07 + i -4.517042e+07 ; 2.107724e+08 + i 6.390073e+07 ; 2.345564e+08 + i 6.090654e+07 ; -1.643928e+09 + i -2.261972e+08 ; 4.118265e+08 + i -4.180828e+07 ; 6.041105e+07 + i -6.769879e+07 ; 4.270133e+08 + i 5.838627e+08 ; 4.895376e+07 + i -6.686729e+07 ; 4.210889e+08 + i -3.738340e+07 ; 4.134931e+08 + i 5.700881e+08 ; 8.254447e+07 + i -1.073237e+08 ; 8.938623e+07 + i -1.061378e+08 ; 3.874899e+08 + i -4.310553e+08 ; -6.445317e+07 + i -8.892760e+07 ; -6.849588e+07 + i -9.562234e+07 ; 5.061452e+08 + i 4.382233e+09 ; -1.071670e+08 + i -2.990576e+07 ; -9.943436e+07 + i 3.467626e+06 ; 6.266404e+08 + i 3.279863e+08 ; -9.271213e+07 + i 1.061337e+07 ; -1.114070e+08 + i -2.602093e+07 ; 6.136154e+08 + i 3.148949e+08 ; -9.978371e+07 + i 1.668642e+07 ; -1.012726e+08 + i 9.339413e+06 ; 3.129782e+08 + i -4.194432e+08 ; 
-7.641547e+07 + i 3.750543e+07 ; -7.475997e+06 + i 6.228230e+06 ; 8.017450e+06 + i 1.037285e+07 ; -7.328171e+07 + i 7.564638e+07 ; -1.389062e+07 + i -1.131452e+07 ; -5.264077e+06 + i 3.602576e+07 ; 6.812879e+07 + i 1.231210e+08 ; -4.525021e+06 + i 5.760451e+06 ; 1.404764e+07 + i -2.064699e+06 ; 1.061090e+08 + i 1.137497e+08 ; -8.171758e+06 + i -1.492927e+07 ; 1.414476e+07 + i 1.950643e+07 ; -6.346657e+07 + i -1.148597e+08 ; -8.584898e+06 + i 6.414127e+05 ; -2.300303e+06 + i 1.418729e+06 ; -1.535017e+08 + i -1.333437e+08 ; -5.148977e+06 + i -1.956898e+07 ; -1.691733e+07 + i 2.740530e+07 ; -7.972065e+07 + i 3.918087e+07 ; -6.208756e+06 + i 4.159936e+05 ; 5.024848e+06 + i -1.971575e+06 ; -7.573207e+07 + i 7.634405e+07 ; 1.333417e+06 + i -2.489854e+07 ; 7.812608e+06 + i 1.998344e+07 ; 3.836143e+08 + i 5.852086e+08 ; 7.826704e+07 + i -5.931910e+07 ; -4.209881e+08 + i -1.530402e+08 ; 6.178098e+08 + i 3.192922e+08 ; -1.007362e+08 + i -1.439947e+07 ; 1.656020e+08 + i 6.146588e+06 ; 3.784221e+08 + i -3.938661e+08 ; 9.381775e+07 + i -9.162672e+07 ; -1.231735e+08 + i 7.778737e+07 ; 3.064579e+08 + i -4.054207e+08 ; -1.096376e+08 + i -6.139320e+06 ; 9.433031e+07 + i 1.326916e+07 ; -1.655301e+09 + i -2.418588e+08 ; 2.144395e+08 + i 1.268324e+08 ; -2.739140e+08 + i -9.882269e+07 ; 5.305711e+08 + i 4.378801e+09 ; -4.927951e+07 + i -1.138584e+08 ; -1.828215e+06 + i 1.321714e+08 ; 4.117915e+08 + i 5.931845e+08 ; 4.208746e+08 + i -1.315628e+07 ; -7.480248e+07 + i 7.148748e+07 ; 6.202263e+08 + i 3.295015e+08 ; -8.495247e+07 + i -8.789279e+07 ; 8.411167e+07 + i 3.619236e+07 ; 
4.513113e+06 + i -3.969507e+07 ; -1.457331e+07 + i 9.481405e+06 ; -9.711989e+05 + i 2.886711e+06 ; -4.216352e+06 + i -4.600114e+07 ; -2.373055e+07 + i -4.034055e+07 ; -1.229491e+07 + i 1.456610e+06 ; 4.297189e+07 + i 2.248474e+07 ; -1.081572e+07 + i 1.008639e+07 ; 1.429396e+06 + i 9.308796e+05 ; 5.903120e+07 + i 1.841361e+07 ; -2.060765e+07 + i -4.226963e+07 ; -1.077747e+06 + i -4.227294e+06 ; 1.755820e+07 + i -2.115865e+07 ; -6.793439e+06 + i -4.213589e+06 ; -1.656921e+06 + i 2.340139e+06 ; 1.471254e+07 + i -2.884418e+07 ; 1.309009e+07 + i -3.964375e+07 ; -1.173866e+07 + i 1.636908e+06 ; 3.266295e+07 + i 5.764225e+07 ; -5.671785e+06 + i -1.945333e+06 ; 1.217558e+06 + i 2.628243e+05 ; 6.708699e+07 + i 6.754623e+07 ; 2.024498e+07 + i -4.018378e+07 ; -5.129307e+06 + i -3.832601e+06 ; -9.791369e+07 + i -5.458286e+07 ; 3.282196e+08 + i -3.992301e+08 ; -9.540106e+07 + i -4.931573e+07 ; -9.109550e+07 + i -4.898610e+07 ; 6.239623e+08 + i 3.322146e+08 ; -9.057883e+07 + i -8.423577e+07 ; 1.352957e+08 + i -5.907914e+07 ; 3.801362e+08 + i -4.243450e+08 ; 1.490456e+08 + i -7.394345e+07 ; 1.001229e+08 + i -5.024619e+07 ; 4.237792e+08 + i 5.825334e+08 ; 4.554058e+08 + i 1.279054e+08 ; -4.982615e+07 + i -1.197200e+08 ; 6.158818e+08 + i 3.410478e+08 ; -8.650025e+07 + i -4.201392e+07 ; -8.721313e+06 + i -1.270078e+08 ; 5.089716e+08 + i 4.385973e+09 ; -3.627480e+07 + i -1.105432e+08 ; 4.608526e+08 + i 1.600887e+08 ; 4.273451e+08 + i 5.837206e+08 ; 9.641060e+07 + i -5.336865e+07 ; 1.902701e+08 + i 2.099020e+08 ; -1.640719e+09 + i -2.183271e+08 ; 1.861468e+08 + i 1.700743e+08 ; 
-3.511797e+07 + i -6.260886e+07 ; -1.055960e+05 + i 1.280919e+06 ; -9.932093e+06 + i -2.892964e+06 ; -7.218553e+07 + i -7.992119e+07 ; -5.408333e+06 + i 5.630596e+05 ; 1.308665e+07 + i -3.963768e+07 ; -4.891817e+07 + i -2.519422e+07 ; -5.923121e+05 + i 2.025839e+05 ; -1.563912e+07 + i 1.173175e+07 ; -6.958367e+07 + i -2.404656e+07 ; -4.021238e+06 + i -2.716405e+06 ; -2.579309e+07 + i -3.885880e+07 ; -7.854977e+06 + i 2.096907e+07 ; 7.557019e+05 + i 2.625610e+06 ; -3.944819e+06 + i -1.428282e+06 ; -4.448155e+06 + i 1.784710e+07 ; -6.760337e+06 + i 4.944067e+06 ; 1.563807e+07 + i -3.760439e+07 ; 3.915371e+05 + i 3.644086e+07 ; -1.445820e+05 + i 2.669835e+06 ; -9.688021e+06 + i 9.668458e+06 ; 5.381059e+06 + i 3.705661e+07 ; -9.062442e+06 + i 4.983845e+06 ; -2.120350e+07 + i -4.153615e+07 ; -4.302193e+08 + i -1.654049e+08 ; 5.315442e+07 + i -6.438557e+07 ; 3.985393e+08 + i 5.893192e+08 ; -2.750353e+08 + i -1.031525e+08 ; 2.483675e+08 + i 9.073534e+07 ; -1.651044e+09 + i -2.118003e+08 ; -1.581354e+08 + i 6.625794e+07 ; 9.434452e+07 + i -1.062372e+08 ; 3.894583e+08 + i -4.145086e+08 ; -8.599294e+07 + i 4.850181e+07 ; 4.361324e+08 + i -1.434410e+07 ; 4.289873e+08 + i 5.901608e+08 ; 1.585880e+08 + i 6.365523e+06 ; -9.925686e+07 + i -1.283838e+06 ; 6.310061e+08 + i 3.237821e+08 ; -1.115476e+07 + i 1.304860e+08 ; -6.161475e+07 + i -1.106824e+08 ; 5.291213e+08 + i 4.401813e+09 ; 9.331039e+07 + i 3.074222e+07 ; -8.805207e+07 + i 1.086685e+06 ; 3.161452e+08 + i -4.214829e+08 ; 1.043147e+08 + i 3.636694e+07 ; -1.207826e+08 + i -5.114511e+07 ; 6.351736e+08 + i 3.201552e+08 ; 
1.018849e+08 + i 1.185066e+08 ; 1.471815e+07 + i 2.557097e+07 ; 1.467443e+07 + i 2.553305e+07 ; 1.436722e+08 + i 1.023975e+08 ; -6.897610e+07 + i 2.506852e+07 ; -6.899301e+07 + i 2.506952e+07 ; -7.968438e+07 + i 7.677840e+07 ; 1.731403e+07 + i 2.106938e+07 ; -6.009946e+06 + i 3.332579e+07 ; -6.041771e+07 + i 1.098827e+08 ; -4.756639e+07 + i 1.254070e+07 ; -1.346905e+08 + i -2.447257e+07 ; -7.926872e+07 + i 7.698015e+07 ; -6.464518e+06 + i 3.340739e+07 ; 1.707318e+07 + i 2.084819e+07 ; -6.000844e+07 + i 1.105365e+08 ; -1.346657e+08 + i -2.485753e+07 ; -4.709038e+07 + i 1.251618e+07 ; -1.575822e+08 + i -1.366550e+08 ; -2.719667e+06 + i 2.766912e+07 ; -2.560908e+06 + i 2.733788e+07 ; -2.881441e+08 + i -1.067674e+08 ; -6.548841e+07 + i -5.234288e+07 ; -6.541140e+07 + i -5.201686e+07 ; 3.197027e+08 + i -3.603583e+08 ; -8.513579e+07 + i -3.661464e+07 ; -8.510665e+07 + i -3.659590e+07 ; 3.693359e+08 + i -3.992696e+08 ; 1.287718e+08 + i -7.949077e+07 ; 1.290196e+08 + i -7.938336e+07 ; 5.972070e+08 + i 3.398804e+08 ; -8.633805e+07 + i -3.068363e+07 ; -7.538249e+07 + i -8.392398e+07 ; 4.102922e+08 + i 5.820817e+08 ; 8.425806e+07 + i -6.572933e+07 ; 4.800075e+08 + i 1.365326e+08 ; 5.977593e+08 + i 3.387359e+08 ; -7.467239e+07 + i -8.420687e+07 ; -8.550593e+07 + i -3.007995e+07 ; 4.113820e+08 + i 5.827236e+08 ; 4.800596e+08 + i 1.380649e+08 ; 8.261958e+07 + i -6.513425e+07 ; 4.820672e+08 + i 4.351585e+09 ; -3.065279e+07 + i -1.119536e+08 ; -3.073456e+07 + i -1.105298e+08 ; -1.648745e+09 + i -2.398481e+08 ; 2.131708e+08 + i 1.719508e+08 ; 2.124084e+08 + i 1.713567e+08 ; 
-4.073346e+07 + i 1.919766e+07 ; -1.879325e+07 + i -4.516719e+07 ; 1.087639e+06 + i 5.772187e+06 ; -4.738330e+07 + i 3.055452e+07 ; 1.004612e+08 + i -3.644539e+07 ; -3.201386e+07 + i 6.072622e+06 ; 4.768500e+07 + i -5.383914e+06 ; -2.272536e+07 + i -4.266735e+07 ; 1.241701e+07 + i -2.209282e+06 ; 4.609329e+07 + i -1.086011e+07 ; 9.898484e+07 + i -4.515691e+07 ; 1.719458e+07 + i 1.852261e+07 ; -9.157200e+07 + i -7.236044e+06 ; 2.250339e+07 + i -4.203546e+07 ; 2.640043e+06 + i 9.618139e+05 ; -1.248629e+08 + i 3.447662e+07 ; 1.158712e+08 + i 7.402615e+07 ; -4.651607e+06 + i -1.289114e+04 ; 4.189003e+07 + i 3.473751e+07 ; 1.406823e+07 + i -3.970615e+07 ; 1.187011e+07 + i -4.896891e+06 ; 5.161652e+07 + i 2.702518e+07 ; 1.386890e+08 + i 4.389465e+07 ; 1.613628e+07 + i 2.109489e+07 ; 5.129866e+07 + i -6.640524e+07 ; 3.940083e+08 + i 5.766245e+08 ; -4.351896e+08 + i -1.545881e+08 ; 8.599250e+07 + i -1.015682e+08 ; 3.877220e+08 + i -4.162858e+08 ; -1.344375e+08 + i 6.106188e+07 ; -9.319292e+07 + i -1.422625e+06 ; 6.132943e+08 + i 3.155375e+08 ; 1.546878e+08 + i 5.556034e+06 ; -9.294451e+07 + i 5.688815e+06 ; 3.159416e+08 + i -4.209939e+08 ; 9.637391e+07 + i 2.599255e+07 ; 2.167725e+08 + i 9.354882e+07 ; -1.660840e+09 + i -2.255293e+08 ; -2.667035e+08 + i -9.573411e+07 ; 4.212939e+08 + i -1.850158e+07 ; 4.271238e+08 + i 5.989293e+08 ; -7.794830e+07 + i 6.024564e+07 ; -5.857865e+07 + i -1.015246e+08 ; 5.129217e+08 + i 4.381544e+09 ; 4.479012e+06 + i 1.303621e+08 ; -1.080766e+08 + i -5.345938e+07 ; 6.325684e+08 + i 3.244889e+08 ; 9.691151e+07 + i 4.957243e+07 ; 
-4.095438e+07 + i 1.908538e+07 ; 9.433185e+05 + i 5.704233e+06 ; -1.920940e+07 + i -4.525205e+07 ; -4.715609e+07 + i 3.037556e+07 ; -3.217761e+07 + i 5.918814e+06 ; 9.995018e+07 + i -3.694421e+07 ; -9.210431e+07 + i -7.242340e+06 ; 2.633702e+06 + i 8.756708e+05 ; 2.191669e+07 + i -4.241591e+07 ; -1.250218e+08 + i 3.449259e+07 ; -4.653019e+06 + i -1.461728e+05 ; 1.163576e+08 + i 7.260340e+07 ; 4.727414e+07 + i -5.289410e+06 ; 1.246411e+07 + i -2.224077e+06 ; -2.269779e+07 + i -4.207030e+07 ; 4.590221e+07 + i -1.076439e+07 ; 1.723659e+07 + i 1.834634e+07 ; 9.869495e+07 + i -4.525803e+07 ; 4.213222e+07 + i 3.406073e+07 ; 1.196038e+07 + i -4.813403e+06 ; 1.345528e+07 + i -3.889991e+07 ; 5.206216e+07 + i 2.653808e+07 ; 1.611740e+07 + i 2.115588e+07 ; 1.388746e+08 + i 4.427292e+07 ; 5.255539e+07 + i -6.581037e+07 ; -4.351026e+08 + i -1.549860e+08 ; 3.933613e+08 + i 5.775847e+08 ; 8.547800e+07 + i -1.020723e+08 ; -1.349335e+08 + i 6.067167e+07 ; 3.857230e+08 + i -4.161353e+08 ; 2.167451e+08 + i 9.427829e+07 ; -2.665487e+08 + i -9.650056e+07 ; -1.660210e+09 + i -2.260014e+08 ; 4.218105e+08 + i -1.902228e+07 ; -7.778055e+07 + i 6.009142e+07 ; 4.280771e+08 + i 5.930998e+08 ; -9.186078e+07 + i -1.385290e+06 ; 1.561038e+08 + i 4.550512e+06 ; 6.192560e+08 + i 3.111749e+08 ; -9.189565e+07 + i 4.453407e+06 ; 9.641199e+07 + i 2.504333e+07 ; 3.127227e+08 + i -4.235048e+08 ; -5.942259e+07 + i -9.976191e+07 ; 4.393115e+06 + i 1.306349e+08 ; 5.145865e+08 + i 4.385390e+09 ; -1.076449e+08 + i -5.325333e+07 ; 9.673455e+07 + i 5.014657e+07 ; 6.329322e+08 + i 3.221368e+08 ; 
6.407844e+07 + i 1.215108e+08 ; 1.425262e+07 + i -3.223316e+06 ; 1.419520e+07 + i -3.286628e+06 ; 1.065378e+08 + i 1.123817e+08 ; 1.198584e+07 + i 1.755474e+07 ; 1.191637e+07 + i 1.743028e+07 ; -7.962286e+07 + i 3.681547e+07 ; 8.390224e+06 + i 4.007912e+05 ; 6.401331e+06 + i 6.642650e+06 ; -7.202024e+07 + i 7.528325e+07 ; 1.171109e+07 + i 2.301015e+07 ; -8.867162e+06 + i 3.013582e+07 ; -7.918721e+07 + i 3.702380e+07 ; 6.374999e+06 + i 6.771387e+06 ; 8.354582e+06 + i 4.039955e+05 ; -7.168096e+07 + i 7.574102e+07 ; -9.023344e+06 + i 3.017554e+07 ; 1.188941e+07 + i 2.289033e+07 ; -6.314217e+07 + i -1.166375e+08 ; 1.557990e+06 + i 1.223084e+06 ; 1.460042e+06 + i 1.222932e+06 ; -1.519711e+08 + i -1.327663e+08 ; -1.290601e+07 + i 2.514068e+07 ; -1.275681e+07 + i 2.527974e+07 ; 3.781442e+08 + i -3.744650e+08 ; -1.332464e+08 + i 5.403598e+07 ; -1.337372e+08 + i 5.410069e+07 ; 3.119988e+08 + i -4.017957e+08 ; 6.050824e+07 + i 3.148083e+07 ; 6.075222e+07 + i 3.157005e+07 ; 3.901534e+08 + i 5.975821e+08 ; -6.530651e+07 + i 5.995082e+07 ; -4.112928e+08 + i -1.761238e+08 ; 6.253307e+08 + i 3.190799e+08 ; 9.506521e+07 + i 5.195320e+07 ; 1.361170e+08 + i 4.324559e+07 ; 3.905223e+08 + i 5.966872e+08 ; -4.108921e+08 + i -1.775612e+08 ; -6.369127e+07 + i 5.934547e+07 ; 6.267505e+08 + i 3.186771e+08 ; 1.354482e+08 + i 4.298559e+07 ; 9.455052e+07 + i 5.140097e+07 ; -1.671572e+09 + i -2.408921e+08 ; -2.492704e+08 + i -1.348870e+08 ; -2.484587e+08 + i -1.346368e+08 ; 5.324157e+08 + i 4.379795e+09 ; 2.170433e+05 + i 1.328131e+08 ; 3.953643e+05 + i 1.318898e+08 ; 
-4.479240e+07 + i -2.512966e+07 ; -1.443565e+07 + i 1.122799e+07 ; -1.482484e+06 + i 6.657363e+05 ; -6.442792e+07 + i -2.341330e+07 ; -2.287135e+07 + i -3.910563e+07 ; -6.619023e+05 + i 5.266976e+06 ; -5.906105e+06 + i 3.452565e+07 ; -9.980695e+06 + i 9.373488e+06 ; 2.588858e+06 + i -1.788350e+06 ; -3.549492e+06 + i 3.795315e+07 ; -1.985261e+07 + i -4.238935e+07 ; 1.143244e+07 + i 8.326030e+05 ; -2.554206e+07 + i -6.025973e+07 ; -8.884941e+06 + i -2.794870e+06 ; -2.888025e+06 + i -1.192634e+06 ; -5.936642e+07 + i -7.650359e+07 ; 1.577353e+07 + i -3.882399e+07 ; 1.380881e+06 + i 2.117584e+06 ; -1.171465e+07 + i 2.061764e+07 ; -4.570241e+06 + i -2.117591e+06 ; 1.289584e+06 + i -1.508623e+06 ; -8.340818e+06 + i 2.181387e+07 ; 1.616432e+07 + i -3.877484e+07 ; 1.033718e+07 + i -4.069759e+05 ; -1.425161e+08 + i 4.279710e+07 ; 3.906097e+08 + i -4.024190e+08 ; -1.378371e+08 + i 5.393054e+07 ; -6.964679e+07 + i 5.473887e+07 ; 4.120537e+08 + i 5.949843e+08 ; -4.139039e+08 + i -1.748290e+08 ; 5.183793e+07 + i 3.346814e+07 ; 3.241093e+08 + i -4.178608e+08 ; 5.983981e+07 + i 3.084479e+07 ; 8.710001e+07 + i 5.534096e+07 ; 6.355105e+08 + i 3.202476e+08 ; 1.369172e+08 + i 4.316807e+07 ; -4.111869e+08 + i -1.913246e+08 ; 4.025917e+08 + i 6.012867e+08 ; -6.570600e+07 + i 6.021790e+07 ; -2.509684e+08 + i -1.457895e+08 ; -1.661422e+09 + i -2.143571e+08 ; -2.503935e+08 + i -1.313999e+08 ; 1.337283e+08 + i 4.857120e+07 ; 6.371075e+08 + i 3.250302e+08 ; 9.509071e+07 + i 5.122088e+07 ; -6.310657e+06 + i 1.334474e+08 ; 5.323287e+08 + i 4.396355e+09 ; 1.075495e+06 + i 1.333177e+08 ; 
