-3.007789e+09 + i 1.192081e+09 ; -1.450313e+07 + i 4.977048e+06 ; -1.450354e+07 + i 4.980511e+06 ; 5.088686e+08 + i -4.087244e+08 ; 4.679580e+07 + i -2.852941e+07 ; 4.678400e+07 + i -2.853086e+07 ; -2.510243e+08 + i 1.898855e+08 ; -2.587054e+07 + i 1.494259e+07 ; -5.380986e+06 + i 3.771178e+06 ; -1.427504e+08 + i 6.611956e+07 ; 1.142080e+08 + i -1.003695e+08 ; 4.565209e+06 + i -6.699674e+06 ; -2.510147e+08 + i 1.898879e+08 ; -5.389390e+06 + i 3.763070e+06 ; -2.587529e+07 + i 1.493962e+07 ; -1.427365e+08 + i 6.612748e+07 ; 4.624120e+06 + i -6.694318e+06 ; 1.142105e+08 + i -1.003689e+08 ; 5.838495e+06 + i 2.826325e+07 ; -9.337879e+06 + i 7.809761e+06 ; -9.316326e+06 + i 7.812068e+06 ; 2.707196e+06 + i 2.289258e+07 ; 1.890493e+07 + i -2.425535e+07 ; 1.890612e+07 + i -2.425750e+07 ; 5.700802e+07 + i -3.632188e+07 ; -1.215281e+06 + i 3.634130e+04 ; -1.214356e+06 + i 3.645345e+04 ; 3.227030e+07 + i -1.770624e+07 ; -4.280024e+05 + i 2.975893e+05 ; -4.278959e+05 + i 2.977304e+05 ; 4.191633e+06 + i -1.148298e+07 ; 1.569927e+06 + i -3.405181e+06 ; -1.055104e+06 + i 3.578365e+05 ; 4.515347e+06 + i -8.423882e+06 ; 2.952114e+05 + i -6.024296e+05 ; -3.819636e+05 + i 2.876944e+05 ; 4.198031e+06 + i -1.148155e+07 ; -1.050131e+06 + i 3.573749e+05 ; 1.570349e+06 + i -3.405049e+06 ; 4.518098e+06 + i -8.422631e+06 ; -3.813752e+05 + i 2.873336e+05 ; 2.950863e+05 + i -6.024385e+05 ; -2.323155e+06 + i -1.442507e+06 ; 9.403553e+05 + i -2.084551e+06 ; 9.392370e+05 + i -2.084600e+06 ; -4.526624e+05 + i -2.401738e+06 ; 2.084897e+05 + i -4.531804e+05 ; 2.085291e+05 + i -4.531161e+05 ; 
1.616185e+06 + i -1.600194e+05 ; 3.932629e+05 + i -3.889168e+05 ; -1.052598e+06 + i 1.410092e+06 ; 2.584540e+06 + i -6.954994e+05 ; 1.659193e+06 + i -1.213837e+06 ; -1.856795e+06 + i 3.326630e+06 ; 1.432945e+06 + i 3.686442e+05 ; 2.996588e+05 + i -3.025242e+05 ; -1.491260e+06 + i 1.682608e+06 ; 2.384320e+06 + i 6.339869e+04 ; 1.167730e+06 + i -8.098408e+05 ; -1.569454e+06 + i 4.760357e+06 ; -7.924787e+06 + i 5.642422e+06 ; 1.423612e+05 + i 3.044237e+04 ; -9.404666e+05 + i 1.294448e+06 ; -1.238361e+07 + i 9.674621e+06 ; -5.002504e+05 + i 7.527199e+05 ; -1.811168e+06 + i 3.168504e+06 ; -1.411544e+07 + i 7.629567e+06 ; 3.752117e+05 + i -2.037689e+05 ; -1.263058e+06 + i 1.529576e+06 ; -2.398893e+07 + i 1.499101e+07 ; 7.149270e+05 + i -4.282011e+05 ; -2.096990e+06 + i 4.956525e+06 ; 1.099699e+07 + i -8.265817e+06 ; 1.110116e+07 + i -8.557802e+06 ; 5.639381e+06 + i 2.886383e+07 ; 5.881249e+06 + i -3.869116e+06 ; 3.142994e+07 + i -1.558777e+07 ; -2.530798e+08 + i 1.908393e+08 ; 3.124986e+07 + i -1.522870e+07 ; 5.982250e+06 + i -4.080622e+06 ; -2.528608e+08 + i 1.905355e+08 ; 1.691027e+07 + i -4.483139e+06 ; 1.715207e+07 + i -4.764190e+06 ; -3.011615e+09 + i 1.193082e+09 ; -2.419666e+07 + i 2.831667e+07 ; -2.233151e+07 + i 2.738237e+07 ; 2.493222e+06 + i 2.363528e+07 ; -4.532875e+06 + i 8.097736e+06 ; -1.412959e+08 + i 1.096177e+08 ; -1.446861e+08 + i 6.789831e+07 ; -1.443079e+08 + i 1.107422e+08 ; -3.508977e+06 + i 7.612284e+06 ; -1.444415e+08 + i 6.760561e+07 ; -5.908895e+07 + i 3.063059e+07 ; -5.737326e+07 + i 3.007900e+07 ; 5.031539e+08 + i -4.061219e+08 ; 
4.073463e+06 + i -1.150986e+07 ; 5.728526e+05 + i 1.246494e+05 ; 1.381833e+05 + i -2.859771e+06 ; 2.504067e+06 + i -1.426875e+07 ; -4.362783e+06 + i 4.152866e+06 ; 3.790105e+07 + i -3.172142e+07 ; -2.364494e+06 + i -1.436421e+06 ; -7.242958e+05 + i 1.839034e+06 ; 8.590532e+05 + i -2.002986e+06 ; -6.015330e+06 + i 1.735150e+06 ; -1.325292e+07 + i 1.408658e+07 ; 1.515848e+07 + i -1.497790e+07 ; 5.707017e+07 + i -3.629498e+07 ; 1.229253e+06 + i 5.323588e+05 ; -1.143979e+06 + i -6.250839e+05 ; 1.030212e+08 + i -7.862159e+07 ; -1.334743e+07 + i 8.807708e+06 ; 1.541580e+07 + i -9.146660e+06 ; 4.184346e+06 + i -1.148145e+07 ; -3.109902e+04 + i 2.584409e+06 ; -5.401470e+05 + i -1.736987e+05 ; 2.375122e+06 + i -1.428506e+07 ; -3.333688e+07 + i 3.001748e+07 ; 5.156368e+06 + i -4.393257e+06 ; -2.500233e+08 + i 1.878771e+08 ; -4.378886e+06 + i 3.148467e+06 ; 2.590502e+07 + i -1.442765e+07 ; -1.431968e+08 + i 6.621152e+07 ; 4.316300e+06 + i -7.069762e+06 ; -1.342623e+08 + i 1.086094e+08 ; 5.824435e+06 + i 2.777172e+07 ; -8.121766e+06 + i 6.925760e+06 ; 9.174231e+06 + i -7.230611e+06 ; 2.705945e+06 + i 2.295064e+07 ; 1.991745e+07 + i -2.514462e+07 ; -2.251097e+07 + i 2.686362e+07 ; -3.001296e+09 + i 1.187773e+09 ; -1.358620e+07 + i 4.219995e+06 ; 1.414899e+07 + i -4.309788e+06 ; 5.086750e+08 + i -4.087396e+08 ; 4.861097e+07 + i -2.923110e+07 ; -5.283808e+07 + i 3.033195e+07 ; -2.495246e+08 + i 1.880903e+08 ; -2.496917e+07 + i 1.389820e+07 ; 4.860024e+06 + i -3.226422e+06 ; -1.429419e+08 + i 6.622172e+07 ; 1.192241e+08 + i -1.027815e+08 ; -5.148077e+06 + i 7.496452e+06 ; 
4.358774e+06 + i -2.904020e+06 ; -1.764728e+06 + i 3.322246e+06 ; 9.438883e+05 + i -9.679672e+05 ; 5.553230e+06 + i -4.245054e+06 ; -1.664997e+07 + i 1.874378e+07 ; 5.333876e+06 + i -3.194210e+06 ; -8.638466e+06 + i 8.063260e+06 ; -1.826638e+06 + i 3.162777e+06 ; 3.441194e+05 + i 3.559822e+05 ; -1.403949e+07 + i 1.427216e+07 ; -1.319172e+07 + i 1.362630e+07 ; -8.478126e+06 + i 8.208388e+06 ; 7.204323e+06 + i -3.663611e+06 ; -1.379609e+06 + i 4.805823e+06 ; 6.828396e+05 + i -6.630490e+05 ; 9.988082e+06 + i -6.338779e+06 ; -4.780518e+07 + i 3.738915e+07 ; 3.434432e+06 + i -1.668907e+06 ; -1.891467e+07 + i 1.456235e+07 ; -2.114023e+06 + i 4.943455e+06 ; 7.351379e+05 + i -2.713417e+05 ; -3.258123e+07 + i 3.000577e+07 ; -3.464756e+07 + i 2.191593e+07 ; -1.863734e+06 + i 1.385799e+06 ; -5.415378e+06 + i 3.961419e+06 ; -2.505291e+08 + i 1.893310e+08 ; 2.680697e+07 + i -1.544213e+07 ; -9.862730e+06 + i 8.180247e+06 ; 5.607002e+06 + i 2.877986e+07 ; 1.092679e+07 + i -8.254511e+06 ; 2.357019e+06 + i -5.440398e+06 ; -1.429550e+08 + i 6.667636e+07 ; -1.334718e+08 + i 1.081830e+08 ; 1.878649e+07 + i -2.424504e+07 ; 2.404051e+06 + i 2.365516e+07 ; -2.256496e+07 + i 2.664194e+07 ; -1.439727e+07 + i 5.124917e+06 ; -3.008265e+09 + i 1.191490e+09 ; 1.519313e+07 + i -5.076300e+06 ; -2.617788e+07 + i 1.500193e+07 ; -2.522513e+08 + i 1.906700e+08 ; 6.214811e+06 + i -3.906469e+06 ; 4.450045e+07 + i -2.657288e+07 ; 5.057317e+08 + i -4.075328e+08 ; -5.133891e+07 + i 2.974500e+07 ; 1.174018e+08 + i -1.016948e+08 ; -1.444884e+08 + i 6.762482e+07 ; -5.201475e+06 + i 7.284521e+06 ; 
1.885894e+07 + i -1.452560e+07 ; 7.213781e+05 + i -2.657943e+05 ; -1.933001e+06 + i 4.975175e+06 ; 3.234349e+07 + i -2.997733e+07 ; -1.556348e+06 + i 1.312460e+06 ; -3.440455e+07 + i 2.194359e+07 ; 8.667533e+06 + i -8.037798e+06 ; 3.536432e+05 + i 3.127419e+05 ; -1.738184e+06 + i 3.163738e+06 ; 1.391989e+07 + i -1.424588e+07 ; -7.384934e+06 + i 7.727793e+06 ; -1.310817e+07 + i 1.362705e+07 ; -7.350760e+06 + i 3.649659e+06 ; 5.778262e+05 + i -6.307549e+05 ; -1.516305e+06 + i 4.772871e+06 ; -1.051602e+07 + i 6.316121e+06 ; 3.030878e+06 + i -1.636178e+06 ; -4.795902e+07 + i 3.734787e+07 ; -4.417871e+06 + i 2.909740e+06 ; 8.244783e+05 + i -9.078101e+05 ; -1.855851e+06 + i 3.316352e+06 ; -5.786569e+06 + i 4.264696e+06 ; 4.732063e+06 + i -3.067888e+06 ; -1.671822e+07 + i 1.872790e+07 ; -4.261679e+07 + i 2.660875e+07 ; -4.549377e+07 + i 2.873701e+07 ; 5.063229e+08 + i -4.074338e+08 ; -1.174159e+08 + i 1.019006e+08 ; -4.692669e+06 + i 6.832805e+06 ; -1.446285e+08 + i 6.761900e+07 ; -2.588672e+06 + i 5.336085e+06 ; -1.184112e+08 + i 1.025008e+08 ; -1.428382e+08 + i 6.668192e+07 ; -1.859520e+07 + i 2.425014e+07 ; -1.971200e+07 + i 2.495717e+07 ; 2.467336e+06 + i 2.367327e+07 ; 1.412978e+07 + i -5.346848e+06 ; 1.415850e+07 + i -5.092469e+06 ; -3.008221e+09 + i 1.191506e+09 ; 2.405017e+07 + i -1.509637e+07 ; 5.370777e+06 + i -3.796815e+06 ; -2.521598e+08 + i 1.905909e+08 ; 5.125186e+06 + i -3.920636e+06 ; 2.369559e+07 + i -1.496659e+07 ; -2.499376e+08 + i 1.894009e+08 ; 9.588723e+06 + i -8.075668e+06 ; 9.597220e+06 + i -7.870252e+06 ; 5.587269e+06 + i 2.869406e+07 ; 
4.448088e+06 + i -8.438205e+06 ; 4.120104e+05 + i -3.070403e+05 ; 2.749935e+05 + i -6.202620e+05 ; 4.244640e+06 + i -1.146211e+07 ; 1.167038e+06 + i -3.743343e+05 ; 1.906634e+06 + i -3.762095e+06 ; -4.880212e+05 + i -2.396701e+06 ; -2.297195e+05 + i 4.726193e+05 ; 2.273000e+05 + i -4.760835e+05 ; -2.337004e+06 + i -1.438494e+06 ; -1.023974e+06 + i 2.181648e+06 ; 1.174286e+06 + i -2.315798e+06 ; 3.229739e+07 + i -1.768407e+07 ; 4.627798e+05 + i -3.233312e+05 ; -9.825642e+05 + i 2.876836e+05 ; 5.716834e+07 + i -3.627036e+07 ; 1.334725e+06 + i -3.795138e+04 ; -2.320174e+06 + i -3.949896e+04 ; 4.507727e+06 + i -8.421670e+06 ; -3.225273e+05 + i 6.259587e+05 ; -6.758316e+05 + i 3.347772e+05 ; 4.216893e+06 + i -1.148685e+07 ; -1.713198e+06 + i 3.565389e+06 ; -1.635351e+06 + i 3.934493e+05 ; -1.446595e+08 + i 6.618072e+07 ; -4.369555e+06 + i 7.024126e+06 ; 1.409817e+08 + i -1.095083e+08 ; -2.510479e+08 + i 1.898509e+08 ; 5.653224e+06 + i -3.890848e+06 ; -2.095721e+07 + i 1.485062e+07 ; 2.702689e+06 + i 2.305678e+07 ; -2.040637e+07 + i 2.529145e+07 ; 2.373814e+07 + i -2.695654e+07 ; 5.901769e+06 + i 2.827992e+07 ; 1.005511e+07 + i -8.100925e+06 ; -1.123095e+07 + i 8.139950e+06 ; 5.084368e+08 + i -4.087396e+08 ; -4.971259e+07 + i 2.903442e+07 ; 4.654716e+07 + i -2.926736e+07 ; -3.007962e+09 + i 1.192004e+09 ; 1.517453e+07 + i -5.000480e+06 ; -1.715070e+07 + i 4.841084e+06 ; -1.428034e+08 + i 6.629056e+07 ; -1.228172e+08 + i 1.039630e+08 ; 5.160338e+06 + i -7.117498e+06 ; -2.512398e+08 + i 1.898942e+08 ; 2.742384e+07 + i -1.505361e+07 ; -6.679818e+06 + i 3.894241e+06 ; 
1.592128e+06 + i -1.489489e+05 ; -1.051421e+06 + i 1.409936e+06 ; 4.022525e+05 + i -3.907881e+05 ; 2.546820e+06 + i -6.773487e+05 ; -1.853260e+06 + i 3.325414e+06 ; 1.684496e+06 + i -1.218993e+06 ; -8.004785e+06 + i 5.630258e+06 ; -9.435544e+05 + i 1.296491e+06 ; 1.755866e+05 + i 3.620718e+04 ; -1.255271e+07 + i 9.655273e+06 ; -1.811465e+06 + i 3.173642e+06 ; -4.130905e+05 + i 7.700960e+05 ; 1.400841e+06 + i 3.787225e+05 ; -1.490697e+06 + i 1.681670e+06 ; 3.030250e+05 + i -3.033003e+05 ; 2.324147e+06 + i 8.390293e+04 ; -1.568605e+06 + i 4.757694e+06 ; 1.177787e+06 + i -8.115109e+05 ; -1.413937e+07 + i 7.663892e+06 ; -1.267218e+06 + i 1.531510e+06 ; 3.883642e+05 + i -2.051207e+05 ; -2.401539e+07 + i 1.504830e+07 ; -2.100533e+06 + i 4.960227e+06 ; 7.499325e+05 + i -4.182449e+05 ; 1.133637e+07 + i -8.150957e+06 ; 5.673837e+06 + i 2.885764e+07 ; 1.158103e+07 + i -8.352850e+06 ; 6.068108e+06 + i -3.752821e+06 ; -2.529829e+08 + i 1.908550e+08 ; 2.838995e+07 + i -1.553404e+07 ; -2.555041e+07 + i 2.809606e+07 ; 2.472994e+06 + i 2.367623e+07 ; -2.264607e+07 + i 2.720465e+07 ; -5.446579e+06 + i 7.845538e+06 ; -1.451953e+08 + i 6.792692e+07 ; -1.399427e+08 + i 1.098131e+08 ; 3.026680e+07 + i -1.499531e+07 ; -2.528788e+08 + i 1.905733e+08 ; 6.247699e+06 + i -3.902457e+06 ; 1.640814e+07 + i -4.534761e+06 ; -3.011722e+09 + i 1.193034e+09 ; 1.600391e+07 + i -4.944918e+06 ; -1.434274e+08 + i 1.110656e+08 ; -1.444653e+08 + i 6.768834e+07 ; -4.390438e+06 + i 7.337802e+06 ; -5.703111e+07 + i 3.055064e+07 ; 5.029740e+08 + i -4.061768e+08 ; -5.436938e+07 + i 3.000282e+07 ; 
1.428933e+07 + i -7.702211e+06 ; 2.713656e+05 + i -1.986113e+05 ; -1.435929e+06 + i 1.498679e+06 ; 2.423416e+07 + i -1.514996e+07 ; 5.996882e+05 + i -3.852949e+05 ; -2.414593e+06 + i 4.928866e+06 ; 8.103639e+06 + i -5.662752e+06 ; 7.772382e+04 + i 1.784120e+04 ; -1.032242e+06 + i 1.298039e+06 ; 1.264623e+07 + i -9.726347e+06 ; -4.520198e+05 + i 7.129324e+05 ; -1.961128e+06 + i 3.186126e+06 ; -9.318462e+05 + i -3.360771e+05 ; 2.902257e+05 + i -2.806669e+05 ; -1.435927e+06 + i 1.713176e+06 ; -1.548330e+06 + i -9.739024e+04 ; 1.097040e+06 + i -7.703749e+05 ; -1.463608e+06 + i 4.795483e+06 ; -1.346558e+06 + i 1.283863e+05 ; 3.638922e+05 + i -3.642418e+05 ; -1.025986e+06 + i 1.416612e+06 ; -2.198195e+06 + i 6.150974e+05 ; 1.505831e+06 + i -1.158600e+06 ; -1.822296e+06 + i 3.322934e+06 ; 1.443620e+08 + i -1.109630e+08 ; -5.313792e+06 + i 6.879319e+06 ; -1.464553e+08 + i 6.765353e+07 ; 4.810682e+07 + i -2.990842e+07 ; -4.712295e+07 + i 2.926231e+07 ; 5.026677e+08 + i -4.061827e+08 ; 2.536549e+07 + i -2.819402e+07 ; -2.055867e+07 + i 2.539169e+07 ; 2.471570e+06 + i 2.382923e+07 ; 6.452981e+06 + i -7.744058e+06 ; -1.224524e+08 + i 1.042640e+08 ; -1.451117e+08 + i 6.800544e+07 ; -2.054059e+07 + i 1.445226e+07 ; 5.569243e+06 + i -3.774194e+06 ; -2.519807e+08 + i 1.905915e+08 ; -1.691215e+07 + i 4.495359e+06 ; 1.468377e+07 + i -5.084759e+06 ; -3.011151e+09 + i 1.193226e+09 ; -1.089698e+07 + i 7.876701e+06 ; 1.041907e+07 + i -7.846386e+06 ; 5.671350e+06 + i 2.868989e+07 ; -5.819311e+06 + i 3.747683e+06 ; 2.469793e+07 + i -1.519513e+07 ; -2.524243e+08 + i 1.908570e+08 ; 
-2.402729e+06 + i -1.428408e+06 ; 9.020478e+05 + i -2.051911e+06 ; 9.001979e+05 + i -2.051996e+06 ; -5.998976e+06 + i 1.734924e+06 ; 1.577545e+07 + i -1.525571e+07 ; 1.577266e+07 + i -1.525673e+07 ; 4.073441e+06 + i -1.150921e+07 ; -5.969347e+05 + i -1.787758e+05 ; 1.959272e+05 + i -2.962219e+06 ; 2.497932e+06 + i -1.426815e+07 ; 4.938758e+06 + i -4.459360e+06 ; 3.979887e+07 + i -3.225746e+07 ; 4.074745e+06 + i -1.150867e+07 ; 1.947287e+05 + i -2.962176e+06 ; -5.933958e+05 + i -1.796081e+05 ; 2.501135e+06 + i -1.426583e+07 ; 3.979829e+07 + i -3.225902e+07 ; 4.954144e+06 + i -4.456763e+06 ; 5.704247e+07 + i -3.631844e+07 ; -1.168282e+06 + i -6.665619e+05 ; -1.164912e+06 + i -6.676082e+05 ; 1.030718e+08 + i -7.860274e+07 ; 1.600902e+07 + i -9.266577e+06 ; 1.601390e+07 + i -9.263393e+06 ; 5.858304e+06 + i 2.785673e+07 ; 9.976833e+06 + i -7.244866e+06 ; 9.980062e+06 + i -7.245402e+06 ; 2.736140e+06 + i 2.296776e+07 ; -2.389976e+07 + i 2.735338e+07 ; -2.388924e+07 + i 2.735735e+07 ; -2.499700e+08 + i 1.879505e+08 ; 4.998888e+06 + i -3.226691e+06 ; 2.676696e+07 + i -1.443540e+07 ; -1.430757e+08 + i 6.622260e+07 ; -4.761603e+06 + i 7.409817e+06 ; -1.405398e+08 + i 1.104224e+08 ; -2.499573e+08 + i 1.879518e+08 ; 2.676365e+07 + i -1.443725e+07 ; 4.997089e+06 + i -3.222667e+06 ; -1.430650e+08 + i 6.622961e+07 ; -1.405318e+08 + i 1.104302e+08 ; -4.812618e+06 + i 7.402695e+06 ; -3.001697e+09 + i 1.187648e+09 ; 1.448686e+07 + i -4.272228e+06 ; 1.448090e+07 + i -4.265077e+06 ; 5.084967e+08 + i -4.087229e+08 ; -5.423473e+07 + i 3.051193e+07 ; -5.426065e+07 + i 3.050180e+07 ; 
8.932173e+06 + i -8.179136e+06 ; -1.717711e+06 + i 3.164784e+06 ; -3.512768e+05 + i -3.754750e+05 ; 1.447039e+07 + i -1.449794e+07 ; -1.315714e+07 + i 1.364390e+07 ; 8.918651e+06 + i -8.383929e+06 ; -4.492555e+06 + i 2.955287e+06 ; -1.841241e+06 + i 3.313307e+06 ; -1.005976e+06 + i 9.983657e+05 ; -5.811945e+06 + i 4.329337e+06 ; -1.666715e+07 + i 1.873493e+07 ; -5.712546e+06 + i 3.173882e+06 ; 1.948269e+07 + i -1.474635e+07 ; -1.932182e+06 + i 4.972793e+06 ; -7.617457e+05 + i 2.521648e+05 ; 3.347866e+07 + i -3.047090e+07 ; -3.445790e+07 + i 2.193799e+07 ; 2.079884e+06 + i -1.366720e+06 ; -7.515552e+06 + i 3.680699e+06 ; -1.493677e+06 + i 4.771936e+06 ; -7.247271e+05 + i 6.749025e+05 ; -1.069031e+07 + i 6.380713e+06 ; -4.790659e+07 + i 3.735483e+07 ; -3.583200e+06 + i 1.686307e+06 ; -2.708115e+06 + i 5.459138e+06 ; -1.443887e+08 + i 6.672865e+07 ; 1.415447e+08 + i -1.097504e+08 ; -1.943632e+07 + i 2.468684e+07 ; 2.357856e+06 + i 2.380508e+07 ; 2.400152e+07 + i -2.728769e+07 ; 5.505140e+06 + i -3.981319e+06 ; -2.498928e+08 + i 1.893887e+08 ; -2.092580e+07 + i 1.475220e+07 ; 1.044135e+07 + i -8.164770e+06 ; 5.635758e+06 + i 2.869023e+07 ; -1.119051e+07 + i 8.200012e+06 ; -4.433316e+07 + i 2.700261e+07 ; 5.054676e+08 + i -4.075222e+08 ; 4.645872e+07 + i -2.918866e+07 ; -1.214145e+08 + i 1.034661e+08 ; -1.447392e+08 + i 6.773453e+07 ; 5.234961e+06 + i -7.269889e+06 ; 1.462826e+07 + i -5.370871e+06 ; -3.008039e+09 + i 1.191543e+09 ; -1.712120e+07 + i 4.834455e+06 ; 2.529240e+07 + i -1.532302e+07 ; -2.520941e+08 + i 1.905998e+08 ; -6.459961e+06 + i 4.025949e+06 ; 
8.935413e+06 + i -8.180206e+06 ; -3.518701e+05 + i -3.757210e+05 ; -1.716959e+06 + i 3.164650e+06 ; 1.447254e+07 + i -1.449777e+07 ; 8.917775e+06 + i -8.384399e+06 ; -1.315910e+07 + i 1.364314e+07 ; 1.948161e+07 + i -1.474739e+07 ; -7.607297e+05 + i 2.522051e+05 ; -1.931539e+06 + i 4.971576e+06 ; 3.347822e+07 + i -3.047123e+07 ; 2.082388e+06 + i -1.366319e+06 ; -3.444466e+07 + i 2.193427e+07 ; -4.492446e+06 + i 2.954280e+06 ; -1.005994e+06 + i 9.981435e+05 ; -1.848452e+06 + i 3.314035e+06 ; -5.814601e+06 + i 4.329131e+06 ; -5.710193e+06 + i 3.174411e+06 ; -1.666983e+07 + i 1.873477e+07 ; -7.502821e+06 + i 3.680112e+06 ; -7.246613e+05 + i 6.748553e+05 ; -1.508481e+06 + i 4.772684e+06 ; -1.068243e+07 + i 6.381451e+06 ; -3.583103e+06 + i 1.686706e+06 ; -4.792255e+07 + i 3.735477e+07 ; -2.711282e+06 + i 5.465018e+06 ; 1.415450e+08 + i -1.097519e+08 ; -1.443935e+08 + i 6.672404e+07 ; -1.943787e+07 + i 2.468572e+07 ; 2.400143e+07 + i -2.728929e+07 ; 2.362992e+06 + i 2.380284e+07 ; -4.434828e+07 + i 2.700254e+07 ; 4.646571e+07 + i -2.918834e+07 ; 5.055804e+08 + i -4.074965e+08 ; -1.214126e+08 + i 1.034661e+08 ; 5.239602e+06 + i -7.268803e+06 ; -1.447084e+08 + i 6.771297e+07 ; 5.506291e+06 + i -3.977184e+06 ; -2.090705e+07 + i 1.475664e+07 ; -2.497055e+08 + i 1.894098e+08 ; 1.045874e+07 + i -8.163408e+06 ; -1.118300e+07 + i 8.199353e+06 ; 5.638359e+06 + i 2.867190e+07 ; 1.459284e+07 + i -5.368111e+06 ; -1.712229e+07 + i 4.834639e+06 ; -3.007993e+09 + i 1.191574e+09 ; 2.529876e+07 + i -1.532061e+07 ; -6.459065e+06 + i 4.025962e+06 ; -2.520774e+08 + i 1.905763e+08 ; 
-5.137495e+05 + i -2.393019e+06 ; 2.694812e+05 + i -4.927297e+05 ; 2.692526e+05 + i -4.927636e+05 ; -2.335802e+06 + i -1.434226e+06 ; 1.272958e+06 + i -2.376399e+06 ; 1.271081e+06 + i -2.377257e+06 ; 4.453522e+06 + i -8.440414e+06 ; -6.023613e+05 + i 3.701444e+05 ; 3.173937e+05 + i -6.435553e+05 ; 4.255555e+06 + i -1.146374e+07 ; -1.522109e+06 + i 4.489102e+05 ; 2.061848e+06 + i -3.865420e+06 ; 4.455708e+06 + i -8.439588e+06 ; 3.168172e+05 + i -6.435423e+05 ; -6.026546e+05 + i 3.698602e+05 ; 4.260587e+06 + i -1.146128e+07 ; 2.061542e+06 + i -3.865111e+06 ; -1.517356e+06 + i 4.495873e+05 ; 3.229600e+07 + i -1.769841e+07 ; -9.427083e+05 + i 2.929301e+05 ; -9.444170e+05 + i 2.925511e+05 ; 5.720145e+07 + i -3.625184e+07 ; -2.258171e+06 + i -5.350176e+04 ; -2.259339e+06 + i -5.278137e+04 ; 2.716525e+06 + i 2.321505e+07 ; 2.462055e+07 + i -2.753311e+07 ; 2.460848e+07 + i -2.753707e+07 ; 6.041476e+06 + i 2.830951e+07 ; -1.339062e+07 + i 8.051191e+06 ; -1.339205e+07 + i 8.051586e+06 ; -1.445230e+08 + i 6.626917e+07 ; 5.750332e+06 + i -7.030769e+06 ; 1.470791e+08 + i -1.109455e+08 ; -2.509622e+08 + i 1.898616e+08 ; -6.509243e+06 + i 4.064506e+06 ; -2.252726e+07 + i 1.501954e+07 ; -1.445251e+08 + i 6.627239e+07 ; 1.470720e+08 + i -1.109543e+08 ; 5.803066e+06 + i -7.022719e+06 ; -2.509294e+08 + i 1.898673e+08 ; -2.252719e+07 + i 1.501840e+07 ; -6.504866e+06 + i 4.061239e+06 ; 5.075293e+08 + i -4.088453e+08 ; 4.850644e+07 + i -2.957636e+07 ; 4.853230e+07 + i -2.956703e+07 ; -3.007869e+09 + i 1.192036e+09 ; -1.762826e+07 + i 4.789810e+06 ; -1.761811e+07 + i 4.785098e+06 ; 
8.372552e+06 + i -5.708212e+06 ; -1.017700e+06 + i 1.300506e+06 ; -1.935455e+05 + i -3.152229e+04 ; 1.311417e+07 + i -9.807422e+06 ; -1.925421e+06 + i 3.193993e+06 ; 3.867684e+05 + i -7.891296e+05 ; -1.520113e+06 + i 8.862460e+04 ; -1.017292e+06 + i 1.417920e+06 ; -4.303193e+05 + i 3.991979e+05 ; -2.512340e+06 + i 5.762955e+05 ; -1.794051e+06 + i 3.325820e+06 ; -1.786401e+06 + i 1.243044e+06 ; 1.482667e+07 + i -7.715324e+06 ; -1.425465e+06 + i 1.502856e+06 ; -4.746180e+05 + i 1.918075e+05 ; 2.517391e+07 + i -1.522772e+07 ; -2.393525e+06 + i 4.938405e+06 ; -9.765180e+05 + i 3.783451e+05 ; -1.034446e+06 + i -3.617225e+05 ; -1.432001e+06 + i 1.712226e+06 ; -3.389456e+05 + i 3.117894e+05 ; -1.720492e+06 + i -1.129687e+05 ; -1.450923e+06 + i 4.793964e+06 ; -1.279651e+06 + i 8.221398e+05 ; 2.662018e+07 + i -2.863166e+07 ; 2.403497e+06 + i 2.394331e+07 ; 2.471981e+07 + i -2.771150e+07 ; 6.876549e+06 + i -7.595927e+06 ; -1.465755e+08 + i 6.804508e+07 ; 1.472014e+08 + i -1.111377e+08 ; -1.312687e+07 + i 7.693524e+06 ; 5.784490e+06 + i 2.871961e+07 ; -1.329190e+07 + i 8.000915e+06 ; -6.278559e+06 + i 3.796258e+06 ; -2.523283e+08 + i 1.908577e+08 ; -2.251742e+07 + i 1.500549e+07 ; 1.501935e+08 + i -1.122351e+08 ; -1.463961e+08 + i 6.775515e+07 ; 5.847151e+06 + i -7.127977e+06 ; 5.041807e+07 + i -3.027824e+07 ; 5.018950e+08 + i -4.062741e+08 ; 4.857357e+07 + i -2.966778e+07 ; -2.229124e+07 + i 1.471038e+07 ; -2.518829e+08 + i 1.906225e+08 ; -6.396545e+06 + i 4.012353e+06 ; -1.726388e+07 + i 4.476492e+06 ; -3.011013e+09 + i 1.193245e+09 ; -1.759457e+07 + i 4.765858e+06 ; 
