-3.982047e+10 + i 4.031379e+10 ; 5.108232e+08 + i -8.326014e+08 ; 5.104367e+08 + i -8.318363e+08 ; 1.158600e+10 + i -2.861108e+10 ; 2.568394e+09 + i 1.094336e+09 ; 2.567100e+09 + i 1.093409e+09 ; -2.615434e+09 + i 1.367648e+10 ; -1.320522e+09 + i -3.482465e+08 ; 1.084436e+08 + i -7.757446e+08 ; -7.774681e+09 + i -5.147378e+09 ; 3.315113e+09 + i -8.436868e+09 ; 1.397168e+09 + i -1.637343e+08 ; -2.615331e+09 + i 1.367782e+10 ; 1.088297e+08 + i -7.780351e+08 ; -1.319594e+09 + i -3.486008e+08 ; -7.774421e+09 + i -5.145835e+09 ; 1.401112e+09 + i -1.657655e+08 ; 3.315551e+09 + i -8.436729e+09 ; 2.002724e+09 + i 4.652529e+09 ; -8.509476e+08 + i -2.382012e+07 ; -8.494844e+08 + i -2.298026e+07 ; -5.832625e+09 + i 1.786807e+09 ; 1.772421e+08 + i -3.402966e+09 ; 1.777890e+08 + i -3.402412e+09 ; 1.896773e+09 + i -1.122091e+09 ; 1.964173e+08 + i -1.671260e+08 ; 1.961445e+08 + i -1.674202e+08 ; 8.885157e+08 + i -2.215868e+08 ; 2.010658e+07 + i -1.300551e+08 ; 1.998852e+07 + i -1.300249e+08 ; 9.163928e+08 + i -1.545872e+09 ; -9.654624e+07 + i -7.579107e+08 ; 1.267933e+08 + i -1.878386e+08 ; 8.885707e+08 + i -5.049364e+08 ; -1.260317e+08 + i -2.462556e+08 ; -4.182015e+05 + i -1.260180e+08 ; 9.167274e+08 + i -1.545607e+09 ; 1.273707e+08 + i -1.882931e+08 ; -9.637746e+07 + i -7.580165e+08 ; 8.884047e+08 + i -5.048959e+08 ; -3.002292e+05 + i -1.263716e+08 ; -1.259527e+08 + i -2.463703e+08 ; 2.423706e+08 + i -1.528542e+09 ; -1.400877e+08 + i -5.761869e+08 ; -1.399943e+08 + i -5.762786e+08 ; 7.876083e+08 + i -7.295492e+08 ; -1.238134e+08 + i -2.072019e+08 ; -1.237159e+08 + i -2.072074e+08 ; 
-1.445437e+08 + i 7.471601e+06 ; 5.546334e+07 + i 5.523334e+06 ; -1.263535e+07 + i 3.305333e+08 ; -1.070038e+08 + i 7.875860e+07 ; 1.188184e+08 + i 2.438575e+07 ; -5.838870e+06 + i 6.200888e+08 ; -1.496413e+08 + i -2.326109e+07 ; 5.136166e+07 + i 3.151354e+07 ; -1.850918e+07 + i 3.463669e+08 ; -1.623002e+08 + i 5.452611e+07 ; 6.713173e+07 + i 9.335468e+07 ; -3.644340e+06 + i 7.451310e+08 ; -3.319794e+08 + i -1.791616e+06 ; 5.060306e+07 + i 5.349697e+07 ; -2.302244e+07 + i 4.118769e+08 ; -5.130693e+08 + i 3.534020e+08 ; 6.565203e+07 + i 1.882777e+08 ; -3.689012e+08 + i 8.032756e+08 ; -3.512198e+08 + i -5.337174e+07 ; 3.161855e+07 + i 2.985361e+07 ; -6.067089e+07 + i 4.337225e+08 ; -7.187513e+08 + i 3.490146e+08 ; 8.163841e+06 + i 7.564387e+07 ; -5.423834e+08 + i 7.909017e+08 ; 7.178194e+08 + i -3.036132e+07 ; 7.482318e+08 + i -2.576278e+05 ; 1.975392e+09 + i 4.565060e+09 ; -1.064296e+08 + i 6.635920e+08 ; 1.166370e+09 + i 2.853058e+08 ; -2.665841e+09 + i 1.357044e+10 ; 1.136122e+09 + i 2.504483e+08 ; -9.496323e+07 + i 6.923193e+08 ; -2.644165e+09 + i 1.358541e+10 ; -4.546971e+08 + i 7.185325e+08 ; -4.496968e+08 + i 7.480203e+08 ; -3.985191e+10 + i 4.018501e+10 ; -1.465353e+08 + i 2.931639e+09 ; -1.106238e+08 + i 2.988642e+09 ; -5.986895e+09 + i 1.713608e+09 ; -1.281686e+09 + i 6.287115e+07 ; -2.812170e+09 + i 7.533373e+09 ; -7.945238e+09 + i -5.276378e+09 ; -2.835305e+09 + i 7.472263e+09 ; -1.282240e+09 + i 1.006327e+08 ; -7.918685e+09 + i -5.246014e+09 ; -2.310916e+09 + i -9.681900e+08 ; -2.320210e+09 + i -9.315961e+08 ; 1.142703e+10 + i -2.877201e+10 ; 
9.144260e+08 + i -1.538501e+09 ; -2.903535e+08 + i 2.308139e+08 ; -1.764378e+08 + i -6.697144e+08 ; -2.978223e+08 + i -2.675845e+09 ; -6.842822e+08 + i -3.722240e+07 ; 7.781710e+08 + i -2.402809e+09 ; 2.401982e+08 + i -1.523337e+09 ; 1.614624e+08 + i 5.049600e+08 ; -1.662454e+08 + i -4.772555e+08 ; -7.817003e+08 + i -1.319228e+09 ; -2.795855e+08 + i 1.527305e+09 ; 2.273201e+08 + i -1.434685e+09 ; 1.898881e+09 + i -1.118067e+09 ; -4.008893e+08 + i 2.052184e+08 ; 3.705773e+08 + i -2.122188e+08 ; 1.950297e+09 + i -5.408187e+09 ; -9.153337e+08 + i -2.856254e+08 ; 8.375875e+08 + i 2.154922e+08 ; 9.167285e+08 + i -1.544812e+09 ; 1.705325e+08 + i 7.080889e+08 ; 2.635281e+08 + i -2.317220e+08 ; -2.922738e+08 + i -2.673842e+09 ; -8.936058e+08 + i 2.548880e+09 ; 6.275127e+08 + i 7.728388e+06 ; -2.269672e+09 + i 1.358047e+10 ; 1.461327e+08 + i -6.815453e+08 ; 1.214490e+09 + i 4.514825e+08 ; -7.746715e+09 + i -5.119611e+09 ; 1.448399e+09 + i -8.074196e+07 ; -2.834492e+09 + i 7.646115e+09 ; 2.271481e+09 + i 4.487884e+09 ; -7.300113e+08 + i 9.084757e+06 ; 7.150141e+08 + i -1.320335e+07 ; -5.813418e+09 + i 1.787230e+09 ; 2.470152e+08 + i -3.282882e+09 ; -1.480317e+08 + i 3.031468e+09 ; -3.937589e+10 + i 4.031237e+10 ; 5.303141e+08 + i -7.293189e+08 ; -5.396602e+08 + i 7.213302e+08 ; 1.156602e+10 + i -2.859899e+10 ; 2.553099e+09 + i 1.121575e+09 ; -2.513101e+09 + i -1.174492e+09 ; -2.272805e+09 + i 1.357542e+10 ; -1.193119e+09 + i -3.114796e+08 ; -1.291692e+08 + i 6.626152e+08 ; -7.771234e+09 + i -5.142470e+09 ; 3.255769e+09 + i -8.176791e+09 ; -1.383059e+09 + i 8.883370e+07 ; 
9.270545e+07 + i 3.806375e+08 ; -6.764775e+05 + i 6.190565e+08 ; 1.211464e+08 + i 3.100345e+05 ; 4.683232e+08 + i 1.668670e+08 ; -2.227322e+08 + i 1.759677e+09 ; 2.840248e+08 + i 6.376453e+07 ; -6.478377e+08 + i 5.455528e+08 ; -3.667734e+08 + i 8.008981e+08 ; 1.080839e+08 + i 2.019828e+08 ; -3.087401e+08 + i 1.644193e+09 ; -1.394604e+09 + i 8.263462e+08 ; -8.343166e+07 + i 8.653147e+08 ; 1.251694e+07 + i 4.050849e+08 ; 1.744046e+06 + i 7.464780e+08 ; 7.237815e+07 + i 1.020758e+08 ; 5.423027e+08 + i 2.731611e+08 ; -7.640399e+08 + i 2.603832e+09 ; 2.996768e+07 + i 2.039210e+08 ; -9.848943e+08 + i 4.332307e+08 ; -5.407186e+08 + i 7.900059e+08 ; -2.719443e+07 + i 9.634478e+07 ; -1.000086e+09 + i 2.665196e+09 ; -1.740256e+09 + i 2.839921e+08 ; -2.089475e+08 + i 6.691985e+07 ; 5.204965e+06 + i -7.227615e+08 ; -2.582338e+09 + i 1.361449e+10 ; 1.365361e+09 + i 4.809272e+08 ; -8.853174e+08 + i -4.420885e+07 ; 1.973876e+09 + i 4.555989e+09 ; 8.075691e+08 + i 9.769502e+06 ; 1.213740e+09 + i -1.709654e+08 ; -7.878480e+09 + i -5.130367e+09 ; -2.779258e+09 + i 7.640677e+09 ; 1.537932e+08 + i -3.352342e+09 ; -5.965788e+09 + i 1.722658e+09 ; -1.139111e+08 + i 3.034355e+09 ; 3.625831e+08 + i -8.027461e+08 ; -3.976699e+10 + i 4.023823e+10 ; -5.087241e+08 + i 8.182774e+08 ; -1.389904e+09 + i -3.387010e+08 ; -2.651127e+09 + i 1.357632e+10 ; -9.582067e+07 + i 7.374772e+08 ; 2.328208e+09 + i 9.624710e+08 ; 1.144731e+10 + i -2.864869e+10 ; -2.510610e+09 + i -1.133886e+09 ; 3.178701e+09 + i -8.214258e+09 ; -7.920277e+09 + i -5.233353e+09 ; -1.337733e+09 + i 1.197935e+08 ; 
9.869658e+08 + i -4.169523e+08 ; -2.898257e+07 + i 9.729150e+07 ; -5.382118e+08 + i 7.838255e+08 ; 1.002845e+09 + i -2.646744e+09 ; -2.303612e+08 + i 5.527635e+07 ; -1.743442e+09 + i 2.718543e+08 ; 6.542166e+08 + i -5.355744e+08 ; 1.128571e+08 + i 2.153596e+08 ; -3.656854e+08 + i 7.966672e+08 ; 3.143937e+08 + i -1.629263e+09 ; -1.104008e+08 + i 9.228992e+08 ; -1.397604e+09 + i 8.223746e+08 ; -1.145556e+07 + i -3.924380e+08 ; 7.393764e+07 + i 1.091237e+08 ; -3.297702e+06 + i 7.441325e+08 ; -5.265552e+08 + i -2.356533e+08 ; 2.585848e+07 + i 2.178537e+08 ; -7.695530e+08 + i 2.606283e+09 ; -8.911423e+07 + i -3.724174e+08 ; 1.285463e+08 + i 2.399287e+06 ; -6.380625e+06 + i 6.176855e+08 ; -4.572958e+08 + i -1.489066e+08 ; 3.010606e+08 + i 7.498130e+07 ; -2.265678e+08 + i 1.759955e+09 ; -2.442455e+09 + i -1.141532e+09 ; -2.652213e+09 + i -1.255623e+09 ; 1.144488e+10 + i -2.865833e+10 ; -3.152077e+09 + i 8.215331e+09 ; -1.419221e+09 + i 1.403640e+08 ; -7.898107e+09 + i -5.207136e+09 ; -1.244161e+09 + i 1.960947e+08 ; -3.184917e+09 + i 8.169286e+09 ; -7.877863e+09 + i -5.125612e+09 ; -1.316396e+08 + i 3.349237e+09 ; -1.869633e+08 + i 3.285332e+09 ; -5.948544e+09 + i 1.729605e+09 ; -4.038569e+08 + i 8.119287e+08 ; -5.185181e+08 + i 8.432931e+08 ; -3.976781e+10 + i 4.024214e+10 ; 1.487358e+09 + i 5.194575e+08 ; -1.161947e+08 + i 7.712504e+08 ; -2.625828e+09 + i 1.355967e+10 ; -1.362641e+07 + i 7.418493e+08 ; 1.443738e+09 + i 5.277963e+08 ; -2.572137e+09 + i 1.359562e+10 ; 9.308539e+08 + i 5.814664e+07 ; 8.687628e+08 + i 2.709006e+07 ; 1.981048e+09 + i 4.526980e+09 ; 
8.878157e+08 + i -5.039948e+08 ; -2.312207e+06 + i 1.177792e+08 ; -1.137506e+08 + i -2.052947e+08 ; 9.249653e+08 + i -1.546604e+09 ; -1.255314e+08 + i 1.755683e+08 ; -8.699645e+07 + i -6.494083e+08 ; 7.877617e+08 + i -7.298639e+08 ; 1.155788e+08 + i 1.956714e+08 ; -1.079610e+08 + i -1.718304e+08 ; 2.480204e+08 + i -1.530578e+09 ; 1.298151e+08 + i 5.454970e+08 ; -1.184136e+08 + i -4.944620e+08 ; 8.884860e+08 + i -2.201402e+08 ; -2.025722e+07 + i 1.213478e+08 ; 1.591180e+07 + i -1.067147e+08 ; 1.900345e+09 + i -1.116966e+09 ; -1.876759e+08 + i 1.562072e+08 ; 1.757808e+08 + i -1.288670e+08 ; 8.893442e+08 + i -5.056460e+08 ; 1.186443e+08 + i 2.322402e+08 ; 1.705198e+06 + i -1.028582e+08 ; 9.205318e+08 + i -1.543952e+09 ; 9.127085e+07 + i 7.168188e+08 ; 1.224895e+08 + i -1.545260e+08 ; -7.723801e+09 + i -5.104877e+09 ; -1.357942e+09 + i 1.419228e+08 ; 2.800520e+09 + i -7.539183e+09 ; -2.616340e+09 + i 1.367257e+10 ; -1.046765e+08 + i 7.430340e+08 ; -1.474553e+09 + i -5.506987e+08 ; -5.795102e+09 + i 1.793283e+09 ; -1.768281e+08 + i 3.216614e+09 ; 1.037523e+08 + i -2.986969e+09 ; 2.006727e+09 + i 4.645432e+09 ; 8.089365e+08 + i 9.401758e+06 ; -8.294789e+08 + i -2.909325e+06 ; 1.156365e+10 + i -2.859459e+10 ; -2.476298e+09 + i -1.031710e+09 ; 2.599137e+09 + i 1.187900e+09 ; -3.982321e+10 + i 4.031064e+10 ; -4.808620e+08 + i 7.950985e+08 ; 4.369316e+08 + i -7.554086e+08 ; -7.768599e+09 + i -5.124318e+09 ; -3.116864e+09 + i 7.990877e+09 ; 1.343376e+09 + i -1.406078e+08 ; -2.619750e+09 + i 1.367829e+10 ; 1.302816e+09 + i 3.210819e+08 ; 8.219184e+07 + i -7.190017e+08 ; 
-1.439260e+08 + i 8.572900e+06 ; -1.256478e+07 + i 3.301797e+08 ; 5.573877e+07 + i 5.104247e+06 ; -1.052987e+08 + i 8.040506e+07 ; -5.614057e+06 + i 6.189211e+08 ; 1.201677e+08 + i 2.141898e+07 ; -3.308966e+08 + i -1.213797e+06 ; -2.248331e+07 + i 4.114641e+08 ; 5.066585e+07 + i 5.390613e+07 ; -5.126918e+08 + i 3.540858e+08 ; -3.670481e+08 + i 8.025565e+08 ; 6.488161e+07 + i 1.877261e+08 ; -1.494553e+08 + i -2.171380e+07 ; -1.837389e+07 + i 3.464342e+08 ; 5.209778e+07 + i 3.140034e+07 ; -1.600949e+08 + i 5.721550e+07 ; -3.627119e+06 + i 7.448875e+08 ; 6.904178e+07 + i 9.437334e+07 ; -3.505813e+08 + i -5.221106e+07 ; -6.010169e+07 + i 4.339200e+08 ; 3.219504e+07 + i 3.025914e+07 ; -7.164004e+08 + i 3.502584e+08 ; -5.411383e+08 + i 7.914144e+08 ; 7.570032e+06 + i 7.907728e+07 ; 7.282586e+08 + i -3.411037e+07 ; 1.976394e+09 + i 4.559288e+09 ; 8.157368e+08 + i -1.849385e+07 ; -1.062541e+08 + i 6.728737e+08 ; -2.660403e+09 + i 1.356425e+10 ; 1.323231e+09 + i 4.476514e+08 ; -1.843604e+08 + i 2.939987e+09 ; -5.964009e+09 + i 1.717094e+09 ; -1.302569e+08 + i 2.958784e+09 ; -1.318615e+09 + i 7.815142e+07 ; -7.915647e+09 + i -5.246753e+09 ; -2.774537e+09 + i 7.492093e+09 ; 1.195434e+09 + i 2.579218e+08 ; -2.649467e+09 + i 1.358594e+10 ; -8.944895e+07 + i 7.340622e+08 ; -4.600160e+08 + i 7.249327e+08 ; -3.985465e+10 + i 4.018042e+10 ; -5.044586e+08 + i 7.952672e+08 ; -2.820066e+09 + i 7.446611e+09 ; -7.912857e+09 + i -5.237245e+09 ; -1.372040e+09 + i 1.304056e+08 ; -2.338868e+09 + i -9.954403e+08 ; 1.141751e+10 + i -2.876450e+10 ; -2.477537e+09 + i -1.098401e+09 ; 
3.485625e+08 + i 4.138157e+07 ; 3.383030e+07 + i 3.454703e+07 ; -6.154542e+07 + i 4.356099e+08 ; 7.078709e+08 + i -3.722115e+08 ; 1.079647e+07 + i 8.693065e+07 ; -5.412555e+08 + i 7.975637e+08 ; 3.284381e+08 + i -9.244624e+06 ; 5.359781e+07 + i 5.987345e+07 ; -2.302091e+07 + i 4.138787e+08 ; 5.008800e+08 + i -3.694159e+08 ; 6.949953e+07 + i 2.052224e+08 ; -3.653442e+08 + i 8.081039e+08 ; 1.510835e+08 + i 1.273777e+07 ; 5.556693e+07 + i 3.445795e+07 ; -1.958898e+07 + i 3.488691e+08 ; 1.561054e+08 + i -8.008420e+07 ; 7.256466e+07 + i 1.004040e+08 ; -1.362448e+06 + i 7.467290e+08 ; 1.446868e+08 + i -1.813598e+07 ; 6.013423e+07 + i 6.495116e+06 ; -1.342097e+07 + i 3.328926e+08 ; 9.810582e+07 + i -9.714309e+07 ; 1.291071e+08 + i 2.495916e+07 ; -4.075337e+06 + i 6.193520e+08 ; 2.838726e+09 + i -7.458673e+09 ; -1.414137e+09 + i 1.631610e+08 ; -7.871525e+09 + i -5.203347e+09 ; 2.600158e+09 + i 1.248004e+09 ; -2.610280e+09 + i -1.210885e+09 ; 1.141067e+10 + i -2.876189e+10 ; 1.531841e+08 + i -2.942098e+09 ; -1.848729e+08 + i 3.206358e+09 ; -5.938596e+09 + i 1.723878e+09 ; 1.344191e+09 + i -1.234233e+08 ; -3.131492e+09 + i 7.976868e+09 ; -7.913976e+09 + i -5.236681e+09 ; -1.434457e+09 + i -5.196829e+08 ; -1.095793e+08 + i 7.542098e+08 ; -2.623778e+09 + i 1.355615e+10 ; 4.525886e+08 + i -7.218516e+08 ; -5.162044e+08 + i 8.146337e+08 ; -3.984531e+10 + i 4.019078e+10 ; -7.967905e+08 + i 3.131722e+07 ; 8.695392e+08 + i -1.610196e+06 ; 1.979210e+09 + i 4.524221e+09 ; 1.084280e+08 + i -6.786319e+08 ; 1.398846e+09 + i 4.889107e+08 ; -2.644980e+09 + i 1.354453e+10 ; 
2.379998e+08 + i -1.520128e+09 ; -1.634895e+08 + i -4.663298e+08 ; -1.636825e+08 + i -4.664413e+08 ; -7.870811e+08 + i -1.319051e+09 ; 2.276570e+08 + i -1.402202e+09 ; 2.275545e+08 + i -1.402370e+09 ; 9.131887e+08 + i -1.541179e+09 ; 2.571858e+08 + i -2.251795e+08 ; -1.741497e+08 + i -6.538158e+08 ; -2.981521e+08 + i -2.677455e+09 ; 6.153951e+08 + i 1.853831e+07 ; 7.642005e+08 + i -2.348556e+09 ; 9.126292e+08 + i -1.541345e+09 ; -1.739259e+08 + i -6.538453e+08 ; 2.574937e+08 + i -2.258542e+08 ; -2.991460e+08 + i -2.677598e+09 ; 7.644811e+08 + i -2.348430e+09 ; 6.161761e+08 + i 1.784599e+07 ; 1.897251e+09 + i -1.122276e+09 ; 3.603986e+08 + i -2.047569e+08 ; 3.605798e+08 + i -2.047297e+08 ; 1.951316e+09 + i -5.412540e+09 ; 8.116549e+08 + i 2.221552e+08 ; 8.117659e+08 + i 2.224457e+08 ; 2.272032e+09 + i 4.493251e+09 ; 7.289047e+08 + i -3.213398e+07 ; 7.295089e+08 + i -3.198164e+07 ; -5.797820e+09 + i 1.785560e+09 ; -1.858624e+08 + i 2.983969e+09 ; -1.854077e+08 + i 2.984496e+09 ; -2.277493e+09 + i 1.358115e+10 ; -1.252925e+08 + i 6.496902e+08 ; 1.220824e+09 + i 4.136985e+08 ; -7.746494e+09 + i -5.116005e+09 ; -1.414957e+09 + i 9.598877e+07 ; -2.794846e+09 + i 7.480688e+09 ; -2.277448e+09 + i 1.358213e+10 ; 1.220449e+09 + i 4.137759e+08 ; -1.255806e+08 + i 6.514161e+08 ; -7.746396e+09 + i -5.114806e+09 ; -2.795673e+09 + i 7.480445e+09 ; -1.417409e+09 + i 9.818408e+07 ; -3.938716e+10 + i 4.030546e+10 ; -5.253594e+08 + i 7.054527e+08 ; -5.260439e+08 + i 7.057903e+08 ; 1.155719e+10 + i -2.858270e+10 ; -2.470237e+09 + i -1.145733e+09 ; -2.470836e+09 + i -1.146746e+09 ; 
6.406491e+08 + i -5.232049e+08 ; -3.659232e+08 + i 7.959226e+08 ; -1.075654e+08 + i -1.984004e+08 ; 3.108043e+08 + i -1.596769e+09 ; -1.396683e+09 + i 8.222873e+08 ; 8.082170e+07 + i -8.499775e+08 ; -8.377722e+07 + i -3.648766e+08 ; -5.773554e+06 + i 6.178050e+08 ; -1.187494e+08 + i 1.899592e+06 ; -4.423904e+08 + i -1.534064e+08 ; -2.265096e+08 + i 1.760460e+09 ; -2.848939e+08 + i -5.641248e+07 ; 9.680050e+08 + i -4.098472e+08 ; -5.387771e+08 + i 7.845749e+08 ; 2.499790e+07 + i -9.680266e+07 ; 9.889075e+08 + i -2.587917e+09 ; -1.746135e+09 + i 2.758360e+08 ; 2.081115e+08 + i -6.981017e+07 ; -8.081241e+06 + i -3.860954e+08 ; -2.416267e+06 + i 7.442057e+08 ; -7.049402e+07 + i -9.963425e+07 ; -5.091172e+08 + i -2.407887e+08 ; -7.679666e+08 + i 2.606084e+09 ; -2.894030e+07 + i -1.957870e+08 ; -1.239503e+09 + i 1.877584e+08 ; -7.854913e+09 + i -5.120520e+09 ; 2.799824e+09 + i -7.523562e+09 ; -1.523441e+08 + i 3.271507e+09 ; -5.940401e+09 + i 1.723501e+09 ; 1.374080e+08 + i -3.009101e+09 ; -1.030969e+07 + i 7.188016e+08 ; -2.579042e+09 + i 1.359987e+10 ; -1.506090e+09 + i -5.358464e+08 ; 9.174443e+08 + i 3.278053e+07 ; 1.978219e+09 + i 4.531094e+09 ; -8.302030e+08 + i 1.066920e+05 ; -2.389705e+09 + i -1.080402e+09 ; 1.143641e+10 + i -2.863873e+10 ; 2.611363e+09 + i 1.187822e+09 ; -3.099266e+09 + i 8.014351e+09 ; -7.891829e+09 + i -5.198680e+09 ; 1.357472e+09 + i -1.344646e+08 ; -3.892059e+08 + i 7.900454e+08 ; -3.976094e+10 + i 4.024395e+10 ; 4.386884e+08 + i -7.553426e+08 ; 1.465142e+09 + i 4.669702e+08 ; -2.622493e+09 + i 1.356161e+10 ; 9.459402e+07 + i -6.980184e+08 ; 
6.407047e+08 + i -5.235159e+08 ; -1.075477e+08 + i -1.984231e+08 ; -3.659560e+08 + i 7.960733e+08 ; 3.108916e+08 + i -1.596691e+09 ; 8.078402e+07 + i -8.499142e+08 ; -1.396267e+09 + i 8.226584e+08 ; 9.683208e+08 + i -4.098280e+08 ; 2.510487e+07 + i -9.675295e+07 ; -5.385215e+08 + i 7.838510e+08 ; 9.890122e+08 + i -2.587845e+09 ; 2.082992e+08 + i -6.962586e+07 ; -1.744702e+09 + i 2.746454e+08 ; -8.374483e+07 + i -3.651237e+08 ; -1.186568e+08 + i 1.870521e+06 ; -6.689025e+06 + i 6.177599e+08 ; -4.424151e+08 + i -1.534493e+08 ; -2.847386e+08 + i -5.624180e+07 ; -2.265405e+08 + i 1.759524e+09 ; -7.617887e+06 + i -3.860260e+08 ; -7.048490e+07 + i -9.966527e+07 ; -3.053380e+06 + i 7.439408e+08 ; -5.089527e+08 + i -2.404508e+08 ; -2.896156e+07 + i -1.957987e+08 ; -7.682340e+08 + i 2.606374e+09 ; -1.239575e+09 + i 1.890130e+08 ; 2.799870e+09 + i -7.523355e+09 ; -7.854566e+09 + i -5.121045e+09 ; -1.521110e+08 + i 3.271501e+09 ; 1.377180e+08 + i -3.008897e+09 ; -5.940703e+09 + i 1.721398e+09 ; -2.390550e+09 + i -1.080746e+09 ; 2.611935e+09 + i 1.188528e+09 ; 1.144167e+10 + i -2.864332e+10 ; -3.099410e+09 + i 8.014467e+09 ; 1.358078e+09 + i -1.342099e+08 ; -7.889259e+09 + i -5.203158e+09 ; -1.028644e+07 + i 7.197527e+08 ; -1.505419e+09 + i -5.346606e+08 ; -2.569234e+09 + i 1.359211e+10 ; 9.182557e+08 + i 3.353149e+07 ; -8.292271e+08 + i 8.469044e+05 ; 1.979497e+09 + i 4.522394e+09 ; -3.904893e+08 + i 7.903412e+08 ; 4.387800e+08 + i -7.555660e+08 ; -3.976127e+10 + i 4.024602e+10 ; 1.465058e+09 + i 4.671497e+08 ; 9.489020e+07 + i -6.981287e+08 ; -2.620863e+09 + i 1.355940e+10 ; 
7.882521e+08 + i -7.299136e+08 ; -1.018419e+08 + i -1.701963e+08 ; -1.019436e+08 + i -1.701909e+08 ; 2.523535e+08 + i -1.533296e+09 ; -1.081353e+08 + i -4.902778e+08 ; -1.082562e+08 + i -4.903973e+08 ; 8.902863e+08 + i -5.054075e+08 ; 5.282120e+06 + i -1.009988e+08 ; -1.071508e+08 + i -2.028944e+08 ; 9.276980e+08 + i -1.545140e+09 ; 1.286554e+08 + i -1.514509e+08 ; -7.738191e+07 + i -6.412711e+08 ; 8.902095e+08 + i -5.057058e+08 ; -1.070949e+08 + i -2.029576e+08 ; 5.254059e+06 + i -1.012781e+08 ; 9.280437e+08 + i -1.545304e+09 ; -7.727477e+07 + i -6.412666e+08 ; 1.289000e+08 + i -1.519032e+08 ; 8.914186e+08 + i -2.213210e+08 ; 1.951143e+07 + i -1.045755e+08 ; 1.954850e+07 + i -1.045805e+08 ; 1.903853e+09 + i -1.113995e+09 ; 1.795559e+08 + i -1.268461e+08 ; 1.796449e+08 + i -1.266040e+08 ; -5.774416e+09 + i 1.788652e+09 ; 1.327543e+08 + i -2.959140e+09 ; 1.323726e+08 + i -2.959705e+09 ; 2.003441e+09 + i 4.645145e+09 ; -8.412383e+08 + i 4.279755e+07 ; -8.418550e+08 + i 4.250807e+07 ; -7.723546e+09 + i -5.095163e+09 ; 1.367601e+09 + i -1.808920e+08 ; 2.777580e+09 + i -7.381107e+09 ; -2.614771e+09 + i 1.367293e+10 ; 9.237493e+07 + i -6.917099e+08 ; -1.465616e+09 + i -4.852340e+08 ; -7.722661e+09 + i -5.093856e+09 ; 2.778266e+09 + i -7.380868e+09 ; 1.370234e+09 + i -1.828639e+08 ; -2.613642e+09 + i 1.367397e+10 ; -1.465199e+09 + i -4.852142e+08 ; 9.278948e+07 + i -6.934359e+08 ; 1.154776e+10 + i -2.856755e+10 ; 2.549468e+09 + i 1.135892e+09 ; 2.549941e+09 + i 1.137063e+09 ; -3.982096e+10 + i 4.031026e+10 ; 4.410052e+08 + i -7.314012e+08 ; 4.417067e+08 + i -7.315226e+08 ; 
3.198834e+08 + i -4.725120e+06 ; -2.260926e+07 + i 4.138202e+08 ; -5.077704e+07 + i -5.195036e+07 ; 4.925084e+08 + i -3.552821e+08 ; -3.644459e+08 + i 8.075343e+08 ; -6.516106e+07 + i -1.838981e+08 ; 1.390568e+08 + i -1.555138e+07 ; -1.293473e+07 + i 3.328135e+08 ; -5.509511e+07 + i -3.918273e+06 ; 9.209607e+07 + i -8.960053e+07 ; -3.131982e+06 + i 6.198259e+08 ; -1.178032e+08 + i -1.867062e+07 ; 3.405713e+08 + i 4.518649e+07 ; -6.094240e+07 + i 4.362542e+08 ; -3.303956e+07 + i -2.937137e+07 ; 6.952415e+08 + i -3.558075e+08 ; -5.400208e+08 + i 7.986648e+08 ; -1.073584e+07 + i -7.604984e+07 ; 1.461747e+08 + i 1.484202e+07 ; -1.902377e+07 + i 3.487919e+08 ; -5.169379e+07 + i -3.019252e+07 ; 1.504820e+08 + i -7.233442e+07 ; -4.595434e+05 + i 7.466040e+08 ; -6.687418e+07 + i -9.000224e+07 ; 1.918551e+08 + i -2.900777e+09 ; -5.932297e+09 + i 1.716441e+09 ; 1.548977e+08 + i -2.958871e+09 ; 1.382503e+09 + i -1.286989e+08 ; -7.890699e+09 + i -5.233111e+09 ; 2.807710e+09 + i -7.381029e+09 ; -8.041521e+08 + i 7.217095e+07 ; 1.975090e+09 + i 4.531179e+09 ; -8.384773e+08 + i 4.319719e+07 ; 1.097147e+08 + i -6.600750e+08 ; -2.649926e+09 + i 1.354965e+10 ; -1.454947e+09 + i -4.901685e+08 ; 2.830850e+09 + i -7.315351e+09 ; -7.865943e+09 + i -5.199772e+09 ; 1.384916e+09 + i -1.684286e+08 ; 2.550098e+09 + i 1.188020e+09 ; 1.140532e+10 + i -2.874286e+10 ; 2.565816e+09 + i 1.156862e+09 ; -1.416328e+09 + i -4.513532e+08 ; -2.620686e+09 + i 1.355807e+10 ; 9.870671e+07 + i -6.897486e+08 ; 4.562799e+08 + i -6.993150e+08 ; -3.983825e+10 + i 4.019118e+10 ; 4.527589e+08 + i -7.276663e+08 ; 
