2.439083e+07 + i 1.198262e+10 ; -1.352906e+09 + i -3.227570e+08 ; -1.333980e+09 + i -3.337475e+08 ; -5.119519e+09 + i -6.336211e+09 ; 1.039153e+09 + i -1.829578e+09 ; 1.065084e+09 + i -1.809226e+09 ; 1.939638e+09 + i 1.178721e+09 ; -4.137193e+08 + i 4.881614e+08 ; -1.114888e+09 + i 4.049268e+08 ; -2.557073e+09 + i 3.372512e+09 ; -2.687157e+09 + i -1.917892e+09 ; -5.407769e+08 + i -1.114785e+09 ; 1.939508e+09 + i 1.161682e+09 ; -1.124287e+09 + i 4.213060e+08 ; -4.331418e+08 + i 4.919129e+08 ; -2.549771e+09 + i 3.361594e+09 ; -5.832348e+08 + i -1.114825e+09 ; -2.694744e+09 + i -1.920323e+09 ; -4.818537e+08 + i 9.009928e+08 ; -4.609895e+08 + i 7.573792e+07 ; -4.785203e+08 + i 5.959168e+07 ; 1.816798e+09 + i 2.716609e+09 ; -1.234468e+09 + i -1.847464e+08 ; -1.247356e+09 + i -1.993127e+08 ; -2.517174e+08 + i -7.999917e+08 ; -2.971049e+08 + i -4.092104e+07 ; -2.912229e+08 + i -3.796630e+07 ; -1.559095e+08 + i -3.214365e+08 ; -1.833646e+08 + i 1.469951e+08 ; -1.796115e+08 + i 1.455815e+08 ; -8.400566e+08 + i -6.186876e+08 ; -3.834326e+08 + i 8.994555e+07 ; -3.094667e+08 + i 5.429139e+07 ; -4.119222e+08 + i -7.119262e+08 ; -1.951129e+08 + i 1.543406e+08 ; -1.599045e+08 + i 1.666661e+08 ; -8.356741e+08 + i -6.196140e+08 ; -3.162155e+08 + i 5.679675e+07 ; -3.872947e+08 + i 9.581796e+07 ; -4.032795e+08 + i -7.117190e+08 ; -1.617883e+08 + i 1.698854e+08 ; -1.950164e+08 + i 1.608125e+08 ; -9.973344e+08 + i -2.506855e+08 ; -3.365722e+08 + i 1.134384e+08 ; -3.414246e+08 + i 1.168800e+08 ; -8.944120e+08 + i -8.821662e+08 ; -1.908177e+08 + i 1.689460e+08 ; -1.952203e+08 + i 1.714766e+08 ; 
-1.781779e+07 + i 1.773306e+08 ; 3.162139e+07 + i -7.410540e+07 ; 3.943883e+08 + i 1.977507e+07 ; -1.402964e+07 + i 1.704794e+08 ; 8.729718e+07 + i -8.307606e+07 ; 4.604112e+08 + i 3.103005e+08 ; -5.395224e+07 + i 1.759720e+08 ; 3.606562e+07 + i -7.821318e+07 ; 3.550063e+08 + i 4.509828e+07 ; -1.856918e+07 + i 1.824319e+08 ; 9.355132e+07 + i -8.847935e+07 ; 3.867761e+08 + i 2.550792e+08 ; -1.235699e+08 + i 2.234001e+08 ; 3.040607e+07 + i -6.674138e+07 ; 3.832235e+08 + i 2.349892e+07 ; -2.443242e+07 + i 2.790255e+08 ; 9.097177e+07 + i -4.418944e+07 ; 5.370356e+08 + i 1.958247e+08 ; -1.654640e+08 + i 1.794082e+08 ; 2.447354e+07 + i -6.899541e+07 ; 3.915242e+08 + i 1.509998e+07 ; -8.284075e+07 + i 3.348792e+08 ; 7.558461e+07 + i -5.034290e+07 ; 5.349684e+08 + i 3.146993e+08 ; 1.619487e+08 + i 5.207798e+07 ; 2.214102e+08 + i 2.818195e+07 ; -6.249536e+08 + i 1.009788e+09 ; 5.801893e+08 + i -8.184253e+07 ; 2.791018e+08 + i -2.084513e+08 ; 1.834443e+09 + i 1.337814e+09 ; 2.161008e+08 + i -1.827699e+08 ; 6.438983e+08 + i -8.011351e+07 ; 1.889438e+09 + i 1.334002e+09 ; 6.090764e+08 + i 3.165131e+08 ; 6.843962e+08 + i 3.383726e+08 ; -1.773471e+08 + i 1.219465e+10 ; 4.661437e+08 + i 1.861385e+08 ; 5.483997e+08 + i 1.772109e+08 ; 1.663820e+09 + i 2.993473e+09 ; 2.590302e+07 + i 7.308286e+08 ; 1.253155e+09 + i 1.303894e+09 ; -2.705823e+09 + i 3.592906e+09 ; 1.214124e+09 + i 1.267773e+09 ; 9.162167e+07 + i 7.398016e+08 ; -2.644707e+09 + i 3.572655e+09 ; -7.645890e+08 + i 9.035143e+08 ; -7.179866e+08 + i 9.308790e+08 ; -5.173180e+09 + i -6.097995e+09 ; 
-8.259933e+08 + i -6.475682e+08 ; 3.539585e+08 + i 1.834300e+08 ; -1.902302e+08 + i -8.523234e+06 ; -9.871792e+08 + i -2.499421e+08 ; 5.073438e+07 + i 5.868649e+08 ; -3.672947e+08 + i -3.625226e+08 ; -9.836585e+08 + i -2.828996e+08 ; 2.685281e+08 + i 1.811022e+08 ; -1.322387e+08 + i -4.265403e+07 ; -8.834285e+08 + i -2.047166e+08 ; 3.929546e+08 + i 3.544939e+08 ; -2.263188e+08 + i -1.799508e+08 ; -2.460039e+08 + i -8.171255e+08 ; 3.423416e+08 + i 3.442525e+08 ; -2.475447e+08 + i -2.046051e+08 ; -1.177655e+09 + i -9.943578e+08 ; -2.645402e+08 + i 6.613099e+08 ; 1.782021e+08 + i -3.259422e+08 ; -8.420078e+08 + i -6.116715e+08 ; 3.045384e+08 + i 1.455967e+08 ; -2.256264e+08 + i -8.403276e+07 ; -9.889385e+08 + i -2.274391e+08 ; 6.253399e+08 + i 6.406695e+08 ; -1.894794e+07 + i -3.358586e+08 ; 1.805315e+09 + i 1.006076e+09 ; -9.522967e+08 + i 2.207967e+08 ; 3.778805e+08 + i -6.145544e+08 ; -2.522160e+09 + i 3.245403e+09 ; -3.375077e+08 + i -1.300567e+09 ; 9.503993e+08 + i 1.190376e+09 ; -6.469012e+08 + i 7.656061e+08 ; -3.327138e+08 + i -4.667173e+07 ; 2.255553e+08 + i 6.873552e+07 ; 1.751385e+09 + i 2.663923e+09 ; -1.007455e+09 + i -4.701096e+08 ; 4.887597e+08 + i 3.315463e+08 ; -6.976379e+07 + i 1.187180e+10 ; -1.091348e+09 + i -5.159715e+08 ; 9.799629e+08 + i 4.554731e+08 ; -4.978755e+09 + i -6.312514e+09 ; 1.164850e+09 + i -1.642676e+09 ; -8.610617e+08 + i 1.480065e+09 ; 1.938425e+09 + i 1.035527e+09 ; -3.180740e+08 + i 3.617125e+08 ; 6.175852e+08 + i -1.573651e+08 ; -2.556831e+09 + i 3.301349e+09 ; -2.007708e+09 + i -1.880240e+09 ; 1.498976e+08 + i 8.888191e+08 ; 
6.473139e+08 + i -3.282217e+08 ; 4.137224e+08 + i 2.806610e+08 ; 5.163465e+07 + i -1.017424e+08 ; 3.301518e+08 + i -3.496847e+08 ; 3.651153e+08 + i 4.514878e+08 ; 7.403863e+07 + i -1.310056e+08 ; 3.529653e+08 + i 3.379976e+08 ; 4.958970e+08 + i 2.183538e+08 ; 9.524084e+07 + i -1.020846e+08 ; 6.326100e+08 + i 9.120739e+07 ; 4.610733e+08 + i 7.754412e+08 ; 2.260219e+08 + i 1.610824e+07 ; 6.339395e+08 + i -1.324287e+08 ; 3.680647e+08 + i 2.146274e+08 ; 7.913065e+07 + i -1.387067e+08 ; 3.987339e+08 + i -3.843525e+08 ; 5.117741e+08 + i 4.964874e+08 ; 1.878305e+08 + i -1.035958e+08 ; 3.203414e+07 + i 5.187606e+08 ; 4.986771e+08 + i 3.200003e+08 ; 1.090136e+08 + i -5.805043e+07 ; 8.506613e+08 + i 5.194047e+08 ; 7.001549e+07 + i 8.278960e+08 ; 1.045195e+08 + i 7.658719e+06 ; -9.098949e+08 + i 4.414760e+08 ; 1.937049e+09 + i 1.388604e+09 ; 4.115835e+08 + i -7.788052e+08 ; -3.875295e+08 + i 1.814067e+08 ; -6.060503e+08 + i 1.021789e+09 ; 3.053265e+08 + i 3.876007e+06 ; -3.638998e+08 + i -9.421640e+08 ; -2.533586e+09 + i 3.485274e+09 ; 9.507819e+08 + i 1.151189e+09 ; -1.133423e+09 + i -2.320299e+08 ; 1.618785e+09 + i 2.892686e+09 ; 5.722907e+08 + i 2.730842e+08 ; -1.143279e+09 + i -9.634914e+07 ; -7.916724e+07 + i 1.224522e+10 ; 1.137593e+09 + i 3.453959e+08 ; -2.606869e+08 + i 6.454853e+08 ; 1.983486e+09 + i 1.381920e+09 ; 6.831517e+08 + i -2.314781e+08 ; 9.700568e+08 + i -1.367455e+09 ; -4.995904e+09 + i -6.123753e+09 ; -7.736342e+08 + i 1.484108e+09 ; -2.007982e+09 + i -1.908979e+09 ; -2.588651e+09 + i 3.479052e+09 ; 1.523638e+08 + i 7.922480e+08 ; 
2.997407e+07 + i -6.122234e+08 ; 1.278403e+08 + i -7.635712e+07 ; 4.805365e+08 + i 3.118121e+08 ; -7.555147e+08 + i -5.813128e+08 ; 1.390742e+08 + i 7.069346e+07 ; 6.141936e+07 + i 8.466793e+08 ; -3.235019e+08 + i -4.174128e+08 ; 1.312418e+08 + i -1.383809e+08 ; 4.901328e+08 + i 2.044193e+08 ; -5.590935e+08 + i -1.698239e+08 ; 3.483522e+08 + i 1.864469e+07 ; 4.693410e+08 + i 7.637421e+08 ; -5.783852e+08 + i 7.877795e+07 ; 1.222152e+08 + i -1.934035e+08 ; 4.012852e+08 + i 2.737307e+08 ; -3.080367e+08 + i 2.894733e+08 ; 2.929600e+08 + i -1.362908e+08 ; 5.477633e+08 + i 5.250623e+08 ; -5.890631e+08 + i 2.675229e+08 ; 1.008322e+08 + i -1.489833e+08 ; 4.723219e+08 + i 3.323940e+08 ; -2.639913e+08 + i 2.841548e+08 ; 1.301989e+08 + i -1.994799e+08 ; 3.987658e+08 + i 4.684606e+08 ; -1.146556e+09 + i 1.887584e+09 ; -1.257803e+09 + i 2.097922e+09 ; -4.922135e+09 + i -6.119106e+09 ; 2.080439e+09 + i 1.774723e+09 ; 4.960530e+08 + i 1.067682e+09 ; -2.597891e+09 + i 3.373968e+09 ; 5.319790e+08 + i 8.878973e+08 ; 2.061259e+09 + i 1.812876e+09 ; -2.523610e+09 + i 3.376190e+09 ; 1.083741e+09 + i 1.016088e+08 ; 1.042755e+09 + i 2.270794e+08 ; 1.643318e+09 + i 2.852361e+09 ; 1.199101e+09 + i 2.453166e+08 ; 1.269861e+09 + i 3.884187e+08 ; -5.663046e+07 + i 1.218951e+10 ; 5.427901e+08 + i -1.072049e+09 ; 9.961388e+08 + i -1.811848e+08 ; 1.697993e+09 + i 1.353291e+09 ; 9.714929e+08 + i -3.743979e+08 ; 6.525081e+08 + i -1.000396e+09 ; 1.765499e+09 + i 1.376312e+09 ; 3.373626e+08 + i -2.018805e+08 ; 3.124647e+08 + i -4.719797e+07 ; -7.705533e+08 + i 1.208291e+09 ; 
-3.888817e+08 + i -7.146171e+08 ; 1.488618e+08 + i -7.948980e+07 ; -5.546717e+07 + i 1.433328e+07 ; -8.475926e+08 + i -6.511947e+08 ; 2.555872e+08 + i 2.655405e+07 ; -1.685532e+08 + i -8.375314e+07 ; -9.031663e+08 + i -8.782251e+08 ; 1.780089e+08 + i -8.206784e+07 ; -7.500898e+07 + i -1.021284e+07 ; -1.002265e+09 + i -2.820627e+08 ; 2.815702e+08 + i -3.023514e+07 ; -1.748602e+08 + i -6.026126e+07 ; -1.470387e+08 + i -3.135387e+08 ; 1.542933e+08 + i -7.091077e+07 ; -9.320308e+07 + i 3.608612e+07 ; -2.370048e+08 + i -8.401260e+08 ; 2.120509e+08 + i 9.047719e+07 ; -8.235810e+07 + i -1.003454e+08 ; -4.200917e+08 + i -6.789677e+08 ; 1.694141e+08 + i -8.240254e+07 ; -8.916045e+07 + i 1.769249e+07 ; -8.582183e+08 + i -6.332355e+08 ; 3.030053e+08 + i -8.455393e+06 ; -1.434634e+08 + i -7.372529e+07 ; -2.509711e+09 + i 3.263035e+09 ; 3.218843e+08 + i 9.074819e+08 ; -1.321088e+09 + i -1.213119e+09 ; 1.913606e+09 + i 1.185254e+09 ; 8.890402e+08 + i -1.907470e+08 ; -4.833386e+08 + i 9.028882e+08 ; 1.785910e+09 + i 2.621614e+09 ; 9.276388e+08 + i 3.259065e+08 ; -5.508869e+08 + i -2.646700e+08 ; -5.326698e+08 + i 9.470280e+08 ; 3.254885e+08 + i 3.796440e+07 ; -2.212019e+08 + i 3.456321e+07 ; -4.959296e+09 + i -6.323448e+09 ; -9.211142e+08 + i 1.353270e+09 ; 8.877420e+08 + i -1.573019e+09 ; 7.858067e+06 + i 1.199311e+10 ; 9.561896e+08 + i 3.878618e+08 ; -6.959396e+08 + i -2.743038e+08 ; -2.456422e+09 + i 3.285689e+09 ; 1.720508e+09 + i 1.760096e+09 ; -2.147315e+08 + i -7.653430e+08 ; 2.002011e+09 + i 1.204990e+09 ; 2.514743e+08 + i -4.628155e+08 ; -6.623184e+08 + i 2.562203e+08 ; 
-1.208028e+07 + i 1.599487e+08 ; 3.922400e+08 + i 2.604560e+07 ; 2.379787e+07 + i -8.276300e+07 ; -8.575456e+06 + i 1.525723e+08 ; 4.635698e+08 + i 3.263497e+08 ; 8.093408e+07 + i -9.240737e+07 ; -1.199555e+08 + i 2.053702e+08 ; 3.776099e+08 + i 3.052786e+07 ; 2.511394e+07 + i -7.328462e+07 ; -2.159593e+07 + i 2.640002e+08 ; 5.321756e+08 + i 1.997913e+08 ; 9.413622e+07 + i -5.633904e+07 ; -3.645816e+07 + i 1.638203e+08 ; 3.567785e+08 + i 4.619660e+07 ; 3.120044e+07 + i -8.619572e+07 ; -2.591304e+06 + i 1.569162e+08 ; 3.914665e+08 + i 2.583542e+08 ; 8.115657e+07 + i -9.871091e+07 ; -1.501600e+08 + i 1.717263e+08 ; 3.875300e+08 + i 1.319753e+07 ; 2.096941e+07 + i -7.346831e+07 ; -6.504228e+07 + i 3.111297e+08 ; 5.261092e+08 + i 3.084974e+08 ; 7.441509e+07 + i -6.426590e+07 ; 1.460761e+08 + i 2.237212e+07 ; -6.049909e+08 + i 1.052175e+09 ; 9.848856e+07 + i 3.544686e+06 ; 6.260275e+08 + i -1.331991e+08 ; 1.794477e+09 + i 1.365643e+09 ; 3.542990e+08 + i -6.429797e+08 ; 5.623942e+08 + i 2.945665e+08 ; 1.619447e+09 + i 2.947050e+09 ; 5.571123e+08 + i 3.922382e+08 ; 1.087280e+08 + i 8.159495e+08 ; -2.710834e+09 + i 3.506733e+09 ; 1.015109e+09 + i 1.183010e+09 ; 1.688624e+08 + i -2.988175e+08 ; 1.952090e+09 + i 1.356379e+09 ; 6.709065e+08 + i -3.334830e+08 ; 6.626037e+08 + i 3.369270e+08 ; -1.807986e+08 + i 1.224897e+10 ; 9.898501e+08 + i 3.722204e+08 ; 1.144206e+09 + i 1.130985e+09 ; -2.633644e+09 + i 3.499243e+09 ; 3.336052e+08 + i 7.805084e+08 ; -8.265315e+08 + i 9.436229e+08 ; -5.122879e+09 + i -6.136210e+09 ; -7.641503e+08 + i 1.379192e+09 ; 
1.078362e+08 + i -1.435530e+08 ; 2.983563e+07 + i -9.279386e+07 ; 3.700891e+08 + i 8.946487e+06 ; 1.535668e+07 + i -2.436219e+08 ; 1.044371e+08 + i -8.729017e+07 ; 5.231397e+08 + i 3.029903e+08 ; 7.176750e+07 + i -1.530161e+08 ; 4.177972e+07 + i -1.026903e+08 ; 3.501440e+08 + i 1.025704e+07 ; -1.642202e+06 + i -1.998141e+08 ; 1.221959e+08 + i -8.289047e+07 ; 5.159894e+08 + i 1.808039e+08 ; 1.216178e+07 + i -1.618458e+08 ; 3.029770e+07 + i -1.139891e+08 ; 3.923629e+08 + i 3.722053e+07 ; -7.489441e+07 + i -1.376878e+08 ; 1.161886e+08 + i -1.342244e+08 ; 3.959959e+08 + i 2.430440e+08 ; -3.086778e+07 + i -1.294346e+08 ; 2.896746e+07 + i -1.196159e+08 ; 4.202414e+08 + i 2.610658e+06 ; -4.662241e+07 + i -1.028642e+08 ; 1.039617e+08 + i -1.281952e+08 ; 4.569465e+08 + i 3.057017e+08 ; -1.172950e+09 + i -1.203058e+09 ; 4.380789e+08 + i 9.407707e+08 ; -2.613022e+09 + i 3.444689e+09 ; 1.089804e+09 + i -1.576439e+09 ; -1.085517e+09 + i 1.710580e+09 ; -5.072721e+09 + i -6.113516e+09 ; -5.883548e+08 + i -1.296180e+08 ; 8.682210e+08 + i 2.771437e+08 ; 1.672272e+09 + i 2.897320e+09 ; -2.832532e+08 + i -7.170163e+08 ; 1.670364e+09 + i 1.753290e+09 ; -2.654529e+09 + i 3.417334e+09 ; -5.419155e+08 + i 8.285498e+08 ; 8.984866e+08 + i -1.396019e+08 ; 1.688689e+09 + i 1.332158e+09 ; -6.777701e+08 + i -2.897524e+08 ; 1.052061e+09 + i 4.315356e+08 ; -1.694987e+08 + i 1.215700e+10 ; -8.296101e+07 + i -3.927727e+04 ; 2.223174e+08 + i -1.490928e+07 ; -7.404442e+08 + i 1.202810e+09 ; -5.522559e+08 + i 1.703696e+07 ; 4.554365e+08 + i -7.212555e+08 ; 1.665001e+09 + i 1.362171e+09 ; 
-9.584459e+08 + i -2.929606e+08 ; -1.255221e+08 + i -4.049915e+07 ; -1.200903e+08 + i -3.896793e+07 ; -8.566430e+08 + i -2.025196e+08 ; -2.146183e+08 + i -1.757185e+08 ; -2.132944e+08 + i -1.719668e+08 ; -8.198482e+08 + i -6.349766e+08 ; -2.152903e+08 + i -7.389099e+07 ; -1.746056e+08 + i -1.941341e+07 ; -9.704785e+08 + i -2.416799e+08 ; 1.250148e+07 + i -3.311979e+08 ; -3.552788e+08 + i -3.529000e+08 ; -8.133385e+08 + i -6.290654e+08 ; -1.801583e+08 + i -2.036044e+07 ; -2.186261e+08 + i -7.260799e+07 ; -9.580002e+08 + i -2.384765e+08 ; -3.598765e+08 + i -3.579595e+08 ; 8.639813e+06 + i -3.291496e+08 ; -2.408108e+08 + i -7.894560e+08 ; -2.218172e+08 + i -2.041150e+08 ; -2.240579e+08 + i -2.056538e+08 ; -1.167222e+09 + i -9.707527e+08 ; 1.838075e+08 + i -3.283208e+08 ; 1.825538e+08 + i -3.296339e+08 ; -6.495348e+08 + i 7.757827e+08 ; 7.240463e+07 + i 3.319874e+06 ; 6.039890e+07 + i 4.286640e+06 ; 1.726243e+09 + i 2.684790e+09 ; 5.935931e+08 + i 3.657213e+08 ; 5.887459e+08 + i 3.613136e+08 ; 1.898981e+09 + i 1.045545e+09 ; 6.733309e+08 + i -1.635463e+08 ; 3.630486e+08 + i -5.574620e+08 ; -2.525872e+09 + i 3.209288e+09 ; 2.674871e+08 + i 9.790878e+08 ; 1.042237e+09 + i 1.071801e+09 ; 1.898705e+09 + i 1.032355e+09 ; 3.698847e+08 + i -5.529695e+08 ; 6.761017e+08 + i -1.681307e+08 ; -2.518362e+09 + i 3.203229e+09 ; 1.060021e+09 + i 1.079487e+09 ; 2.766577e+08 + i 9.758197e+08 ; -4.025879e+07 + i 1.195460e+10 ; 8.840265e+08 + i 5.087130e+08 ; 8.968935e+08 + i 5.130002e+08 ; -4.882258e+09 + i -6.342728e+09 ; -1.001878e+09 + i 1.372475e+09 ; -9.979414e+08 + i 1.387489e+09 ; 
-2.839945e+08 + i -3.852390e+08 ; 4.993743e+08 + i 2.029733e+08 ; -8.427258e+07 + i 1.032016e+08 ; -5.301435e+08 + i -1.783509e+08 ; 4.813094e+08 + i 7.678602e+08 ; -2.132125e+08 + i 5.844918e+06 ; -5.773561e+08 + i 2.026923e+08 ; 4.618874e+08 + i 3.254685e+08 ; -4.193622e+07 + i 1.055183e+08 ; -2.937556e+08 + i 2.418224e+08 ; 3.977374e+08 + i 4.609775e+08 ; -4.873912e+07 + i 1.398089e+08 ; 1.998481e+07 + i -5.314366e+08 ; 4.897765e+08 + i 3.022022e+08 ; -1.009618e+08 + i 5.823725e+07 ; -6.919623e+08 + i -5.695109e+08 ; 6.898158e+07 + i 8.374293e+08 ; -1.075721e+08 + i -1.189641e+07 ; -5.471697e+08 + i 4.767703e+07 ; 3.949947e+08 + i 2.525384e+08 ; -7.145933e+07 + i 1.426397e+08 ; -3.424051e+08 + i 2.606042e+08 ; 5.381417e+08 + i 5.088400e+08 ; -1.735778e+08 + i 8.989455e+07 ; 4.003616e+08 + i 8.286702e+08 ; -2.491379e+09 + i 3.437761e+09 ; -1.339229e+09 + i -1.206567e+09 ; 9.635961e+08 + i 2.414491e+08 ; 1.653632e+09 + i 2.891792e+09 ; -6.739011e+08 + i -2.033372e+08 ; 8.895104e+08 + i -3.464745e+08 ; 1.811204e+09 + i 1.358944e+09 ; -5.694147e+08 + i 9.566670e+08 ; 2.777188e+08 + i -1.450962e+08 ; -7.373447e+08 + i 1.165515e+09 ; -1.624358e+08 + i 2.348841e+07 ; -1.002154e+09 + i 1.508963e+09 ; -4.893963e+09 + i -6.097524e+09 ; 1.042208e+09 + i -1.633623e+09 ; 1.756935e+09 + i 1.747618e+09 ; -2.557608e+09 + i 3.416984e+09 ; -2.884157e+08 + i -7.951496e+08 ; 1.018040e+09 + i 2.730350e+08 ; -6.061942e+07 + i 1.215962e+10 ; -7.514437e+08 + i -2.599951e+08 ; 3.905789e+08 + i -8.497994e+08 ; 1.752052e+09 + i 1.327290e+09 ; -6.849493e+08 + i 1.535528e+08 ; 
-2.865957e+08 + i -3.829299e+08 ; -8.234207e+07 + i 1.028282e+08 ; 4.948419e+08 + i 1.955536e+08 ; -5.309692e+08 + i -1.799931e+08 ; -2.106005e+08 + i 1.587714e+06 ; 4.744927e+08 + i 7.578963e+08 ; 1.170195e+07 + i -5.339717e+08 ; -1.002840e+08 + i 5.556697e+07 ; 4.800213e+08 + i 3.021254e+08 ; -6.961483e+08 + i -5.717046e+08 ; -1.092015e+08 + i -1.673380e+07 ; 5.622272e+07 + i 8.353601e+08 ; -5.798545e+08 + i 2.019472e+08 ; -4.206072e+07 + i 1.067550e+08 ; 4.724116e+08 + i 3.297026e+08 ; -2.932162e+08 + i 2.404983e+08 ; -4.881448e+07 + i 1.369236e+08 ; 4.023655e+08 + i 4.661840e+08 ; -5.494521e+08 + i 4.006444e+07 ; -7.252156e+07 + i 1.422195e+08 ; 3.980996e+08 + i 2.668212e+08 ; -3.393418e+08 + i 2.524530e+08 ; -1.737022e+08 + i 9.027993e+07 ; 5.450211e+08 + i 5.190284e+08 ; 4.094893e+08 + i 8.214561e+08 ; -1.344111e+09 + i -1.217926e+09 ; -2.509771e+09 + i 3.443948e+09 ; 9.639230e+08 + i 2.419711e+08 ; -6.820438e+08 + i -2.085230e+08 ; 1.666774e+09 + i 2.898159e+09 ; -9.941543e+08 + i 1.520672e+09 ; 1.034837e+09 + i -1.651039e+09 ; -4.928698e+09 + i -6.091259e+09 ; 1.764851e+09 + i 1.748817e+09 ; -2.944173e+08 + i -7.912465e+08 ; -2.561512e+09 + i 3.386252e+09 ; 8.992918e+08 + i -3.505616e+08 ; -5.692997e+08 + i 9.417985e+08 ; 1.759569e+09 + i 1.348045e+09 ; 2.785984e+08 + i -1.546552e+08 ; -1.697334e+08 + i 1.383921e+07 ; -7.615915e+08 + i 1.213254e+09 ; 1.027204e+09 + i 2.859808e+08 ; -7.555849e+08 + i -2.538773e+08 ; -5.031253e+07 + i 1.215368e+10 ; 3.955770e+08 + i -8.481894e+08 ; -6.944194e+08 + i 1.549416e+08 ; 1.703929e+09 + i 1.329177e+09 ; 
-9.150540e+08 + i -8.966741e+08 ; -9.320618e+07 + i -2.848982e+07 ; -9.152782e+07 + i -3.052179e+07 ; -1.020664e+09 + i -2.944697e+08 ; -2.035586e+08 + i -7.325523e+07 ; -2.014629e+08 + i -7.268050e+07 ; -4.295897e+08 + i -7.065579e+08 ; -9.260687e+07 + i 2.537118e+06 ; -8.772388e+07 + i -1.883216e+06 ; -8.795629e+08 + i -6.688809e+08 ; -1.583058e+08 + i -1.098689e+08 ; -1.895502e+08 + i -9.348447e+07 ; -4.252289e+08 + i -7.002577e+08 ; -8.965297e+07 + i 9.259326e+05 ; -9.312854e+07 + i 4.884453e+06 ; -8.773327e+08 + i -6.612884e+08 ; -1.927569e+08 + i -9.144216e+07 ; -1.589614e+08 + i -1.086061e+08 ; -1.846795e+08 + i -3.033908e+08 ; -1.119961e+08 + i 1.695585e+07 ; -1.134119e+08 + i 1.730579e+07 ; -2.691953e+08 + i -8.469110e+08 ; -1.082876e+08 + i -1.175035e+08 ; -1.091955e+08 + i -1.187217e+08 ; 1.766807e+09 + i 2.634212e+09 ; -6.429088e+08 + i -2.081647e+08 ; -6.388207e+08 + i -2.006579e+08 ; -5.026348e+08 + i 9.377774e+08 ; -3.695251e+07 + i 7.188545e+07 ; -2.331076e+07 + i 7.397350e+07 ; -2.481858e+09 + i 3.223091e+09 ; -3.675052e+08 + i -7.771360e+08 ; -1.263192e+09 + i -1.216208e+09 ; 1.936285e+09 + i 1.173300e+09 ; -6.727345e+08 + i 1.455087e+08 ; -4.639496e+08 + i 8.514943e+08 ; -2.475395e+09 + i 3.208030e+09 ; -1.269148e+09 + i -1.223511e+09 ; -3.804891e+08 + i -7.829461e+08 ; 1.928770e+09 + i 1.153045e+09 ; -4.645817e+08 + i 8.461933e+08 ; -6.796230e+08 + i 1.517220e+08 ; -4.841333e+09 + i -6.309342e+09 ; 9.902479e+08 + i -1.478952e+09 ; 9.982848e+08 + i -1.498705e+09 ; 2.927684e+07 + i 1.199190e+10 ; -6.898244e+08 + i -2.959269e+08 ; -7.016532e+08 + i -3.042356e+08 ; 
9.983044e+07 + i -1.381719e+08 ; 3.542604e+08 + i 7.288976e+06 ; -1.510695e+07 + i 7.310552e+07 ; 2.190944e+07 + i -1.970090e+08 ; 5.203484e+08 + i 1.825797e+08 ; -7.625266e+07 + i 5.781048e+07 ; -1.534699e+07 + i -1.233000e+08 ; 4.129804e+08 + i 4.852604e+06 ; -1.086109e+07 + i 7.839335e+07 ; -2.352025e+07 + i -8.432122e+07 ; 4.515693e+08 + i 3.044829e+08 ; -6.853828e+07 + i 8.823550e+07 ; 1.348365e+08 + i -1.284327e+08 ; 3.690510e+08 + i 3.784182e+06 ; -1.331154e+07 + i 7.498250e+07 ; 4.846797e+07 + i -2.409580e+08 ; 5.265450e+08 + i 2.982429e+08 ; -5.667799e+07 + i 6.801003e+07 ; 2.256872e+07 + i -1.436141e+08 ; 3.808101e+08 + i 3.258193e+07 ; -1.495272e+07 + i 8.427850e+07 ; -4.827983e+07 + i -1.212453e+08 ; 3.878644e+08 + i 2.331459e+08 ; -7.477671e+07 + i 9.465419e+07 ; -5.609471e+08 + i -2.507393e+08 ; 1.691903e+09 + i 2.906503e+09 ; -6.385502e+08 + i -2.145493e+08 ; -3.020153e+08 + i -7.958130e+08 ; -2.639219e+09 + i 3.445378e+09 ; -1.266322e+09 + i -1.242673e+09 ; -9.240947e+06 + i 2.391820e+07 ; -7.011936e+08 + i 1.144918e+09 ; -3.487614e+07 + i 6.849457e+07 ; -6.212239e+08 + i 1.070087e+08 ; 1.678455e+09 + i 1.323934e+09 ; -4.870404e+08 + i 8.279983e+08 ; -1.180334e+09 + i -1.239238e+09 ; -2.589689e+09 + i 3.453068e+09 ; -3.835151e+08 + i -8.063705e+08 ; 1.037507e+09 + i -1.441565e+09 ; -5.012163e+09 + i -6.107560e+09 ; 1.016085e+09 + i -1.533470e+09 ; -4.334451e+08 + i 7.339319e+08 ; 1.737890e+09 + i 1.310227e+09 ; -6.891435e+08 + i 1.368799e+08 ; -6.383607e+08 + i -3.258129e+08 ; -1.529746e+08 + i 1.210793e+10 ; -7.125368e+08 + i -3.317099e+08 ; 
