-7.600953e+09 + i 1.437948e+10 ; -3.419512e+07 + i 1.274955e+08 ; -3.405072e+07 + i 1.275454e+08 ; -1.344160e+09 + i -3.199671e+09 ; -6.274635e+07 + i -3.523852e+08 ; -6.291976e+07 + i -3.522804e+08 ; 4.647615e+08 + i 1.605758e+09 ; 1.762246e+07 + i 1.954024e+08 ; 3.058338e+07 + i 5.089526e+07 ; -1.111292e+08 + i 1.132131e+09 ; -3.981411e+08 + i -6.744122e+08 ; -6.550426e+07 + i -1.932819e+07 ; 4.649503e+08 + i 1.605664e+09 ; 3.023782e+07 + i 5.071460e+07 ; 1.744782e+07 + i 1.953843e+08 ; -1.106805e+08 + i 1.132180e+09 ; -6.471138e+07 + i -1.980065e+07 ; -3.981171e+08 + i -6.744137e+08 ; 4.150749e+08 + i -1.439296e+08 ; 5.138180e+07 + i 6.942751e+07 ; 5.168652e+07 + i 6.924971e+07 ; 3.991758e+08 + i -7.897867e+07 ; -1.452542e+08 + i -7.441497e+07 ; -1.452736e+08 + i -7.457582e+07 ; -4.475964e+07 + i -3.956996e+08 ; -7.277467e+06 + i 1.305420e+07 ; -7.256086e+06 + i 1.306805e+07 ; 1.522355e+07 + i -2.314954e+08 ; 2.767268e+06 + i 3.900466e+06 ; 2.775800e+06 + i 3.897705e+06 ; -1.219273e+08 + i -5.684550e+06 ; -2.331659e+07 + i 2.341394e+06 ; 6.562600e+04 + i 1.149492e+07 ; -8.883235e+07 + i -2.520845e+07 ; -1.219460e+06 + i 1.084636e+06 ; 2.525871e+06 + i 2.456046e+06 ; -1.217948e+08 + i -5.737672e+06 ; 1.112569e+05 + i 1.140593e+07 ; -2.330425e+07 + i 2.348180e+06 ; -8.875355e+07 + i -2.520478e+07 ; 2.514053e+06 + i 2.445187e+06 ; -1.220055e+06 + i 1.086237e+06 ; -6.079424e+04 + i 6.665635e+07 ; -1.106720e+07 + i 3.603470e+06 ; -1.109476e+07 + i 3.630054e+06 ; -1.313681e+07 + i 4.651646e+07 ; -7.913146e+05 + i 1.906193e+05 ; -7.876952e+05 + i 1.949760e+05 ; 
1.100889e+07 + i -1.989748e+07 ; -2.573047e+06 + i -2.209334e+06 ; 4.083611e+06 + i 4.358315e+06 ; 9.502005e+06 + i -2.861838e+07 ; -5.813975e+06 + i -1.130036e+07 ; 1.585956e+07 + i -6.897489e+06 ; 2.042791e+07 + i -1.129171e+07 ; -2.294622e+06 + i -1.829125e+06 ; 3.942565e+06 + i 2.655182e+06 ; 2.291803e+07 + i -1.982551e+07 ; -4.343626e+06 + i -8.381633e+06 ; 4.378160e+07 + i -5.024841e+06 ; 2.092608e+07 + i 6.128399e+07 ; 8.123036e+05 + i -1.082325e+06 ; 4.221144e+06 + i 3.775551e+06 ; 3.898785e+07 + i 8.788951e+07 ; 2.632393e+06 + i -4.948499e+05 ; 1.627578e+07 + i -7.165044e+06 ; -5.049103e+06 + i 1.046086e+08 ; 1.589989e+05 + i -2.224830e+06 ; 4.419970e+06 + i 2.137541e+06 ; 1.614906e+07 + i 1.694375e+08 ; -1.951359e+06 + i -7.105634e+06 ; 4.722203e+07 + i 7.668026e+05 ; -4.704967e+07 + i -9.704352e+07 ; -5.211519e+07 + i -9.692847e+07 ; 4.260600e+08 + i -1.379327e+08 ; -2.948949e+07 + i -6.667818e+07 ; 2.641068e+07 + i -2.375868e+08 ; 4.620537e+08 + i 1.621946e+09 ; 3.182086e+07 + i -2.356273e+08 ; -3.311682e+07 + i -6.695067e+07 ; 4.582479e+08 + i 1.619756e+09 ; 7.232210e+07 + i -1.406358e+08 ; 6.885339e+07 + i -1.431928e+08 ; -7.622299e+09 + i 1.440170e+10 ; 1.815541e+08 + i 1.322339e+08 ; 1.821125e+08 + i 1.162388e+08 ; 4.099040e+08 + i -8.232818e+07 ; 1.013885e+08 + i 3.285187e+07 ; 3.197579e+08 + i 9.049285e+08 ; -9.598342e+07 + i 1.148610e+09 ; 3.114317e+08 + i 9.286888e+08 ; 1.018900e+08 + i 2.335152e+07 ; -9.942585e+07 + i 1.146675e+09 ; -2.018444e+07 + i 4.521922e+08 ; -1.391413e+07 + i 4.388513e+08 ; -1.351971e+09 + i -3.153751e+09 ; 
-1.235874e+08 + i -5.994023e+06 ; 9.180593e+05 + i -1.066830e+07 ; -2.891409e+07 + i 1.313901e+07 ; -1.501972e+08 + i 2.664921e+07 ; 2.817185e+07 + i 2.574033e+07 ; -1.171489e+08 + i -2.355802e+08 ; -5.765898e+05 + i 6.742974e+07 ; 7.947781e+06 + i -5.822011e+06 ; -1.022038e+07 + i 5.693204e+06 ; 2.383000e+07 + i 9.271793e+07 ; 7.232074e+07 + i 6.539918e+07 ; -7.309396e+07 + i -8.304629e+07 ; -4.323224e+07 + i -3.953715e+08 ; 1.499277e+07 + i -1.674198e+07 ; -1.679781e+07 + i 1.516011e+07 ; -2.092013e+08 + i -6.539552e+08 ; 2.842676e+07 + i 9.817336e+07 ; -1.535857e+07 + i -1.177437e+08 ; -1.220601e+08 + i -5.420576e+06 ; 2.336858e+07 + i -1.469531e+07 ; -1.986077e+06 + i 1.057926e+07 ; -1.519422e+08 + i 2.738959e+07 ; 1.257552e+08 + i 1.943555e+08 ; -2.644736e+07 + i -3.442087e+07 ; 4.394734e+08 + i 1.596831e+09 ; 2.867271e+07 + i 4.456631e+07 ; -8.270033e+06 + i -1.950102e+08 ; -1.131470e+08 + i 1.137069e+09 ; -7.521394e+07 + i -1.697391e+07 ; 3.748394e+08 + i 8.528598e+08 ; 4.119116e+08 + i -1.339838e+08 ; 4.837471e+07 + i 6.266319e+07 ; -4.469761e+07 + i -7.389293e+07 ; 4.008633e+08 + i -7.859618e+07 ; -1.519891e+08 + i -8.176719e+07 ; 1.650165e+08 + i 1.057164e+08 ; -7.615662e+09 + i 1.432797e+10 ; -4.056795e+07 + i 1.195961e+08 ; 4.433265e+07 + i -1.248202e+08 ; -1.346722e+09 + i -3.197349e+09 ; -5.886847e+07 + i -3.676858e+08 ; 3.929273e+07 + i 4.052671e+08 ; 4.503657e+08 + i 1.601140e+09 ; 7.226803e+06 + i 1.890836e+08 ; -2.593464e+07 + i -5.021570e+07 ; -1.104153e+08 + i 1.134830e+09 ; -3.978866e+08 + i -7.158978e+08 ; 7.765358e+07 + i 2.575358e+07 ; 
-1.526746e+07 + i -3.392316e+07 ; 1.710021e+07 + i -8.324275e+06 ; -8.069440e+06 + i -6.142514e+06 ; -2.260095e+07 + i -3.807090e+07 ; 1.134207e+08 + i 8.895190e+07 ; -5.854002e+06 + i -4.117317e+07 ; 4.107267e+07 + i 4.926606e+07 ; 1.578211e+07 + i -7.172803e+06 ; 4.249375e+06 + i -5.712270e+06 ; 6.741918e+07 + i 7.174957e+07 ; 9.010621e+07 + i 8.001816e+07 ; 3.668789e+07 + i 4.669933e+07 ; -3.031168e+06 + i -6.118392e+07 ; 4.707790e+07 + i -5.203635e+06 ; -6.208660e+06 + i -4.700552e+06 ; -1.908073e+07 + i -7.652533e+07 ; 1.088906e+08 + i 3.031362e+08 ; 2.546547e+05 + i -2.925187e+07 ; 5.624611e+07 + i 1.276934e+08 ; 4.671315e+07 + i 3.802357e+05 ; 1.057708e+06 + i -6.410439e+06 ; 1.312718e+08 + i 1.877225e+08 ; 3.605939e+07 + i 2.466476e+08 ; 5.196237e+06 + i 1.269526e+07 ; 3.202763e+07 + i 5.084566e+07 ; 4.582031e+08 + i 1.598969e+09 ; -1.742304e+07 + i -2.006117e+08 ; 5.322476e+07 + i 7.439785e+07 ; 4.239710e+08 + i -1.412157e+08 ; -4.578656e+07 + i -8.652056e+07 ; -6.586398e+07 + i -4.408605e+06 ; -1.038591e+08 + i 1.134729e+09 ; 3.756087e+08 + i 8.476522e+08 ; -1.467572e+08 + i -7.406185e+07 ; 4.097000e+08 + i -8.193288e+07 ; 1.604915e+08 + i 1.064750e+08 ; -3.341769e+07 + i 1.231169e+08 ; -7.618907e+09 + i 1.437721e+10 ; 3.909579e+07 + i -1.335714e+08 ; 1.380389e+07 + i 1.957340e+08 ; 4.682922e+08 + i 1.621145e+09 ; -2.564273e+07 + i -6.068894e+07 ; -4.986256e+07 + i -3.365355e+08 ; -1.355117e+09 + i -3.177865e+09 ; 4.272760e+07 + i 3.931008e+08 ; -3.952705e+08 + i -7.013491e+08 ; -9.930457e+07 + i 1.147851e+09 ; 7.318051e+07 + i 2.643772e+07 ; 
-5.558357e+07 + i -1.261023e+08 ; 1.040771e+06 + i -6.289484e+06 ; 4.947582e+07 + i -1.741787e+05 ; -1.329033e+08 + i -1.847432e+08 ; 6.439556e+06 + i 9.445331e+06 ; 3.936532e+07 + i 2.453166e+08 ; -3.966513e+07 + i -4.911969e+07 ; 3.463042e+06 + i -5.774681e+06 ; 1.694314e+07 + i -8.139931e+06 ; -6.760810e+07 + i -7.018508e+07 ; 3.719853e+07 + i 3.683967e+07 ; 9.120466e+07 + i 7.904479e+07 ; 1.225229e+06 + i 6.225581e+07 ; -6.350543e+06 + i -3.422639e+06 ; 4.460681e+07 + i -4.895536e+06 ; 1.313919e+07 + i 8.102792e+07 ; -3.336188e+06 + i -2.548379e+07 ; 1.061660e+08 + i 3.031777e+08 ; 1.488469e+07 + i 3.453909e+07 ; -7.606319e+06 + i -4.480831e+06 ; 1.562388e+07 + i -7.259457e+06 ; 2.078699e+07 + i 4.069433e+07 ; -9.080174e+06 + i -3.515673e+07 ; 1.120235e+08 + i 8.934390e+07 ; 6.882776e+07 + i 3.182550e+08 ; 7.995058e+07 + i 3.393812e+08 ; -1.346017e+09 + i -3.178206e+09 ; 4.010793e+08 + i 7.047216e+08 ; 6.688635e+07 + i 1.951193e+07 ; -1.003275e+08 + i 1.149496e+09 ; 6.075560e+07 + i 4.690179e+06 ; 4.031384e+08 + i 7.131975e+08 ; -1.017902e+08 + i 1.133153e+09 ; 1.495228e+08 + i 7.151433e+07 ; 1.518794e+08 + i 7.999462e+07 ; 4.116887e+08 + i -8.275590e+07 ; 2.400821e+07 + i -1.241189e+08 ; 2.692004e+07 + i -1.266365e+08 ; -7.617749e+09 + i 1.437707e+10 ; -3.712228e+07 + i -1.764365e+08 ; -3.194758e+07 + i -5.042035e+07 ; 4.672619e+08 + i 1.616060e+09 ; -3.442795e+07 + i -4.619868e+07 ; -3.906637e+07 + i -1.741162e+08 ; 4.662171e+08 + i 1.597278e+09 ; -5.310553e+07 + i -6.986829e+07 ; -5.012053e+07 + i -7.146323e+07 ; 4.205604e+08 + i -1.432860e+08 ; 
-8.956965e+07 + i -2.554846e+07 ; -2.928169e+06 + i -2.843147e+06 ; -1.141907e+06 + i 3.771320e+06 ; -1.205881e+08 + i -6.116938e+06 ; 5.660557e+05 + i -1.284454e+07 ; -2.719475e+07 + i 1.659151e+06 ; -1.359359e+07 + i 4.711779e+07 ; 7.789007e+05 + i -8.599150e+04 ; 1.606946e+04 + i 8.066979e+05 ; -3.301247e+05 + i 6.658384e+07 ; 1.213036e+07 + i -3.347063e+06 ; -1.265358e+07 + i 2.700850e+06 ; 1.602023e+07 + i -2.308151e+08 ; -3.188219e+06 + i -4.767675e+06 ; -3.622458e+06 + i 7.514868e+06 ; -4.135438e+07 + i -3.954305e+08 ; 8.490281e+06 + i -1.445368e+07 ; -2.178065e+07 + i 2.018356e+07 ; -8.895335e+07 + i -2.492217e+07 ; 1.207390e+06 + i -1.153239e+06 ; 7.103880e+05 + i 5.577365e+06 ; -1.215390e+08 + i -6.323094e+06 ; 2.517337e+07 + i -1.302599e+06 ; -5.279243e+06 + i 1.720821e+07 ; -1.301287e+08 + i 1.144160e+09 ; 7.626777e+07 + i 2.160798e+07 ; -3.214861e+08 + i -9.062542e+08 ; 4.632509e+08 + i 1.605058e+09 ; -3.129103e+07 + i -5.579786e+07 ; 6.862962e+07 + i 1.562523e+08 ; 4.040818e+08 + i -7.618950e+07 ; 1.524827e+08 + i 8.825337e+07 ; -1.554425e+08 + i -1.178220e+08 ; 4.155761e+08 + i -1.432366e+08 ; -5.155984e+07 + i -7.894210e+07 ; 3.900853e+07 + i 8.585209e+07 ; -1.349654e+09 + i -3.195511e+09 ; 4.428337e+07 + i 3.776247e+08 ; -8.458167e+07 + i -3.563360e+08 ; -7.604760e+09 + i 1.437789e+10 ; 4.063405e+07 + i -1.340142e+08 ; -6.816179e+07 + i 1.458850e+08 ; -1.068351e+08 + i 1.137438e+09 ; 3.888006e+08 + i 7.486396e+08 ; -6.974824e+07 + i -2.435534e+07 ; 4.625384e+08 + i 1.607722e+09 ; -3.241844e+06 + i -2.071664e+08 ; 1.976331e+07 + i 6.423710e+07 ; 
1.084865e+07 + i -1.936685e+07 ; 4.087413e+06 + i 4.361151e+06 ; -2.536555e+06 + i -2.403479e+06 ; 9.360232e+06 + i -2.782950e+07 ; 1.585321e+07 + i -6.956924e+06 ; -5.572941e+06 + i -1.188674e+07 ; 1.988522e+07 + i 6.093780e+07 ; 4.240344e+06 + i 3.859067e+06 ; 1.391492e+06 + i -1.163611e+06 ; 3.668467e+07 + i 8.782118e+07 ; 1.640633e+07 + i -7.092416e+06 ; 4.076544e+06 + i -4.973029e+05 ; 2.056270e+07 + i -1.098681e+07 ; 3.899251e+06 + i 2.606303e+06 ; -2.339089e+06 + i -1.882707e+06 ; 2.305858e+07 + i -1.925595e+07 ; 4.374617e+07 + i -5.160920e+06 ; -4.208915e+06 + i -8.666605e+06 ; -4.493134e+06 + i 1.057500e+08 ; 4.395081e+06 + i 2.224443e+06 ; 3.223855e+05 + i -2.403591e+06 ; 1.731667e+07 + i 1.708679e+08 ; 4.730390e+07 + i 8.037418e+05 ; -1.284520e+06 + i -6.936803e+06 ; -4.037720e+07 + i -9.604306e+07 ; 4.264797e+08 + i -1.385703e+08 ; -4.075427e+07 + i -9.612831e+07 ; -2.437890e+07 + i -6.394110e+07 ; 4.633969e+08 + i 1.621604e+09 ; -3.347292e+06 + i -2.130836e+08 ; 1.596318e+08 + i 1.356632e+08 ; 4.111736e+08 + i -8.191211e+07 ; 1.731222e+08 + i 1.140342e+08 ; 8.385707e+07 + i 3.401794e+07 ; -1.006616e+08 + i 1.153497e+09 ; 3.403840e+08 + i 8.978520e+08 ; 2.782030e+07 + i -2.280798e+08 ; 4.588104e+08 + i 1.621722e+09 ; -2.470943e+07 + i -6.355277e+07 ; 6.558311e+07 + i -1.392168e+08 ; -7.624757e+09 + i 1.440097e+10 ; 5.112823e+07 + i -1.370683e+08 ; 3.301897e+08 + i 9.271395e+08 ; -9.742585e+07 + i 1.148861e+09 ; 8.385631e+07 + i 2.489144e+07 ; 8.951404e+05 + i 4.392838e+08 ; -1.355221e+09 + i -3.153972e+09 ; 1.484678e+07 + i 4.137189e+08 ; 
4.964812e+06 + i -1.078138e+08 ; -7.883355e+05 + i -1.543953e+06 ; 1.698554e+06 + i 2.371746e+06 ; -1.782754e+07 + i -1.752830e+08 ; -2.078764e+06 + i -4.965698e+06 ; 4.294532e+07 + i 2.077071e+06 ; -2.012585e+07 + i -6.206988e+07 ; -7.653777e+04 + i -8.683593e+05 ; 2.986355e+06 + i 4.860493e+06 ; -3.825667e+07 + i -8.963394e+07 ; 2.359743e+06 + i -1.878571e+05 ; 1.477782e+07 + i -5.340267e+06 ; -1.418975e+07 + i 9.042237e+06 ; -1.785785e+06 + i -1.495454e+06 ; 5.330973e+06 + i 3.296701e+06 ; -1.489084e+07 + i 1.345504e+07 ; -3.688110e+06 + i -7.496347e+06 ; 4.580447e+07 + i -4.662667e+06 ; -8.411792e+06 + i 1.682193e+07 ; -2.288949e+06 + i -1.793452e+06 ; 4.912719e+06 + i 4.049709e+06 ; -7.209110e+06 + i 2.369782e+07 ; -5.759056e+06 + i -9.916239e+06 ; 1.635482e+07 + i -7.553758e+06 ; -3.160222e+08 + i -9.321155e+08 ; 6.103917e+07 + i 2.351206e+07 ; -1.202922e+08 + i 1.159411e+09 ; -8.158376e+07 + i -3.679073e+08 ; 7.614531e+07 + i 3.575103e+08 ; -1.359195e+09 + i -3.151318e+09 ; -1.655369e+08 + i -1.344022e+08 ; 1.524071e+08 + i 8.634794e+07 ; 4.153842e+08 + i -7.820149e+07 ; -7.027513e+07 + i -3.856446e+07 ; 3.993650e+08 + i 7.483157e+08 ; -9.756400e+07 + i 1.155335e+09 ; 6.508775e+07 + i 1.524801e+08 ; -2.955316e+07 + i -5.218629e+07 ; 4.693791e+08 + i 1.614562e+09 ; -7.316112e+07 + i 1.424779e+08 ; 3.261064e+07 + i -1.324011e+08 ; -7.613027e+09 + i 1.440292e+10 ; 3.797988e+07 + i 8.670673e+07 ; -4.040147e+07 + i -7.698349e+07 ; 4.215494e+08 + i -1.441231e+08 ; 2.773185e+07 + i 6.051050e+07 ; -3.544042e+07 + i -1.865447e+08 ; 4.699535e+08 + i 1.616623e+09 ; 
-1.141340e+06 + i 6.823733e+07 ; -1.085310e+07 + i 5.768312e+06 ; -1.088454e+07 + i 5.789870e+06 ; 2.403238e+07 + i 9.245766e+07 ; -7.283735e+07 + i -8.880829e+07 ; -7.289032e+07 + i -8.881735e+07 ; -1.238204e+08 + i -5.730766e+06 ; -2.844643e+06 + i 1.156306e+07 ; -3.060641e+07 + i 1.203927e+07 ; -1.500976e+08 + i 2.652953e+07 ; -3.073007e+07 + i -3.393774e+07 ; -1.086951e+08 + i -2.509875e+08 ; -1.237741e+08 + i -5.711556e+06 ; -3.064846e+07 + i 1.207687e+07 ; -2.846588e+06 + i 1.150643e+07 ; -1.499739e+08 + i 2.661682e+07 ; -1.087354e+08 + i -2.510661e+08 ; -3.047704e+07 + i -3.401739e+07 ; -4.403772e+07 + i -3.960490e+08 ; -1.818761e+07 + i 1.501458e+07 ; -1.816451e+07 + i 1.492729e+07 ; -2.082087e+08 + i -6.538376e+08 ; -1.185879e+07 + i -1.227818e+08 ; -1.172942e+07 + i -1.227030e+08 ; 4.139479e+08 + i -1.303739e+08 ; -3.564369e+07 + i -8.118206e+07 ; -3.560373e+07 + i -8.124723e+07 ; 4.018063e+08 + i -7.826893e+07 ; 1.607417e+08 + i 1.191261e+08 ; 1.609535e+08 + i 1.191663e+08 ; 4.418760e+08 + i 1.599781e+09 ; -2.421802e+07 + i -5.202329e+07 ; 1.140789e+06 + i -2.015078e+08 ; -1.111197e+08 + i 1.136280e+09 ; 7.965793e+07 + i 2.369217e+07 ; 3.481556e+08 + i 9.058172e+08 ; 4.420667e+08 + i 1.599640e+09 ; 1.119724e+06 + i -2.016036e+08 ; -2.407093e+07 + i -5.190396e+07 ; -1.107474e+08 + i 1.136363e+09 ; 3.484238e+08 + i 9.061194e+08 ; 7.884969e+07 + i 2.402729e+07 ; -7.623457e+09 + i 1.432701e+10 ; 4.907524e+07 + i -1.268613e+08 ; 4.917140e+07 + i -1.265040e+08 ; -1.348249e+09 + i -3.195134e+09 ; 2.848014e+07 + i 4.162957e+08 ; 2.792741e+07 + i 4.161755e+08 ; 
-4.033073e+07 + i -5.188385e+07 ; 1.727302e+07 + i -8.339759e+06 ; -4.806005e+06 + i 5.838096e+06 ; -6.750942e+07 + i -7.517879e+07 ; 9.106094e+07 + i 7.975316e+07 ; -3.600094e+07 + i -5.083104e+07 ; 1.545151e+07 + i 3.580130e+07 ; 1.574708e+07 + i -7.566964e+06 ; 8.117342e+06 + i 7.414551e+06 ; 2.231425e+07 + i 4.138782e+07 ; 1.128304e+08 + i 8.919486e+07 ; 1.045487e+06 + i 4.296987e+07 ; -5.445415e+07 + i -1.321151e+08 ; 4.943948e+07 + i -2.242567e+05 ; -1.778453e+06 + i 5.968635e+06 ; -1.321837e+08 + i -1.949259e+08 ; 3.850981e+07 + i 2.458363e+08 ; -2.266391e+06 + i -1.336499e+07 ; 3.214371e+05 + i 6.384924e+07 ; 4.487784e+07 + i -5.203691e+06 ; 6.118912e+06 + i 5.207806e+06 ; 1.296296e+07 + i 8.245557e+07 ; 1.069714e+08 + i 3.029590e+08 ; -1.457120e+06 + i 3.077235e+07 ; 6.232038e+07 + i 6.149207e+06 ; -1.180678e+08 + i 1.142043e+09 ; -3.217003e+08 + i -9.100608e+08 ; 1.499326e+08 + i 7.863932e+07 ; 4.135263e+08 + i -7.823369e+07 ; -1.601588e+08 + i -1.241446e+08 ; -3.202022e+07 + i -5.069690e+07 ; 4.663677e+08 + i 1.597169e+09 ; 6.578755e+07 + i 1.542470e+08 ; -4.599647e+07 + i -7.698275e+07 ; 4.212685e+08 + i -1.438623e+08 ; 4.104046e+07 + i 8.854309e+07 ; 6.095090e+07 + i 3.359772e+08 ; -1.357961e+09 + i -3.174883e+09 ; -8.317964e+07 + i -3.539840e+08 ; 3.935909e+08 + i 7.385716e+08 ; -9.884022e+07 + i 1.154092e+09 ; -7.236718e+07 + i -2.781735e+07 ; 2.892044e+07 + i -1.290633e+08 ; -7.614545e+09 + i 1.437654e+10 ; -6.757415e+07 + i 1.445182e+08 ; -2.984863e+07 + i -1.890138e+08 ; 4.685775e+08 + i 1.615253e+09 ; 2.608657e+07 + i 6.707569e+07 ; 
-4.033474e+07 + i -5.192667e+07 ; -4.826460e+06 + i 5.837525e+06 ; 1.726946e+07 + i -8.342086e+06 ; -6.747406e+07 + i -7.520706e+07 ; -3.602628e+07 + i -5.084507e+07 ; 9.099168e+07 + i 7.972275e+07 ; -5.451841e+07 + i -1.321250e+08 ; -1.765819e+06 + i 5.954462e+06 ; 4.935500e+07 + i -2.497091e+05 ; -1.322039e+08 + i -1.949301e+08 ; -2.228283e+06 + i -1.338546e+07 ; 3.858960e+07 + i 2.454741e+08 ; 1.540864e+07 + i 3.579421e+07 ; 8.115400e+06 + i 7.401994e+06 ; 1.570211e+07 + i -7.457351e+06 ; 2.227097e+07 + i 4.141223e+07 ; 1.085000e+06 + i 4.295482e+07 ; 1.127645e+08 + i 8.921026e+07 ; 4.553823e+05 + i 6.368881e+07 ; 6.125027e+06 + i 5.204259e+06 ; 4.468767e+07 + i -4.977772e+06 ; 1.309171e+07 + i 8.236661e+07 ; -1.451621e+06 + i 3.079281e+07 ; 1.068254e+08 + i 3.030615e+08 ; 6.251224e+07 + i 6.283136e+06 ; -3.217224e+08 + i -9.101469e+08 ; -1.181815e+08 + i 1.141961e+09 ; 1.498597e+08 + i 7.861340e+07 ; -1.602261e+08 + i -1.242028e+08 ; 4.133585e+08 + i -7.814583e+07 ; 6.077883e+07 + i 3.361446e+08 ; -8.308052e+07 + i -3.541006e+08 ; -1.356239e+09 + i -3.174996e+09 ; 3.936314e+08 + i 7.385143e+08 ; -7.228683e+07 + i -2.784082e+07 ; -9.894423e+07 + i 1.152699e+09 ; -3.183169e+07 + i -5.066519e+07 ; 6.616039e+07 + i 1.541120e+08 ; 4.691995e+08 + i 1.595640e+09 ; -4.572328e+07 + i -7.719889e+07 ; 4.111681e+07 + i 8.837977e+07 ; 4.205388e+08 + i -1.443602e+08 ; 2.857064e+07 + i -1.285956e+08 ; -6.759517e+07 + i 1.445586e+08 ; -7.613260e+09 + i 1.437734e+10 ; -2.969111e+07 + i -1.889954e+08 ; 2.609978e+07 + i 6.709488e+07 ; 4.682904e+08 + i 1.614202e+09 ; 
-1.414465e+07 + i 4.756834e+07 ; 2.899487e+05 + i 1.571482e+05 ; 2.835950e+05 + i 1.608023e+05 ; -1.694604e+05 + i 6.637176e+07 ; -1.289467e+07 + i 1.425794e+06 ; -1.294140e+07 + i 1.414825e+06 ; -8.981708e+07 + i -2.549681e+07 ; 2.446967e+06 + i 6.050473e+06 ; -1.435544e+06 + i 3.231429e+06 ; -1.203534e+08 + i -6.468595e+06 ; -2.656174e+06 + i 1.798246e+07 ; -2.812543e+07 + i -4.335284e+05 ; -8.975273e+07 + i -2.548752e+07 ; -1.438740e+06 + i 3.243352e+06 ; 2.432946e+06 + i 6.045716e+06 ; -1.202127e+08 + i -6.424968e+06 ; -2.813389e+07 + i -4.087993e+05 ; -2.586247e+06 + i 1.794484e+07 ; 1.574229e+07 + i -2.314647e+08 ; -2.729158e+06 + i 7.023063e+06 ; -2.761246e+06 + i 7.026461e+06 ; -4.056085e+07 + i -3.951395e+08 ; -2.104838e+07 + i 1.892280e+07 ; -2.102474e+07 + i 1.893892e+07 ; 4.079818e+08 + i -7.115501e+07 ; -1.591004e+08 + i -1.310241e+08 ; -1.593346e+08 + i -1.310326e+08 ; 4.180613e+08 + i -1.431452e+08 ; 1.270597e+07 + i 9.769556e+07 ; 1.271927e+07 + i 9.772844e+07 ; -1.260619e+08 + i 1.146251e+09 ; -6.128721e+07 + i -2.786063e+07 ; -2.882134e+08 + i -9.473027e+08 ; 4.649462e+08 + i 1.604324e+09 ; 2.613616e+07 + i 6.854193e+07 ; 5.437112e+07 + i 1.732538e+08 ; -1.259930e+08 + i 1.146254e+09 ; -2.884230e+08 + i -9.476983e+08 ; -6.045507e+07 + i -2.818186e+07 ; 4.655376e+08 + i 1.604132e+09 ; 5.431855e+07 + i 1.732210e+08 ; 2.604555e+07 + i 6.841156e+07 ; -1.362476e+09 + i -3.191985e+09 ; -6.986503e+07 + i -3.762110e+08 ; -6.930745e+07 + i -3.761526e+08 ; -7.603076e+09 + i 1.437836e+10 ; -7.384794e+07 + i 1.467247e+08 ; -7.381162e+07 + i 1.464171e+08 ; 
-1.803576e+07 + i -6.389182e+07 ; 3.263619e+06 + i 4.730019e+06 ; -1.461025e+06 + i 1.611875e+06 ; -3.479492e+07 + i -9.235921e+07 ; 1.554503e+07 + i -5.591497e+06 ; -4.882756e+06 + i 8.181739e+05 ; -1.154734e+07 + i 1.711663e+07 ; 5.011261e+06 + i 4.041424e+06 ; 2.621034e+06 + i 2.634307e+06 ; -1.196564e+07 + i 2.517898e+07 ; 1.679051e+07 + i -7.771432e+06 ; 4.986119e+06 + i 1.318402e+07 ; 1.086238e+07 + i -1.100570e+08 ; 1.976518e+06 + i 2.346919e+06 ; -1.633164e+06 + i 2.522275e+06 ; -8.826417e+06 + i -1.797745e+08 ; 4.361102e+07 + i 2.038480e+06 ; -2.138390e+06 + i 7.116093e+06 ; -1.613218e+07 + i 9.348457e+06 ; 5.299424e+06 + i 3.240953e+06 ; 2.118749e+06 + i 2.382546e+06 ; -1.721614e+07 + i 1.471773e+07 ; 4.592047e+07 + i -4.895954e+06 ; 3.307799e+06 + i 9.622938e+06 ; -1.603975e+08 + i -1.476695e+08 ; 4.173854e+08 + i -7.468914e+07 ; -1.616009e+08 + i -1.319099e+08 ; -6.123798e+07 + i -3.734919e+07 ; -1.128149e+08 + i 1.163164e+09 ; -2.903791e+08 + i -9.481148e+08 ; 8.194042e+06 + i 9.564545e+07 ; 4.240372e+08 + i -1.440706e+08 ; 1.271034e+07 + i 9.697113e+07 ; 2.286660e+07 + i 6.699536e+07 ; 4.709203e+08 + i 1.616552e+09 ; 5.448416e+07 + i 1.733002e+08 ; -2.813340e+08 + i -9.712038e+08 ; -1.170449e+08 + i 1.162229e+09 ; -6.204676e+07 + i -2.874459e+07 ; -6.468601e+07 + i -3.914009e+08 ; -1.369851e+09 + i -3.149285e+09 ; -7.083477e+07 + i -3.760351e+08 ; 5.134149e+07 + i 1.722614e+08 ; 4.715764e+08 + i 1.614484e+09 ; 2.633218e+07 + i 6.758394e+07 ; -7.660656e+07 + i 1.435500e+08 ; -7.611030e+09 + i 1.440207e+10 ; -7.376078e+07 + i 1.467194e+08 ; 
