-1.309147e+10 + i 4.310186e+09 ; -1.387812e+07 + i 1.845984e+08 ; -1.384906e+07 + i 1.846191e+08 ; 7.622680e+09 + i -3.745728e+09 ; -2.792208e+08 + i 4.463210e+08 ; -2.793463e+08 + i 4.463206e+08 ; -4.071717e+09 + i 2.626383e+09 ; 1.421654e+08 + i -2.908889e+08 ; 1.072753e+07 + i 1.430605e+08 ; 1.635984e+09 + i -2.195393e+09 ; 2.034793e+09 + i -8.793386e+08 ; -1.188970e+08 + i 2.958945e+08 ; -4.071733e+09 + i 2.626449e+09 ; 1.050860e+07 + i 1.429491e+08 ; 1.422425e+08 + i -2.909186e+08 ; 1.636058e+09 + i -2.195340e+09 ; -1.191242e+08 + i 2.956399e+08 ; 2.034843e+09 + i -8.793490e+08 ; -1.765893e+09 + i 1.846036e+09 ; 8.346431e+07 + i -2.271116e+08 ; 8.359254e+07 + i -2.271180e+08 ; 4.683274e+08 + i -1.502559e+09 ; 8.513774e+08 + i -5.306336e+08 ; 8.514313e+08 + i -5.306293e+08 ; 2.430978e+08 + i 1.531972e+08 ; -1.055337e+07 + i 6.472374e+07 ; -1.058869e+07 + i 6.472114e+07 ; 5.174157e+07 + i 2.481659e+07 ; 2.802837e+06 + i 3.375349e+07 ; 2.792604e+06 + i 3.375781e+07 ; 2.464886e+08 + i 8.024605e+07 ; 1.871043e+08 + i -1.385881e+08 ; -4.532771e+06 + i 5.700724e+07 ; 4.832318e+07 + i 2.960018e+07 ; 6.825291e+07 + i -7.197826e+07 ; 4.289346e+06 + i 3.115071e+07 ; 2.465463e+08 + i 8.023904e+07 ; -4.585493e+06 + i 5.696209e+07 ; 1.871244e+08 + i -1.385981e+08 ; 4.832425e+07 + i 2.959875e+07 ; 4.255433e+06 + i 3.112965e+07 ; 6.826572e+07 + i -7.198627e+07 ; 2.300944e+08 + i 3.861472e+07 ; 1.470866e+08 + i -1.219901e+08 ; 1.470940e+08 + i -1.219952e+08 ; 4.624957e+07 + i 3.090347e+07 ; 5.891312e+07 + i -6.685781e+07 ; 5.892289e+07 + i -6.686023e+07 ; 
1.360300e+07 + i -1.297636e+07 ; -2.348075e+06 + i 1.638844e+07 ; -6.347427e+07 + i 9.209904e+07 ; 1.499822e+06 + i -3.476315e+07 ; -8.970324e+06 + i 3.478188e+07 ; -1.695975e+08 + i 2.083654e+08 ; 1.516932e+07 + i -1.283621e+07 ; -7.892996e+06 + i -3.017940e+06 ; -7.140743e+07 + i 9.721072e+07 ; 7.689729e+06 + i -4.358693e+07 ; -1.166652e+07 + i -1.048113e+07 ; -2.073687e+08 + i 2.291603e+08 ; -8.622441e+06 + i -1.307509e+07 ; -1.542046e+07 + i 2.369699e+07 ; -7.319276e+07 + i -3.367350e+07 ; -8.171816e+07 + i -2.484195e+07 ; -5.262658e+07 + i 5.550053e+07 ; -9.684657e+07 + i -1.106502e+08 ; -9.891019e+06 + i -1.297360e+07 ; -6.015543e+06 + i -6.226830e+06 ; -7.458958e+07 + i -3.700625e+07 ; -9.574033e+07 + i -3.498211e+07 ; -5.735445e+06 + i -1.843572e+07 ; -9.209098e+07 + i -1.263173e+08 ; -6.941555e+07 + i 2.356906e+08 ; -7.329217e+07 + i 2.366300e+08 ; -1.757774e+09 + i 1.861124e+09 ; -1.532175e+07 + i -1.445717e+08 ; -1.300013e+08 + i 3.040928e+08 ; -4.064294e+09 + i 2.635374e+09 ; -1.257800e+08 + i 3.043668e+08 ; -1.695370e+07 + i -1.457651e+08 ; -4.065488e+09 + i 2.642598e+09 ; 7.609095e+06 + i -1.887933e+08 ; 6.338938e+06 + i -1.898691e+08 ; -1.308780e+10 + i 4.318446e+09 ; -8.380732e+08 + i 5.840624e+08 ; -8.443916e+08 + i 5.868978e+08 ; 4.847692e+08 + i -1.513079e+09 ; 1.117795e+08 + i -2.994667e+08 ; -2.040491e+09 + i 1.006171e+09 ; 1.658240e+09 + i -2.202180e+09 ; -2.034109e+09 + i 1.004819e+09 ; 1.102978e+08 + i -3.010929e+08 ; 1.653893e+09 + i -2.204232e+09 ; 2.671256e+08 + i -4.690082e+08 ; 2.659609e+08 + i -4.707072e+08 ; 7.646306e+09 + i -3.749917e+09 ; 
2.484473e+08 + i 8.081781e+07 ; 2.089040e+07 + i -8.767816e+07 ; 1.968883e+08 + i -1.719780e+08 ; 7.265462e+08 + i -6.225472e+08 ; 6.401858e+07 + i -1.265610e+08 ; 6.423142e+08 + i -3.192969e+08 ; 2.311475e+08 + i 3.896640e+07 ; -1.528392e+08 + i 1.411869e+08 ; 1.507605e+08 + i -1.472485e+08 ; 3.929381e+08 + i -4.895985e+08 ; -3.933500e+08 + i 2.228486e+08 ; 3.936031e+08 + i -2.366211e+08 ; 2.439068e+08 + i 1.532248e+08 ; 2.999949e+07 + i -1.013778e+08 ; -2.785601e+07 + i 1.048176e+08 ; 1.478983e+09 + i -8.360030e+08 ; 9.681904e+07 + i -1.613263e+08 ; -9.208306e+07 + i 1.723913e+08 ; 2.464886e+08 + i 8.016430e+07 ; -1.990515e+08 + i 1.642539e+08 ; -1.893690e+07 + i 9.051933e+07 ; 7.244113e+08 + i -6.243999e+08 ; -6.401343e+08 + i 2.979776e+08 ; -6.020217e+07 + i 1.333982e+08 ; -4.095874e+09 + i 2.730403e+09 ; 5.384244e+06 + i 1.355918e+08 ; -1.322705e+08 + i 2.455378e+08 ; 1.634615e+09 + i -2.199944e+09 ; -1.245504e+08 + i 2.887473e+08 ; -2.045873e+09 + i 9.646812e+08 ; -1.779932e+09 + i 1.938086e+09 ; 7.259178e+07 + i -2.055579e+08 ; -7.291239e+07 + i 2.035951e+08 ; 4.671177e+08 + i -1.504380e+09 ; 8.452813e+08 + i -5.323194e+08 ; -8.484200e+08 + i 5.626430e+08 ; -1.313366e+10 + i 4.428219e+09 ; -1.857296e+07 + i 1.771359e+08 ; 1.979955e+07 + i -1.758559e+08 ; 7.624376e+09 + i -3.744117e+09 ; -2.825529e+08 + i 4.463720e+08 ; 2.830848e+08 + i -4.318369e+08 ; -4.098377e+09 + i 2.730083e+09 ; 1.302275e+08 + i -2.662144e+08 ; -5.505247e+06 + i -1.362335e+08 ; 1.637167e+09 + i -2.193898e+09 ; 2.032835e+09 + i -8.961160e+08 ; 1.234075e+08 + i -2.897930e+08 ; 
-1.664243e+07 + i -3.004325e+07 ; -1.695774e+08 + i 2.080851e+08 ; -8.713573e+06 + i 3.681374e+07 ; -4.988390e+07 + i 7.777312e+07 ; -5.178932e+08 + i 4.340413e+08 ; -2.819868e+07 + i 6.854730e+07 ; -7.275539e+07 + i -5.241933e+07 ; -9.708862e+07 + i -1.109595e+08 ; -5.712392e+07 + i 6.339263e+07 ; -3.915034e+08 + i 1.903451e+08 ; -4.980416e+07 + i -2.765022e+08 ; -2.292823e+08 + i 1.478769e+08 ; -1.317447e+07 + i -3.680566e+07 ; -2.071436e+08 + i 2.289278e+08 ; -1.113904e+07 + i -1.463202e+07 ; -6.217370e+07 + i 8.893420e+07 ; -7.503179e+08 + i 5.089823e+08 ; -1.191441e+07 + i -3.077866e+07 ; -7.333802e+07 + i -7.327281e+07 ; -9.194653e+07 + i -1.263954e+08 ; -1.813336e+06 + i -2.748291e+07 ; -6.330148e+08 + i 2.607650e+08 ; 2.792813e+07 + i -3.372557e+08 ; 1.694438e+07 + i -6.333150e+07 ; 1.943194e+07 + i 1.222051e+08 ; -4.072240e+09 + i 2.659555e+09 ; -1.456590e+08 + i 2.722416e+08 ; 8.720104e+07 + i -2.307779e+08 ; -1.759283e+09 + i 1.860960e+09 ; -8.210829e+07 + i 2.267386e+08 ; -1.010640e+08 + i 2.635179e+08 ; 1.646022e+09 + i -2.218604e+09 ; -2.049982e+09 + i 9.805988e+08 ; 8.540731e+08 + i -5.434277e+08 ; 4.827321e+08 + i -1.516170e+09 ; -8.503697e+08 + i 5.736489e+08 ; -2.650317e+06 + i 1.638865e+08 ; -1.309638e+10 + i 4.344381e+09 ; 1.353421e+07 + i -1.851268e+08 ; 1.474102e+08 + i -2.975760e+08 ; -4.067162e+09 + i 2.642748e+09 ; -1.158909e+07 + i -1.436338e+08 ; -2.563277e+08 + i 4.207543e+08 ; 7.637817e+09 + i -3.760378e+09 ; 2.799162e+08 + i -4.336867e+08 ; 2.041527e+09 + i -9.121226e+08 ; 1.654346e+09 + i -2.204340e+09 ; 1.183712e+08 + i -2.915448e+08 ; 
7.418933e+07 + i 7.277153e+07 ; -1.304885e+06 + i -2.698667e+07 ; -9.263822e+07 + i -1.263267e+08 ; 6.326814e+08 + i -2.623443e+08 ; 1.870514e+07 + i -6.031676e+07 ; 2.809877e+07 + i -3.358874e+08 ; 7.300339e+07 + i 5.158422e+07 ; -5.799357e+07 + i 6.086332e+07 ; -9.748972e+07 + i -1.108293e+08 ; 3.910895e+08 + i -1.918930e+08 ; -2.289909e+08 + i 1.400139e+08 ; -4.918831e+07 + i -2.755586e+08 ; 1.325006e+07 + i 3.570611e+07 ; -1.078146e+07 + i -1.468944e+07 ; -2.074075e+08 + i 2.291029e+08 ; 6.055121e+07 + i -9.440540e+07 ; -1.092545e+07 + i -3.053161e+07 ; -7.496548e+08 + i 5.093666e+08 ; 1.636219e+07 + i 2.895027e+07 ; -9.701256e+06 + i 3.599501e+07 ; -1.699049e+08 + i 2.083085e+08 ; 4.862671e+07 + i -8.079815e+07 ; -2.954593e+07 + i 6.674120e+07 ; -5.177072e+08 + i 4.342601e+08 ; 2.651125e+08 + i -3.906273e+08 ; 2.873394e+08 + i -4.192402e+08 ; 7.636045e+09 + i -3.760427e+09 ; -2.044863e+09 + i 9.094732e+08 ; 1.233088e+08 + i -2.884959e+08 ; 1.652038e+09 + i -2.209899e+09 ; 1.057644e+08 + i -2.603464e+08 ; -2.039644e+09 + i 9.102581e+08 ; 1.645858e+09 + i -2.218377e+09 ; -8.574075e+08 + i 5.400593e+08 ; -8.504884e+08 + i 5.398109e+08 ; 4.816329e+08 + i -1.518949e+09 ; 7.134854e+06 + i -1.601893e+08 ; 1.571461e+07 + i -1.844247e+08 ; -1.309660e+10 + i 4.344635e+09 ; -1.558073e+08 + i 2.684253e+08 ; -8.831834e+06 + i -1.423594e+08 ; -4.068719e+09 + i 2.640964e+09 ; -1.615787e+07 + i -1.210786e+08 ; -1.517457e+08 + i 2.636962e+08 ; -4.075226e+09 + i 2.658615e+09 ; -9.254238e+07 + i 2.226635e+08 ; -8.695897e+07 + i 2.206643e+08 ; -1.762378e+09 + i 1.859566e+09 ; 
4.771268e+07 + i 2.957285e+07 ; -5.049404e+06 + i -3.112320e+07 ; 6.627977e+07 + i -7.821409e+07 ; 2.454642e+08 + i 7.923120e+07 ; 3.467087e+06 + i -5.707105e+07 ; 1.851654e+08 + i -1.540349e+08 ; 4.576389e+07 + i 3.078011e+07 ; -5.767621e+07 + i 6.938155e+07 ; 5.675951e+07 + i -7.262355e+07 ; 2.291933e+08 + i 3.774277e+07 ; -1.452356e+08 + i 1.277477e+08 ; 1.443674e+08 + i -1.351568e+08 ; 5.189107e+07 + i 2.489761e+07 ; -3.806753e+06 + i -3.402775e+07 ; 4.490462e+06 + i 3.396260e+07 ; 2.439381e+08 + i 1.532026e+08 ; 9.012932e+06 + i -6.563876e+07 ; -7.508740e+06 + i 6.533819e+07 ; 4.853154e+07 + i 2.951413e+07 ; -6.726258e+07 + i 7.461424e+07 ; 5.696329e+06 + i 3.099434e+07 ; 2.473130e+08 + i 8.004769e+07 ; -1.857820e+08 + i 1.450782e+08 ; -2.566991e+06 + i 5.653280e+07 ; 1.630478e+09 + i -2.204599e+09 ; 1.168400e+08 + i -2.951998e+08 ; 2.040468e+09 + i -1.017194e+09 ; -4.072290e+09 + i 2.626454e+09 ; -1.346603e+07 + i -1.439239e+08 ; 1.536796e+08 + i -2.561308e+08 ; 4.645690e+08 + i -1.507391e+09 ; -8.465611e+08 + i 5.613153e+08 ; 8.468256e+08 + i -5.936788e+08 ; -1.766160e+09 + i 1.845504e+09 ; -8.028301e+07 + i 2.313011e+08 ; 8.397949e+07 + i -2.260046e+08 ; 7.624377e+09 + i -3.744003e+09 ; 2.744966e+08 + i -4.553390e+08 ; -2.862729e+08 + i 4.230860e+08 ; -1.309216e+10 + i 4.310295e+09 ; 1.012785e+07 + i -1.871425e+08 ; -5.996399e+06 + i 1.901036e+08 ; 1.637573e+09 + i -2.195671e+09 ; -2.037001e+09 + i 9.410903e+08 ; -1.188107e+08 + i 2.921558e+08 ; -4.072083e+09 + i 2.626347e+09 ; -1.407177e+08 + i 2.936952e+08 ; 1.496777e+07 + i 1.451271e+08 ; 
1.357337e+07 + i -1.303501e+07 ; -6.353774e+07 + i 9.208955e+07 ; -2.709174e+06 + i 1.637105e+07 ; 1.468885e+06 + i -3.488337e+07 ; -1.697088e+08 + i 2.082986e+08 ; -9.952824e+06 + i 3.444144e+07 ; -8.581869e+06 + i -1.306766e+07 ; -7.333442e+07 + i -3.375007e+07 ; -1.548512e+07 + i 2.378176e+07 ; -8.149695e+07 + i -2.459329e+07 ; -9.715685e+07 + i -1.109306e+08 ; -5.293184e+07 + i 5.561234e+07 ; 1.507725e+07 + i -1.289021e+07 ; -7.141146e+07 + i 9.721883e+07 ; -7.756252e+06 + i -3.095596e+06 ; 7.514306e+06 + i -4.378258e+07 ; -2.073903e+08 + i 2.291466e+08 ; -1.127881e+07 + i -1.054710e+07 ; -9.922381e+06 + i -1.295920e+07 ; -7.456423e+07 + i -3.702438e+07 ; -5.629302e+06 + i -6.224192e+06 ; -9.574375e+07 + i -3.481802e+07 ; -9.204884e+07 + i -1.263803e+08 ; -4.726970e+06 + i -1.807796e+07 ; -7.024987e+07 + i 2.348177e+08 ; -1.758509e+09 + i 1.860797e+09 ; -8.393445e+07 + i 2.259037e+08 ; -1.482480e+07 + i -1.443018e+08 ; -4.064978e+09 + i 2.634817e+09 ; -1.458199e+08 + i 2.686233e+08 ; -8.342592e+08 + i 5.886119e+08 ; 4.824832e+08 + i -1.516421e+09 ; -8.477185e+08 + i 5.874686e+08 ; 1.150470e+08 + i -2.964480e+08 ; 1.655663e+09 + i -2.208516e+09 ; -2.045855e+09 + i 1.004444e+09 ; -1.299272e+08 + i 2.988242e+08 ; -4.065779e+09 + i 2.642727e+09 ; -1.128642e+07 + i -1.442278e+08 ; 7.625787e+06 + i -1.886498e+08 ; -1.308826e+10 + i 4.318399e+09 ; 1.429664e+07 + i -1.848959e+08 ; -2.032730e+09 + i 1.009408e+09 ; 1.654044e+09 + i -2.204501e+09 ; 1.227315e+08 + i -2.886829e+08 ; 2.683742e+08 + i -4.657869e+08 ; 7.647376e+09 + i -3.749039e+09 ; 2.811837e+08 + i -4.354736e+08 ; 
9.495720e+06 + i 1.335530e+07 ; -5.403358e+06 + i -6.413341e+06 ; -7.469807e+07 + i -3.701420e+07 ; 9.450000e+07 + i 3.586988e+07 ; -4.506735e+06 + i -1.860523e+07 ; -9.177742e+07 + i -1.267285e+08 ; 8.370722e+06 + i 1.341913e+07 ; -1.585371e+07 + i 2.281640e+07 ; -7.334871e+07 + i -3.373391e+07 ; 8.092353e+07 + i 2.581777e+07 ; -5.363019e+07 + i 5.273011e+07 ; -9.674632e+07 + i -1.112585e+08 ; -1.495872e+07 + i 1.330342e+07 ; -7.617124e+06 + i -3.265591e+06 ; -7.140909e+07 + i 9.736640e+07 ; -7.783925e+06 + i 4.541063e+07 ; -1.107101e+07 + i -1.079535e+07 ; -2.070618e+08 + i 2.290681e+08 ; -1.333464e+07 + i 1.333145e+07 ; -3.116896e+06 + i 1.601923e+07 ; -6.355850e+07 + i 9.226538e+07 ; -1.431727e+06 + i 3.625552e+07 ; -1.078352e+07 + i 3.356103e+07 ; -1.696261e+08 + i 2.082353e+08 ; 2.031827e+09 + i -1.010592e+09 ; 1.260337e+08 + i -2.889149e+08 ; 1.648573e+09 + i -2.212961e+09 ; -2.895612e+08 + i 4.188230e+08 ; 2.893315e+08 + i -4.207918e+08 ; 7.647273e+09 + i -3.748898e+09 ; 8.384634e+08 + i -5.844288e+08 ; -8.493248e+08 + i 5.519652e+08 ; 4.792886e+08 + i -1.520168e+09 ; -1.210555e+08 + i 2.934707e+08 ; -2.038556e+09 + i 9.316846e+08 ; 1.656750e+09 + i -2.208400e+09 ; 1.500141e+08 + i -2.530801e+08 ; -9.367542e+06 + i -1.432539e+08 ; -4.069254e+09 + i 2.640912e+09 ; -8.049708e+06 + i 1.889743e+08 ; 1.624958e+07 + i -1.842798e+08 ; -1.308712e+10 + i 4.318328e+09 ; 7.988042e+07 + i -2.237892e+08 ; -8.940273e+07 + i 2.199034e+08 ; -1.762933e+09 + i 1.859587e+09 ; 1.283264e+07 + i 1.438789e+08 ; -1.522051e+08 + i 2.599577e+08 ; -4.067302e+09 + i 2.633575e+09 ; 
2.323259e+08 + i 3.944220e+07 ; 1.486149e+08 + i -1.501447e+08 ; 1.485989e+08 + i -1.501452e+08 ; 3.943664e+08 + i -4.883901e+08 ; 3.910912e+08 + i -2.442334e+08 ; 3.910803e+08 + i -2.442371e+08 ; 2.478071e+08 + i 8.081351e+07 ; -1.766715e+07 + i 9.125687e+07 ; 1.951058e+08 + i -1.755646e+08 ; 7.259374e+08 + i -6.226031e+08 ; -5.769801e+07 + i 1.347096e+08 ; 6.405528e+08 + i -3.306097e+08 ; 2.477170e+08 + i 8.084812e+07 ; 1.951272e+08 + i -1.755697e+08 ; -1.775603e+07 + i 9.121212e+07 ; 7.258008e+08 + i -6.225563e+08 ; 6.405785e+08 + i -3.306122e+08 ; -5.779870e+07 + i 1.346367e+08 ; 2.429307e+08 + i 1.532060e+08 ; -2.579506e+07 + i 1.059786e+08 ; -2.579477e+07 + i 1.059784e+08 ; 1.477835e+09 + i -8.362547e+08 ; -8.754817e+07 + i 1.756019e+08 ; -8.752633e+07 + i 1.756095e+08 ; -1.778861e+09 + i 1.938127e+09 ; -7.484778e+07 + i 2.027972e+08 ; -7.479411e+07 + i 2.027881e+08 ; 4.649913e+08 + i -1.507453e+09 ; -8.394406e+08 + i 5.819514e+08 ; -8.393932e+08 + i 5.819618e+08 ; -4.096410e+09 + i 2.730643e+09 ; -7.692727e+06 + i -1.372283e+08 ; -1.367637e+08 + i 2.440984e+08 ; 1.635007e+09 + i -2.199645e+09 ; 1.274069e+08 + i -2.865985e+08 ; -2.040108e+09 + i 1.001793e+09 ; -4.096459e+09 + i 2.730703e+09 ; -1.368004e+08 + i 2.441129e+08 ; -7.480810e+06 + i -1.371414e+08 ; 1.635055e+09 + i -2.199598e+09 ; -2.040165e+09 + i 1.001795e+09 ; 1.277330e+08 + i -2.863633e+08 ; -1.313497e+10 + i 4.428514e+09 ; 1.750289e+07 + i -1.772367e+08 ; 1.751492e+07 + i -1.772219e+08 ; 7.626255e+09 + i -3.742985e+09 ; 2.824848e+08 + i -4.351911e+08 ; 2.823992e+08 + i -4.352010e+08 ; 
7.434026e+07 + i 5.078014e+07 ; -9.776515e+07 + i -1.108079e+08 ; 5.611280e+07 + i -6.444612e+07 ; 3.900480e+08 + i -1.979674e+08 ; -4.974700e+07 + i -2.756968e+08 ; 2.274358e+08 + i -1.520792e+08 ; 1.680133e+07 + i 2.872048e+07 ; -1.699149e+08 + i 2.083296e+08 ; 8.812292e+06 + i -3.706031e+07 ; 4.657762e+07 + i -8.222357e+07 ; -5.176588e+08 + i 4.343364e+08 ; 2.895345e+07 + i -6.850978e+07 ; 7.536595e+07 + i 7.170362e+07 ; -9.238894e+07 + i -1.262966e+08 ; 1.604249e+06 + i 2.762697e+07 ; 6.312421e+08 + i -2.729133e+08 ; 2.890377e+07 + i -3.355818e+08 ; -1.729604e+07 + i 6.342390e+07 ; 1.351979e+07 + i 3.547914e+07 ; -2.073260e+08 + i 2.290241e+08 ; 1.163082e+07 + i 1.449103e+07 ; 5.807608e+07 + i -9.620801e+07 ; -7.495153e+08 + i 5.092506e+08 ; 1.315796e+07 + i 3.084771e+07 ; 1.093223e+08 + i -2.562120e+08 ; 1.641838e+09 + i -2.221603e+09 ; 2.035667e+09 + i -1.022580e+09 ; -8.513368e+08 + i 5.579015e+08 ; 4.783373e+08 + i -1.520338e+09 ; 8.387200e+08 + i -5.925559e+08 ; -1.837006e+07 + i -1.218650e+08 ; -4.074361e+09 + i 2.659388e+09 ; 1.586183e+08 + i -2.559159e+08 ; -9.431202e+07 + i 2.235781e+08 ; -1.761972e+09 + i 1.859973e+09 ; 8.373094e+07 + i -2.249200e+08 ; 2.662114e+08 + i -3.946228e+08 ; 7.638704e+09 + i -3.759583e+09 ; -2.890399e+08 + i 4.215074e+08 ; -2.042064e+09 + i 9.429148e+08 ; 1.652994e+09 + i -2.210390e+09 ; -1.207201e+08 + i 2.894919e+08 ; 5.254781e+06 + i -1.614865e+08 ; -1.309573e+10 + i 4.344300e+09 ; -3.239094e+06 + i 1.911323e+08 ; -1.591483e+08 + i 2.695923e+08 ; -4.068062e+09 + i 2.640729e+09 ; 1.765698e+07 + i 1.452039e+08 ; 
7.431704e+07 + i 5.077095e+07 ; 5.611464e+07 + i -6.444731e+07 ; -9.778131e+07 + i -1.107974e+08 ; 3.900583e+08 + i -1.979688e+08 ; 2.274312e+08 + i -1.520748e+08 ; -4.968728e+07 + i -2.757066e+08 ; 7.538078e+07 + i 7.170407e+07 ; 1.618754e+06 + i 2.762320e+07 ; -9.250990e+07 + i -1.263349e+08 ; 6.312438e+08 + i -2.729080e+08 ; -1.727483e+07 + i 6.342366e+07 ; 2.875789e+07 + i -3.357031e+08 ; 1.678684e+07 + i 2.871157e+07 ; 8.824147e+06 + i -3.706437e+07 ; -1.700136e+08 + i 2.083649e+08 ; 4.658585e+07 + i -8.222955e+07 ; 2.897215e+07 + i -6.850786e+07 ; -5.178373e+08 + i 4.342843e+08 ; 1.352847e+07 + i 3.547380e+07 ; 1.163328e+07 + i 1.448809e+07 ; -2.073692e+08 + i 2.290400e+08 ; 5.808971e+07 + i -9.620250e+07 ; 1.315694e+07 + i 3.084753e+07 ; -7.494747e+08 + i 5.092603e+08 ; 1.094259e+08 + i -2.561865e+08 ; 2.035665e+09 + i -1.022575e+09 ; 1.641814e+09 + i -2.221605e+09 ; -8.513135e+08 + i 5.578972e+08 ; 8.387229e+08 + i -5.925456e+08 ; 4.782477e+08 + i -1.520420e+09 ; 2.661587e+08 + i -3.946167e+08 ; -2.889732e+08 + i 4.215094e+08 ; 7.637955e+09 + i -3.760054e+09 ; -2.042074e+09 + i 9.429222e+08 ; -1.206551e+08 + i 2.894878e+08 ; 1.652347e+09 + i -2.210739e+09 ; -1.828548e+07 + i -1.218515e+08 ; 1.587177e+08 + i -2.559053e+08 ; -4.075678e+09 + i 2.658543e+09 ; -9.423253e+07 + i 2.235810e+08 ; 8.381830e+07 + i -2.249127e+08 ; -1.763041e+09 + i 1.859533e+09 ; 5.243575e+06 + i -1.614557e+08 ; -3.225127e+06 + i 1.911189e+08 ; -1.309569e+10 + i 4.344385e+09 ; -1.591544e+08 + i 2.696014e+08 ; 1.767293e+07 + i 1.451985e+08 ; -4.068178e+09 + i 2.640654e+09 ; 
4.513419e+07 + i 3.070223e+07 ; 5.527375e+07 + i -7.399018e+07 ; 5.526090e+07 + i -7.398619e+07 ; 2.278431e+08 + i 3.708161e+07 ; 1.416280e+08 + i -1.388017e+08 ; 1.416135e+08 + i -1.388040e+08 ; 4.793076e+07 + i 2.938777e+07 ; 6.027095e+06 + i 3.088070e+07 ; 6.502676e+07 + i -7.980487e+07 ; 2.459305e+08 + i 7.913323e+07 ; -1.907695e+06 + i 5.618475e+07 ; 1.828270e+08 + i -1.584106e+08 ; 4.795183e+07 + i 2.935236e+07 ; 6.503475e+07 + i -7.980949e+07 ; 5.976026e+06 + i 3.086994e+07 ; 2.460156e+08 + i 7.908668e+07 ; 1.828377e+08 + i -1.584117e+08 ; -1.988370e+06 + i 5.614681e+07 ; 5.225007e+07 + i 2.465393e+07 ; 5.155353e+06 + i 3.385675e+07 ; 5.159670e+06 + i 3.385739e+07 ; 2.448056e+08 + i 1.530820e+08 ; -6.205213e+06 + i 6.518179e+07 ; -6.175852e+06 + i 6.518448e+07 ; 4.594187e+08 + i -1.511299e+09 ; 8.310992e+08 + i -6.135087e+08 ; 8.310527e+08 + i -6.135142e+08 ; -1.766785e+09 + i 1.845724e+09 ; 8.931608e+07 + i -2.254892e+08 ; 8.927076e+07 + i -2.254940e+08 ; 1.631481e+09 + i -2.204247e+09 ; -1.280427e+08 + i 2.892478e+08 ; 2.025805e+09 + i -1.057377e+09 ; -4.072034e+09 + i 2.626270e+09 ; 1.999724e+07 + i 1.453735e+08 ; 1.629851e+08 + i -2.557254e+08 ; 1.631703e+09 + i -2.204265e+09 ; 2.025864e+09 + i -1.057386e+09 ; -1.283618e+08 + i 2.890204e+08 ; -4.071912e+09 + i 2.626256e+09 ; 1.630203e+08 + i -2.557323e+08 ; 1.978401e+07 + i 1.452769e+08 ; 7.628547e+09 + i -3.742389e+09 ; -2.895954e+08 + i 4.268819e+08 ; -2.895210e+08 + i 4.269031e+08 ; -1.309169e+10 + i 4.309998e+09 ; -1.321732e+05 + i 1.904039e+08 ; -1.246225e+05 + i 1.903895e+08 ; 
8.529773e+06 + i 1.352235e+07 ; -7.345711e+07 + i -3.371363e+07 ; 1.498041e+07 + i -2.396060e+07 ; 8.141762e+07 + i 2.468699e+07 ; -9.709460e+07 + i -1.113047e+08 ; 5.180422e+07 + i -5.658851e+07 ; -1.300980e+07 + i 1.372442e+07 ; -6.353965e+07 + i 9.227161e+07 ; 2.696186e+06 + i -1.648887e+07 ; -1.587657e+04 + i 3.673553e+07 ; -1.695392e+08 + i 2.082465e+08 ; 1.020451e+07 + i -3.475931e+07 ; 9.886081e+06 + i 1.338652e+07 ; -7.457294e+07 + i -3.705693e+07 ; 5.590454e+06 + i 6.319728e+06 ; 9.570742e+07 + i 3.470738e+07 ; -9.153000e+07 + i -1.268310e+08 ; 4.910676e+06 + i 1.831661e+07 ; -1.445430e+07 + i 1.362672e+07 ; -7.134834e+07 + i 9.730985e+07 ; 8.042537e+06 + i 2.951967e+06 ; -6.054477e+06 + i 4.589776e+07 ; -2.069313e+08 + i 2.289600e+08 ; 1.227493e+07 + i 1.035311e+07 ; 8.234164e+08 + i -6.045450e+08 ; 4.753745e+08 + i -1.521391e+09 ; 8.296022e+08 + i -6.073573e+08 ; -1.315072e+08 + i 2.855919e+08 ; 1.652291e+09 + i -2.211570e+09 ; 2.024023e+09 + i -1.049494e+09 ; 8.515955e+07 + i -2.234018e+08 ; -1.762709e+09 + i 1.860206e+09 ; 8.908343e+07 + i -2.241871e+08 ; 1.746157e+07 + i 1.441804e+08 ; -4.066253e+09 + i 2.634293e+09 ; 1.624584e+08 + i -2.530397e+08 ; 2.017842e+09 + i -1.048118e+09 ; 1.648766e+09 + i -2.213432e+09 ; -1.303141e+08 + i 2.870591e+08 ; -2.925030e+08 + i 4.231337e+08 ; 7.650277e+09 + i -3.748265e+09 ; -2.915771e+08 + i 4.242839e+08 ; 1.581332e+08 + i -2.538278e+08 ; -4.068525e+09 + i 2.640607e+09 ; 1.900415e+07 + i 1.452768e+08 ; -2.664862e+06 + i 1.892066e+08 ; -1.308613e+10 + i 4.317833e+09 ; -1.460493e+06 + i 1.900900e+08 ; 
