-4.626949e+09 + i 7.747018e+08 ; -1.819270e+07 + i 7.496502e+05 ; -1.819630e+07 + i 7.506886e+05 ; 1.122463e+09 + i -3.335737e+08 ; 8.218081e+07 + i -1.606310e+07 ; 8.217331e+07 + i -1.606557e+07 ; -5.335606e+08 + i 1.534957e+08 ; -4.416526e+07 + i 8.252436e+06 ; -9.508828e+06 + i 1.599323e+06 ; -2.114474e+08 + i 2.519271e+07 ; 2.696716e+08 + i -8.614689e+07 ; 1.513259e+07 + i -5.614076e+06 ; -5.335556e+08 + i 1.534981e+08 ; -9.509988e+06 + i 1.596314e+06 ; -4.416669e+07 + i 8.251012e+06 ; -2.114431e+08 + i 2.519707e+07 ; 1.517293e+07 + i -5.602632e+06 ; 2.696733e+08 + i -8.614632e+07 ; -5.182420e+07 + i 3.685884e+07 ; -1.990198e+07 + i 5.115402e+06 ; -1.988737e+07 + i 5.119523e+06 ; -3.819777e+07 + i 2.310747e+07 ; 6.076166e+07 + i -2.481313e+07 ; 6.076302e+07 + i -2.481308e+07 ; 1.062971e+08 + i -2.478229e+07 ; -7.649611e+05 + i -3.942955e+05 ; -7.640336e+05 + i -3.942647e+05 ; 5.482850e+07 + i -1.081214e+07 ; -7.313396e+05 + i 9.961888e+04 ; -7.313971e+05 + i 9.967541e+04 ; 2.458432e+07 + i -1.206027e+07 ; 8.158157e+06 + i -4.166986e+06 ; -1.172781e+06 + i -7.953337e+04 ; 1.828769e+07 + i -7.715631e+06 ; 1.618876e+06 + i -9.182662e+05 ; -7.193320e+05 + i 1.294006e+05 ; 2.458786e+07 + i -1.205879e+07 ; -1.169089e+06 + i -7.862228e+04 ; 8.158439e+06 + i -4.166907e+06 ; 1.828888e+07 + i -7.714904e+06 ; -7.185911e+05 + i 1.294274e+05 ; 1.618806e+06 + i -9.182957e+05 ; 3.631979e+06 + i -4.582394e+06 ; 5.181321e+06 + i -2.767785e+06 ; 5.180676e+06 + i -2.768016e+06 ; 5.816248e+06 + i -4.190766e+06 ; 1.213017e+06 + i -7.114582e+05 ; 1.213007e+06 + i -7.114356e+05 ; 
1.267384e+06 + i 3.240883e+05 ; 9.657931e+05 + i -2.923180e+05 ; -3.687957e+06 + i 1.679774e+06 ; 2.809066e+06 + i 9.964606e+04 ; 3.278006e+06 + i -7.718740e+05 ; -8.474113e+06 + i 4.208819e+06 ; 4.909503e+05 + i 5.926529e+05 ; 7.316169e+05 + i -2.135721e+05 ; -4.636959e+06 + i 1.967939e+06 ; 1.640079e+06 + i 5.718955e+05 ; 2.184154e+06 + i -4.537453e+05 ; -1.062398e+07 + i 5.628565e+06 ; -1.543841e+07 + i 3.700474e+06 ; -2.640317e+03 + i 1.295420e+05 ; -3.359618e+06 + i 1.534571e+06 ; -2.612208e+07 + i 7.130315e+06 ; -1.994698e+06 + i 9.660432e+05 ; -8.000676e+06 + i 3.839322e+06 ; -2.355486e+07 + i 4.397287e+06 ; 6.342079e+05 + i -1.165607e+05 ; -4.129168e+06 + i 1.788098e+06 ; -4.406956e+07 + i 1.000244e+07 ; 1.162361e+06 + i -1.704822e+05 ; -1.099657e+07 + i 5.279216e+06 ; 2.150208e+07 + i -4.927645e+06 ; 2.205673e+07 + i -5.153706e+06 ; -5.278185e+07 + i 3.721036e+07 ; 9.766302e+06 + i -1.416873e+06 ; 4.951737e+07 + i -7.827080e+06 ; -5.366458e+08 + i 1.539070e+08 ; 4.883477e+07 + i -7.581943e+06 ; 1.017691e+07 + i -1.566203e+06 ; -5.360081e+08 + i 1.537023e+08 ; 1.952918e+07 + i -1.243132e+05 ; 2.012635e+07 + i -2.853932e+05 ; -4.631693e+09 + i 7.749820e+08 ; -7.057967e+07 + i 2.667027e+07 ; -6.770534e+07 + i 2.626075e+07 ; -3.969363e+07 + i 2.379232e+07 ; -1.679398e+07 + i 6.372125e+06 ; -3.042381e+08 + i 8.813480e+07 ; -2.157173e+08 + i 2.629113e+07 ; -3.083270e+08 + i 8.851452e+07 ; -1.528841e+07 + i 6.192608e+06 ; -2.150731e+08 + i 2.610095e+07 ; -9.490400e+07 + i 1.556120e+07 ; -9.271858e+07 + i 1.542343e+07 ; 1.113949e+09 + i -3.324457e+08 ; 
2.450357e+07 + i -1.208286e+07 ; -1.362150e+05 + i 5.429786e+05 ; 6.115213e+06 + i -3.895278e+06 ; 3.024361e+07 + i -1.746719e+07 ; -1.040280e+07 + i 3.055295e+06 ; 8.607946e+07 + i -2.640663e+07 ; 3.599209e+06 + i -4.588722e+06 ; -4.635459e+06 + i 2.604769e+06 ; 4.996530e+06 + i -2.705240e+06 ; -4.202486e+06 + i -2.761078e+06 ; -3.640663e+07 + i 1.331321e+07 ; 3.914198e+07 + i -1.358729e+07 ; 1.063277e+08 + i -2.476681e+07 ; -3.188167e+05 + i 1.032974e+06 ; 4.875745e+05 + i -1.059380e+06 ; 2.198318e+08 + i -6.319546e+07 ; -2.463621e+07 + i 5.254135e+06 ; 2.667177e+07 + i -5.102279e+06 ; 2.458032e+07 + i -1.206229e+07 ; -5.652513e+06 + i 3.736926e+06 ; 2.265697e+05 + i -5.640170e+05 ; 3.015839e+07 + i -1.749485e+07 ; -8.012001e+07 + i 2.602434e+07 ; 1.130382e+07 + i -3.044509e+06 ; -5.294852e+08 + i 1.518686e+08 ; -7.726193e+06 + i 1.255318e+06 ; 4.333490e+07 + i -7.767428e+06 ; -2.118914e+08 + i 2.515728e+07 ; 1.552416e+07 + i -5.956500e+06 ; -2.970896e+08 + i 8.846132e+07 ; -5.062341e+07 + i 3.609424e+07 ; -1.745166e+07 + i 4.511926e+06 ; 1.866154e+07 + i -4.518721e+06 ; -3.826629e+07 + i 2.313438e+07 ; 6.295841e+07 + i -2.536809e+07 ; -6.740905e+07 + i 2.608225e+07 ; -4.614988e+09 + i 7.721467e+08 ; -1.633892e+07 + i 3.353501e+05 ; 1.689623e+07 + i -2.983324e+05 ; 1.122341e+09 + i -3.336172e+08 ; 8.463982e+07 + i -1.627749e+07 ; -8.949988e+07 + i 1.633076e+07 ; -5.292188e+08 + i 1.519882e+08 ; -4.177112e+07 + i 7.509018e+06 ; 8.179613e+06 + i -1.210446e+06 ; -2.117186e+08 + i 2.521526e+07 ; 2.771772e+08 + i -8.707784e+07 ; -1.672149e+07 + i 6.062947e+06 ; 
7.843419e+06 + i -1.496562e+06 ; -8.404945e+06 + i 4.223782e+06 ; 2.334673e+06 + i -6.985177e+05 ; 1.124242e+07 + i -2.714308e+06 ; -4.725121e+07 + i 1.753424e+07 ; 9.270609e+06 + i -1.789542e+06 ; -2.104822e+07 + i 6.751917e+06 ; -8.008610e+06 + i 3.835908e+06 ; -6.631184e+05 + i 7.481700e+05 ; -3.734583e+07 + i 1.337175e+07 ; -3.401211e+07 + i 1.119477e+07 ; -2.166582e+07 + i 7.512255e+06 ; 1.107602e+07 + i -1.496889e+06 ; -1.050520e+07 + i 5.668031e+06 ; 1.575879e+06 + i -4.177469e+05 ; 1.787415e+07 + i -3.584326e+06 ; -1.037648e+08 + i 3.044728e+07 ; 5.162475e+06 + i -6.542042e+05 ; -3.962211e+07 + i 1.068434e+07 ; -1.100314e+07 + i 5.274460e+06 ; 9.347701e+05 + i -3.350723e+04 ; -7.961012e+07 + i 2.624006e+07 ; -6.360199e+07 + i 1.409501e+07 ; -3.779529e+06 + i 9.523450e+05 ; -9.908706e+06 + i 1.822927e+06 ; -5.323543e+08 + i 1.531510e+08 ; 4.571809e+07 + i -8.515623e+06 ; -2.087771e+07 + i 5.320326e+06 ; -5.275894e+07 + i 3.718808e+07 ; 2.169273e+07 + i -5.103125e+06 ; 1.129835e+07 + i -4.847476e+06 ; -2.125026e+08 + i 2.564600e+07 ; -2.957497e+08 + i 8.820184e+07 ; 6.061608e+07 + i -2.479071e+07 ; -3.979013e+07 + i 2.378692e+07 ; -6.708027e+07 + i 2.587202e+07 ; -1.852200e+07 + i 1.037870e+06 ; -4.626531e+09 + i 7.742199e+08 ; 1.886932e+07 + i -7.028885e+05 ; -4.459774e+07 + i 8.329890e+06 ; -5.355841e+08 + i 1.538110e+08 ; 1.029120e+07 + i -1.518219e+06 ; 7.721110e+07 + i -1.477145e+07 ; 1.118023e+09 + i -3.330372e+08 ; -8.743714e+07 + i 1.613235e+07 ; 2.740517e+08 + i -8.650052e+07 ; -2.151177e+08 + i 2.609435e+07 ; -1.641657e+07 + i 5.870481e+06 ; 
3.955518e+07 + i -1.068711e+07 ; 9.161698e+05 + i -3.195079e+04 ; -1.088416e+07 + i 5.311310e+06 ; 7.940744e+07 + i -2.627389e+07 ; -3.455121e+06 + i 9.671420e+05 ; -6.343605e+07 + i 1.414390e+07 ; 2.105053e+07 + i -6.742083e+06 ; -5.894121e+05 + i 7.168847e+05 ; -7.943965e+06 + i 3.851642e+06 ; 3.723302e+07 + i -1.338624e+07 ; -2.013060e+07 + i 7.368468e+06 ; -3.395307e+07 + i 1.121117e+07 ; -1.117224e+07 + i 1.464300e+06 ; 1.458588e+06 + i -4.201998e+05 ; -1.058782e+07 + i 5.638512e+06 ; -1.824781e+07 + i 3.478107e+06 ; 4.805173e+06 + i -6.990059e+05 ; -1.038558e+08 + i 3.041269e+07 ; -7.891227e+06 + i 1.486010e+06 ; 2.173249e+06 + i -6.892974e+05 ; -8.466283e+06 + i 4.206417e+06 ; -1.143388e+07 + i 2.677265e+06 ; 8.642191e+06 + i -1.816028e+06 ; -4.728882e+07 + i 1.751800e+07 ; -7.588764e+07 + i 1.517247e+07 ; -8.154141e+07 + i 1.647315e+07 ; 1.118447e+09 + i -3.329358e+08 ; -2.742710e+08 + i 8.658098e+07 ; -1.545293e+07 + i 5.704932e+06 ; -2.151972e+08 + i 2.605091e+07 ; -1.137130e+07 + i 4.766169e+06 ; -2.759608e+08 + i 8.687725e+07 ; -2.124227e+08 + i 2.566693e+07 ; -6.047921e+07 + i 2.482263e+07 ; -6.246455e+07 + i 2.520944e+07 ; -3.975924e+07 + i 2.379983e+07 ; 1.853807e+07 + i -1.168587e+06 ; 1.803301e+07 + i -8.467108e+05 ; -4.626510e+09 + i 7.742314e+08 ; 4.313671e+07 + i -8.788951e+06 ; 9.532013e+06 + i -1.610023e+06 ; -5.354852e+08 + i 1.538190e+08 ; 9.662191e+06 + i -1.861284e+06 ; 4.261892e+07 + i -8.709531e+06 ; -5.319203e+08 + i 1.532516e+08 ; 2.057372e+07 + i -5.333611e+06 ; 2.019584e+07 + i -5.117176e+06 ; -5.271120e+07 + i 3.716557e+07 ; 
1.823769e+07 + i -7.727060e+06 ; 7.635784e+05 + i -1.321202e+05 ; 1.693887e+06 + i -9.748357e+05 ; 2.460175e+07 + i -1.204315e+07 ; 1.273336e+06 + i 9.313667e+04 ; 8.997906e+06 + i -4.396321e+06 ; 5.786201e+06 + i -4.194963e+06 ; -1.265220e+06 + i 7.276837e+05 ; 1.295463e+06 + i -7.504614e+05 ; 3.613279e+06 + i -4.580763e+06 ; -5.403994e+06 + i 2.832912e+06 ; 5.743098e+06 + i -2.921612e+06 ; 5.483719e+07 + i -1.080361e+07 ; 7.805928e+05 + i -1.020723e+05 ; -1.175933e+06 + i 1.931508e+04 ; 1.063882e+08 + i -2.474640e+07 ; 8.539550e+05 + i 4.155615e+05 ; -1.581704e+06 + i -5.822578e+05 ; 1.828191e+07 + i -7.716768e+06 ; -1.686232e+06 + i 9.387931e+05 ; -9.982960e+05 + i 1.021717e+05 ; 2.460295e+07 + i -1.205624e+07 ; -8.511968e+06 + i 4.261611e+06 ; -1.660611e+06 + i -1.579972e+05 ; -2.131078e+08 + i 2.496901e+07 ; -1.534404e+07 + i 5.799825e+06 ; 3.037183e+08 + i -8.802950e+07 ; -5.335514e+08 + i 1.534826e+08 ; 9.828807e+06 + i -1.596460e+06 ; -4.015927e+07 + i 8.969777e+06 ; -3.835947e+07 + i 2.316613e+07 ; -6.342911e+07 + i 2.528373e+07 ; 6.841158e+07 + i -2.586781e+07 ; -5.177766e+07 + i 3.687059e+07 ; 2.079142e+07 + i -5.139296e+06 ; -2.184751e+07 + i 5.028775e+06 ; 1.122147e+09 + i -3.336492e+08 ; -8.515068e+07 + i 1.590517e+07 ; 8.290784e+07 + i -1.651961e+07 ; -4.627039e+09 + i 7.746599e+08 ; 1.873776e+07 + i -6.517869e+05 ; -2.019638e+07 + i 3.229970e+05 ; -2.116230e+08 + i 2.523323e+07 ; -2.815719e+08 + i 8.720058e+07 ; 1.617609e+07 + i -5.780300e+06 ; -5.337426e+08 + i 1.534688e+08 ; 4.557299e+07 + i -8.098102e+06 ; -1.065815e+07 + i 1.451947e+06 ; 
1.239569e+06 + i 3.242368e+05 ; -3.686819e+06 + i 1.679904e+06 ; 9.735570e+05 + i -2.911305e+05 ; 2.763498e+06 + i 1.005724e+05 ; -8.470426e+06 + i 4.209107e+06 ; 3.298781e+06 + i -7.682825e+05 ; -1.550380e+07 + i 3.690282e+06 ; -3.363934e+06 + i 1.534872e+06 ; 2.001579e+04 + i 1.356063e+05 ; -2.625849e+07 + i 7.108202e+06 ; -8.006213e+06 + i 3.841373e+06 ; -1.934946e+06 + i 9.820189e+05 ; 4.531174e+05 + i 5.924982e+05 ; -4.635905e+06 + i 1.967847e+06 ; 7.348933e+05 + i -2.131791e+05 ; 1.567104e+06 + i 5.728209e+05 ; -1.062193e+07 + i 5.628177e+06 ; 2.191418e+06 + i -4.520330e+05 ; -2.360273e+07 + i 4.405266e+06 ; -4.134222e+06 + i 1.788246e+06 ; 6.454518e+05 + i -1.150471e+05 ; -4.414505e+07 + i 1.002079e+07 ; -1.100405e+07 + i 5.280570e+06 ; 1.185827e+06 + i -1.641764e+05 ; 2.169014e+07 + i -4.847264e+06 ; -5.275307e+07 + i 3.721509e+07 ; 2.226744e+07 + i -5.022774e+06 ; 9.840032e+06 + i -1.363151e+06 ; -5.365817e+08 + i 1.539268e+08 ; 4.708547e+07 + i -8.310940e+06 ; -7.152294e+07 + i 2.643052e+07 ; -3.975331e+07 + i 2.380419e+07 ; -6.781972e+07 + i 2.616789e+07 ; -1.731138e+07 + i 6.158947e+06 ; -2.161361e+08 + i 2.621415e+07 ; -3.033411e+08 + i 8.840597e+07 ; 4.773428e+07 + i -7.592552e+06 ; -5.360412e+08 + i 1.537063e+08 ; 1.026488e+07 + i -1.486560e+06 ; 1.914717e+07 + i -2.026827e+05 ; -4.631745e+09 + i 7.749545e+08 ; 1.938679e+07 + i -5.245120e+05 ; -3.079561e+08 + i 8.878271e+07 ; -2.151636e+08 + i 2.612468e+07 ; -1.574801e+07 + i 5.974891e+06 ; -9.307622e+07 + i 1.577619e+07 ; 1.113848e+09 + i -3.324889e+08 ; -9.030270e+07 + i 1.589788e+07 ; 
2.375515e+07 + i -4.394846e+06 ; 5.419950e+05 + i -1.279958e+05 ; -4.248814e+06 + i 1.756560e+06 ; 4.440149e+07 + i -1.001782e+07 ; 1.036952e+06 + i -1.753669e+05 ; -1.123764e+07 + i 5.228900e+06 ; 1.561567e+07 + i -3.687132e+06 ; -4.034031e+04 + i 1.128412e+05 ; -3.433006e+06 + i 1.521680e+06 ; 2.640158e+07 + i -7.118622e+06 ; -1.881074e+06 + i 9.350624e+05 ; -8.133439e+06 + i 3.822675e+06 ; -1.001551e+05 + i -5.169566e+05 ; 7.011803e+05 + i -2.059188e+05 ; -4.612145e+06 + i 1.982715e+06 ; -9.210163e+05 + i -4.698412e+05 ; 2.083748e+06 + i -4.472912e+05 ; -1.056243e+07 + i 5.652163e+06 ; -1.026806e+06 + i -2.948179e+05 ; 9.138762e+05 + i -2.847938e+05 ; -3.675214e+06 + i 1.686180e+06 ; -2.429054e+06 + i -7.023002e+04 ; 3.086291e+06 + i -7.658815e+05 ; -8.447633e+06 + i 4.214133e+06 ; 3.086246e+08 + i -8.862062e+07 ; -1.603616e+07 + i 5.655904e+06 ; -2.168054e+08 + i 2.585871e+07 ; 8.512119e+07 + i -1.676054e+07 ; -8.346140e+07 + i 1.649878e+07 ; 1.113610e+09 + i -3.325347e+08 ; 7.148651e+07 + i -2.649790e+07 ; -6.378321e+07 + i 2.539025e+07 ; -3.988335e+07 + i 2.385134e+07 ; 1.804403e+07 + i -5.984085e+06 ; -2.816866e+08 + i 8.745765e+07 ; -2.161251e+08 + i 2.624609e+07 ; -3.922010e+07 + i 8.722591e+06 ; 9.649249e+06 + i -1.558215e+06 ; -5.353418e+08 + i 1.538445e+08 ; -1.952027e+07 + i 1.211527e+05 ; 1.840135e+07 + i -7.376335e+05 ; -4.631418e+09 + i 7.750824e+08 ; -2.108733e+07 + i 4.815819e+06 ; 2.083803e+07 + i -4.989262e+06 ; -5.264013e+07 + i 3.717584e+07 ; -9.653046e+06 + i 1.403402e+06 ; 4.361100e+07 + i -8.618889e+06 ; -5.361433e+08 + i 1.540114e+08 ; 
3.566242e+06 + i -4.592852e+06 ; 5.111311e+06 + i -2.738212e+06 ; 5.110059e+06 + i -2.738561e+06 ; -4.192713e+06 + i -2.756398e+06 ; 4.001872e+07 + i -1.367524e+07 ; 4.001723e+07 + i -1.367592e+07 ; 2.450613e+07 + i -1.208339e+07 ; 1.966677e+05 + i -5.793679e+05 ; 6.297520e+06 + i -3.950616e+06 ; 3.023482e+07 + i -1.746650e+07 ; 1.119350e+07 + i -3.101601e+06 ; 8.836255e+07 + i -2.648504e+07 ; 2.450708e+07 + i -1.208324e+07 ; 6.296811e+06 + i -3.950830e+06 ; 1.999311e+05 + i -5.789137e+05 ; 3.023634e+07 + i -1.746578e+07 ; 8.836274e+07 + i -2.648534e+07 ; 1.120321e+07 + i -3.098334e+06 ; 1.063196e+08 + i -2.477571e+07 ; 5.171202e+05 + i -1.083596e+06 ; 5.202345e+05 + i -1.083266e+06 ; 2.198568e+08 + i -6.318184e+07 ; 2.730462e+07 + i -5.084537e+06 ; 2.730646e+07 + i -5.083088e+06 ; -5.064266e+07 + i 3.611601e+07 ; 1.931458e+07 + i -4.407855e+06 ; 1.931712e+07 + i -4.407362e+06 ; -3.825064e+07 + i 2.313946e+07 ; -6.919115e+07 + i 2.619567e+07 ; -6.918557e+07 + i 2.619823e+07 ; -5.294813e+08 + i 1.518895e+08 ; 8.280050e+06 + i -1.185201e+06 ; 4.404438e+07 + i -7.650627e+06 ; -2.118028e+08 + i 2.517662e+07 ; -1.627749e+07 + i 6.059868e+06 ; -3.046532e+08 + i 8.872064e+07 ; -5.294729e+08 + i 1.518919e+08 ; 4.404227e+07 + i -7.651385e+06 ; 8.275632e+06 + i -1.184590e+06 ; -2.118000e+08 + i 2.518013e+07 ; -3.046508e+08 + i 8.872315e+07 ; -1.631054e+07 + i 6.049368e+06 ; -4.615222e+09 + i 7.720581e+08 ; 1.712967e+07 + i -2.340498e+05 ; 1.712081e+07 + i -2.334596e+05 ; 1.122193e+09 + i -3.336424e+08 ; -9.086370e+07 + i 1.623339e+07 ; -9.087737e+07 + i 1.622712e+07 ; 
2.144616e+07 + i -6.785470e+06 ; -7.929164e+06 + i 3.855114e+06 ; 6.871672e+05 + i -7.634758e+05 ; 3.802317e+07 + i -1.346809e+07 ; -3.400903e+07 + i 1.121101e+07 ; 2.225700e+07 + i -7.557996e+06 ; -7.997246e+06 + i 1.493028e+06 ; -8.453444e+06 + i 4.208082e+06 ; -2.411005e+06 + i 7.000744e+05 ; -1.153022e+07 + i 2.705149e+06 ; -4.725187e+07 + i 1.752649e+07 ; -9.570767e+06 + i 1.735154e+06 ; 4.033912e+07 + i -1.072180e+07 ; -1.088090e+07 + i 5.310252e+06 ; -9.424195e+05 + i 2.447166e+04 ; 8.099871e+07 + i -2.642357e+07 ; -6.346981e+07 + i 1.413241e+07 ; 3.947325e+06 + i -9.202379e+05 ; -1.133968e+07 + i 1.454679e+06 ; -1.057021e+07 + i 5.641938e+06 ; -1.621633e+06 + i 4.163903e+05 ; -1.847291e+07 + i 3.489434e+06 ; -1.038190e+08 + i 3.042205e+07 ; -5.298389e+06 + i 6.391414e+05 ; -1.163306e+07 + i 4.825618e+06 ; -2.137992e+08 + i 2.550677e+07 ; 3.045279e+08 + i -8.811517e+07 ; -6.178742e+07 + i 2.500350e+07 ; -3.995980e+07 + i 2.382967e+07 ; 6.903250e+07 + i -2.602765e+07 ; 1.001912e+07 + i -1.825605e+06 ; -5.318629e+08 + i 1.532484e+08 ; -4.005371e+07 + i 8.952111e+06 ; 2.137046e+07 + i -5.257840e+06 ; -5.266851e+07 + i 3.717001e+07 ; -2.183623e+07 + i 5.037359e+06 ; -7.770670e+07 + i 1.510411e+07 ; 1.117812e+09 + i -3.330761e+08 ; 8.277122e+07 + i -1.651069e+07 ; -2.796778e+08 + i 8.702267e+07 ; -2.153731e+08 + i 2.606834e+07 ; 1.640240e+07 + i -5.846304e+06 ; 1.895270e+07 + i -1.101458e+06 ; -4.626395e+09 + i 7.742681e+08 ; -2.018526e+07 + i 3.340587e+05 ; 4.438060e+07 + i -8.708677e+06 ; -5.354461e+08 + i 1.538331e+08 ; -1.056356e+07 + i 1.508123e+06 ; 
2.144976e+07 + i -6.785356e+06 ; 6.868979e+05 + i -7.636233e+05 ; -7.928443e+06 + i 3.855192e+06 ; 3.802459e+07 + i -1.346768e+07 ; 2.225655e+07 + i -7.558203e+06 ; -3.401040e+07 + i 1.121074e+07 ; 4.033911e+07 + i -1.072220e+07 ; -9.417386e+05 + i 2.467240e+04 ; -1.087936e+07 + i 5.310136e+06 ; 8.099860e+07 + i -2.642370e+07 ; 3.948863e+06 + i -9.196970e+05 ; -6.345871e+07 + i 1.413436e+07 ; -7.996145e+06 + i 1.492700e+06 ; -2.410943e+06 + i 7.000448e+05 ; -8.459373e+06 + i 4.207034e+06 ; -1.153210e+07 + i 2.704694e+06 ; -9.569424e+06 + i 1.735697e+06 ; -4.725409e+07 + i 1.752629e+07 ; -1.132950e+07 + i 1.456523e+06 ; -1.621577e+06 + i 4.163904e+05 ; -1.058154e+07 + i 5.639645e+06 ; -1.846769e+07 + i 3.490942e+06 ; -5.298476e+06 + i 6.392183e+05 ; -1.038322e+08 + i 3.041987e+07 ; -1.164087e+07 + i 4.826986e+06 ; 3.045287e+08 + i -8.811534e+07 ; -2.137999e+08 + i 2.550491e+07 ; -6.178792e+07 + i 2.500306e+07 ; 6.903343e+07 + i -2.602796e+07 ; -3.995127e+07 + i 2.382897e+07 ; -7.771813e+07 + i 1.510165e+07 ; 8.277565e+07 + i -1.650923e+07 ; 1.117882e+09 + i -3.330515e+08 ; -2.796768e+08 + i 8.702305e+07 ; 1.640505e+07 + i -5.845225e+06 ; -2.153399e+08 + i 2.607022e+07 ; 1.001596e+07 + i -1.824044e+06 ; -4.004329e+07 + i 8.956440e+06 ; -5.317400e+08 + i 1.532865e+08 ; 2.138201e+07 + i -5.254494e+06 ; -2.183087e+07 + i 5.038734e+06 ; -5.265291e+07 + i 3.716650e+07 ; 1.892335e+07 + i -1.106202e+06 ; -2.018594e+07 + i 3.338481e+05 ; -4.626377e+09 + i 7.742817e+08 ; 4.438390e+07 + i -8.707167e+06 ; -1.056267e+07 + i 1.508194e+06 ; -5.354183e+08 + i 1.538302e+08 ; 
5.764663e+06 + i -4.197727e+06 ; 1.348491e+06 + i -7.542182e+05 ; 1.348376e+06 + i -7.542770e+05 ; 3.605424e+06 + i -4.576853e+06 ; 5.901031e+06 + i -2.944803e+06 ; 5.900178e+06 + i -2.945307e+06 ; 1.824548e+07 + i -7.727060e+06 ; -9.657737e+05 + i 1.224701e+05 ; 1.759287e+06 + i -9.833228e+05 ; 2.460837e+07 + i -1.204087e+07 ; -1.611181e+06 + i -1.262874e+05 ; 9.255338e+06 + i -4.435118e+06 ; 1.824670e+07 + i -7.726590e+06 ; 1.758857e+06 + i -9.834202e+05 ; -9.658268e+05 + i 1.223886e+05 ; 2.461064e+07 + i -1.203953e+07 ; 9.255013e+06 + i -4.435114e+06 ; -1.608235e+06 + i -1.252203e+05 ; 5.484309e+07 + i -1.080625e+07 ; -1.152705e+06 + i 2.791389e+04 ; -1.153807e+06 + i 2.758075e+04 ; 1.064014e+08 + i -2.473674e+07 ; -1.525538e+06 + i -5.765631e+05 ; -1.527274e+06 + i -5.764556e+05 ; -3.846597e+07 + i 2.321209e+07 ; 6.982474e+07 + i -2.606296e+07 ; 6.981805e+07 + i -2.606579e+07 ; -5.168176e+07 + i 3.689562e+07 ; -2.356830e+07 + i 4.719765e+06 ; -2.356955e+07 + i 4.719534e+06 ; -2.130566e+08 + i 2.500854e+07 ; 1.655482e+07 + i -5.654138e+06 ; 3.108219e+08 + i -8.818843e+07 ; -5.334951e+08 + i 1.534988e+08 ; -1.063828e+07 + i 1.517487e+06 ; -4.156790e+07 + i 8.803923e+06 ; -2.130621e+08 + i 2.500970e+07 ; 3.108202e+08 + i -8.819088e+07 ; 1.658859e+07 + i -5.643114e+06 ; -5.334744e+08 + i 1.535055e+08 ; -4.156710e+07 + i 8.803723e+06 ; -1.063251e+07 + i 1.517509e+06 ; 1.121491e+09 + i -3.338065e+08 ; 8.481968e+07 + i -1.637970e+07 ; 8.483336e+07 + i -1.637349e+07 ; -4.626985e+09 + i 7.746804e+08 ; -2.056112e+07 + i 2.462911e+05 ; -2.055070e+07 + i 2.469096e+05 ; 
1.590217e+07 + i -3.681464e+06 ; -3.424340e+06 + i 1.524864e+06 ; -3.438189e+04 + i -1.389766e+05 ; 2.691394e+07 + i -7.116439e+06 ; -8.113732e+06 + i 3.831077e+06 ; 1.943709e+06 + i -1.000037e+06 ; -1.134339e+06 + i -3.314451e+05 ; -3.668936e+06 + i 1.687727e+06 ; -1.006702e+06 + i 2.911086e+05 ; -2.650039e+06 + i -1.267297e+05 ; -8.427873e+06 + i 4.219164e+06 ; -3.403773e+06 + i 7.630850e+05 ; 2.424728e+07 + i -4.348908e+06 ; -4.244395e+06 + i 1.759463e+06 ; -7.075279e+05 + i 1.003432e+05 ; 4.532871e+07 + i -9.967705e+06 ; -1.123017e+07 + i 5.235189e+06 ; -1.344917e+06 + i 1.236137e+05 ; -1.585477e+05 + i -5.408976e+05 ; -4.608246e+06 + i 1.983104e+06 ; -7.709672e+05 + i 2.108979e+05 ; -1.041396e+06 + i -5.021144e+05 ; -1.055216e+07 + i 5.653986e+06 ; -2.284471e+06 + i 4.419697e+05 ; 7.307910e+07 + i -2.659710e+07 ; -4.003897e+07 + i 2.388251e+07 ; 7.018556e+07 + i -2.619603e+07 ; 1.828527e+07 + i -5.893428e+06 ; -2.174287e+08 + i 2.609673e+07 ; 3.112350e+08 + i -8.833959e+07 ; -2.280263e+07 + i 4.475222e+06 ; -5.256823e+07 + i 3.719724e+07 ; -2.341047e+07 + i 4.694125e+06 ; -1.004164e+07 + i 1.345478e+06 ; -5.360532e+08 + i 1.540187e+08 ; -4.152710e+07 + i 8.783680e+06 ; 3.152835e+08 + i -8.871332e+07 ; -2.168333e+08 + i 2.589551e+07 ; 1.678184e+07 + i -5.716872e+06 ; 8.738066e+07 + i -1.659618e+07 ; 1.113036e+09 + i -3.326619e+08 ; 8.503315e+07 + i -1.645344e+07 ; -4.086626e+07 + i 8.567902e+06 ; -5.352891e+08 + i 1.538675e+08 ; -1.046894e+07 + i 1.493781e+06 ; -1.980419e+07 + i 6.960083e+04 ; -4.631324e+09 + i 7.751086e+08 ; -2.048548e+07 + i 2.231670e+05 ; 
