-2.569414e+10 + i 4.602957e+10 ; -6.678327e+08 + i -1.331268e+09 ; -6.645445e+08 + i -1.330079e+09 ; -9.716572e+08 + i -2.863145e+10 ; 3.422147e+09 + i -1.080125e+09 ; 3.420709e+09 + i -1.074810e+09 ; 2.399062e+09 + i 1.101460e+10 ; -1.449803e+09 + i 5.797307e+08 ; -1.001733e+09 + i -6.972503e+08 ; -9.910837e+09 + i 1.288779e+09 ; -1.131516e+09 + i -8.769650e+09 ; 9.214721e+08 + i -1.465127e+09 ; 2.403306e+09 + i 1.101229e+10 ; -1.008080e+09 + i -6.970240e+08 ; -1.452618e+09 + i 5.772016e+08 ; -9.906192e+09 + i 1.287352e+09 ; 9.156136e+08 + i -1.476253e+09 ; -1.131612e+09 + i -8.771118e+09 ; 2.228818e+09 + i 2.409912e+09 ; -7.668253e+08 + i 4.723957e+08 ; -7.654402e+08 + i 4.668464e+08 ; -2.665547e+09 + i 6.428372e+09 ; -1.601741e+09 + i -2.759402e+09 ; -1.600451e+09 + i -2.762059e+09 ; 1.259556e+09 + i -2.013801e+09 ; -6.619494e+07 + i -3.261935e+08 ; -6.669612e+07 + i -3.250320e+08 ; 7.350657e+08 + i -7.022127e+08 ; -1.645318e+08 + i -9.054506e+07 ; -1.641967e+08 + i -9.019368e+07 ; -2.429464e+08 + i -1.998462e+09 ; -5.297419e+08 + i -5.229270e+08 ; -1.578212e+08 + i -2.630507e+08 ; 4.513075e+08 + i -1.264909e+09 ; -2.725691e+08 + i -8.890796e+07 ; -1.744034e+08 + i -5.971706e+07 ; -2.421194e+08 + i -1.999207e+09 ; -1.591383e+08 + i -2.645509e+08 ; -5.304375e+08 + i -5.231420e+08 ; 4.519750e+08 + i -1.264109e+09 ; -1.753917e+08 + i -5.979679e+07 ; -2.731080e+08 + i -8.878140e+07 ; -1.042605e+09 + i -1.502611e+09 ; -4.715060e+08 + i -3.493059e+08 ; -4.721056e+08 + i -3.494985e+08 ; -1.253559e+07 + i -1.576112e+09 ; -2.522584e+08 + i -5.940646e+07 ; -2.525203e+08 + i -5.966715e+07 ; 
-1.288011e+08 + i 1.864554e+08 ; 6.738346e+07 + i -4.610968e+07 ; 2.721752e+08 + i 3.347446e+08 ; -4.349041e+07 + i 1.973350e+08 ; 1.494752e+08 + i -5.708989e+07 ; 3.085492e+08 + i 6.744532e+08 ; -1.719536e+08 + i 1.512195e+08 ; 7.900992e+07 + i -3.568474e+07 ; 2.489655e+08 + i 3.477642e+08 ; -1.131439e+08 + i 2.145850e+08 ; 1.675155e+08 + i 2.943051e+06 ; 3.318949e+08 + i 7.255623e+08 ; -3.998236e+08 + i 2.297418e+08 ; 7.888292e+07 + i -7.491091e+06 ; 3.161946e+08 + i 3.199210e+08 ; -3.618795e+08 + i 6.054466e+08 ; 1.593055e+08 + i 9.895516e+07 ; 3.571350e+08 + i 9.189563e+08 ; -4.701581e+08 + i 1.471784e+08 ; 5.852398e+07 + i -1.971132e+07 ; 3.011047e+08 + i 3.694794e+08 ; -6.059663e+08 + i 6.841085e+08 ; 9.546004e+07 + i 4.318423e+07 ; 1.597688e+08 + i 1.061055e+09 ; 5.491753e+08 + i -3.345942e+08 ; 6.208163e+08 + i -3.344049e+08 ; 2.085742e+09 + i 2.374624e+09 ; 7.179693e+08 + i 6.219039e+08 ; 1.194239e+09 + i -3.781647e+08 ; 2.225013e+09 + i 1.099642e+10 ; 1.118643e+09 + i -3.814197e+08 ; 7.725296e+08 + i 6.398909e+08 ; 2.273400e+09 + i 1.099701e+10 ; 4.142392e+08 + i 1.096937e+09 ; 4.638446e+08 + i 1.128764e+09 ; -2.589823e+10 + i 4.597839e+10 ; 9.762664e+08 + i 2.236241e+09 ; 1.073719e+09 + i 2.271682e+09 ; -2.915251e+09 + i 6.547510e+09 ; -1.026066e+09 + i 1.101410e+09 ; 4.318285e+08 + i 7.163856e+09 ; -1.021477e+10 + i 1.344549e+09 ; 3.573538e+08 + i 7.102292e+09 ; -9.777369e+08 + i 1.148383e+09 ; -1.015301e+10 + i 1.346353e+09 ; -2.874790e+09 + i 6.693815e+08 ; -2.843275e+09 + i 7.299535e+08 ; -1.261665e+09 + i -2.861846e+10 ; 
-2.289267e+08 + i -1.996007e+09 ; 8.107099e+07 + i 4.701674e+08 ; -4.458033e+08 + i -4.229554e+08 ; -1.529462e+09 + i -2.013745e+09 ; -6.061003e+08 + i 6.120141e+08 ; -2.646674e+08 + i -2.226853e+09 ; -1.031419e+09 + i -1.498933e+09 ; 3.718139e+08 + i 3.464377e+08 ; -3.371436e+08 + i -2.906861e+08 ; -1.406510e+09 + i -7.584071e+08 ; 4.391219e+08 + i 1.395662e+09 ; -3.650717e+08 + i -1.214323e+09 ; 1.268822e+09 + i -2.019651e+09 ; -5.955485e+07 + i 5.766664e+08 ; 3.543772e+07 + i -5.120027e+08 ; -4.100481e+08 + i -5.186438e+09 ; -1.092736e+09 + i 5.074467e+08 ; 8.938798e+08 + i -3.995700e+08 ; -2.416548e+08 + i -1.998453e+09 ; 4.893932e+08 + i 4.872527e+08 ; -8.578446e+07 + i -4.091005e+08 ; -1.526000e+09 + i -2.015056e+09 ; 3.421152e+08 + i 2.564044e+09 ; 5.113641e+08 + i -5.102600e+08 ; 2.571352e+09 + i 1.066209e+10 ; -8.268960e+08 + i -6.725875e+08 ; 1.498274e+09 + i -4.733057e+08 ; -9.839569e+09 + i 1.247708e+09 ; 1.103116e+09 + i -1.472530e+09 ; 4.315613e+08 + i 7.195223e+09 ; 2.260019e+09 + i 2.039904e+09 ; -6.110489e+08 + i 3.896683e+08 ; 5.600415e+08 + i -3.661296e+08 ; -2.660232e+09 + i 6.384908e+09 ; -1.349735e+09 + i -2.756338e+09 ; 1.045528e+09 + i 2.372526e+09 ; -2.536983e+10 + i 4.573453e+10 ; -4.821892e+08 + i -1.261475e+09 ; 4.507242e+08 + i 1.261831e+09 ; -9.427195e+08 + i -2.857863e+10 ; 3.432588e+09 + i -9.817057e+08 ; -3.370328e+09 + i 8.892302e+08 ; 2.581159e+09 + i 1.067841e+10 ; -1.280151e+09 + i 5.042799e+08 ; 7.559874e+08 + i 6.125387e+08 ; -9.887478e+09 + i 1.273632e+09 ; -7.796954e+08 + i -8.396279e+09 ; -1.030034e+09 + i 1.304036e+09 ; 
6.338026e+08 + i 2.281694e+08 ; 3.059032e+08 + i 6.579695e+08 ; 1.233955e+08 + i -8.591813e+07 ; 6.227187e+08 + i -2.407704e+08 ; 4.008049e+08 + i 1.580140e+09 ; 3.042564e+08 + i -1.347616e+08 ; -2.012028e+08 + i 9.569945e+08 ; 3.489114e+08 + i 9.151271e+08 ; 2.126100e+08 + i 7.180692e+07 ; 6.095756e+08 + i 1.455939e+09 ; -6.031575e+08 + i 1.736452e+09 ; 3.218928e+08 + i 6.855392e+08 ; 5.614502e+08 + i 3.844587e+08 ; 3.375323e+08 + i 7.084581e+08 ; 1.855563e+08 + i -1.703387e+07 ; 7.949242e+08 + i -1.729789e+08 ; 2.523913e+08 + i 2.408393e+09 ; 2.689200e+08 + i 1.358924e+08 ; -7.433477e+08 + i 1.059697e+09 ; 1.549686e+08 + i 1.055982e+09 ; 1.004556e+08 + i 8.470985e+07 ; 4.319119e+08 + i 2.739283e+09 ; -1.394444e+09 + i 1.410207e+09 ; -6.928370e+07 + i 2.004085e+08 ; -9.887669e+08 + i -5.393385e+08 ; 2.341043e+09 + i 1.100662e+10 ; 1.669660e+09 + i -5.928792e+08 ; -8.182904e+08 + i 4.985189e+08 ; 2.067423e+09 + i 2.377434e+09 ; 6.720671e+08 + i -4.053167e+08 ; 7.915990e+08 + i -1.287864e+09 ; -9.977921e+09 + i 1.396784e+09 ; 4.705630e+08 + i 7.146351e+09 ; -1.540688e+09 + i -2.713789e+09 ; -2.892130e+09 + i 6.504683e+09 ; 1.096951e+09 + i 2.350701e+09 ; -7.333813e+08 + i -1.107143e+09 ; -2.576454e+10 + i 4.600422e+10 ; 6.136848e+08 + i 1.312013e+09 ; -1.477577e+09 + i 6.967729e+08 ; 2.265094e+09 + i 1.101670e+10 ; 8.749623e+08 + i 6.363493e+08 ; 3.036690e+09 + i -9.201550e+08 ; -1.091734e+09 + i -2.850168e+10 ; -3.319686e+09 + i 9.425745e+08 ; -8.801445e+08 + i -8.384504e+09 ; -1.011935e+10 + i 1.349693e+09 ; -9.518549e+08 + i 1.265128e+09 ; 
7.850914e+08 + i -1.062168e+09 ; 1.043449e+08 + i 8.675403e+07 ; 1.441638e+08 + i 1.046162e+09 ; -3.846368e+08 + i -2.731961e+09 ; -1.021705e+08 + i 2.359980e+08 ; -1.418192e+09 + i 1.408006e+09 ; 2.280299e+08 + i -9.714860e+08 ; 2.368874e+08 + i 7.270046e+07 ; 3.412096e+08 + i 9.091949e+08 ; -5.694587e+08 + i -1.460292e+09 ; 3.819918e+08 + i 7.782329e+08 ; -6.100996e+08 + i 1.737282e+09 ; -5.322491e+08 + i -3.795679e+08 ; 2.075169e+08 + i -1.903961e+07 ; 3.299875e+08 + i 7.257518e+08 ; -7.136031e+08 + i 1.709982e+08 ; 3.071836e+08 + i 1.553585e+08 ; 2.551344e+08 + i 2.424085e+09 ; -6.110705e+08 + i -2.314842e+08 ; 1.389641e+08 + i -9.723497e+07 ; 3.031145e+08 + i 6.771296e+08 ; -5.788896e+08 + i 2.331140e+08 ; 3.476064e+08 + i -1.565941e+08 ; 4.002829e+08 + i 1.591127e+09 ; -3.413402e+09 + i 1.025911e+09 ; -3.739674e+09 + i 1.117122e+09 ; -1.101838e+09 + i -2.849831e+10 ; 9.144008e+08 + i 8.331842e+09 ; -9.550229e+08 + i 1.466908e+09 ; -1.006324e+10 + i 1.321552e+09 ; -7.402513e+08 + i 1.352520e+09 ; 8.354934e+08 + i 8.320660e+09 ; -9.958011e+09 + i 1.385924e+09 ; 1.541814e+09 + i 2.663229e+09 ; 1.411990e+09 + i 2.671993e+09 ; -2.873555e+09 + i 6.474538e+09 ; 7.252334e+08 + i 1.201307e+09 ; 6.699978e+08 + i 1.355503e+09 ; -2.574974e+10 + i 4.600159e+10 ; 1.856426e+09 + i -7.541975e+08 ; 9.671898e+08 + i 7.151001e+08 ; 2.213530e+09 + i 1.094413e+10 ; 1.023955e+09 + i 5.683052e+08 ; 1.848987e+09 + i -6.867663e+08 ; 2.299552e+09 + i 1.097172e+10 ; 8.525311e+08 + i -5.638089e+08 ; 7.513226e+08 + i -4.994610e+08 ; 1.985580e+09 + i 2.367268e+09 ; 
4.559871e+08 + i -1.261976e+09 ; 1.523453e+08 + i 6.908357e+07 ; -1.839403e+08 + i -8.440269e+07 ; -2.404278e+08 + i -2.017526e+09 ; 1.265835e+08 + i 2.590424e+08 ; -3.461987e+08 + i -4.682968e+08 ; -1.348569e+07 + i -1.575340e+09 ; 2.270211e+08 + i 7.038768e+07 ; -1.701726e+08 + i -7.159360e+07 ; -1.044609e+09 + i -1.514398e+09 ; 4.173553e+08 + i 3.471031e+08 ; -3.253065e+08 + i -3.380607e+08 ; 7.385316e+08 + i -7.013103e+08 ; 1.413878e+08 + i 9.315608e+07 ; -1.080985e+08 + i -7.446817e+07 ; 1.273876e+09 + i -2.024917e+09 ; 3.912473e+07 + i 3.051116e+08 ; 1.908989e+07 + i -2.547484e+08 ; 4.469236e+08 + i -1.264635e+09 ; 2.438953e+08 + i 9.574507e+07 ; -1.136345e+08 + i -6.308161e+07 ; -2.410341e+08 + i -2.009796e+09 ; 4.613771e+08 + i 5.045623e+08 ; -7.446421e+07 + i -2.377272e+08 ; -9.798862e+09 + i 1.237112e+09 ; -9.340924e+08 + i 1.346437e+09 ; -4.831944e+08 + i -7.164247e+09 ; 2.387280e+09 + i 1.101392e+10 ; 9.062240e+08 + i 6.860703e+08 ; -1.889449e+09 + i 7.088657e+08 ; -2.634043e+09 + i 6.357950e+09 ; 1.340544e+09 + i 2.619037e+09 ; -1.079299e+09 + i -2.309899e+09 ; 2.207143e+09 + i 2.403978e+09 ; 6.966096e+08 + i -4.060375e+08 ; -6.683004e+08 + i 4.529994e+08 ; -9.314647e+08 + i -2.856965e+10 ; -3.206448e+09 + i 9.342302e+08 ; 3.503214e+09 + i -1.029638e+09 ; -2.570327e+10 + i 4.603473e+10 ; 5.663576e+08 + i 1.245959e+09 ; -4.858435e+08 + i -1.107943e+09 ; -9.844740e+09 + i 1.281472e+09 ; 6.627307e+08 + i 8.062321e+09 ; 9.174125e+08 + i -1.290717e+09 ; 2.407350e+09 + i 1.103315e+10 ; 1.367274e+09 + i -5.819921e+08 ; -8.444849e+08 + i -6.060701e+08 ; 
-1.247912e+08 + i 1.850136e+08 ; 2.710945e+08 + i 3.346339e+08 ; 6.720871e+07 + i -4.816180e+07 ; -3.809612e+07 + i 1.938469e+08 ; 3.055342e+08 + i 6.748674e+08 ; 1.453954e+08 + i -6.041350e+07 ; -3.967945e+08 + i 2.265852e+08 ; 3.149862e+08 + i 3.192074e+08 ; 8.023509e+07 + i -9.005491e+06 ; -3.590199e+08 + i 6.038708e+08 ; 3.559519e+08 + i 9.158905e+08 ; 1.605209e+08 + i 9.889884e+07 ; -1.656697e+08 + i 1.520066e+08 ; 2.490399e+08 + i 3.471344e+08 ; 7.850578e+07 + i -3.768025e+07 ; -1.027211e+08 + i 2.108873e+08 ; 3.314924e+08 + i 7.256064e+08 ; 1.686414e+08 + i -2.609258e+06 ; -4.641109e+08 + i 1.473568e+08 ; 3.011760e+08 + i 3.680257e+08 ; 5.864360e+07 + i -2.134316e+07 ; -5.964139e+08 + i 6.787388e+08 ; 1.609198e+08 + i 1.057736e+09 ; 1.017666e+08 + i 4.226423e+07 ; 5.479906e+08 + i -3.594346e+08 ; 2.073290e+09 + i 2.376290e+09 ; 5.974890e+08 + i -4.535946e+08 ; 7.471948e+08 + i 6.197950e+08 ; 2.209762e+09 + i 1.098493e+10 ; 1.552055e+09 + i -5.450596e+08 ; 9.828641e+08 + i 2.329952e+09 ; -2.904603e+09 + i 6.505129e+09 ; 9.988546e+08 + i 2.327687e+09 ; -1.012465e+09 + i 1.192306e+09 ; -1.015017e+10 + i 1.309868e+09 ; 3.596841e+08 + i 7.042284e+09 ; 1.166338e+09 + i -4.890756e+08 ; 2.279222e+09 + i 1.101577e+10 ; 8.735190e+08 + i 6.080750e+08 ; 4.307966e+08 + i 1.118054e+09 ; -2.591127e+10 + i 4.598803e+10 ; 5.568276e+08 + i 1.270187e+09 ; 3.359244e+08 + i 7.020528e+09 ; -1.012493e+10 + i 1.332335e+09 ; -9.309721e+08 + i 1.325713e+09 ; -2.953204e+09 + i 6.890180e+08 ; -1.244596e+09 + i -2.859814e+10 ; -3.209452e+09 + i 9.010452e+08 ; 
4.353499e+08 + i -1.484615e+08 ; 6.926794e+07 + i -2.306799e+07 ; 3.031508e+08 + i 3.724614e+08 ; 5.406039e+08 + i -6.691394e+08 ; 1.223337e+08 + i 4.058496e+07 ; 1.721476e+08 + i 1.063786e+09 ; 3.663049e+08 + i -2.238223e+08 ; 9.293580e+07 + i -1.112429e+07 ; 3.191103e+08 + i 3.202977e+08 ; 3.182263e+08 + i -5.823504e+08 ; 1.904202e+08 + i 1.027659e+08 ; 3.665922e+08 + i 9.153746e+08 ; 1.462654e+08 + i -1.645762e+08 ; 8.782645e+07 + i -4.638616e+07 ; 2.584424e+08 + i 3.502592e+08 ; 4.821626e+07 + i -2.251880e+08 ; 1.885336e+08 + i -8.042660e+06 ; 3.371896e+08 + i 7.191616e+08 ; 9.879366e+07 + i -1.922123e+08 ; 7.468096e+07 + i -5.824465e+07 ; 2.811364e+08 + i 3.351252e+08 ; -6.198449e+06 + i -1.904906e+08 ; 1.626444e+08 + i -7.513510e+07 ; 3.072436e+08 + i 6.693785e+08 ; -3.533300e+08 + i -7.076871e+09 ; -9.069477e+08 + i 1.449480e+09 ; -1.004231e+10 + i 1.301129e+09 ; 3.591817e+09 + i -9.521740e+08 ; -3.575272e+09 + i 1.031050e+09 ; -1.237438e+09 + i -2.857374e+10 ; -1.011495e+09 + i -2.263886e+09 ; 1.300741e+09 + i 2.607011e+09 ; -2.873979e+09 + i 6.464722e+09 ; 9.134394e+08 + i -1.255098e+09 ; 6.162489e+08 + i 8.047843e+09 ; -1.012019e+10 + i 1.304390e+09 ; -1.819372e+09 + i 6.824620e+08 ; 9.219253e+08 + i 6.919885e+08 ; 2.207092e+09 + i 1.093446e+10 ; -4.288691e+08 + i -1.093767e+09 ; 5.923403e+08 + i 1.318657e+09 ; -2.587805e+10 + i 4.595868e+10 ; -5.763742e+08 + i 4.594613e+08 ; 6.863774e+08 + i -5.188446e+08 ; 1.983341e+09 + i 2.370959e+09 ; -7.425586e+08 + i -6.330833e+08 ; 1.700115e+09 + i -6.246384e+08 ; 2.164291e+09 + i 1.093709e+10 ; 
-1.024963e+09 + i -1.494698e+09 ; -3.191416e+08 + i -2.832188e+08 ; -3.192183e+08 + i -2.824342e+08 ; -1.405490e+09 + i -7.506978e+08 ; -3.335209e+08 + i -1.186105e+09 ; -3.339860e+08 + i -1.185594e+09 ; -2.342111e+08 + i -1.992434e+09 ; -7.482052e+07 + i -3.944158e+08 ; -4.223260e+08 + i -4.117107e+08 ; -1.530727e+09 + i -2.011749e+09 ; 5.271602e+08 + i -4.827773e+08 ; -2.276538e+08 + i -2.164758e+09 ; -2.342154e+08 + i -1.990669e+09 ; -4.228632e+08 + i -4.124018e+08 ; -7.645696e+07 + i -3.951238e+08 ; -1.530040e+09 + i -2.008830e+09 ; -2.275348e+08 + i -2.165869e+09 ; 5.256654e+08 + i -4.845948e+08 ; 1.260247e+09 + i -2.014925e+09 ; 4.559801e+07 + i -4.910576e+08 ; 4.560719e+07 + i -4.918779e+08 ; -4.165209e+08 + i -5.186775e+09 ; 8.890062e+08 + i -3.625272e+08 ; 8.897208e+08 + i -3.629640e+08 ; 2.269470e+09 + i 2.042678e+09 ; 5.173973e+08 + i -4.222445e+08 ; 5.169504e+08 + i -4.243048e+08 ; -2.665484e+09 + i 6.363624e+09 ; 1.014176e+09 + i 2.396394e+09 ; 1.015276e+09 + i 2.394616e+09 ; 2.580467e+09 + i 1.068907e+10 ; 7.369209e+08 + i 6.070821e+08 ; 1.419337e+09 + i -4.936959e+08 ; -9.829611e+09 + i 1.241811e+09 ; -1.029363e+09 + i 1.370796e+09 ; 3.523822e+08 + i 7.010572e+09 ; 2.583764e+09 + i 1.068705e+10 ; 1.420074e+09 + i -4.925690e+08 ; 7.410922e+08 + i 6.073256e+08 ; -9.825998e+09 + i 1.241134e+09 ; 3.527587e+08 + i 7.013939e+09 ; -1.025035e+09 + i 1.376676e+09 ; -2.538822e+10 + i 4.576844e+10 ; 4.154619e+08 + i 1.225880e+09 ; 4.169334e+08 + i 1.228776e+09 ; -9.032556e+08 + i -2.855713e+10 ; -3.292838e+09 + i 8.136080e+08 ; -3.295836e+09 + i 8.161275e+08 ; 
2.345784e+08 + i -9.351209e+08 ; 3.408173e+08 + i 9.097129e+08 ; -2.060714e+08 + i -6.720615e+07 ; -5.353711e+08 + i -1.428517e+09 ; -6.074719e+08 + i 1.737542e+09 ; -3.121492e+08 + i -6.638844e+08 ; -5.889601e+08 + i -2.436738e+08 ; 3.032381e+08 + i 6.743280e+08 ; -1.164512e+08 + i 8.392583e+07 ; -5.796552e+08 + i 2.012310e+08 ; 4.020871e+08 + i 1.589683e+09 ; -2.888152e+08 + i 1.435064e+08 ; 7.661521e+08 + i -1.017304e+09 ; 1.460463e+08 + i 1.047342e+09 ; -1.010813e+08 + i -8.030218e+07 ; -3.279766e+08 + i -2.659082e+09 ; -1.410940e+09 + i 1.413906e+09 ; 6.440534e+07 + i -2.020695e+08 ; -5.137940e+08 + i -3.836710e+08 ; 3.307841e+08 + i 7.222431e+08 ; -1.800483e+08 + i 1.466226e+07 ; -7.151821e+08 + i 1.374232e+08 ; 2.548553e+08 + i 2.419163e+09 ; -2.511111e+08 + i -1.356976e+08 ; -7.514095e+08 + i 1.314640e+09 ; -9.930495e+09 + i 1.372975e+09 ; -4.746664e+08 + i -7.133848e+09 ; 1.428920e+09 + i 2.637155e+09 ; -2.873300e+09 + i 6.469660e+09 ; -1.121563e+09 + i -2.342403e+09 ; 9.684202e+08 + i 5.539595e+08 ; 2.308602e+09 + i 1.098506e+10 ; -1.895738e+09 + i 7.550927e+08 ; 7.884141e+08 + i -5.505147e+08 ; 1.998336e+09 + i 2.369649e+09 ; -6.522272e+08 + i 4.637757e+08 ; -3.227074e+09 + i 9.391158e+08 ; -1.066410e+09 + i -2.846852e+10 ; 3.527912e+09 + i -1.037919e+09 ; 7.016089e+08 + i 8.081210e+09 ; -1.004236e+10 + i 1.318751e+09 ; 9.197535e+08 + i -1.309989e+09 ; 6.687483e+08 + i 1.156479e+09 ; -2.574503e+10 + i 4.598324e+10 ; -4.929814e+08 + i -1.118478e+09 ; 1.713507e+09 + i -7.264657e+08 ; 2.221363e+09 + i 1.093692e+10 ; -7.935295e+08 + i -6.350961e+08 ; 
2.336523e+08 + i -9.353458e+08 ; -2.061313e+08 + i -6.721618e+07 ; 3.414236e+08 + i 9.091946e+08 ; -5.351230e+08 + i -1.428854e+09 ; -3.117789e+08 + i -6.639264e+08 ; -6.066861e+08 + i 1.735709e+09 ; 7.656348e+08 + i -1.018606e+09 ; -1.009454e+08 + i -8.063736e+07 ; 1.441962e+08 + i 1.046477e+09 ; -3.279927e+08 + i -2.659665e+09 ; 6.488524e+07 + i -2.028766e+08 ; -1.413873e+09 + i 1.409904e+09 ; -5.897367e+08 + i -2.438559e+08 ; -1.166631e+08 + i 8.378900e+07 ; 3.039292e+08 + i 6.771104e+08 ; -5.797594e+08 + i 2.013981e+08 ; -2.883622e+08 + i 1.429091e+08 ; 4.003643e+08 + i 1.590434e+09 ; -5.135162e+08 + i -3.856591e+08 ; -1.801563e+08 + i 1.468456e+07 ; 3.298396e+08 + i 7.248683e+08 ; -7.138186e+08 + i 1.364721e+08 ; -2.511579e+08 + i -1.355957e+08 ; 2.554293e+08 + i 2.420739e+09 ; -7.475104e+08 + i 1.315042e+09 ; -4.738230e+08 + i -7.134699e+09 ; -9.933357e+09 + i 1.371840e+09 ; 1.428699e+09 + i 2.636526e+09 ; -1.121417e+09 + i -2.344152e+09 ; -2.878542e+09 + i 6.472012e+09 ; -3.227756e+09 + i 9.425323e+08 ; 3.529942e+09 + i -1.040689e+09 ; -1.076445e+09 + i -2.848189e+10 ; 7.024170e+08 + i 8.081741e+09 ; 9.196376e+08 + i -1.311728e+09 ; -1.005017e+10 + i 1.311101e+09 ; 9.715371e+08 + i 5.540837e+08 ; -1.891969e+09 + i 7.521737e+08 ; 2.293569e+09 + i 1.095940e+10 ; 7.906037e+08 + i -5.536046e+08 ; -6.509088e+08 + i 4.598868e+08 ; 1.976650e+09 + i 2.369780e+09 ; 6.696069e+08 + i 1.161411e+09 ; -4.939866e+08 + i -1.118366e+09 ; -2.573852e+10 + i 4.598393e+10 ; 1.714295e+09 + i -7.261829e+08 ; -7.945732e+08 + i -6.359858e+08 ; 2.213343e+09 + i 1.093034e+10 ; 
-1.253437e+07 + i -1.577892e+09 ; -1.680735e+08 + i -8.244473e+07 ; -1.678728e+08 + i -8.222801e+07 ; -1.048112e+09 + i -1.523602e+09 ; -3.232496e+08 + i -3.486855e+08 ; -3.234322e+08 + i -3.482655e+08 ; 4.489692e+08 + i -1.268296e+09 ; -1.087658e+08 + i -7.149019e+07 ; -1.826672e+08 + i -9.600341e+07 ; -2.390563e+08 + i -2.026046e+09 ; -6.621517e+07 + i -2.533146e+08 ; -3.420144e+08 + i -4.744250e+08 ; 4.483964e+08 + i -1.267322e+09 ; -1.830490e+08 + i -9.601010e+07 ; -1.093841e+08 + i -7.126316e+07 ; -2.397419e+08 + i -2.026026e+09 ; -3.422821e+08 + i -4.747065e+08 ; -6.704742e+07 + i -2.537640e+08 ; 7.324235e+08 + i -7.084384e+08 ; -1.044670e+08 + i -8.433251e+07 ; -1.046245e+08 + i -8.442613e+07 ; 1.278060e+09 + i -2.034327e+09 ; 1.980573e+07 + i -2.660866e+08 ; 2.036784e+07 + i -2.663445e+08 ; -2.631957e+09 + i 6.332192e+09 ; -1.080354e+09 + i -2.302860e+09 ; -1.081934e+09 + i -2.301166e+09 ; 2.212059e+09 + i 2.409975e+09 ; -5.711203e+08 + i 5.246606e+08 ; -5.709271e+08 + i 5.270842e+08 ; -9.772806e+09 + i 1.235147e+09 ; 8.469581e+08 + i -1.355135e+09 ; -3.659625e+08 + i -6.994065e+09 ; 2.391075e+09 + i 1.101074e+10 ; -7.833804e+08 + i -6.328866e+08 ; -1.755712e+09 + i 7.181748e+08 ; -9.769193e+09 + i 1.232694e+09 ; -3.657494e+08 + i -6.996758e+09 ; 8.431744e+08 + i -1.361932e+09 ; 2.394262e+09 + i 1.100620e+10 ; -1.756041e+09 + i 7.168191e+08 ; -7.875801e+08 + i -6.334899e+08 ; -8.792541e+08 + i -2.852134e+10 ; 3.378444e+09 + i -9.586012e+08 ; 3.382428e+09 + i -9.608264e+08 ; -2.570277e+10 + i 4.603197e+10 ; -4.451570e+08 + i -1.110297e+09 ; -4.458347e+08 + i -1.113281e+09 ; 
3.706637e+08 + i -2.055613e+08 ; 3.197208e+08 + i 3.192395e+08 ; -7.513491e+07 + i 1.121443e+07 ; 3.347169e+08 + i -5.613604e+08 ; 3.674051e+08 + i 9.130811e+08 ; -1.529293e+08 + i -9.194827e+07 ; 1.029773e+08 + i -1.785173e+08 ; 2.805122e+08 + i 3.337485e+08 ; -6.232095e+07 + i 4.795143e+07 ; 5.984522e+06 + i -1.720588e+08 ; 3.082566e+08 + i 6.661850e+08 ; -1.371740e+08 + i 5.890725e+07 ; 4.377378e+08 + i -1.337520e+08 ; 3.050236e+08 + i 3.707773e+08 ; -5.683553e+07 + i 2.430416e+07 ; 5.571800e+08 + i -6.427432e+08 ; 1.755554e+08 + i 1.061229e+09 ; -9.574019e+07 + i -3.251916e+07 ; 1.488791e+08 + i -1.521057e+08 ; 2.578651e+08 + i 3.482000e+08 ; -7.471291e+07 + i 3.883641e+07 ; 6.172124e+07 + i -2.084591e+08 ; 3.370259e+08 + i 7.164869e+08 ; -1.598406e+08 + i 5.049994e+05 ; -9.594690e+08 + i -2.286809e+09 ; -2.873921e+09 + i 6.459925e+09 ; -1.060261e+09 + i -2.318146e+09 ; 9.244035e+08 + i -1.318624e+09 ; -1.009453e+10 + i 1.286483e+09 ; -3.378803e+08 + i -7.021452e+09 ; -4.998832e+08 + i 5.117846e+08 ; 2.005559e+09 + i 2.374943e+09 ; -5.677407e+08 + i 5.251248e+08 ; -7.216712e+08 + i -6.221364e+08 ; 2.174758e+09 + i 1.094342e+10 ; -1.754320e+09 + i 6.996280e+08 ; -2.475853e+08 + i -6.958860e+09 ; -1.002993e+10 + i 1.294614e+09 ; 8.712473e+08 + i -1.370682e+09 ; 3.433417e+09 + i -8.951476e+08 ; -1.201611e+09 + i -2.855075e+10 ; 3.422048e+09 + i -9.675637e+08 ; -1.663742e+09 + i 6.817658e+08 ; 2.215225e+09 + i 1.092911e+10 ; -7.793868e+08 + i -6.389500e+08 ; -3.865586e+08 + i -1.095173e+09 ; -2.587601e+10 + i 4.594076e+10 ; -4.327691e+08 + i -1.127103e+09 ; 
