-2.014301e+10 + i 5.542990e+09 ; -9.152102e+07 + i 1.951689e+07 ; -9.152834e+07 + i 1.953123e+07 ; 3.843894e+09 + i -1.998416e+09 ; 3.268452e+08 + i -1.297378e+08 ; 3.267817e+08 + i -1.297474e+08 ; -1.869535e+09 + i 9.259074e+08 ; -1.789931e+08 + i 6.769835e+07 ; -3.789365e+07 + i 1.646772e+07 ; -9.458308e+08 + i 2.838797e+08 ; 8.859307e+08 + i -4.968940e+08 ; 4.150879e+07 + i -3.329665e+07 ; -1.869485e+09 + i 9.259201e+08 ; -3.793381e+07 + i 1.643355e+07 ; -1.790164e+08 + i 6.768520e+07 ; -9.457625e+08 + i 2.839157e+08 ; 4.183126e+07 + i -3.325759e+07 ; 8.859446e+08 + i -4.968911e+08 ; -4.096317e+07 + i 1.580623e+08 ; -7.007076e+07 + i 3.665818e+07 ; -6.995324e+07 + i 3.667370e+07 ; -3.995971e+07 + i 1.201704e+08 ; 1.674213e+08 + i -1.256052e+08 ; 1.674277e+08 + i -1.256125e+08 ; 4.048993e+08 + i -1.705608e+08 ; -6.696797e+06 + i -4.428591e+05 ; -6.691198e+06 + i -4.424726e+05 ; 2.219502e+08 + i -8.118474e+07 ; -3.013777e+06 + i 1.277835e+06 ; -3.013404e+06 + i 1.278453e+06 ; 5.163031e+07 + i -6.001304e+07 ; 1.781958e+07 + i -1.853472e+07 ; -6.519847e+06 + i 1.231746e+06 ; 4.504004e+07 + i -4.247117e+07 ; 3.376721e+06 + i -3.480926e+06 ; -2.783901e+06 + i 1.287300e+06 ; 5.166391e+07 + i -6.000529e+07 ; -6.492504e+06 + i 1.231734e+06 ; 1.782190e+07 + i -1.853414e+07 ; 4.505412e+07 + i -4.246543e+07 ; -2.780161e+06 + i 1.286030e+06 ; 3.376065e+06 + i -3.481017e+06 ; -6.657710e+06 + i -1.170805e+07 ; 1.098453e+07 + i -1.161234e+07 ; 1.097879e+07 + i -1.161297e+07 ; 5.262429e+06 + i -1.492815e+07 ; 2.449669e+06 + i -2.632946e+06 ; 2.449845e+06 + i -2.632686e+06 ; 
9.150932e+06 + i -7.666288e+04 ; 3.132816e+06 + i -1.886473e+06 ; -9.711239e+06 + i 7.626736e+06 ; 1.571517e+07 + i -2.401122e+06 ; 1.210852e+07 + i -5.666537e+06 ; -1.972286e+07 + i 1.840134e+07 ; 7.264915e+06 + i 2.276838e+06 ; 2.389915e+06 + i -1.451148e+06 ; -1.302877e+07 + i 9.070545e+06 ; 1.321583e+07 + i 1.114251e+06 ; 8.377138e+06 + i -3.699677e+06 ; -2.128481e+07 + i 2.580910e+07 ; -5.719386e+07 + i 2.631771e+07 ; 7.012216e+05 + i 2.749040e+05 ; -8.775736e+06 + i 7.001872e+06 ; -9.198468e+07 + i 4.624132e+07 ; -4.860354e+06 + i 4.138018e+06 ; -1.897408e+07 + i 1.736152e+07 ; -9.660068e+07 + i 3.465582e+07 ; 2.605786e+06 + i -9.380250e+05 ; -1.131417e+07 + i 8.258049e+06 ; -1.695497e+08 + i 7.009943e+07 ; 4.904904e+06 + i -1.855395e+06 ; -2.438355e+07 + i 2.616318e+07 ; 7.982838e+07 + i -3.800329e+07 ; 8.105740e+07 + i -3.942983e+07 ; -4.312741e+07 + i 1.607974e+08 ; 4.049776e+07 + i -1.650508e+07 ; 2.117153e+08 + i -6.935315e+07 ; -1.883104e+09 + i 9.300278e+08 ; 2.099645e+08 + i -6.765269e+07 ; 4.151733e+07 + i -1.751672e+07 ; -1.881211e+09 + i 9.285864e+08 ; 1.043090e+08 + i -1.668490e+07 ; 1.062259e+08 + i -1.796768e+07 ; -2.016694e+10 + i 5.547079e+09 ; -2.051561e+08 + i 1.434503e+08 ; -1.927247e+08 + i 1.393947e+08 ; -4.292584e+07 + i 1.239481e+08 ; -4.365984e+07 + i 3.962961e+07 ; -1.057324e+09 + i 5.339194e+08 ; -9.604736e+08 + i 2.921007e+08 ; -1.076655e+09 + i 5.386205e+08 ; -3.694322e+07 + i 3.757577e+07 ; -9.584496e+08 + i 2.907194e+08 ; -4.003456e+08 + i 1.365452e+08 ; -3.895369e+08 + i 1.343165e+08 ; 3.806189e+09 + i -1.987154e+09 ; 
5.097596e+07 + i -6.014618e+07 ; 2.519631e+06 + i 1.259621e+06 ; 8.521820e+06 + i -1.613964e+07 ; 5.065254e+07 + i -7.775559e+07 ; -3.419676e+07 + i 1.999698e+07 ; 2.894733e+08 + i -1.558033e+08 ; -6.886115e+06 + i -1.169766e+07 ; -9.271887e+06 + i 1.047074e+07 ; 1.039783e+07 + i -1.123867e+07 ; -3.448480e+07 + i 2.988739e+06 ; -1.094171e+08 + i 7.143986e+07 ; 1.219009e+08 + i -7.514426e+07 ; 4.052252e+08 + i -1.704381e+08 ; 5.261261e+06 + i 3.532204e+06 ; -4.632970e+06 + i -3.915293e+06 ; 7.677031e+08 + i -3.826000e+08 ; -9.485292e+07 + i 4.051074e+07 ; 1.070727e+08 + i -4.149025e+07 ; 5.159363e+07 + i -6.001133e+07 ; -7.379756e+06 + i 1.487206e+07 ; -2.238259e+06 + i -1.476456e+06 ; 4.994705e+07 + i -7.786036e+07 ; -2.604180e+08 + i 1.489589e+08 ; 3.905902e+07 + i -2.085479e+07 ; -1.859453e+09 + i 9.160409e+08 ; -3.083407e+07 + i 1.362841e+07 ; 1.779868e+08 + i -6.505330e+07 ; -9.484810e+08 + i 2.841559e+08 ; 4.092709e+07 + i -3.520785e+07 ; -1.015392e+09 + i 5.307736e+08 ; -3.946073e+07 + i 1.551036e+08 ; -6.113613e+07 + i 3.246572e+07 ; 6.759428e+07 + i -3.358179e+07 ; -4.006677e+07 + i 1.204286e+08 ; 1.750907e+08 + i -1.297527e+08 ; -1.931251e+08 + i 1.372118e+08 ; -2.009699e+10 + i 5.523252e+09 ; -8.474865e+07 + i 1.607217e+07 ; 8.806798e+07 + i -1.633622e+07 ; 3.842853e+09 + i -1.998548e+09 ; 3.385340e+08 + i -1.326465e+08 ; -3.644533e+08 + i 1.367328e+08 ; -1.856792e+09 + i 9.170010e+08 ; -1.715687e+08 + i 6.269461e+07 ; 3.364338e+07 + i -1.383193e+07 ; -9.470789e+08 + i 2.842880e+08 ; 9.192622e+08 + i -5.072324e+08 ; -4.638353e+07 + i 3.694113e+07 ; 
3.077045e+07 + i -1.303890e+07 ; -1.921633e+07 + i 1.841268e+07 ; 7.535664e+06 + i -4.647506e+06 ; 4.083436e+07 + i -1.982377e+07 ; -1.397410e+08 + i 9.495419e+07 ; 3.713243e+07 + i -1.451191e+07 ; -6.797977e+07 + i 3.976590e+07 ; -1.905419e+07 + i 1.733516e+07 ; 8.231056e+05 + i 2.344787e+06 ; -1.142918e+08 + i 7.219383e+07 ; -1.066689e+08 + i 6.714624e+07 ; -6.779829e+07 + i 4.123291e+07 ; 4.820567e+07 + i -1.580750e+07 ; -2.025629e+07 + i 2.603887e+07 ; 5.323235e+06 + i -3.106434e+06 ; 7.021690e+07 + i -2.885504e+07 ; -3.591150e+08 + i 1.827919e+08 ; 2.284829e+07 + i -7.170293e+06 ; -1.403861e+08 + i 6.965217e+07 ; -2.447224e+07 + i 2.610871e+07 ; 4.687105e+06 + i -1.068302e+06 ; -2.562546e+08 + i 1.492431e+08 ; -2.456288e+08 + i 1.021571e+08 ; -1.363961e+07 + i 6.537951e+06 ; -3.856573e+07 + i 1.749679e+07 ; -1.865506e+09 + i 9.233040e+08 ; 1.853882e+08 + i -6.995064e+07 ; -7.379950e+07 + i 3.833127e+07 ; -4.325973e+07 + i 1.604617e+08 ; 7.977940e+07 + i -3.825232e+07 ; 2.617500e+07 + i -2.749810e+07 ; -9.480640e+08 + i 2.865744e+08 ; -1.009939e+09 + i 5.288071e+08 ; 1.667027e+08 + i -1.255472e+08 ; -4.347186e+07 + i 1.240148e+08 ; -1.929124e+08 + i 1.360652e+08 ; -9.146245e+07 + i 2.049678e+07 ; -2.014448e+10 + i 5.540032e+09 ; 9.558248e+07 + i -1.979822e+07 ; -1.809745e+08 + i 6.802575e+07 ; -1.877834e+09 + i 9.292453e+08 ; 4.276055e+07 + i -1.681764e+07 ; 3.095344e+08 + i -1.205395e+08 ; 3.823638e+09 + i -1.993277e+09 ; -3.547508e+08 + i 1.342670e+08 ; 9.066365e+08 + i -5.023467e+08 ; -9.587216e+08 + i 2.907770e+08 ; -4.619765e+07 + i 3.585485e+07 ; 
1.400419e+08 + i -6.952431e+07 ; 4.597100e+06 + i -1.045466e+06 ; -2.348300e+07 + i 2.628458e+07 ; 2.548966e+08 + i -1.491977e+08 ; -1.179538e+07 + i 6.295710e+06 ; -2.442936e+08 + i 1.023384e+08 ; 6.811147e+07 + i -3.965600e+07 ; 9.680392e+05 + i 2.135735e+06 ; -1.856623e+07 + i 1.736585e+07 ; 1.135903e+08 + i -7.212232e+07 ; -6.068964e+07 + i 3.924275e+07 ; -1.062110e+08 + i 6.717690e+07 ; -4.900504e+07 + i 1.570281e+07 ; 4.681399e+06 + i -2.993426e+06 ; -2.099190e+07 + i 2.587005e+07 ; -7.313519e+07 + i 2.859588e+07 ; 2.052289e+07 + i -7.127853e+06 ; -3.599429e+08 + i 1.825853e+08 ; -3.110550e+07 + i 1.304270e+07 ; 6.766133e+06 + i -4.413442e+06 ; -1.970985e+07 + i 1.836044e+07 ; -4.215913e+07 + i 1.983322e+07 ; 3.352633e+07 + i -1.409737e+07 ; -1.401009e+08 + i 9.486881e+07 ; -2.991199e+08 + i 1.213355e+08 ; -3.200404e+08 + i 1.311744e+08 ; 3.826923e+09 + i -1.992755e+09 ; -9.070027e+08 + i 5.032284e+08 ; -4.253480e+07 + i 3.393228e+07 ; -9.594733e+08 + i 2.906847e+08 ; -2.732842e+07 + i 2.698276e+07 ; -9.138793e+08 + i 5.058921e+08 ; -9.474333e+08 + i 2.866322e+08 ; -1.656568e+08 + i 1.256249e+08 ; -1.734840e+08 + i 1.288222e+08 ; -4.315257e+07 + i 1.241056e+08 ; 9.027466e+07 + i -2.152294e+07 ; 8.973580e+07 + i -2.009769e+07 ; -2.014425e+10 + i 5.540109e+09 ; 1.692647e+08 + i -6.913216e+07 ; 3.789038e+07 + i -1.658268e+07 ; -1.877301e+09 + i 9.289818e+08 ; 3.692091e+07 + i -1.741895e+07 ; 1.669527e+08 + i -6.854167e+07 ; -1.862209e+09 + i 9.237219e+08 ; 7.213323e+07 + i -3.797293e+07 ; 7.166145e+07 + i -3.688136e+07 ; -4.328201e+07 + i 1.601149e+08 ; 
4.466013e+07 + i -4.254033e+07 ; 2.985712e+06 + i -1.362915e+06 ; 3.395193e+06 + i -3.643295e+06 ; 5.189091e+07 + i -5.990706e+07 ; 7.169326e+06 + i -1.268586e+06 ; 2.053357e+07 + i -2.022106e+07 ; 5.064110e+06 + i -1.491758e+07 ; -2.616016e+06 + i 2.729702e+06 ; 2.642130e+06 + i -2.779699e+06 ; -6.746492e+06 + i -1.168971e+07 ; -1.167677e+07 + i 1.207485e+07 ; 1.282889e+07 + i -1.271043e+07 ; 2.220900e+08 + i -8.109148e+07 ; 3.241273e+06 + i -1.375016e+06 ; -6.149689e+06 + i 1.108962e+06 ; 4.057545e+08 + i -1.703154e+08 ; 7.362330e+06 + i 4.740617e+05 ; -1.284374e+07 + i -1.032724e+06 ; 4.499976e+07 + i -4.246559e+07 ; -3.593025e+06 + i 3.600408e+06 ; -4.506347e+06 + i 1.412716e+06 ; 5.176633e+07 + i -6.001899e+07 ; -1.896678e+07 + i 1.927671e+07 ; -9.829507e+06 + i 1.228164e+06 ; -9.568288e+08 + i 2.837385e+08 ; -4.092161e+07 + i 3.478661e+07 ; 1.055169e+09 + i -5.333485e+08 ; -1.869629e+09 + i 9.257608e+08 ; 3.957420e+07 + i -1.689428e+07 ; -1.511006e+08 + i 6.855314e+07 ; -4.021138e+07 + i 1.208661e+08 ; -1.779949e+08 + i 1.301689e+08 ; 2.001102e+08 + i -1.372105e+08 ; -4.060116e+07 + i 1.581397e+08 ; 7.457361e+07 + i -3.775635e+07 ; -8.137684e+07 + i 3.771369e+07 ; 3.841508e+09 + i -1.998602e+09 ; -3.442404e+08 + i 1.313153e+08 ; 3.266980e+08 + i -1.331718e+08 ; -2.014392e+10 + i 5.542645e+09 ; 9.532185e+07 + i -1.943283e+07 ; -1.062951e+08 + i 1.830192e+07 ; -9.463064e+08 + i 2.845622e+08 ; -9.417733e+08 + i 5.117718e+08 ; 4.567880e+07 + i -3.509990e+07 ; -1.870763e+09 + i 9.258925e+08 ; 1.880090e+08 + i -6.784504e+07 ; -4.537606e+07 + i 1.665966e+07 ; 
9.006002e+06 + i -3.674392e+04 ; -9.704181e+06 + i 7.626347e+06 ; 3.183763e+06 + i -1.890948e+06 ; 1.548393e+07 + i -2.334303e+06 ; -1.970160e+07 + i 1.839743e+07 ; 1.224942e+07 + i -5.678215e+06 ; -5.765295e+07 + i 2.625876e+07 ; -8.795510e+06 + i 7.009706e+06 ; 8.831431e+05 + i 3.057421e+05 ; -9.294769e+07 + i 4.613698e+07 ; -1.898313e+07 + i 1.738371e+07 ; -4.380187e+06 + i 4.226729e+06 ; 7.064617e+06 + i 2.313305e+06 ; -1.302469e+07 + i 9.067102e+06 ; 2.409978e+06 + i -1.453219e+06 ; 1.283804e+07 + i 1.190716e+06 ; -2.127875e+07 + i 2.579906e+07 ; 8.431102e+06 + i -3.702238e+06 ; -9.677260e+07 + i 3.479228e+07 ; -1.133967e+07 + i 8.265252e+06 ; 2.680147e+06 + i -9.402043e+05 ; -1.697728e+08 + i 7.033682e+07 ; -2.441051e+07 + i 2.617907e+07 ; 5.097682e+06 + i -1.809493e+06 ; 8.164149e+07 + i -3.745614e+07 ; -4.293400e+07 + i 1.607836e+08 ; 8.352815e+07 + i -3.846542e+07 ; 4.146223e+07 + i -1.599957e+07 ; -1.882573e+09 + i 9.301174e+08 ; 1.944988e+08 + i -6.995226e+07 ; -2.126167e+08 + i 1.422544e+08 ; -4.310752e+07 + i 1.241194e+08 ; -1.943155e+08 + i 1.385976e+08 ; -4.852574e+07 + i 3.836052e+07 ; -9.633687e+08 + i 2.920772e+08 ; -1.049943e+09 + i 5.350842e+08 ; 2.039386e+08 + i -6.681269e+07 ; -1.881329e+09 + i 9.287265e+08 ; 4.285419e+07 + i -1.674303e+07 ; 1.014887e+08 + i -1.700008e+07 ; -2.016750e+10 + i 5.546860e+09 ; 9.999185e+07 + i -1.902703e+07 ; -1.072153e+09 + i 5.402427e+08 ; -9.586808e+08 + i 2.910575e+08 ; -4.157371e+07 + i 3.621152e+07 ; -3.884428e+08 + i 1.366053e+08 ; 3.805227e+09 + i -1.987424e+09 ; -3.725099e+08 + i 1.348200e+08 ; 
9.766130e+07 + i -3.491313e+07 ; 2.003910e+06 + i -9.378731e+05 ; -1.226668e+07 + i 8.094881e+06 ; 1.711137e+08 + i -7.069799e+07 ; 4.209435e+06 + i -1.709403e+06 ; -2.616146e+07 + i 2.598052e+07 ; 5.825882e+07 + i -2.637210e+07 ; 3.523385e+05 + i 2.022591e+05 ; -9.288513e+06 + i 6.992358e+06 ; 9.357443e+07 + i -4.641318e+07 ; -4.481467e+06 + i 3.940686e+06 ; -1.983303e+07 + i 1.739655e+07 ; -4.445863e+06 + i -2.034841e+06 ; 2.302725e+06 + i -1.358719e+06 ; -1.273982e+07 + i 9.204445e+06 ; -8.423144e+06 + i -1.068206e+06 ; 7.911368e+06 + i -3.544825e+06 ; -2.071539e+07 + i 2.597439e+07 ; -7.603696e+06 + i 1.238177e+04 ; 2.925490e+06 + i -1.783719e+06 ; -9.577124e+06 + i 7.661730e+06 ; -1.344263e+07 + i 2.160379e+06 ; 1.113972e+07 + i -5.454303e+06 ; -1.953365e+07 + i 1.839786e+07 ; 1.077316e+09 + i -5.395988e+08 ; -4.617502e+07 + i 3.402094e+07 ; -9.700146e+08 + i 2.904984e+08 ; 3.368235e+08 + i -1.358972e+08 ; -3.301166e+08 + i 1.331248e+08 ; 3.803516e+09 + i -1.987524e+09 ; 2.117425e+08 + i -1.427298e+08 ; -1.791886e+08 + i 1.307107e+08 ; -4.328847e+07 + i 1.247514e+08 ; 5.411471e+07 + i -3.770233e+07 ; -9.402641e+08 + i 5.132833e+08 ; -9.629662e+08 + i 2.924122e+08 ; -1.479153e+08 + i 6.670860e+07 ; 3.895267e+07 + i -1.641289e+07 ; -1.876292e+09 + i 9.290276e+08 ; -1.042909e+08 + i 1.671866e+07 ; 9.262695e+07 + i -1.988463e+07 ; -2.016444e+10 + i 5.547762e+09 ; -7.881340e+07 + i 3.640998e+07 ; 7.628814e+07 + i -3.658159e+07 ; -4.280355e+07 + i 1.601176e+08 ; -4.008580e+07 + i 1.605360e+07 ; 1.728955e+08 + i -6.922512e+07 ; -1.879440e+09 + i 9.302697e+08 ; 
-7.099605e+06 + i -1.167678e+07 ; 1.075701e+07 + i -1.147290e+07 ; 1.074702e+07 + i -1.147383e+07 ; -3.439756e+07 + i 2.995512e+06 ; 1.259334e+08 + i -7.630307e+07 ; 1.259186e+08 + i -7.630786e+07 ; 5.098265e+07 + i -6.014551e+07 ; -2.532882e+06 + i -1.522595e+06 ; 9.038548e+06 + i -1.660429e+07 ; 5.061023e+07 + i -7.775184e+07 ; 3.792037e+07 + i -2.119039e+07 ; 3.012921e+08 + i -1.578895e+08 ; 5.098995e+07 + i -6.014340e+07 ; 9.032493e+06 + i -1.660457e+07 ; -2.512267e+06 + i -1.524804e+06 ; 5.062722e+07 + i -7.774247e+07 ; 3.012893e+08 + i -1.578955e+08 ; 3.800353e+07 + i -2.117547e+07 ; 4.050842e+08 + i -1.705367e+08 ; -4.700169e+06 + i -4.107408e+06 ; -4.680938e+06 + i -4.110505e+06 ; 7.679698e+08 + i -3.825094e+08 ; 1.106526e+08 + i -4.189863e+07 ; 1.106777e+08 + i -4.188485e+07 ; -3.931334e+07 + i 1.554412e+08 ; 7.213664e+07 + i -3.344346e+07 ; 7.215445e+07 + i -3.344446e+07 ; -3.990817e+07 + i 1.204998e+08 ; -2.019179e+08 + i 1.391801e+08 ; -2.018621e+08 + i 1.391987e+08 ; -1.859191e+09 + i 9.163354e+08 ; 3.440846e+07 + i -1.378846e+07 ; 1.828900e+08 + i -6.488548e+07 ; -9.478114e+08 + i 2.842290e+08 ; -4.400163e+07 + i 3.661581e+07 ; -1.054503e+09 + i 5.378165e+08 ; -1.859123e+09 + i 9.163445e+08 ; 1.828711e+08 + i -6.489321e+07 ; 3.439397e+07 + i -1.377294e+07 ; -9.477595e+08 + i 2.842602e+08 ; -1.054462e+09 + i 5.378482e+08 ; -4.427819e+07 + i 3.657212e+07 ; -2.009915e+10 + i 5.522654e+09 ; 8.992691e+07 + i -1.609118e+07 ; 8.988894e+07 + i -1.606489e+07 ; 3.841842e+09 + i -1.998532e+09 ; -3.727062e+08 + i 1.372286e+08 ; -3.728436e+08 + i 1.371818e+08 ; 
6.987033e+07 + i -4.024407e+07 ; -1.845343e+07 + i 1.737570e+07 ; -8.214568e+05 + i -2.441581e+06 ; 1.172006e+08 + i -7.317787e+07 ; -1.065094e+08 + i 6.723753e+07 ; 7.062540e+07 + i -4.194864e+07 ; -3.159337e+07 + i 1.321972e+07 ; -1.962674e+07 + i 1.835271e+07 ; -7.921885e+06 + i 4.759418e+06 ; -4.241224e+07 + i 2.011617e+07 ; -1.398174e+08 + i 9.490831e+07 ; -3.927284e+07 + i 1.434867e+07 ; 1.439754e+08 + i -7.038696e+07 ; -2.347496e+07 + i 2.627423e+07 ; -4.821836e+06 + i 9.845721e+05 ; 2.622892e+08 + i -1.512476e+08 ; -2.445801e+08 + i 1.022982e+08 ; 1.485549e+07 + i -6.416453e+06 ; -4.998681e+07 + i 1.579939e+07 ; -2.086567e+07 + i 2.587289e+07 ; -5.577925e+06 + i 3.147180e+06 ; -7.424484e+07 + i 2.885174e+07 ; -3.596537e+08 + i 1.826262e+08 ; -2.371214e+07 + i 7.207796e+06 ; -2.823976e+07 + i 2.752944e+07 ; -9.563947e+08 + i 2.865415e+08 ; 1.058877e+09 + i -5.343765e+08 ; -1.713138e+08 + i 1.275172e+08 ; -4.391461e+07 + i 1.246286e+08 ; 2.021503e+08 + i -1.386665e+08 ; 3.913985e+07 + i -1.757667e+07 ; -1.861924e+09 + i 9.236711e+08 ; -1.508059e+08 + i 6.816123e+07 ; 7.711812e+07 + i -3.817062e+07 ; -4.300561e+07 + i 1.601092e+08 ; -8.116778e+07 + i 3.794147e+07 ; -3.094580e+08 + i 1.226529e+08 ; 3.822155e+09 + i -1.993307e+09 ; 3.261063e+08 + i -1.328707e+08 ; -9.327630e+08 + i 5.096782e+08 ; -9.602053e+08 + i 2.911270e+08 ; 4.631789e+07 + i -3.575748e+07 ; 9.310862e+07 + i -2.149398e+07 ; -2.014327e+10 + i 5.540306e+09 ; -1.061544e+08 + i 1.829817e+07 ; 1.766439e+08 + i -6.982051e+07 ; -1.876954e+09 + i 9.290393e+08 ; -4.423634e+07 + i 1.722671e+07 ; 
6.989008e+07 + i -4.024775e+07 ; -8.244920e+05 + i -2.442717e+06 ; -1.844898e+07 + i 1.737534e+07 ; 1.172121e+08 + i -7.317652e+07 ; 7.062071e+07 + i -4.195064e+07 ; -1.065202e+08 + i 6.723443e+07 ; 1.439706e+08 + i -7.039141e+07 ; -4.816337e+06 + i 9.850832e+05 ; -2.346946e+07 + i 2.626962e+07 ; 2.622871e+08 + i -1.512490e+08 ; 1.486892e+07 + i -6.414053e+06 ; -2.445061e+08 + i 1.022886e+08 ; -3.159117e+07 + i 1.321549e+07 ; -7.921975e+06 + i 4.758587e+06 ; -1.966762e+07 + i 1.835341e+07 ; -4.242678e+07 + i 2.011464e+07 ; -3.926038e+07 + i 1.435152e+07 ; -1.398325e+08 + i 9.490733e+07 ; -4.991539e+07 + i 1.580055e+07 ; -5.577597e+06 + i 3.147015e+06 ; -2.094767e+07 + i 2.587137e+07 ; -7.420230e+07 + i 2.885709e+07 ; -2.371169e+07 + i 7.209322e+06 ; -3.597449e+08 + i 1.826223e+08 ; -2.826542e+07 + i 2.755301e+07 ; 1.058879e+09 + i -5.343819e+08 ; -9.564180e+08 + i 2.865218e+08 ; -1.713214e+08 + i 1.275125e+08 ; 2.021511e+08 + i -1.386727e+08 ; -4.387714e+07 + i 1.246188e+08 ; -3.095421e+08 + i 1.226483e+08 ; 3.261436e+08 + i -1.328668e+08 ; 3.822768e+09 + i -1.993173e+09 ; -9.327537e+08 + i 5.096790e+08 ; 4.634259e+07 + i -3.575169e+07 ; -9.600252e+08 + i 2.910545e+08 ; 3.914000e+07 + i -1.755898e+07 ; -1.507071e+08 + i 6.818483e+07 ; -1.860908e+09 + i 9.238135e+08 ; 7.721199e+07 + i -3.815969e+07 ; -8.112705e+07 + i 3.794172e+07 ; -4.297129e+07 + i 1.600372e+08 ; 9.290837e+07 + i -2.149250e+07 ; -1.061599e+08 + i 1.829839e+07 ; -2.014303e+10 + i 5.540440e+09 ; 1.766773e+08 + i -6.980929e+07 ; -4.423092e+07 + i 1.722680e+07 ; -1.876845e+09 + i 9.289509e+08 ; 
4.921926e+06 + i -1.490932e+07 ; 2.902798e+06 + i -2.845264e+06 ; 2.901632e+06 + i -2.845491e+06 ; -6.753880e+06 + i -1.166672e+07 ; 1.349378e+07 + i -1.296828e+07 ; 1.348404e+07 + i -1.297221e+07 ; 4.469799e+07 + i -4.254862e+07 ; -4.126260e+06 + i 1.573728e+06 ; 3.678440e+06 + i -3.741386e+06 ; 5.194703e+07 + i -5.990835e+07 ; -9.243483e+06 + i 1.480552e+06 ; 2.159612e+07 + i -2.066031e+07 ; 4.470958e+07 + i -4.254490e+07 ; 3.675245e+06 + i -3.741527e+06 ; -4.127672e+06 + i 1.572554e+06 ; 5.197314e+07 + i -5.989730e+07 ; 2.159448e+07 + i -2.065923e+07 ; -9.217933e+06 + i 1.484819e+06 ; 2.220883e+08 + i -8.114656e+07 ; -5.942148e+06 + i 1.143360e+06 ; -5.951461e+06 + i 1.141428e+06 ; 4.059254e+08 + i -1.702326e+08 ; -1.249313e+07 + i -1.072132e+06 ; -1.250106e+07 + i -1.069336e+06 ; -4.027716e+07 + i 1.215108e+08 ; 2.060770e+08 + i -1.396254e+08 ; 2.060126e+08 + i -1.396444e+08 ; -3.983085e+07 + i 1.582873e+08 ; -9.358747e+07 + i 3.687941e+07 ; -9.359570e+07 + i 3.688039e+07 ; -9.561282e+08 + i 2.841209e+08 ; 4.888457e+07 + i -3.457165e+07 ; 1.092854e+09 + i -5.388734e+08 ; -1.869167e+09 + i 9.258276e+08 ; -4.455754e+07 + i 1.737982e+07 ; -1.601641e+08 + i 6.887934e+07 ; -9.561460e+08 + i 2.841348e+08 ; 1.092817e+09 + i -5.389086e+08 ; 4.917015e+07 + i -3.452375e+07 ; -1.868990e+09 + i 9.258596e+08 ; -1.601627e+08 + i 6.887494e+07 ; -4.452954e+07 + i 1.736811e+07 ; 3.836471e+09 + i -1.999246e+09 ; 3.382412e+08 + i -1.340561e+08 ; 3.383778e+08 + i -1.340121e+08 ; -2.014342e+10 + i 5.542794e+09 ; -1.089899e+08 + i 1.799232e+07 ; -1.089308e+08 + i 1.797677e+07 ; 
5.987852e+07 + i -2.652923e+07 ; -9.211113e+06 + i 7.006840e+06 ; -9.836015e+05 + i -2.949183e+05 ; 9.641688e+07 + i -4.670745e+07 ; -1.964534e+07 + i 1.743951e+07 ; 4.274696e+06 + i -4.326574e+06 ; -8.541861e+06 + i -1.923150e+05 ; -9.528509e+06 + i 7.668985e+06 ; -3.359518e+06 + i 1.921756e+06 ; -1.517550e+07 + i 1.925301e+06 ; -1.937865e+07 + i 1.841699e+07 ; -1.285675e+07 + i 5.756289e+06 ; 1.007905e+08 + i -3.488825e+07 ; -1.221354e+07 + i 8.114947e+06 ; -3.159419e+06 + i 8.682170e+05 ; 1.766818e+08 + i -7.090397e+07 ; -2.605704e+07 + i 2.602579e+07 ; -6.353005e+06 + i 1.599249e+06 ; -4.992486e+06 + i -2.168036e+06 ; -1.271628e+07 + i 9.201717e+06 ; -2.622249e+06 + i 1.479915e+06 ; -9.371144e+06 + i -1.179705e+06 ; -2.064435e+07 + i 2.597232e+07 ; -9.022374e+06 + i 3.723902e+06 ; 2.196455e+08 + i -1.444793e+08 ; -4.380432e+07 + i 1.252135e+08 ; 2.070255e+08 + i -1.404881e+08 ; 5.638128e+07 + i -3.701452e+07 ; -9.714379e+08 + i 2.923149e+08 ; 1.093974e+09 + i -5.398143e+08 ; -9.134848e+07 + i 3.518596e+07 ; -4.219080e+07 + i 1.602603e+08 ; -9.291678e+07 + i 3.665459e+07 ; -4.269230e+07 + i 1.612519e+07 ; -1.878875e+09 + i 9.302829e+08 ; -1.600670e+08 + i 6.879764e+07 ; 1.113161e+09 + i -5.444078e+08 ; -9.697737e+08 + i 2.909238e+08 ; 4.963682e+07 + i -3.502720e+07 ; 3.504508e+08 + i -1.369605e+08 ; 3.799200e+09 + i -1.988063e+09 ; 3.388417e+08 + i -1.345107e+08 ; -1.581327e+08 + i 6.737696e+07 ; -1.875776e+09 + i 9.291780e+08 ; -4.380894e+07 + i 1.715153e+07 ; -1.062980e+08 + i 1.656723e+07 ; -2.016369e+10 + i 5.547874e+09 ; -1.087334e+08 + i 1.786816e+07 ; 
