-8.637692e+09 + i 3.748809e+10 ; -1.105750e+09 + i 4.578262e+08 ; -1.110302e+09 + i 4.550830e+08 ; -1.030946e+10 + i -1.573058e+10 ; 5.117097e+08 + i -2.682034e+09 ; 5.137164e+08 + i -2.687918e+09 ; 3.489308e+09 + i 5.753953e+09 ; -3.589751e+08 + i 1.187027e+09 ; -5.092715e+08 + i 8.227747e+08 ; -3.407442e+09 + i 6.005192e+09 ; -3.899532e+09 + i -3.589327e+09 ; -7.404238e+08 + i -8.038079e+08 ; 3.482756e+09 + i 5.756217e+09 ; -5.027246e+08 + i 8.257297e+08 ; -3.544978e+08 + i 1.190722e+09 ; -3.414447e+09 + i 6.003463e+09 ; -7.430183e+08 + i -7.902889e+08 ; -3.899448e+09 + i -3.587675e+09 ; 2.704243e+09 + i 1.697733e+09 ; -8.538883e+07 + i 8.817469e+08 ; -8.935501e+07 + i 8.877668e+08 ; 3.245630e+09 + i 3.452772e+09 ; -1.724675e+09 + i -4.228876e+08 ; -1.726762e+09 + i -4.194346e+08 ; -2.378107e+07 + i -1.665038e+09 ; -2.034428e+08 + i 2.992152e+07 ; -2.028775e+08 + i 2.866494e+07 ; 2.902398e+08 + i -6.658437e+08 ; -2.959397e+07 + i 1.150160e+08 ; -3.016804e+07 + i 1.146476e+08 ; -1.171452e+09 + i -5.691416e+08 ; -3.822786e+08 + i 8.598592e+07 ; -1.596197e+08 + i 1.118922e+08 ; -6.388444e+08 + i -6.754623e+08 ; -6.350992e+07 + i 1.292671e+08 ; -4.050485e+06 + i 1.221355e+08 ; -1.174107e+09 + i -5.690325e+08 ; -1.594058e+08 + i 1.139068e+08 ; -3.814103e+08 + i 8.572421e+07 ; -6.405618e+08 + i -6.767598e+08 ; -3.152845e+06 + i 1.224780e+08 ; -6.313311e+07 + i 1.287045e+08 ; -1.320878e+09 + i 3.617921e+08 ; -2.736150e+08 + i 1.454262e+08 ; -2.725036e+08 + i 1.455476e+08 ; -1.260359e+09 + i -1.551191e+08 ; -3.323064e+07 + i 1.328869e+08 ; -3.278203e+07 + i 1.328884e+08 ; 
1.810171e+08 + i 1.544028e+08 ; -3.258252e+07 + i -6.100021e+07 ; 2.124915e+08 + i -1.661875e+08 ; 2.298872e+08 + i 1.081669e+08 ; 6.159163e+06 + i -1.471273e+08 ; 5.777147e+08 + i -1.807068e+07 ; 1.211758e+08 + i 1.849025e+08 ; -2.762228e+07 + i -5.849108e+07 ; 2.253877e+08 + i -1.123303e+08 ; 1.876280e+08 + i 1.651470e+08 ; 2.674816e+07 + i -1.316523e+08 ; 5.620845e+08 + i 9.803428e+07 ; -5.248418e+07 + i 3.949254e+08 ; -5.791989e+06 + i -3.628380e+07 ; 1.904215e+08 + i -1.739224e+08 ; 1.015792e+08 + i 5.566925e+08 ; 8.308242e+07 + i -4.441530e+07 ; 6.130754e+08 + i -1.460873e+07 ; -2.070968e+08 + i 3.963778e+08 ; -1.890563e+07 + i -3.287063e+07 ; 2.136540e+08 + i -1.346871e+08 ; -6.460474e+07 + i 7.392568e+08 ; 4.009767e+07 + i -6.030808e+07 ; 6.194744e+08 + i 1.988681e+08 ; 3.148640e+08 + i -5.955158e+08 ; 3.244511e+08 + i -6.750021e+08 ; 2.677509e+09 + i 1.805059e+09 ; 6.420747e+08 + i -4.968459e+08 ; 6.032690e+08 + i -8.852950e+08 ; 3.470278e+09 + i 5.847437e+09 ; 5.908870e+08 + i -8.086970e+08 ; 6.594273e+08 + i -5.608335e+08 ; 3.477475e+09 + i 5.795747e+09 ; 1.018549e+09 + i -4.529038e+07 ; 1.050299e+09 + i -1.065871e+08 ; -8.629464e+09 + i 3.758476e+10 ; 1.167021e+09 + i 9.861528e+08 ; 1.232067e+09 + i 9.168372e+08 ; 3.358357e+09 + i 3.673654e+09 ; 3.595377e+08 + i 1.069213e+09 ; 2.306614e+09 + i 3.943909e+09 ; -3.433995e+09 + i 6.248565e+09 ; 2.195808e+09 + i 3.974224e+09 ; 4.120145e+08 + i 1.034508e+09 ; -3.424802e+09 + i 6.188818e+09 ; -1.121063e+09 + i 2.081110e+09 ; -1.048072e+09 + i 2.071469e+09 ; -1.041555e+10 + i -1.561315e+10 ; 
-1.176879e+09 + i -5.759584e+08 ; 3.169219e+08 + i -7.731448e+07 ; -3.938998e+08 + i 1.193937e+07 ; -1.566152e+09 + i -1.439266e+08 ; 2.816505e+08 + i 5.084859e+08 ; -8.344594e+08 + i -1.195377e+09 ; -1.322840e+09 + i 3.543978e+08 ; 3.580419e+08 + i -1.379183e+08 ; -3.126516e+08 + i 4.936056e+07 ; -1.166310e+09 + i 7.624760e+08 ; 8.224773e+08 + i 4.604910e+08 ; -6.278857e+08 + i -5.519110e+08 ; -3.846825e+07 + i -1.668736e+09 ; 3.896123e+08 + i 5.733786e+07 ; -3.291681e+08 + i -8.239814e+07 ; -1.681690e+09 + i -2.651578e+09 ; -2.476689e+07 + i 8.809884e+08 ; 2.056997e+08 + i -7.153277e+08 ; -1.170486e+09 + i -5.710147e+08 ; 4.632655e+08 + i -9.964054e+07 ; -2.777054e+08 + i 3.301672e+07 ; -1.559542e+09 + i -1.556892e+08 ; 1.199859e+09 + i 1.128151e+09 ; -1.456488e+08 + i -4.708447e+08 ; 3.363689e+09 + i 5.569285e+09 ; -5.122598e+08 + i 6.919163e+08 ; 3.720268e+08 + i -1.154007e+09 ; -3.479652e+09 + i 5.959986e+09 ; -7.902569e+08 + i -9.634103e+08 ; 2.367017e+09 + i 4.226478e+09 ; 2.448039e+09 + i 1.613685e+09 ; -1.421893e+08 + i 7.436854e+08 ; 2.197688e+08 + i -6.551741e+08 ; 3.208465e+09 + i 3.478146e+09 ; -1.759221e+09 + i -6.096354e+08 ; 1.425367e+09 + i 9.555922e+08 ; -8.563924e+09 + i 3.721825e+10 ; -1.072254e+09 + i 3.058217e+08 ; 1.101615e+09 + i -2.428721e+08 ; -1.029372e+10 + i -1.580088e+10 ; 6.342938e+08 + i -2.720218e+09 ; -8.567242e+08 + i 2.535642e+09 ; 3.328482e+09 + i 5.515143e+09 ; -3.803383e+08 + i 1.025317e+09 ; 5.542552e+08 + i -5.683119e+08 ; -3.443774e+09 + i 5.991241e+09 ; -3.595545e+09 + i -3.927666e+09 ; 5.896153e+08 + i 1.013288e+09 ; 
1.789785e+08 + i -5.376301e+08 ; 5.648383e+08 + i 2.145011e+06 ; -2.586132e+07 + i -1.280289e+08 ; -2.680220e+07 + i -5.686884e+08 ; 8.821986e+08 + i 7.302428e+08 ; 6.969640e+07 + i -2.442799e+08 ; 4.066996e+08 + i 4.562161e+08 ; 6.225838e+08 + i -8.715806e+06 ; 7.410947e+07 + i -7.951484e+07 ; 7.627463e+08 + i 3.431695e+08 ; 7.101207e+08 + i 9.547005e+08 ; 3.447730e+08 + i 2.118873e+08 ; 3.814733e+08 + i -4.361000e+08 ; 5.363677e+08 + i 1.107777e+08 ; -5.259066e+06 + i -1.385691e+08 ; 1.413393e+08 + i -6.575251e+08 ; 8.298122e+08 + i 1.267503e+09 ; 1.576974e+08 + i -1.696995e+08 ; 2.335645e+08 + i 9.769064e+08 ; 6.247689e+08 + i 2.077447e+08 ; 4.925485e+07 + i -6.049571e+07 ; 1.268455e+09 + i 1.092910e+09 ; 2.233059e+07 + i 1.347706e+09 ; 4.125648e+07 + i 8.063757e+07 ; -4.300151e+08 + i 7.883575e+08 ; 3.563620e+09 + i 5.750146e+09 ; 3.165732e+08 + i -1.301287e+09 ; -8.910829e+07 + i 8.966453e+08 ; 2.682237e+09 + i 1.827998e+09 ; 2.284318e+08 + i -7.534056e+08 ; -6.899225e+08 + i -7.460001e+08 ; -3.349732e+09 + i 6.060565e+09 ; 2.346123e+09 + i 4.199945e+09 ; -1.724288e+09 + i -4.683420e+08 ; 3.316842e+09 + i 3.693481e+09 ; 1.400498e+09 + i 8.965824e+08 ; -9.392450e+08 + i 4.634042e+08 ; -8.523057e+09 + i 3.745773e+10 ; 1.148112e+09 + i -3.756953e+08 ; -2.701528e+08 + i 1.156545e+09 ; 3.460925e+09 + i 5.766887e+09 ; 5.902201e+08 + i -6.460448e+08 ; 5.881784e+08 + i -2.412489e+09 ; -1.026465e+10 + i -1.573886e+10 ; -7.940577e+08 + i 2.503648e+09 ; -3.659679e+09 + i -3.836912e+09 ; -3.449894e+09 + i 6.168420e+09 ; 5.596593e+08 + i 9.576793e+08 ; 
-2.704458e+08 + i -1.004336e+09 ; 4.465978e+07 + i -6.208680e+07 ; 6.166115e+08 + i 2.244865e+08 ; -1.295707e+09 + i -1.144061e+09 ; 8.143214e+07 + i 9.819645e+07 ; 2.207515e+07 + i 1.371215e+09 ; -4.449994e+08 + i -4.602188e+08 ; 6.681940e+07 + i -9.535999e+07 ; 6.182970e+08 + i 5.935933e+06 ; -7.998998e+08 + i -3.729272e+08 ; 4.268127e+08 + i 1.645435e+08 ; 7.076087e+08 + i 9.651393e+08 ; -3.942097e+08 + i 4.125942e+08 ; -2.785279e+07 + i -1.555792e+08 ; 5.594426e+08 + i 9.720596e+07 ; -1.712513e+08 + i 5.806100e+08 ; 1.471708e+08 + i -2.272536e+08 ; 8.440640e+08 + i 1.253260e+09 ; -2.022728e+08 + i 5.276545e+08 ; -5.601634e+07 + i -1.409335e+08 ; 5.812740e+08 + i -1.716572e+07 ; -3.503164e+06 + i 5.318030e+08 ; 2.353551e+07 + i -2.933708e+08 ; 8.932659e+08 + i 7.230144e+08 ; -3.854093e+08 + i 2.695324e+09 ; -3.991465e+08 + i 2.964743e+09 ; -1.029122e+10 + i -1.573736e+10 ; 3.555404e+09 + i 3.829538e+09 ; 7.295665e+08 + i 8.484659e+08 ; -3.492259e+09 + i 6.139426e+09 ; 7.029684e+08 + i 6.825914e+08 ; 3.512300e+09 + i 3.883455e+09 ; -3.389775e+09 + i 6.071248e+09 ; 1.674911e+09 + i 5.233627e+08 ; 1.663277e+09 + i 6.117760e+08 ; 3.269175e+09 + i 3.696913e+09 ; 1.055663e+09 + i -5.139409e+08 ; 1.170921e+09 + i -4.802745e+08 ; -8.545011e+09 + i 3.745642e+10 ; 1.039622e+08 + i -1.487550e+09 ; 5.758942e+08 + i -8.332556e+08 ; 3.471940e+09 + i 5.884619e+09 ; 4.433909e+08 + i -8.629581e+08 ; 1.383661e+08 + i -1.514915e+09 ; 3.565793e+09 + i 5.812026e+09 ; 3.590316e+07 + i -9.198454e+08 ; 1.076245e+08 + i -8.498659e+08 ; 2.765524e+09 + i 1.887730e+09 ; 
-6.434453e+08 + i -6.817878e+08 ; 2.926139e+07 + i -1.196892e+08 ; -1.109314e+08 + i 5.378127e+07 ; -1.194790e+09 + i -5.551298e+08 ; 1.799136e+08 + i -8.845553e+07 ; -3.893889e+08 + i -7.052301e+07 ; -1.254050e+09 + i -1.571841e+08 ; 5.404895e+07 + i -1.290999e+08 ; -1.025627e+08 + i 8.472107e+07 ; -1.328846e+09 + i 3.770206e+08 ; 2.866664e+08 + i -1.099993e+08 ; -3.202927e+08 + i 3.882175e+07 ; 2.872502e+08 + i -6.734813e+08 ; 5.110934e+07 + i -1.040972e+08 ; -4.295985e+07 + i 6.287429e+07 ; -5.274263e+07 + i -1.667432e+09 ; 2.089485e+08 + i 4.046455e+06 ; -1.744300e+08 + i -1.001323e+08 ; -6.320998e+08 + i -6.775730e+08 ; 8.225646e+07 + i -1.171660e+08 ; -4.970877e+07 + i 8.297148e+07 ; -1.180651e+09 + i -5.583514e+08 ; 3.841904e+08 + i -3.401234e+07 ; -1.924502e+08 + i 2.025100e+07 ; -3.468264e+09 + i 5.889575e+09 ; 6.248893e+08 + i 8.937765e+08 ; -2.281915e+09 + i -3.888216e+09 ; 3.504838e+09 + i 5.772887e+09 ; 5.966555e+08 + i -7.432564e+08 ; -2.146306e+08 + i 1.621684e+09 ; 3.155064e+09 + i 3.454109e+09 ; 1.629637e+09 + i 6.267247e+08 ; -1.351721e+09 + i -8.638298e+08 ; 2.726685e+09 + i 1.711413e+09 ; 2.104184e+08 + i -8.194191e+08 ; -1.854941e+08 + i 7.329782e+08 ; -1.028544e+10 + i -1.581914e+10 ; -7.470916e+08 + i 2.517718e+09 ; 7.063304e+08 + i -2.784509e+09 ; -8.620436e+09 + i 3.750002e+10 ; 1.135669e+09 + i -3.043512e+08 ; -1.013367e+09 + i 1.037366e+08 ; -3.478527e+09 + i 5.936710e+09 ; 3.297812e+09 + i 3.994971e+09 ; -5.730612e+08 + i -9.303463e+08 ; 3.497968e+09 + i 5.721167e+09 ; 3.904233e+08 + i -1.059703e+09 ; -5.611479e+08 + i 5.942077e+08 ; 
1.770845e+08 + i 1.539995e+08 ; 2.136555e+08 + i -1.658365e+08 ; -3.428778e+07 + i -5.684763e+07 ; 2.237999e+08 + i 1.069641e+08 ; 5.795712e+08 + i -1.778038e+07 ; 3.282885e+06 + i -1.394919e+08 ; -5.849624e+07 + i 3.981740e+08 ; 1.917498e+08 + i -1.742616e+08 ; -9.074328e+06 + i -3.561942e+07 ; 1.002736e+08 + i 5.589489e+08 ; 6.114823e+08 + i -1.338132e+07 ; 7.717967e+07 + i -4.448716e+07 ; 1.142795e+08 + i 1.769202e+08 ; 2.246040e+08 + i -1.110672e+08 ; -2.811322e+07 + i -5.483647e+07 ; 1.736395e+08 + i 1.566926e+08 ; 5.612767e+08 + i 9.868847e+07 ; 2.254321e+07 + i -1.263824e+08 ; -2.140266e+08 + i 3.855574e+08 ; 2.137192e+08 + i -1.336279e+08 ; -2.025394e+07 + i -3.097382e+07 ; -8.291538e+07 + i 7.295071e+08 ; 6.168841e+08 + i 2.006669e+08 ; 3.503900e+07 + i -6.283277e+07 ; 2.811438e+08 + i -5.840043e+08 ; 2.681868e+09 + i 1.806783e+09 ; 2.317710e+08 + i -6.152721e+08 ; 6.062820e+08 + i -5.256615e+08 ; 3.472402e+09 + i 5.862586e+09 ; 3.947932e+08 + i -1.171373e+09 ; 1.286528e+09 + i 9.133108e+08 ; 3.321306e+09 + i 3.688232e+09 ; 1.346481e+09 + i 9.266190e+08 ; 4.719722e+08 + i 1.006255e+09 ; -3.472920e+09 + i 6.201042e+09 ; 2.207172e+09 + i 4.116664e+09 ; 4.745560e+08 + i -8.226077e+08 ; 3.481886e+09 + i 5.764785e+09 ; 5.478696e+08 + i -6.005117e+08 ; 1.032051e+09 + i -8.224237e+07 ; -8.608716e+09 + i 3.758540e+10 ; 1.127556e+09 + i -2.863324e+08 ; 2.065066e+09 + i 4.060254e+09 ; -3.461542e+09 + i 6.172921e+09 ; 5.451391e+08 + i 9.138062e+08 ; -1.105255e+09 + i 2.191579e+09 ; -1.040992e+10 + i -1.563016e+10 ; -8.353863e+08 + i 2.361944e+09 ; 
2.361760e+08 + i -3.530988e+08 ; -2.576587e+07 + i -3.935657e+07 ; 2.261389e+08 + i -1.372649e+08 ; 1.300721e+08 + i -6.739927e+08 ; 2.108914e+07 + i -8.546627e+07 ; 6.298678e+08 + i 1.842455e+08 ; 9.150201e+07 + i -3.730739e+08 ; -1.405704e+07 + i -4.105260e+07 ; 2.006561e+08 + i -1.777169e+08 ; -4.703694e+07 + i -5.314425e+08 ; 7.610736e+07 + i -6.836423e+07 ; 6.163519e+08 + i -2.554967e+07 ; -1.279427e+08 + i -1.478540e+08 ; -4.400283e+07 + i -5.567679e+07 ; 2.117036e+08 + i -1.229164e+08 ; -1.701265e+08 + i -7.699555e+07 ; -3.527815e+06 + i -1.440946e+08 ; 5.471964e+08 + i 9.853498e+07 ; -1.685581e+08 + i -1.246770e+08 ; -4.998910e+07 + i -5.437481e+07 ; 1.979029e+08 + i -1.718745e+08 ; -1.950760e+08 + i -5.805548e+07 ; -2.545330e+07 + i -1.537223e+08 ; 5.718884e+08 + i -1.148714e+07 ; -2.147804e+09 + i -3.992659e+09 ; 7.102585e+08 + i 8.267482e+08 ; -3.467650e+09 + i 6.074184e+09 ; 7.623513e+08 + i -2.868152e+09 ; -6.147638e+08 + i 2.840607e+09 ; -1.038397e+10 + i -1.566368e+10 ; -1.176601e+09 + i -9.435207e+08 ; 1.628855e+09 + i 7.026584e+08 ; 3.252850e+09 + i 3.667818e+09 ; -4.729962e+08 + i -8.940454e+08 ; 3.264829e+09 + i 4.065905e+09 ; -3.509177e+09 + i 6.183042e+09 ; -2.068903e+08 + i 1.580479e+09 ; 5.915144e+08 + i -7.796463e+08 ; 3.460122e+09 + i 5.905228e+09 ; -9.813711e+08 + i 5.424714e+07 ; 1.189805e+09 + i -3.693670e+08 ; -8.683027e+09 + i 3.757247e+10 ; -1.997758e+08 + i 6.166688e+08 ; 1.085176e+08 + i -7.686243e+08 ; 2.758571e+09 + i 1.890147e+09 ; -6.593407e+08 + i 5.584654e+08 ; 3.001803e+08 + i -1.385645e+09 ; 3.454062e+09 + i 5.948718e+09 ; 
-1.323742e+09 + i 3.499909e+08 ; -3.060280e+08 + i 2.793156e+07 ; -3.059533e+08 + i 2.719600e+07 ; -1.167769e+09 + i 7.601759e+08 ; -5.883368e+08 + i -5.664462e+08 ; -5.876857e+08 + i -5.669409e+08 ; -1.169858e+09 + i -5.744716e+08 ; -2.674606e+08 + i 1.146870e+07 ; -3.834014e+08 + i -8.584564e+06 ; -1.567707e+09 + i -1.466807e+08 ; -1.211417e+08 + i -4.962634e+08 ; -7.614134e+08 + i -1.184200e+09 ; -1.169862e+09 + i -5.769599e+08 ; -3.822073e+08 + i -7.545787e+06 ; -2.664277e+08 + i 1.336936e+07 ; -1.568133e+09 + i -1.505055e+08 ; -7.617952e+08 + i -1.182574e+09 ; -1.219222e+08 + i -4.942761e+08 ; -3.034786e+07 + i -1.666214e+09 ; -3.143910e+08 + i -9.872392e+07 ; -3.150380e+08 + i -9.745964e+07 ; -1.683845e+09 + i -2.652139e+09 ; 2.346707e+08 + i -6.973131e+08 ; 2.338995e+08 + i -6.976916e+08 ; 2.455874e+09 + i 1.588746e+09 ; 1.835131e+08 + i -5.432575e+08 ; 1.839304e+08 + i -5.412816e+08 ; 3.201344e+09 + i 3.482746e+09 ; 1.392491e+09 + i 9.064126e+08 ; 1.390664e+09 + i 9.073660e+08 ; 3.367021e+09 + i 5.520848e+09 ; 5.400465e+08 + i -5.461244e+08 ; 3.719152e+08 + i -1.063344e+09 ; -3.498970e+09 + i 5.962093e+09 ; 6.317019e+08 + i 9.755474e+08 ; 2.093297e+09 + i 4.142607e+09 ; 3.361208e+09 + i 5.523256e+09 ; 3.703325e+08 + i -1.065118e+09 ; 5.364803e+08 + i -5.496538e+08 ; -3.504206e+09 + i 5.959947e+09 ; 2.093440e+09 + i 4.137394e+09 ; 6.355980e+08 + i 9.684637e+08 ; -8.513446e+09 + i 3.720632e+10 ; 1.090345e+09 + i -1.928751e+08 ; 1.090350e+09 + i -1.985385e+08 ; -1.030983e+10 + i -1.584828e+10 ; -9.176667e+08 + i 2.477729e+09 ; -9.129150e+08 + i 2.477047e+09 ; 
-4.065085e+08 + i -4.744441e+08 ; 6.156406e+08 + i 5.771491e+06 ; -7.079455e+07 + i 7.009964e+07 ; -7.627743e+08 + i -3.919212e+08 ; 7.039772e+08 + i 9.577238e+08 ; -3.148955e+08 + i -2.155455e+08 ; -2.308108e+08 + i 5.176391e+08 ; 5.786404e+08 + i -1.315180e+07 ; 1.912815e+07 + i 1.164243e+08 ; -3.400099e+07 + i 5.489982e+08 ; 8.878498e+08 + i 7.238412e+08 ; -6.195136e+07 + i 2.189339e+08 ; -1.999883e+08 + i -9.914008e+08 ; 6.153891e+08 + i 2.238703e+08 ; -4.597308e+07 + i 6.061153e+07 ; -1.213481e+09 + i -1.180477e+09 ; 2.578227e+07 + i 1.362878e+09 ; -4.747133e+07 + i -7.262176e+07 ; -4.112362e+08 + i 3.953538e+08 ; 5.553169e+08 + i 1.028193e+08 ; -7.217611e+05 + i 1.322007e+08 ; -1.972320e+08 + i 5.933088e+08 ; 8.394795e+08 + i 1.259152e+09 ; -1.654933e+08 + i 1.512096e+08 ; 6.803031e+08 + i 7.211627e+08 ; -3.382201e+09 + i 5.998028e+09 ; -2.220131e+09 + i -3.892840e+09 ; 1.666711e+09 + i 5.827358e+08 ; 3.260828e+09 + i 3.663736e+09 ; -1.300381e+09 + i -8.112179e+08 ; 4.683113e+08 + i -7.913804e+08 ; 3.565997e+09 + i 5.802742e+09 ; -1.418259e+08 + i 1.623564e+09 ; 7.182790e+07 + i -8.501387e+08 ; 2.749171e+09 + i 1.886236e+09 ; -1.930252e+08 + i 6.937755e+08 ; -5.792677e+08 + i 2.550682e+09 ; -1.025660e+10 + i -1.579508e+10 ; 6.518165e+08 + i -2.814567e+09 ; 3.333340e+09 + i 3.976848e+09 ; -3.507643e+09 + i 6.094104e+09 ; -5.633823e+08 + i -9.030601e+08 ; 1.061159e+09 + i -4.235267e+08 ; -8.572244e+09 + i 3.746870e+10 ; -1.015001e+09 + i 1.154677e+08 ; 2.172826e+08 + i -1.353901e+09 ; 3.445108e+09 + i 5.888047e+09 ; -6.243610e+08 + i 5.651502e+08 ; 
-4.056836e+08 + i -4.733834e+08 ; -7.083437e+07 + i 7.038516e+07 ; 6.152274e+08 + i 7.125264e+06 ; -7.634038e+08 + i -3.917183e+08 ; -3.154468e+08 + i -2.149601e+08 ; 7.030575e+08 + i 9.605746e+08 ; -1.988077e+08 + i -9.891758e+08 ; -4.636143e+07 + i 6.112321e+07 ; 6.173395e+08 + i 2.263648e+08 ; -1.213095e+09 + i -1.179588e+09 ; -4.831325e+07 + i -7.160861e+07 ; 2.495625e+07 + i 1.369297e+09 ; -2.295486e+08 + i 5.188004e+08 ; 1.922234e+07 + i 1.164821e+08 ; 5.789685e+08 + i -1.665734e+07 ; -3.349666e+07 + i 5.490442e+08 ; -6.291031e+07 + i 2.195553e+08 ; 8.889898e+08 + i 7.239462e+08 ; -4.133519e+08 + i 3.986847e+08 ; -4.908996e+05 + i 1.320731e+08 ; 5.587094e+08 + i 9.903654e+07 ; -2.002428e+08 + i 5.945213e+08 ; -1.653190e+08 + i 1.509887e+08 ; 8.397826e+08 + i 1.255546e+09 ; 6.757746e+08 + i 7.171313e+08 ; -2.221103e+09 + i -3.891143e+09 ; -3.376913e+09 + i 5.999987e+09 ; 1.666327e+09 + i 5.841557e+08 ; -1.300391e+09 + i -8.081648e+08 ; 3.266991e+09 + i 3.666006e+09 ; -5.764994e+08 + i 2.545760e+09 ; 6.483505e+08 + i -2.811042e+09 ; -1.026032e+10 + i -1.577850e+10 ; 3.331094e+09 + i 3.975896e+09 ; -5.640035e+08 + i -9.020492e+08 ; -3.512459e+09 + i 6.115028e+09 ; 4.636022e+08 + i -7.943082e+08 ; -1.493900e+08 + i 1.625236e+09 ; 3.548839e+09 + i 5.835241e+09 ; 6.573821e+07 + i -8.471349e+08 ; -1.962521e+08 + i 6.985373e+08 ; 2.768612e+09 + i 1.898750e+09 ; 1.065092e+09 + i -4.318279e+08 ; -1.013364e+09 + i 1.149928e+08 ; -8.579054e+09 + i 3.745938e+10 ; 2.156372e+08 + i -1.355084e+09 ; -6.221990e+08 + i 5.660118e+08 ; 3.451614e+09 + i 5.902639e+09 ; 
-1.253396e+09 + i -1.510560e+08 ; -1.079213e+08 + i 9.402636e+07 ; -1.081329e+08 + i 9.400604e+07 ; -1.333763e+09 + i 3.870477e+08 ; -3.153261e+08 + i 4.876545e+07 ; -3.151164e+08 + i 4.864086e+07 ; -6.350940e+08 + i -6.710991e+08 ; -6.250627e+07 + i 8.217148e+07 ; -1.121162e+08 + i 6.636800e+07 ; -1.198287e+09 + i -5.476694e+08 ; -2.131742e+08 + i 2.353526e+07 ; -3.772702e+08 + i -5.909582e+07 ; -6.349507e+08 + i -6.728922e+08 ; -1.115069e+08 + i 6.611869e+07 ; -6.192117e+07 + i 8.209999e+07 ; -1.198256e+09 + i -5.489962e+08 ; -3.767737e+08 + i -5.895786e+07 ; -2.133624e+08 + i 2.424934e+07 ; 2.909321e+08 + i -6.635966e+08 ; -5.364257e+07 + i 6.808152e+07 ; -5.325742e+07 + i 6.820871e+07 ; -5.960858e+07 + i -1.665216e+09 ; -1.830643e+08 + i -8.775793e+07 ; -1.835979e+08 + i -8.811589e+07 ; 3.137827e+09 + i 3.431745e+09 ; -1.261909e+09 + i -8.251461e+08 ; -1.259165e+09 + i -8.261208e+08 ; 2.715897e+09 + i 1.701293e+09 ; -1.277268e+08 + i 5.488606e+08 ; -1.283050e+08 + i 5.460818e+08 ; -3.495683e+09 + i 5.862270e+09 ; -5.995767e+08 + i -8.224332e+08 ; -2.081589e+09 + i -3.877886e+09 ; 3.487976e+09 + i 5.770278e+09 ; -6.283089e+08 + i 5.553358e+08 ; -2.190907e+08 + i 1.448088e+09 ; -3.501871e+09 + i 5.863490e+09 ; -2.083495e+09 + i -3.873329e+09 ; -6.038313e+08 + i -8.141454e+08 ; 3.480641e+09 + i 5.774289e+09 ; -2.189902e+08 + i 1.450815e+09 ; -6.249791e+08 + i 5.587201e+08 ; -1.025602e+10 + i -1.590039e+10 ; 7.654492e+08 + i -2.645780e+09 ; 7.585430e+08 + i -2.644794e+09 ; -8.630100e+09 + i 3.749812e+10 ; -1.024074e+09 + i 6.554765e+07 ; -1.024975e+09 + i 7.075867e+07 ; 
9.712682e+07 + i -3.816184e+08 ; 1.968194e+08 + i -1.773062e+08 ; 7.577137e+06 + i 2.766901e+07 ; -4.059588e+07 + i -5.444356e+08 ; 6.084600e+08 + i -2.553934e+07 ; -7.311867e+07 + i 3.193416e+07 ; -1.537770e+08 + i -1.336349e+08 ; 1.975926e+08 + i -1.701789e+08 ; 2.755270e+07 + i 5.077808e+07 ; -1.744118e+08 + i -8.349436e+07 ; 5.667894e+08 + i -8.987414e+06 ; -9.471005e+06 + i 1.276104e+08 ; 2.316080e+08 + i -3.578150e+08 ; 2.223521e+08 + i -1.373477e+08 ; 2.346349e+07 + i 2.773173e+07 ; 1.297604e+08 + i -6.833163e+08 ; 6.222948e+08 + i 1.817502e+08 ; -2.548952e+07 + i 5.146216e+07 ; -1.152889e+08 + i -1.587938e+08 ; 2.118290e+08 + i -1.194588e+08 ; 2.512148e+07 + i 4.900221e+07 ; -1.584783e+08 + i -1.051336e+08 ; 5.446303e+08 + i 1.024224e+08 ; -2.675396e+07 + i 1.172469e+08 ; -1.201876e+09 + i -9.130266e+08 ; 3.240573e+09 + i 3.645078e+09 ; -1.261377e+09 + i -8.473605e+08 ; -5.529650e+08 + i -8.785070e+08 ; -3.507544e+09 + i 6.121861e+09 ; -2.093667e+09 + i -3.903875e+09 ; -1.231941e+08 + i 4.867932e+08 ; 2.732577e+09 + i 1.874924e+09 ; -1.249067e+08 + i 5.456787e+08 ; -6.136709e+08 + i 4.973548e+08 ; 3.449371e+09 + i 5.945168e+09 ; -2.316849e+08 + i 1.453388e+09 ; -2.002538e+09 + i -3.948656e+09 ; -3.486976e+09 + i 6.048470e+09 ; -6.060143e+08 + i -8.341811e+08 ; 8.508792e+08 + i -2.676072e+09 ; -1.036744e+10 + i -1.571444e+10 ; 7.515635e+08 + i -2.677747e+09 ; -2.521987e+08 + i 1.380424e+09 ; 3.436251e+09 + i 5.901682e+09 ; -6.270738e+08 + i 5.568688e+08 ; -1.003555e+09 + i 1.364569e+07 ; -8.709168e+09 + i 3.759389e+10 ; -1.036808e+09 + i 6.456157e+07 ; 
