1.141061e+09 + i 7.084587e+09 ; -1.064994e+08 + i 4.813395e+08 ; -1.121203e+08 + i 4.853488e+08 ; -4.032947e+09 + i -1.651675e+09 ; -5.013751e+08 + i -7.319796e+08 ; -5.094023e+08 + i -7.352569e+08 ; 1.042810e+09 + i 7.070784e+08 ; 1.492247e+08 + i 3.782930e+08 ; 1.774418e+08 + i 4.331453e+08 ; 3.745074e+08 + i 1.912406e+09 ; -1.192060e+09 + i 4.152048e+07 ; -3.621135e+08 + i 6.842574e+07 ; 1.039259e+09 + i 7.185661e+08 ; 1.824741e+08 + i 4.279277e+08 ; 1.587147e+08 + i 3.740662e+08 ; 3.678492e+08 + i 1.918384e+09 ; -3.545528e+08 + i 7.388162e+07 ; -1.189501e+09 + i 4.195091e+07 ; 1.253762e+09 + i 3.522388e+08 ; 2.165273e+08 + i 3.525065e+08 ; 2.206680e+08 + i 3.588037e+08 ; 1.654263e+09 + i 2.299584e+08 ; -3.485355e+08 + i 2.566645e+08 ; -3.464275e+08 + i 2.604137e+08 ; -9.735611e+07 + i -3.143562e+08 ; -3.037105e+07 + i 6.887635e+07 ; -3.154131e+07 + i 6.724782e+07 ; 1.297344e+08 + i -1.332158e+08 ; 4.962216e+07 + i 3.062043e+07 ; 4.871638e+07 + i 3.128259e+07 ; -3.364797e+08 + i 1.576729e+08 ; -3.517352e+07 + i 9.827417e+07 ; 1.062995e+07 + i 7.854505e+07 ; -2.694257e+08 + i 2.382507e+07 ; 5.010348e+07 + i 3.496905e+07 ; 6.271438e+07 + i 2.616757e+07 ; -3.403067e+08 + i 1.611203e+08 ; 1.192546e+07 + i 7.883759e+07 ; -3.537264e+07 + i 9.611337e+07 ; -2.739077e+08 + i 2.587383e+07 ; 6.329421e+07 + i 2.515516e+07 ; 4.853662e+07 + i 3.386197e+07 ; -3.294445e+08 + i 4.925537e+08 ; 3.568534e+06 + i 9.656225e+07 ; 4.466126e+06 + i 9.498264e+07 ; -4.717471e+08 + i 3.941135e+08 ; 6.349168e+07 + i 2.927163e+07 ; 6.342151e+07 + i 2.815077e+07 ; 
1.301122e+08 + i 1.350198e+07 ; -3.671432e+07 + i -1.618998e+06 ; -4.930245e+07 + i -1.475058e+08 ; 1.448987e+08 + i -1.175233e+07 ; -4.104433e+07 + i -4.590255e+07 ; 1.440877e+08 + i -1.942578e+08 ; 1.077572e+08 + i 3.028053e+07 ; -3.422454e+07 + i 1.025413e+06 ; -3.177556e+07 + i -1.201467e+08 ; 1.274101e+08 + i 8.603568e+06 ; -3.364244e+07 + i -4.590476e+07 ; 1.380735e+08 + i -1.267792e+08 ; 5.840986e+07 + i 9.625987e+07 ; -2.069967e+07 + i 5.211328e+06 ; -6.921682e+07 + i -1.333550e+08 ; 1.095787e+08 + i 1.057787e+08 ; -6.434807e+05 + i -2.377151e+07 ; 1.330152e+08 + i -1.899046e+08 ; 2.256765e+06 + i 1.133740e+08 ; -2.166596e+07 + i 1.097297e+07 ; -5.688026e+07 + i -1.137855e+08 ; 7.715621e+07 + i 1.601943e+08 ; -8.697170e+06 + i -1.898659e+07 ; 1.513082e+08 + i -1.244964e+08 ; 6.622703e+07 + i -2.799392e+08 ; 4.284040e+07 + i -3.196006e+08 ; 1.287224e+09 + i 3.644117e+08 ; 1.028530e+08 + i -3.507327e+08 ; 6.309711e+07 + i -3.317712e+08 ; 1.080505e+09 + i 7.014287e+08 ; 8.736982e+07 + i -2.975306e+08 ; 7.996219e+07 + i -3.876465e+08 ; 1.060368e+09 + i 6.877528e+08 ; 3.159417e+08 + i -2.686628e+08 ; 2.965095e+08 + i -3.106888e+08 ; 1.240668e+09 + i 7.048896e+09 ; 3.334188e+08 + i 1.092712e+08 ; 3.259662e+08 + i 7.930301e+07 ; 1.778246e+09 + i 2.461444e+08 ; 3.180276e+08 + i 2.199766e+08 ; 8.379606e+08 + i 4.668323e+08 ; 4.191935e+08 + i 1.973866e+09 ; 8.058587e+08 + i 4.994759e+08 ; 3.170590e+08 + i 1.979536e+08 ; 4.001009e+08 + i 1.952702e+09 ; 4.857051e+07 + i 7.027126e+08 ; 6.957258e+07 + i 6.824035e+08 ; -4.070815e+09 + i -1.678126e+09 ; 
-3.430789e+08 + i 1.643928e+08 ; 4.774480e+07 + i -1.729826e+08 ; -9.763259e+07 + i 8.546721e+07 ; -3.157258e+08 + i 3.053803e+08 ; 2.182538e+08 + i 1.354789e+07 ; -3.104687e+08 + i -1.487123e+08 ; -3.266842e+08 + i 4.932297e+08 ; 3.983149e+07 + i -1.894750e+08 ; -9.398197e+07 + i 1.007562e+08 ; -2.082014e+08 + i 5.844915e+08 ; 2.589339e+08 + i -8.569733e+07 ; -2.311578e+08 + i -3.914541e+07 ; -1.111685e+08 + i -3.069589e+08 ; 1.020235e+08 + i -1.505718e+08 ; -1.081813e+08 + i 9.883501e+07 ; -4.887069e+08 + i -2.345240e+08 ; 2.146169e+08 + i 1.976255e+08 ; -6.729488e+07 + i -2.149952e+08 ; -3.374346e+08 + i 1.575954e+08 ; 6.919096e+07 + i -1.752762e+08 ; -7.864967e+07 + i 1.199554e+08 ; -3.142370e+08 + i 2.899989e+08 ; 4.124308e+08 + i -6.998507e+06 ; -1.514862e+08 + i -7.872522e+07 ; 9.981110e+08 + i 7.090635e+08 ; 1.189361e+08 + i 4.134638e+08 ; -1.481656e+08 + i -3.624717e+08 ; 3.156896e+08 + i 1.945200e+09 ; -4.607381e+08 + i 5.554807e+07 ; 9.486847e+08 + i 6.783375e+08 ; 1.126558e+09 + i 3.891917e+08 ; 1.296355e+08 + i 3.487206e+08 ; -2.106347e+07 + i -3.237235e+08 ; 1.655517e+09 + i 2.713074e+08 ; -4.466943e+08 + i 2.547837e+08 ; 4.865481e+08 + i 3.959549e+07 ; 1.179445e+09 + i 7.008169e+09 ; -1.496185e+08 + i 4.498432e+08 ; 2.266141e+08 + i -4.371698e+08 ; -4.084025e+09 + i -1.704320e+09 ; -4.953332e+08 + i -8.028420e+08 ; 2.694829e+08 + i 7.811124e+08 ; 9.169666e+08 + i 6.693760e+08 ; 9.714019e+07 + i 3.408904e+08 ; 1.784420e+07 + i -3.874507e+08 ; 3.501602e+08 + i 1.922323e+09 ; -1.283478e+09 + i -1.563926e+08 ; 4.315876e+08 + i 1.077849e+08 ; 
-1.784167e+08 + i -2.119363e+08 ; 1.472067e+08 + i -1.772899e+08 ; -4.158380e+07 + i -2.866976e+07 ; -2.057782e+08 + i -1.522809e+08 ; 2.881821e+08 + i 1.170074e+07 ; -2.178487e+07 + i -6.540367e+07 ; 1.592866e+08 + i 1.807323e+07 ; 1.424736e+08 + i -2.003377e+08 ; -1.381421e+07 + i -2.575901e+07 ; 1.583670e+08 + i -6.193051e+07 ; 3.191685e+08 + i 4.052254e+07 ; 7.990324e+07 + i -2.543489e+06 ; -4.954544e+07 + i -2.313324e+08 ; 1.279596e+08 + i -9.991677e+07 ; -4.847115e+07 + i -3.322404e+07 ; -1.463647e+08 + i -1.968398e+08 ; 2.533466e+08 + i 1.196131e+08 ; -3.894638e+05 + i -7.658963e+07 ; 2.495187e+08 + i 2.109086e+08 ; 1.632847e+08 + i -1.240699e+08 ; -1.625015e+07 + i -2.565695e+07 ; 4.016883e+08 + i -1.957775e+06 ; 1.823313e+08 + i 2.539324e+08 ; 9.055303e+06 + i 1.417684e+07 ; 1.701438e+08 + i 3.846916e+08 ; 1.082487e+09 + i 6.642007e+08 ; -2.065166e+08 + i -3.773335e+08 ; 1.952795e+08 + i 3.492695e+08 ; 1.284340e+09 + i 3.897957e+08 ; -5.418932e+07 + i -3.443718e+08 ; -3.699469e+08 + i 4.521704e+07 ; 4.030138e+08 + i 1.897552e+09 ; 9.319281e+08 + i 6.920210e+08 ; -3.868245e+08 + i 2.550452e+08 ; 1.784119e+09 + i 3.061668e+08 ; 4.511039e+08 + i 3.967118e+07 ; -6.669574e+07 + i 3.981753e+08 ; 1.232026e+09 + i 6.959670e+09 ; 1.970323e+08 + i -4.865533e+08 ; 1.532045e+08 + i 3.128169e+08 ; 9.960356e+08 + i 6.533184e+08 ; 5.195194e+06 + i -4.133030e+08 ; -4.222377e+08 + i -7.228682e+08 ; -4.048658e+09 + i -1.752131e+09 ; 2.783274e+08 + i 7.627240e+08 ; -1.287905e+09 + i -9.398810e+07 ; 3.788957e+08 + i 1.971057e+09 ; 4.083104e+08 + i 1.074238e+08 ; 
-2.865813e+08 + i -1.914091e+08 ; -1.993573e+07 + i -1.891527e+07 ; 1.674739e+08 + i -1.143954e+08 ; -4.480205e+08 + i -1.823111e+06 ; 3.148291e+07 + i 4.566776e+06 ; 1.885974e+08 + i 2.625168e+08 ; -1.861618e+08 + i 1.769403e+07 ; -2.340819e+07 + i -1.942719e+07 ; 1.509894e+08 + i -1.887618e+08 ; -1.997707e+08 + i 8.153742e+07 ; 9.107293e+07 + i -3.838799e+07 ; 3.228535e+08 + i 4.935824e+07 ; 3.434158e+07 + i 2.411074e+08 ; -7.217794e+07 + i -2.424638e+07 ; 1.305351e+08 + i -1.224452e+08 ; 1.018295e+08 + i 1.865575e+08 ; -3.959128e+07 + i -1.003305e+08 ; 2.501990e+08 + i 1.085092e+08 ; 1.613795e+08 + i 2.426191e+08 ; -6.823543e+07 + i -1.499782e+07 ; 1.416779e+08 + i -1.940986e+08 ; 1.735848e+08 + i 1.641485e+08 ; -6.681613e+07 + i -6.986082e+07 ; 2.932101e+08 + i 8.489531e+06 ; 6.198164e+08 + i 7.114617e+08 ; 6.908930e+08 + i 7.872646e+08 ; -4.087757e+09 + i -1.739274e+09 ; 1.208225e+09 + i 1.660275e+08 ; 3.792719e+08 + i -3.170289e+07 ; 3.478632e+08 + i 1.984861e+09 ; 3.285525e+08 + i -5.431703e+07 ; 1.194554e+09 + i 1.932750e+08 ; 3.755918e+08 + i 1.943311e+09 ; 4.033075e+08 + i -1.669705e+08 ; 4.226237e+08 + i -1.467785e+08 ; 1.742684e+09 + i 3.453449e+08 ; 1.109654e+08 + i -5.029255e+08 ; 1.569440e+08 + i -5.543413e+08 ; 1.216635e+09 + i 6.985077e+09 ; -3.773563e+08 + i -3.507017e+08 ; -1.563566e+08 + i -5.278601e+08 ; 1.114342e+09 + i 7.116864e+08 ; -2.113978e+08 + i -4.572426e+08 ; -3.931393e+08 + i -3.846885e+08 ; 1.139992e+09 + i 6.672615e+08 ; -2.260450e+08 + i -3.504660e+08 ; -1.659663e+08 + i -3.697970e+08 ; 1.394080e+09 + i 3.490625e+08 ; 
-2.810024e+08 + i 2.566439e+07 ; -5.359697e+07 + i -4.793988e+07 ; -1.788899e+07 + i 3.931616e+07 ; -3.446865e+08 + i 1.888026e+08 ; 9.366603e+06 + i -8.554351e+07 ; -1.187627e+08 + i 5.602026e+07 ; -4.607911e+08 + i 3.848961e+08 ; -5.798231e+07 + i -5.144139e+07 ; -1.197520e+07 + i 6.984380e+07 ; -3.174572e+08 + i 5.183046e+08 ; 1.541768e+07 + i -1.012450e+08 ; -8.797674e+07 + i 1.001288e+08 ; 1.210284e+08 + i -1.393468e+08 ; -3.609960e+07 + i -4.330596e+07 ; 3.115779e+07 + i 3.243705e+07 ; -1.197689e+08 + i -2.966910e+08 ; 5.243179e+07 + i -5.931615e+07 ; -6.697005e+07 + i 8.399262e+05 ; -2.674361e+08 + i 1.375712e+07 ; -3.841963e+07 + i -4.926514e+07 ; 2.244499e+07 + i 5.240070e+07 ; -3.335288e+08 + i 1.746938e+08 ; 5.908415e+07 + i -9.032180e+07 ; -5.434260e+07 + i 6.559907e+07 ; 3.097007e+08 + i 1.893193e+09 ; 3.768641e+08 + i 3.044778e+07 ; -8.029576e+08 + i -4.574593e+08 ; 1.074728e+09 + i 7.215993e+08 ; -7.250976e+07 + i -4.770507e+08 ; 3.057618e+08 + i 5.485857e+08 ; 1.595010e+09 + i 2.777552e+08 ; 4.075343e+08 + i -1.887547e+08 ; -4.256039e+08 + i -5.543529e+06 ; 1.288825e+09 + i 3.344182e+08 ; -1.071987e+08 + i -4.044468e+08 ; 6.186761e+07 + i 3.366719e+08 ; -4.077601e+09 + i -1.715967e+09 ; 3.547826e+08 + i 8.066740e+08 ; -3.833958e+08 + i -9.136845e+08 ; 1.159756e+09 + i 7.090002e+09 ; 2.456746e+08 + i -4.538165e+08 ; -2.604649e+08 + i 2.759975e+08 ; 2.759425e+08 + i 1.910379e+09 ; 1.211850e+09 + i 2.673556e+08 ; -3.948893e+08 + i -1.097768e+08 ; 1.024338e+09 + i 6.810912e+08 ; -7.356742e+07 + i -3.309671e+08 ; -1.476849e+05 + i 3.598159e+08 ; 
1.307223e+08 + i 2.165203e+07 ; -4.853887e+07 + i -1.484731e+08 ; -3.459114e+07 + i 3.596840e+06 ; 1.442272e+08 + i -2.207215e+06 ; 1.428929e+08 + i -1.950228e+08 ; -3.978620e+07 + i -3.848976e+07 ; 5.547704e+07 + i 1.087722e+08 ; -6.825379e+07 + i -1.369447e+08 ; -2.299119e+07 + i 6.029246e+06 ; 1.118751e+08 + i 1.173118e+08 ; 1.325092e+08 + i -1.892550e+08 ; -6.289601e+06 + i -2.191927e+07 ; 9.837464e+07 + i 2.879306e+07 ; -3.146930e+07 + i -1.167617e+08 ; -3.028550e+07 + i 5.629268e+06 ; 1.140298e+08 + i 1.228212e+07 ; 1.365434e+08 + i -1.241282e+08 ; -3.203898e+07 + i -3.928255e+07 ; -8.575927e+06 + i 1.063839e+08 ; -5.410603e+07 + i -1.133254e+08 ; -2.110674e+07 + i 1.285955e+07 ; 5.855406e+07 + i 1.630553e+08 ; 1.521430e+08 + i -1.219946e+08 ; -1.241925e+07 + i -1.805283e+07 ; 5.213744e+07 + i -2.610717e+08 ; 1.282306e+09 + i 3.588610e+08 ; 2.360201e+07 + i -2.577164e+08 ; 6.206281e+07 + i -3.506040e+08 ; 1.088330e+09 + i 6.995503e+08 ; -1.185535e+08 + i -3.401229e+08 ; 3.857403e+08 + i 1.656943e+07 ; 1.773218e+09 + i 2.779932e+08 ; 3.962433e+08 + i 7.629239e+06 ; 3.714369e+08 + i 1.382716e+08 ; 3.930966e+08 + i 1.975126e+09 ; 8.807864e+08 + i 6.237230e+08 ; 2.663361e+07 + i -2.391995e+08 ; 1.037071e+09 + i 6.596111e+08 ; -1.398391e+06 + i -3.345010e+08 ; 2.965003e+08 + i -2.942828e+08 ; 1.246007e+09 + i 7.037045e+09 ; 2.272163e+08 + i -4.401557e+08 ; 7.464614e+08 + i 6.243922e+08 ; 3.731230e+08 + i 1.965166e+09 ; 3.273861e+08 + i 8.629301e+07 ; 7.470292e+07 + i 7.516611e+08 ; -4.076138e+09 + i -1.676380e+09 ; 2.505039e+08 + i 7.008370e+08 ; 
4.987579e+07 + i -1.006296e+08 ; -2.432902e+07 + i 1.480186e+07 ; -4.085413e+07 + i -1.235078e+08 ; 6.539057e+06 + i -1.519690e+08 ; -3.130093e+07 + i -2.199731e+07 ; 1.621085e+08 + i -1.377448e+08 ; -8.915440e+06 + i -1.202891e+08 ; -2.105183e+07 + i 1.616074e+07 ; -5.187374e+07 + i -1.491913e+08 ; -5.184280e+07 + i -1.303314e+08 ; -1.335901e+07 + i -2.605642e+07 ; 1.413336e+08 + i -2.042011e+08 ; -9.867511e+07 + i -1.356069e+07 ; -4.055409e+07 + i 1.693951e+07 ; -5.317264e+07 + i -1.128849e+08 ; -7.661435e+07 + i 3.164753e+07 ; -6.427457e+07 + i -3.345411e+07 ; 1.272070e+08 + i -1.141949e+08 ; -1.111181e+08 + i -2.200700e+07 ; -3.762221e+07 + i 2.098009e+07 ; -6.885671e+07 + i -1.381493e+08 ; -1.013015e+08 + i 1.032018e+07 ; -6.492376e+07 + i -2.937095e+07 ; 1.431615e+08 + i -1.852363e+08 ; -7.901970e+08 + i -5.320363e+08 ; 3.943559e+08 + i -3.330470e+07 ; 3.686967e+08 + i 1.923232e+09 ; -4.279703e+08 + i -9.463968e+08 ; 5.167741e+08 + i 8.668149e+08 ; -4.065155e+09 + i -1.712829e+09 ; -3.175570e+08 + i -1.314478e+08 ; 4.638420e+08 + i -1.208082e+08 ; 1.715682e+09 + i 3.119231e+08 ; -3.024782e+08 + i -1.139388e+08 ; 1.214070e+09 + i 3.220611e+08 ; 3.692589e+08 + i 1.993564e+09 ; 3.230354e+08 + i 5.272992e+08 ; -1.047213e+08 + i -5.231087e+08 ; 1.114531e+09 + i 7.363963e+08 ; -2.542264e+08 + i 2.430420e+08 ; 2.338950e+08 + i -5.238028e+08 ; 1.183210e+09 + i 7.052813e+09 ; -1.364444e+07 + i 2.759212e+08 ; -1.368046e+08 + i -3.368952e+08 ; 1.379850e+09 + i 3.614395e+08 ; -9.637260e+07 + i 4.469664e+08 ; -2.394694e+08 + i -4.331198e+08 ; 1.124823e+09 + i 7.595015e+08 ; 
-3.279212e+08 + i 5.055083e+08 ; -1.018681e+08 + i 8.284765e+07 ; -1.028199e+08 + i 8.295671e+07 ; -2.161055e+08 + i 5.917538e+08 ; -2.170833e+08 + i -5.252303e+07 ; -2.177000e+08 + i -5.345575e+07 ; -3.351583e+08 + i 1.649585e+08 ; -8.414734e+07 + i 9.542112e+07 ; -1.028054e+08 + i 7.411056e+07 ; -3.208585e+08 + i 3.044260e+08 ; -1.463081e+08 + i -9.980237e+07 ; -2.811206e+08 + i -1.491188e+08 ; -3.398360e+08 + i 1.627590e+08 ; -9.970718e+07 + i 7.307271e+07 ; -8.154038e+07 + i 9.565942e+07 ; -3.262696e+08 + i 3.024891e+08 ; -2.794363e+08 + i -1.480591e+08 ; -1.458765e+08 + i -9.923518e+07 ; -1.087862e+08 + i -3.093703e+08 ; -1.091930e+08 + i 8.333940e+07 ; -1.087245e+08 + i 8.488683e+07 ; -4.978140e+08 + i -2.378732e+08 ; -4.998637e+07 + i -2.082729e+08 ; -5.037880e+07 + i -2.084897e+08 ; 1.142905e+09 + i 3.510204e+08 ; 1.802461e+07 + i -2.226023e+08 ; 2.071734e+07 + i -2.234251e+08 ; 1.658203e+09 + i 2.662369e+08 ; 4.283156e+08 + i -7.049583e+06 ; 4.287482e+08 + i -5.822296e+06 ; 9.630217e+08 + i 6.617091e+08 ; 7.374044e+06 + i -3.476698e+08 ; -1.178367e+08 + i -3.009532e+08 ; 2.993657e+08 + i 1.955529e+09 ; 4.035105e+08 + i 6.018474e+07 ; 7.963584e+08 + i 6.906661e+08 ; 9.593170e+08 + i 6.721548e+08 ; -1.236320e+08 + i -2.995697e+08 ; 1.407715e+06 + i -3.475033e+08 ; 2.935360e+08 + i 1.959598e+09 ; 7.918349e+08 + i 6.878207e+08 ; 4.031730e+08 + i 5.462466e+07 ; 1.192918e+09 + i 6.977782e+09 ; 2.407162e+08 + i -4.097031e+08 ; 2.360441e+08 + i -4.135409e+08 ; -4.134065e+09 + i -1.709410e+09 ; 2.520877e+08 + i 7.594573e+08 ; 2.527904e+08 + i 7.565215e+08 ; 
-1.763282e+08 + i -6.898026e+06 ; 1.459549e+08 + i -1.874901e+08 ; 1.059842e+07 + i 1.937244e+07 ; -1.868932e+08 + i 6.702280e+07 ; 3.135191e+08 + i 4.536506e+07 ; -6.954409e+07 + i -6.324356e+06 ; 1.400951e+08 + i 2.552368e+08 ; 1.406072e+08 + i -1.895035e+08 ; 2.935071e+07 + i 2.410994e+07 ; 1.702941e+08 + i 1.917809e+08 ; 2.867454e+08 + i 1.265830e+07 ; 1.538868e+07 + i 5.184707e+07 ; -2.416286e+08 + i -2.246414e+08 ; 1.674074e+08 + i -1.118634e+08 ; 1.761092e+07 + i 2.698946e+07 ; -4.240809e+08 + i -4.018662e+07 ; 1.898895e+08 + i 2.567270e+08 ; -1.197793e+07 + i -7.809833e+06 ; 1.578948e+07 + i 2.443620e+08 ; 1.334453e+08 + i -1.144872e+08 ; 3.911088e+07 + i 3.380484e+07 ; 1.024378e+08 + i 2.060594e+08 ; 2.531815e+08 + i 1.147599e+08 ; -1.265347e+07 + i 7.234259e+07 ; 3.622558e+08 + i -3.511128e+07 ; 3.599971e+08 + i 1.886422e+09 ; -7.446992e+08 + i -4.822021e+08 ; 4.238771e+08 + i -1.884467e+08 ; 1.715944e+09 + i 2.982576e+08 ; -3.363032e+08 + i 3.138173e+06 ; -1.454016e+08 + i -4.264367e+08 ; 1.134680e+09 + i 6.727017e+08 ; 3.689565e+08 + i 4.888932e+08 ; -1.815789e+08 + i -3.363468e+08 ; 1.378546e+09 + i 3.743620e+08 ; 3.492137e+07 + i 2.984800e+08 ; 4.617245e+08 + i 7.644093e+08 ; -4.086055e+09 + i -1.786887e+09 ; -4.551362e+08 + i -8.725899e+08 ; 1.221346e+09 + i 2.626860e+08 ; 3.082646e+08 + i 1.948223e+09 ; -3.593984e+08 + i -8.607627e+07 ; 1.713270e+08 + i -4.662381e+08 ; 1.202203e+09 + i 7.012756e+09 ; -2.611276e+08 + i 2.643309e+08 ; -2.498922e+08 + i -3.548075e+08 ; 1.085236e+09 + i 7.489283e+08 ; -5.730657e+07 + i 3.603572e+08 ; 
-1.749124e+08 + i -6.412295e+06 ; 1.105883e+07 + i 2.054312e+07 ; 1.481996e+08 + i -1.847305e+08 ; -1.874735e+08 + i 6.683942e+07 ; -6.872351e+07 + i -3.930057e+06 ; 3.173092e+08 + i 4.971747e+07 ; -2.362411e+08 + i -2.240932e+08 ; 1.820161e+07 + i 2.790523e+07 ; 1.715297e+08 + i -1.124193e+08 ; -4.216788e+08 + i -4.038148e+07 ; -1.099700e+07 + i -6.109731e+06 ; 1.932849e+08 + i 2.606849e+08 ; 1.437818e+08 + i 2.554525e+08 ; 2.923342e+07 + i 2.389959e+07 ; 1.372666e+08 + i -1.909570e+08 ; 1.717736e+08 + i 1.914520e+08 ; 1.526570e+07 + i 5.359193e+07 ; 2.867887e+08 + i 1.285844e+07 ; 1.826854e+07 + i 2.500981e+08 ; 3.925421e+07 + i 3.276710e+07 ; 1.319360e+08 + i -1.205951e+08 ; 1.012657e+08 + i 2.112035e+08 ; -1.276300e+07 + i 7.174767e+07 ; 2.485953e+08 + i 1.119214e+08 ; 3.550946e+08 + i -3.517406e+07 ; -7.426005e+08 + i -4.805280e+08 ; 3.685056e+08 + i 1.878714e+09 ; 4.239342e+08 + i -1.840826e+08 ; -3.312947e+08 + i 6.666255e+06 ; 1.726231e+09 + i 2.989608e+08 ; 4.575969e+08 + i 7.563713e+08 ; -4.529795e+08 + i -8.662969e+08 ; -4.075026e+09 + i -1.778474e+09 ; 1.215788e+09 + i 2.657284e+08 ; -3.600487e+08 + i -8.587374e+07 ; 3.208061e+08 + i 1.974635e+09 ; -1.533675e+08 + i -4.246535e+08 ; 3.628557e+08 + i 4.977364e+08 ; 1.138410e+09 + i 6.995001e+08 ; -1.854465e+08 + i -3.265365e+08 ; 3.861198e+07 + i 3.066551e+08 ; 1.397304e+09 + i 3.630634e+08 ; 1.665824e+08 + i -4.768241e+08 ; -2.606773e+08 + i 2.608775e+08 ; 1.191431e+09 + i 7.006359e+09 ; -2.534367e+08 + i -3.535032e+08 ; -5.257105e+07 + i 3.561792e+08 ; 1.103894e+09 + i 7.472004e+08 ; 
-4.505229e+08 + i 3.980021e+08 ; -3.374048e+06 + i 8.301108e+07 ; -3.433627e+06 + i 8.362206e+07 ; -3.109820e+08 + i 5.294095e+08 ; -6.751788e+07 + i 1.082135e+08 ; -6.775995e+07 + i 1.084818e+08 ; -2.607954e+08 + i 2.412889e+07 ; 1.472825e+07 + i 5.377296e+07 ; -4.017581e+06 + i 5.282393e+07 ; -3.356190e+08 + i 1.909670e+08 ; -5.965722e+07 + i 7.537606e+07 ; -9.491122e+07 + i 6.721505e+07 ; -2.644160e+08 + i 2.166418e+07 ; -4.166931e+06 + i 5.137370e+07 ; 1.450270e+07 + i 5.292738e+07 ; -3.382850e+08 + i 1.887055e+08 ; -9.468267e+07 + i 6.647687e+07 ; -5.991484e+07 + i 7.564664e+07 ; 1.309492e+08 + i -1.410182e+08 ; 2.849207e+07 + i 3.701715e+07 ; 2.898479e+07 + i 3.654332e+07 ; -1.214260e+08 + i -2.983676e+08 ; -6.366815e+07 + i 1.170375e+07 ; -6.418546e+07 + i 1.143849e+07 ; 1.593310e+09 + i 2.422157e+08 ; -3.320364e+08 + i -7.483158e+06 ; -3.313655e+08 + i -9.928743e+06 ; 1.266857e+09 + i 3.281187e+08 ; 2.194726e+07 + i 1.844196e+08 ; 1.677413e+07 + i 1.842813e+08 ; 2.777909e+08 + i 1.880863e+09 ; -3.446316e+08 + i -3.395146e+07 ; -7.171507e+08 + i -4.838318e+08 ; 1.048683e+09 + i 7.250945e+08 ; -6.310973e+07 + i 3.585655e+08 ; 2.640338e+08 + i 4.144575e+08 ; 2.741217e+08 + i 1.890883e+09 ; -7.145208e+08 + i -4.771763e+08 ; -3.411850e+08 + i -2.816741e+07 ; 1.047756e+09 + i 7.344871e+08 ; 2.689157e+08 + i 4.184221e+08 ; -5.829907e+07 + i 3.574009e+08 ; -4.105196e+09 + i -1.759547e+09 ; -3.474784e+08 + i -8.187868e+08 ; -3.491873e+08 + i -8.100347e+08 ; 1.145411e+09 + i 7.095585e+09 ; -2.916429e+08 + i 2.521122e+08 ; -2.869244e+08 + i 2.566229e+08 ; 
-2.770967e+07 + i -1.288768e+08 ; -5.724618e+07 + i -1.454485e+08 ; 1.645411e+07 + i -1.019342e+07 ; -7.314307e+07 + i -1.414574e+08 ; 1.295537e+08 + i -1.990821e+08 ; 1.872973e+05 + i 1.417213e+07 ; -1.046997e+08 + i -2.402109e+07 ; -6.891665e+07 + i -1.357822e+08 ; 2.361999e+07 + i -2.399426e+06 ; -9.802923e+07 + i -1.041739e+07 ; 1.377058e+08 + i -1.787824e+08 ; 2.879229e+07 + i 3.495080e+07 ; 1.832200e+07 + i -1.087600e+08 ; -4.414211e+07 + i -1.212172e+08 ; 2.194219e+07 + i -1.258048e+07 ; -2.967993e+07 + i -1.629152e+08 ; 1.521602e+08 + i -1.368954e+08 ; 1.247260e+07 + i 1.181207e+07 ; -1.003346e+08 + i -2.454382e+07 ; -5.010098e+07 + i -1.100680e+08 ; 2.417127e+07 + i -4.156982e+06 ; -8.714269e+07 + i 5.257527e+06 ; 1.269041e+08 + i -1.092362e+08 ; 2.542453e+07 + i 3.814656e+07 ; -3.372604e+08 + i -3.578057e+07 ; 1.698176e+09 + i 2.841175e+08 ; -3.348954e+08 + i -1.355978e+07 ; -3.512684e+08 + i -6.260081e+07 ; 3.570274e+08 + i 1.947413e+09 ; -7.270415e+08 + i -4.865868e+08 ; 9.134059e+06 + i 1.637438e+08 ; 1.347382e+09 + i 3.686313e+08 ; 2.092918e+07 + i 1.831797e+08 ; -7.340986e+07 + i 3.324243e+08 ; 1.119365e+09 + i 7.655745e+08 ; 2.659393e+08 + i 4.245866e+08 ; -7.208087e+08 + i -5.111289e+08 ; 3.390323e+08 + i 1.901056e+09 ; -3.452102e+08 + i -3.454667e+07 ; -3.298741e+08 + i -8.557549e+08 ; -4.083615e+09 + i -1.738341e+09 ; -3.635296e+08 + i -8.203740e+08 ; 2.302265e+08 + i 4.122595e+08 ; 1.088753e+09 + i 7.574087e+08 ; -5.714959e+07 + i 3.584863e+08 ; -2.989257e+08 + i 2.283146e+08 ; 1.176911e+09 + i 7.103152e+09 ; -2.910644e+08 + i 2.591697e+08 ; 
