-6.382300e+09 + i 1.650403e+10 ; -2.630832e+07 + i 1.714301e+08 ; -2.604866e+07 + i 1.715287e+08 ; -2.365520e+09 + i -3.486569e+09 ; -1.544364e+08 + i -4.270131e+08 ; -1.546900e+08 + i -4.268534e+08 ; 8.785581e+08 + i 1.790970e+09 ; 5.951590e+07 + i 2.391321e+08 ; 5.691945e+07 + i 6.535228e+07 ; 4.233317e+07 + i 1.433923e+09 ; -6.571631e+08 + i -6.950294e+08 ; -9.929940e+07 + i -7.758744e+06 ; 8.788616e+08 + i 1.790809e+09 ; 5.640473e+07 + i 6.500957e+07 ; 5.922252e+07 + i 2.390853e+08 ; 4.304426e+07 + i 1.434068e+09 ; -9.814670e+07 + i -8.458165e+06 ; -6.571442e+08 + i -6.950346e+08 ; 5.690281e+08 + i -2.701982e+08 ; 8.861873e+07 + i 7.970301e+07 ; 8.907022e+07 + i 7.942743e+07 ; 5.735656e+08 + i -1.743274e+08 ; -2.107706e+08 + i -4.212627e+07 ; -2.107604e+08 + i -4.241206e+07 ; -1.263655e+08 + i -4.672427e+08 ; -7.932959e+06 + i 1.914601e+07 ; -7.900455e+06 + i 1.918149e+07 ; -1.481923e+07 + i -2.823446e+08 ; 5.132240e+06 + i 4.747541e+06 ; 5.149768e+06 + i 4.741607e+06 ; -1.717705e+08 + i 1.932666e+07 ; -3.046560e+07 + i 1.247666e+07 ; 2.620855e+06 + i 1.616784e+07 ; -1.300421e+08 + i -1.705066e+07 ; -4.357349e+05 + i 2.891459e+06 ; 4.678523e+06 + i 2.335251e+06 ; -1.715542e+08 + i 1.924807e+07 ; 2.695093e+06 + i 1.602251e+07 ; -3.044711e+07 + i 1.249552e+07 ; -1.299162e+08 + i -1.703593e+07 ; 4.654648e+06 + i 2.316160e+06 ; -4.346223e+05 + i 2.894356e+06 ; 1.393361e+07 + i 1.100543e+08 ; -1.304242e+07 + i 1.095100e+07 ; -1.309675e+07 + i 1.099332e+07 ; -1.144200e+07 + i 8.399303e+07 ; 4.664577e+04 + i 8.847711e+05 ; 5.135746e+04 + i 8.953018e+05 ; 
1.466652e+07 + i -3.013917e+07 ; -4.089480e+06 + i -1.854432e+06 ; 3.616549e+06 + i 3.149659e+06 ; 1.086808e+07 + i -4.164405e+07 ; -1.100765e+07 + i -1.264200e+07 ; 1.939737e+07 + i -2.167245e+07 ; 2.791905e+07 + i -1.672070e+07 ; -3.646148e+06 + i -1.614027e+06 ; 4.906218e+06 + i -1.378329e+06 ; 2.999285e+07 + i -2.831765e+07 ; -8.506150e+06 + i -9.646125e+06 ; 5.937324e+07 + i -1.959212e+07 ; 3.942549e+07 + i 7.446445e+07 ; 6.716174e+05 + i -1.342541e+06 ; 4.084060e+06 + i 2.669853e+06 ; 6.886764e+07 + i 1.018280e+08 ; 3.113073e+06 + i -3.030599e+06 ; 2.058772e+07 + i -2.216695e+07 ; 9.561440e+06 + i 1.290874e+08 ; -2.387511e+05 + i -2.370252e+06 ; 5.391059e+06 + i -1.465793e+06 ; 4.960262e+07 + i 2.019565e+08 ; -3.975297e+06 + i -9.470067e+06 ; 6.598729e+07 + i -1.232846e+07 ; -8.322087e+07 + i -1.235118e+08 ; -9.140226e+07 + i -1.224620e+08 ; 5.852937e+08 + i -2.613933e+08 ; -5.465380e+07 + i -9.252965e+07 ; -1.685664e+06 + i -2.962639e+08 ; 8.769950e+08 + i 1.811391e+09 ; 6.674146e+06 + i -2.941629e+08 ; -6.061305e+07 + i -9.231344e+07 ; 8.710172e+08 + i 1.808788e+09 ; 8.078905e+07 + i -1.889899e+08 ; 7.517600e+07 + i -1.921059e+08 ; -6.408520e+09 + i 1.652976e+10 ; 2.744709e+08 + i 1.205388e+08 ; 2.729675e+08 + i 9.972426e+07 ; 5.901678e+08 + i -1.824363e+08 ; 1.544568e+08 + i 2.929637e+07 ; 5.816382e+08 + i 1.003331e+09 ; 6.752511e+07 + i 1.453696e+09 ; 5.734724e+08 + i 1.034254e+09 ; 1.539324e+08 + i 1.656945e+07 ; 6.191095e+07 + i 1.451642e+09 ; 4.730216e+07 + i 5.636801e+08 ; 5.411407e+07 + i 5.462371e+08 ; -2.369833e+09 + i -3.427303e+09 ; 
-1.737618e+08 + i 1.858882e+07 ; -1.624013e+06 + i -1.710452e+07 ; -3.746591e+07 + i 2.646262e+07 ; -2.017648e+08 + i 7.110603e+07 ; 4.608680e+07 + i 2.426626e+07 ; -1.997506e+08 + i -2.534803e+08 ; 1.301115e+07 + i 1.111933e+08 ; 7.703962e+06 + i -1.392196e+07 ; -1.171000e+07 + i 1.467529e+07 ; 5.415459e+07 + i 1.379654e+08 ; 1.103361e+08 + i 5.529739e+07 ; -1.150011e+08 + i -7.900676e+07 ; -1.241336e+08 + i -4.664610e+08 ; 1.851711e+07 + i -2.670084e+07 ; -2.162371e+07 + i 2.435027e+07 ; -3.900933e+08 + i -7.245097e+08 ; 5.911045e+07 + i 1.163323e+08 ; -4.253555e+07 + i -1.444966e+08 ; -1.720601e+08 + i 1.973404e+07 ; 2.850279e+07 + i -2.824674e+07 ; -2.866638e+05 + i 1.725207e+07 ; -2.042220e+08 + i 7.212648e+07 ; 2.051063e+08 + i 1.974640e+08 ; -4.504636e+07 + i -3.696132e+07 ; 8.410953e+08 + i 1.781718e+09 ; 5.242776e+07 + i 5.859314e+07 ; -4.597438e+07 + i -2.391295e+08 ; 4.007506e+07 + i 1.441259e+09 ; -1.134470e+08 + i -3.363922e+06 ; 6.557059e+08 + i 9.342931e+08 ; 5.653172e+08 + i -2.517669e+08 ; 8.278485e+07 + i 7.328047e+07 ; -7.872727e+07 + i -8.973803e+07 ; 5.763219e+08 + i -1.738011e+08 ; -2.220950e+08 + i -5.010330e+07 ; 2.474384e+08 + i 8.093533e+07 ; -6.412029e+09 + i 1.644020e+10 ; -3.738890e+07 + i 1.618626e+08 ; 4.227864e+07 + i -1.693755e+08 ; -2.369386e+09 + i -3.482853e+09 ; -1.514063e+08 + i -4.472327e+08 ; 1.280307e+08 + i 4.994487e+08 ; 8.557647e+08 + i 1.790744e+09 ; 4.286560e+07 + i 2.327712e+08 ; -4.906364e+07 + i -6.739830e+07 ; 4.377579e+07 + i 1.438085e+09 ; -6.650819e+08 + i -7.482157e+08 ; 1.192342e+08 + i 1.556977e+07 ; 
-3.028854e+07 + i -4.061497e+07 ; 2.152486e+07 + i -2.386388e+07 ; -1.317552e+07 + i -6.157226e+06 ; -4.104973e+07 + i -4.211780e+07 ; 1.725837e+08 + i 7.966660e+07 ; -1.543450e+07 + i -5.073126e+07 ; 6.666485e+07 + i 4.797692e+07 ; 1.976699e+07 + i -2.229261e+07 ; 4.439864e+06 + i -8.908907e+06 ; 1.040411e+08 + i 6.418548e+07 ; 1.420907e+08 + i 7.857207e+07 ; 5.769025e+07 + i 4.521612e+07 ; -1.584432e+07 + i -7.900259e+07 ; 6.404040e+07 + i -1.948468e+07 ; -1.045237e+07 + i -4.794639e+06 ; -4.156919e+07 + i -9.282156e+07 ; 1.969874e+08 + i 3.341379e+08 ; -4.875708e+06 + i -3.801756e+07 ; 1.016659e+08 + i 1.436653e+08 ; 6.529642e+07 + i -1.303245e+07 ; 2.361990e+05 + i -8.410966e+06 ; 2.116745e+08 + i 1.881522e+08 ; 9.233866e+07 + i 2.926201e+08 ; 9.539517e+06 + i 1.436359e+07 ; 5.827568e+07 + i 6.492221e+07 ; 8.680703e+08 + i 1.781172e+09 ; -6.057112e+07 + i -2.443117e+08 ; 9.192150e+07 + i 8.625199e+07 ; 5.829962e+08 + i -2.671533e+08 ; -8.254980e+07 + i -1.047796e+08 ; -9.739496e+07 + i 9.711308e+06 ; 5.250866e+07 + i 1.436801e+09 ; 6.560498e+08 + i 9.282765e+08 ; -2.128856e+08 + i -4.171580e+07 ; 5.902281e+08 + i -1.821237e+08 ; 2.408262e+08 + i 8.257663e+07 ; -2.614311e+07 + i 1.637630e+08 ; -6.408427e+09 + i 1.649963e+10 ; 3.268108e+07 + i -1.800862e+08 ; 5.370376e+07 + i 2.387423e+08 ; 8.845144e+08 + i 1.812970e+09 ; -5.062239e+07 + i -8.042333e+07 ; -1.324515e+08 + i -4.098290e+08 ; -2.378233e+09 + i -3.459325e+09 ; 1.309969e+08 + i 4.835967e+08 ; -6.586134e+08 + i -7.300656e+08 ; 6.212822e+07 + i 1.453579e+09 ; 1.126708e+08 + i 1.708085e+07 ; 
-1.005236e+08 + i -1.409874e+08 ; 2.424185e+05 + i -8.257603e+06 ; 6.916001e+07 + i -1.357358e+07 ; -2.138595e+08 + i -1.835278e+08 ; 1.089566e+07 + i 9.616938e+06 ; 9.698604e+07 + i 2.909093e+08 ; -6.429213e+07 + i -4.761202e+07 ; 3.249177e+06 + i -8.898916e+06 ; 2.157339e+07 + i -2.369543e+07 ; -1.039578e+08 + i -6.170022e+07 ; 5.660695e+07 + i 3.201600e+07 ; 1.438229e+08 + i 7.716451e+07 ; 1.335381e+07 + i 8.052747e+07 ; -1.042241e+07 + i -2.846298e+06 ; 6.043644e+07 + i -1.926131e+07 ; 3.330056e+07 + i 9.939521e+07 ; -9.867394e+06 + i -3.250713e+07 ; 1.931842e+08 + i 3.338699e+08 ; 2.985170e+07 + i 4.148072e+07 ; -1.216951e+07 + i -3.607570e+06 ; 1.910647e+07 + i -2.229413e+07 ; 3.860914e+07 + i 4.607940e+07 ; -1.945629e+07 + i -4.199342e+07 ; 1.703903e+08 + i 8.011398e+07 ; 1.582497e+08 + i 3.824840e+08 ; 1.787381e+08 + i 4.069381e+08 ; -2.365745e+09 + i -3.458265e+09 ; 6.677479e+08 + i 7.357468e+08 ; 1.017626e+08 + i 7.329536e+06 ; 6.101427e+07 + i 1.456200e+09 ; 9.008427e+07 + i -9.624939e+06 ; 6.723530e+08 + i 7.465996e+08 ; 5.609320e+07 + i 1.434449e+09 ; 2.174279e+08 + i 3.766731e+07 ; 2.225112e+08 + i 4.788330e+07 ; 5.938368e+08 + i -1.832947e+08 ; 1.175555e+07 + i -1.659623e+08 ; 1.540058e+07 + i -1.708022e+08 ; -6.406553e+09 + i 1.649954e+10 ; -8.587311e+07 + i -2.101495e+08 ; -5.953154e+07 + i -6.446567e+07 ; 8.835296e+08 + i 1.804082e+09 ; -6.214712e+07 + i -5.747729e+07 ; -8.863771e+07 + i -2.072729e+08 ; 8.788316e+08 + i 1.779759e+09 ; -9.141112e+07 + i -7.914835e+07 ; -8.725194e+07 + i -8.247720e+07 ; 5.774161e+08 + i -2.710502e+08 ; 
-1.307216e+08 + i -1.767897e+07 ; -5.501087e+06 + i -2.930847e+06 ; -4.334287e+05 + i 7.844663e+06 ; -1.696001e+08 + i 1.867061e+07 ; -1.860990e+06 + i -1.825705e+07 ; -3.722942e+07 + i 1.331711e+07 ; -1.226923e+07 + i 8.488695e+07 ; -1.442078e+05 + i -7.966841e+05 ; 1.791870e+06 + i 2.303349e+06 ; 1.347785e+07 + i 1.096893e+08 ; 1.480720e+07 + i -1.098917e+07 ; -1.546774e+07 + i 1.083677e+07 ; -1.381126e+07 + i -2.811004e+08 ; -5.855906e+06 + i -6.168161e+06 ; -3.792179e+06 + i 9.517174e+06 ; -1.213843e+08 + i -4.662578e+08 ; 9.674610e+06 + i -2.134669e+07 ; -2.874887e+07 + i 2.867281e+07 ; -1.303250e+08 + i -1.657767e+07 ; 3.824752e+05 + i -3.171739e+06 ; 2.377315e+06 + i 6.926631e+06 ; -1.710162e+08 + i 1.832321e+07 ; 3.351081e+07 + i -1.149174e+07 ; -4.854905e+06 + i 2.460745e+07 ; 1.683921e+07 + i 1.449465e+09 ; 1.156207e+08 + i 1.176597e+07 ; -5.832508e+08 + i -1.006896e+09 ; 8.761580e+08 + i 1.789543e+09 ; -5.849432e+07 + i -7.323589e+07 ; 1.306917e+08 + i 1.844331e+08 ; 5.813389e+08 + i -1.695884e+08 ; 2.242646e+08 + i 5.981925e+07 ; -2.347299e+08 + i -9.863951e+07 ; 5.690847e+08 + i -2.689860e+08 ; -9.008196e+07 + i -9.407910e+07 ; 7.270897e+07 + i 1.027391e+08 ; -2.373743e+09 + i -3.480385e+09 ; 1.311864e+08 + i 4.622321e+08 ; -1.882549e+08 + i -4.337090e+08 ; -6.387387e+09 + i 1.650078e+10 ; 3.519513e+07 + i -1.812619e+08 ; -7.534624e+07 + i 1.965382e+08 ; 4.863315e+07 + i 1.443155e+09 ; 6.576483e+08 + i 7.929599e+08 ; -1.075893e+08 + i -1.379598e+07 ; 8.753429e+08 + i 1.793873e+09 ; -3.985701e+07 + i -2.552358e+08 ; 4.194599e+07 + i 8.539714e+07 ; 
1.430752e+07 + i -2.938325e+07 ; 3.608985e+06 + i 3.163413e+06 ; -4.026015e+06 + i -2.197888e+06 ; 1.052622e+07 + i -4.048566e+07 ; 1.937894e+07 + i -2.176893e+07 ; -1.053916e+07 + i -1.359336e+07 ; 3.821633e+07 + i 7.364380e+07 ; 4.106405e+06 + i 2.815475e+06 ; 1.526727e+06 + i -1.368927e+06 ; 6.585809e+07 + i 1.012123e+08 ; 2.078883e+07 + i -2.205567e+07 ; 5.125410e+06 + i -2.779435e+06 ; 2.830827e+07 + i -1.617566e+07 ; 4.836815e+06 + i -1.485033e+06 ; -3.749901e+06 + i -1.738475e+06 ; 3.047575e+07 + i -2.740467e+07 ; 5.935587e+07 + i -1.982690e+07 ; -8.230671e+06 + i -1.011948e+07 ; 1.029255e+07 + i 1.309815e+08 ; 5.331627e+06 + i -1.337766e+06 ; 3.745039e+04 + i -2.628338e+06 ; 5.130842e+07 + i 2.043149e+08 ; 6.613473e+07 + i -1.227505e+07 ; -3.056274e+06 + i -9.066623e+06 ; -7.401225e+07 + i -1.209099e+08 ; 5.860632e+08 + i -2.623078e+08 ; -7.472217e+07 + i -1.198988e+08 ; -4.769497e+07 + i -8.718390e+07 ; 8.787961e+08 + i 1.810977e+09 ; -4.187375e+07 + i -2.617193e+08 ; 2.429412e+08 + i 1.226402e+08 ; 5.924269e+08 + i -1.817867e+08 ; 2.596173e+08 + i 9.494969e+07 ; 1.289273e+08 + i 2.886106e+07 ; 6.101783e+07 + i 1.460752e+09 ; 6.115204e+08 + i 9.943980e+08 ; 2.987562e+06 + i -2.840505e+08 ; 8.714712e+08 + i 1.812187e+09 ; -4.829779e+07 + i -8.548638e+07 ; 7.166770e+07 + i -1.878277e+08 ; -6.411938e+09 + i 1.652822e+10 ; 4.955154e+07 + i -1.841668e+08 ; 6.011489e+08 + i 1.033701e+09 ; 6.486413e+07 + i 1.455348e+09 ; 1.273013e+08 + i 1.705793e+07 ; 7.623041e+07 + i 5.472045e+08 ; -2.374249e+09 + i -3.428090e+09 ; 9.296767e+07 + i 5.104565e+08 ; 
-9.806434e+06 + i -1.342012e+08 ; -1.475255e+06 + i -1.462827e+06 ; 1.581878e+06 + i -1.498867e+06 ; -5.224703e+07 + i -2.114559e+08 ; -4.147137e+06 + i -6.061336e+06 ; 5.998346e+07 + i -1.090720e+07 ; -3.902987e+07 + i -7.545332e+07 ; -4.932630e+05 + i -1.109470e+06 ; 2.046264e+06 + i 4.225140e+06 ; -6.880662e+07 + i -1.042686e+08 ; 2.511451e+06 + i -2.227221e+06 ; 1.820904e+07 + i -1.949982e+07 ; -1.935927e+07 + i 1.407525e+07 ; -2.813116e+06 + i -1.122948e+06 ; 6.821970e+06 + i -1.419224e+05 ; -1.908626e+07 + i 1.933882e+07 ; -7.118282e+06 + i -8.229383e+06 ; 6.214729e+07 + i -1.873971e+07 ; -1.067410e+07 + i 2.574465e+07 ; -3.595949e+06 + i -1.328774e+06 ; 5.111952e+06 + i 2.802783e+06 ; -7.599757e+06 + i 3.425217e+07 ; -1.042017e+07 + i -1.066939e+07 ; 2.030608e+07 + i -2.266610e+07 ; -5.801889e+08 + i -1.039664e+09 ; 9.383593e+07 + i 1.243662e+07 ; 3.343717e+07 + i 1.468062e+09 ; -1.861417e+08 + i -4.481698e+08 ; 1.756539e+08 + i 4.335603e+08 ; -2.380300e+09 + i -3.424315e+09 ; -2.527878e+08 + i -1.209319e+08 ; 2.248121e+08 + i 5.559846e+07 ; 5.986239e+08 + i -1.754390e+08 ; -1.100871e+08 + i -3.414944e+07 ; 6.729502e+08 + i 7.928985e+08 ; 6.538905e+07 + i 1.464211e+09 ; 1.248850e+08 + i 1.798261e+08 ; -5.626863e+07 + i -6.717329e+07 ; 8.866485e+08 + i 1.801923e+09 ; -8.317518e+07 + i 1.919199e+08 ; 2.362931e+07 + i -1.796315e+08 ; -6.395354e+09 + i 1.653328e+10 ; 7.034743e+07 + i 1.060670e+08 ; -7.357332e+07 + i -8.987956e+07 ; 5.789590e+08 + i -2.722435e+08 ; 5.331182e+07 + i 8.186716e+07 ; -8.486202e+07 + i -2.262193e+08 ; 8.884312e+08 + i 1.803750e+09 ; 
1.190636e+07 + i 1.123473e+08 ; -1.287104e+07 + i 1.507759e+07 ; -1.292212e+07 + i 1.510600e+07 ; 5.449692e+07 + i 1.375762e+08 ; -1.155734e+08 + i -8.682348e+07 ; -1.156442e+08 + i -8.684272e+07 ; -1.743281e+08 + i 1.896951e+07 ; -1.723199e+06 + i 1.888018e+07 ; -4.006365e+07 + i 2.491733e+07 ; -2.014799e+08 + i 7.094700e+07 ; -5.131677e+07 + i -3.665902e+07 ; -1.897660e+08 + i -2.739942e+08 ; -1.742491e+08 + i 1.901622e+07 ; -4.015350e+07 + i 2.497200e+07 ; -1.739938e+06 + i 1.878322e+07 ; -2.012971e+08 + i 7.113036e+07 ; -1.898084e+08 + i -2.741371e+08 ; -5.094329e+07 + i -3.675406e+07 ; -1.251379e+08 + i -4.676596e+08 ; -2.377483e+07 + i 2.411733e+07 ; -2.372503e+07 + i 2.397355e+07 ; -3.887144e+08 + i -7.242113e+08 ; -3.813173e+07 + i -1.514287e+08 ; -3.796247e+07 + i -1.512796e+08 ; 5.673643e+08 + i -2.453751e+08 ; -6.538824e+07 + i -1.003410e+08 ; -6.531799e+07 + i -1.004362e+08 ; 5.777287e+08 + i -1.731235e+08 ; 2.425150e+08 + i 9.969643e+07 ; 2.428054e+08 + i 9.978517e+07 ; 8.440645e+08 + i 1.787204e+09 ; -4.632329e+07 + i -7.022947e+07 ; -3.272634e+07 + i -2.481697e+08 ; 4.326749e+07 + i 1.440322e+09 ; 1.213667e+08 + i 1.339607e+07 ; 6.244861e+08 + i 1.005735e+09 ; 8.443689e+08 + i 1.786967e+09 ; -3.269112e+07 + i -2.483270e+08 ; -4.606912e+07 + i -7.000372e+07 ; 4.384878e+07 + i 1.440517e+09 ; 6.248117e+08 + i 1.006297e+09 ; 1.201582e+08 + i 1.384086e+07 ; -6.422928e+09 + i 1.643745e+10 ; 4.906734e+07 + i -1.721235e+08 ; 4.915870e+07 + i -1.715087e+08 ; -2.371568e+09 + i -3.479475e+09 ; 1.136952e+08 + i 5.144876e+08 ; 1.129244e+08 + i 5.142157e+08 ; 
-6.583243e+07 + i -5.143667e+07 ; 2.211511e+07 + i -2.396910e+07 ; -5.331493e+06 + i 9.150057e+06 ; -1.047263e+08 + i -6.838669e+07 ; 1.436271e+08 + i 7.823120e+07 ; -5.731306e+07 + i -5.087032e+07 ; 3.092551e+07 + i 4.346457e+07 ; 1.934019e+07 + i -2.280037e+07 ; 1.320150e+07 + i 8.180853e+06 ; 4.111743e+07 + i 4.709136e+07 ; 1.715580e+08 + i 8.000602e+07 ; 8.721553e+06 + i 5.279241e+07 ; -9.998079e+07 + i -1.494130e+08 ; 6.911699e+07 + i -1.365423e+07 ; -1.162585e+06 + i 7.596320e+06 ; -2.146960e+08 + i -1.971697e+08 ; 9.564356e+07 + i 2.916464e+08 ; -5.486593e+06 + i -1.490629e+07 ; 1.227428e+07 + i 8.284658e+07 ; 6.087593e+07 + i -1.974472e+07 ; 1.040182e+07 + i 5.577176e+06 ; 3.345155e+07 + i 1.012513e+08 ; 1.943442e+08 + i 3.336388e+08 ; 3.196419e+06 + i 4.025023e+07 ; 9.265049e+07 + i -7.686234e+06 ; 3.381862e+07 + i 1.445388e+09 ; -5.852722e+08 + i -1.011694e+09 ; 2.192390e+08 + i 4.685614e+07 ; 5.960861e+08 + i -1.757963e+08 ; -2.418062e+08 + i -1.086848e+08 ; -5.893869e+07 + i -6.439996e+07 ; 8.789165e+08 + i 1.779721e+09 ; 1.260488e+08 + i 1.812086e+08 ; -8.179008e+07 + i -8.909746e+07 ; 5.786326e+08 + i -2.718529e+08 ; 7.526013e+07 + i 1.076595e+08 ; 1.490882e+08 + i 4.083563e+08 ; -2.382521e+09 + i -3.454803e+09 ; -1.859108e+08 + i -4.299467e+08 ; 6.627535e+08 + i 7.803245e+08 ; 6.274046e+07 + i 1.463866e+09 ; -1.111804e+08 + i -1.951569e+07 ; 1.878452e+07 + i -1.733525e+08 ; -6.401837e+09 + i 1.649910e+10 ; -7.397260e+07 + i 1.943790e+08 ; -7.671528e+07 + i -2.286034e+08 ; 8.857858e+08 + i 1.802869e+09 ; 5.096968e+07 + i 9.105102e+07 ; 
-6.585088e+07 + i -5.150496e+07 ; -5.366520e+06 + i 9.143925e+06 ; 2.209539e+07 + i -2.397227e+07 ; -1.046657e+08 + i -6.843254e+07 ; -5.735070e+07 + i -5.090065e+07 ; 1.435133e+08 + i 7.815233e+07 ; -1.000959e+08 + i -1.494393e+08 ; -1.143297e+06 + i 7.572444e+06 ; 6.895412e+07 + i -1.372363e+07 ; -2.147312e+08 + i -1.971795e+08 ; -5.430823e+06 + i -1.493929e+07 ; 9.581377e+07 + i 2.910395e+08 ; 3.084412e+07 + i 4.345198e+07 ; 1.320348e+07 + i 8.160333e+06 ; 1.927933e+07 + i -2.261047e+07 ; 4.104694e+07 + i 4.712632e+07 ; 8.779566e+06 + i 5.276734e+07 ; 1.714452e+08 + i 8.001264e+07 ; 1.248047e+07 + i 8.259020e+07 ; 1.041565e+07 + i 5.575307e+06 ; 6.055496e+07 + i -1.939050e+07 ; 3.366228e+07 + i 1.011115e+08 ; 3.197922e+06 + i 4.028456e+07 ; 1.941651e+08 + i 3.337931e+08 ; 9.299050e+07 + i -7.441211e+06 ; -5.852837e+08 + i -1.011845e+09 ; 3.367408e+07 + i 1.445298e+09 ; 2.191162e+08 + i 4.679025e+07 ; -2.419176e+08 + i -1.088014e+08 ; 5.956870e+08 + i -1.756747e+08 ; 1.488345e+08 + i 4.086223e+08 ; -1.857467e+08 + i -4.301455e+08 ; -2.380250e+09 + i -3.454809e+09 ; 6.628413e+08 + i 7.802230e+08 ; -1.110617e+08 + i -1.955008e+07 ; 6.280748e+07 + i 1.461482e+09 ; -5.859902e+07 + i -6.433223e+07 ; 1.266458e+08 + i 1.810034e+08 ; 8.831980e+08 + i 1.777524e+09 ; -8.133868e+07 + i -8.944547e+07 ; 7.539245e+07 + i 1.073779e+08 ; 5.774020e+08 + i -2.728122e+08 ; 1.823853e+07 + i -1.726102e+08 ; -7.401723e+07 + i 1.944472e+08 ; -6.400120e+09 + i 1.650064e+10 ; -7.647579e+07 + i -2.285454e+08 ; 5.097858e+07 + i 9.110293e+07 ; 8.855344e+08 + i 1.801138e+09 ; 
-1.333418e+07 + i 8.542180e+07 ; 2.281566e+06 + i 1.374883e+06 ; 2.269022e+06 + i 1.378857e+06 ; 1.379380e+07 + i 1.092897e+08 ; -1.592233e+07 + i 9.010896e+06 ; -1.598986e+07 + i 8.984514e+06 ; -1.312969e+08 + i -1.766463e+07 ; 4.832153e+06 + i 7.916601e+06 ; -1.017477e+06 + i 6.878418e+06 ; -1.691227e+08 + i 1.813708e+07 ; -1.219453e+06 + i 2.617197e+07 ; -3.889910e+07 + i 1.009856e+07 ; -1.311902e+08 + i -1.763316e+07 ; -1.023515e+06 + i 6.902816e+06 ; 4.810045e+06 + i 7.907785e+06 ; -1.689151e+08 + i 1.824173e+07 ; -3.892443e+07 + i 1.013706e+07 ; -1.114790e+06 + i 2.611533e+07 ; -1.407411e+07 + i -2.822028e+08 ; -2.244979e+06 + i 8.865200e+06 ; -2.293467e+06 + i 8.866362e+06 ; -1.202959e+08 + i -4.657237e+08 ; -2.734625e+07 + i 2.677528e+07 ; -2.729923e+07 + i 2.680817e+07 ; 5.862786e+08 + i -1.608293e+08 ; -2.407886e+08 + i -1.183061e+08 ; -2.411238e+08 + i -1.183391e+08 ; 5.726445e+08 + i -2.683560e+08 ; 3.604904e+07 + i 1.177167e+08 ; 3.607923e+07 + i 1.177802e+08 ; 2.255091e+07 + i 1.453670e+09 ; -9.562335e+07 + i -1.873999e+07 ; -5.437562e+08 + i -1.058570e+09 ; 8.789805e+08 + i 1.788635e+09 ; 5.076717e+07 + i 9.330859e+07 ; 1.095217e+08 + i 2.094907e+08 ; 2.268241e+07 + i 1.453638e+09 ; -5.439383e+08 + i -1.059258e+09 ; -9.439199e+07 + i -1.916856e+07 ; 8.798925e+08 + i 1.788396e+09 ; 1.094235e+08 + i 2.094248e+08 ; 5.060506e+07 + i 9.307087e+07 ; -2.391681e+09 + i -3.476634e+09 ; -1.674009e+08 + i -4.623736e+08 ; -1.665987e+08 + i -4.622046e+08 ; -6.385180e+09 + i 1.650174e+10 ; -8.235321e+07 + i 1.970276e+08 ; -8.225169e+07 + i 1.965279e+08 ; 
-3.617461e+07 + i -7.767450e+07 ; 2.500495e+06 + i 4.036979e+06 ; -1.658548e+06 + i 2.116357e+06 ; -6.428131e+07 + i -1.074314e+08 ; 1.945629e+07 + i -1.980121e+07 ; -6.405648e+06 + i 3.288277e+06 ; -1.523155e+07 + i 2.574731e+07 ; 5.219350e+06 + i 2.795392e+06 ; 4.308708e+06 + i 2.589515e+06 ; -1.451996e+07 + i 3.593958e+07 ; 2.098127e+07 + i -2.297962e+07 ; 9.684223e+06 + i 1.552180e+07 ; -1.733221e+06 + i -1.364211e+08 ; 2.029379e+06 + i -1.505662e+06 ; -1.847373e+06 + i 2.588965e+06 ; -4.013299e+07 + i -2.162208e+08 ; 6.108169e+07 + i -1.085526e+07 ; -1.583264e+06 + i 8.825580e+06 ; -2.223465e+07 + i 1.431656e+07 ; 6.739286e+06 + i -2.577889e+05 ; 3.415303e+06 + i 2.485048e+06 ; -2.246529e+07 + i 2.116818e+07 ; 6.234900e+07 + i -1.913224e+07 ; 6.948276e+06 + i 1.147148e+07 ; -2.453903e+08 + i -1.396662e+08 ; 6.012620e+08 + i -1.695391e+08 ; -2.446926e+08 + i -1.192933e+08 ; -9.711900e+07 + i -3.096962e+07 ; 4.476842e+07 + i 1.473630e+09 ; -5.470500e+08 + i -1.059251e+09 ; 2.880451e+07 + i 1.155538e+08 ; 5.827859e+08 + i -2.716699e+08 ; 3.589170e+07 + i 1.168043e+08 ; 4.528639e+07 + i 9.181246e+07 ; 8.895911e+08 + i 1.803849e+09 ; 1.097859e+08 + i 2.096362e+08 ; -5.376425e+08 + i -1.089008e+09 ; 3.783415e+07 + i 1.473171e+09 ; -9.678043e+07 + i -1.976832e+07 ; -1.624884e+08 + i -4.821708e+08 ; -2.394789e+09 + i -3.422784e+09 ; -1.690050e+08 + i -4.616327e+08 ; 1.048066e+08 + i 2.091737e+08 ; 8.900125e+08 + i 1.802123e+09 ; 5.094869e+07 + i 9.206241e+07 ; -8.709703e+07 + i 1.931627e+08 ; -6.392468e+09 + i 1.653202e+10 ; -8.220440e+07 + i 1.971669e+08 ; 
