-6.224204e+09 + i 3.316988e+10 ; -6.617204e+08 + i 6.482965e+08 ; -6.657087e+08 + i 6.496186e+08 ; -9.914213e+09 + i -1.158085e+10 ; -1.829075e+08 + i -2.150088e+09 ; -1.850701e+08 + i -2.153797e+09 ; 3.182642e+09 + i 4.656134e+09 ; -4.181861e+07 + i 1.018104e+09 ; -7.997937e+07 + i 7.342964e+08 ; -1.586090e+09 + i 5.334990e+09 ; -3.347094e+09 + i -2.307534e+09 ; -7.000257e+08 + i -3.848546e+08 ; 3.180877e+09 + i 4.661494e+09 ; -7.468962e+07 + i 7.324526e+08 ; -3.731887e+07 + i 1.016820e+09 ; -1.591326e+09 + i 5.338180e+09 ; -6.952421e+08 + i -3.752612e+08 ; -3.346121e+09 + i -2.306895e+09 ; 2.827316e+09 + i 8.516020e+08 ; 1.917259e+08 + i 7.207813e+08 ; 1.928432e+08 + i 7.263080e+08 ; 3.326716e+09 + i 1.794605e+09 ; -1.310702e+09 + i -8.073496e+07 ; -1.309683e+09 + i -7.763519e+07 ; -1.869502e+08 + i -1.427750e+09 ; -1.300000e+08 + i 7.449817e+07 ; -1.305287e+08 + i 7.359291e+07 ; 2.182547e+08 + i -6.692918e+08 ; 1.758358e+07 + i 7.915045e+07 ; 1.710768e+07 + i 7.937372e+07 ; -9.667571e+08 + i -2.064325e+08 ; -2.482217e+08 + i 1.200735e+08 ; -7.269302e+07 + i 1.198160e+08 ; -6.071597e+08 + i -3.762350e+08 ; -6.190158e+06 + i 8.871898e+07 ; 3.876196e+07 + i 7.462437e+07 ; -9.682062e+08 + i -2.044318e+08 ; -7.161899e+07 + i 1.209345e+08 ; -2.481459e+08 + i 1.194129e+08 ; -6.088178e+08 + i -3.755773e+08 ; 3.936104e+07 + i 7.432926e+07 ; -6.452367e+06 + i 8.834101e+07 ; -8.529683e+08 + i 6.624108e+08 ; -1.511542e+08 + i 1.469478e+08 ; -1.505574e+08 + i 1.462477e+08 ; -9.333737e+08 + i 3.079798e+08 ; 1.840163e+07 + i 8.222575e+07 ; 1.851990e+07 + i 8.193413e+07 ; 
1.996352e+08 + i 4.769186e+07 ; -4.051135e+07 + i -3.012402e+07 ; 6.896683e+07 + i -1.591975e+08 ; 2.282879e+08 + i -5.663376e+06 ; -3.655940e+07 + i -1.119329e+08 ; 3.961036e+08 + i -1.678041e+08 ; 1.560895e+08 + i 9.615866e+07 ; -3.554391e+07 + i -2.856015e+07 ; 1.036071e+08 + i -1.204166e+08 ; 2.030119e+08 + i 6.127916e+07 ; -1.964728e+07 + i -1.027197e+08 ; 4.266913e+08 + i -4.177845e+07 ; 3.332180e+07 + i 3.314323e+08 ; -1.166349e+07 + i -1.673685e+07 ; 5.256148e+07 + i -1.524425e+08 ; 1.722920e+08 + i 4.402340e+08 ; 4.817469e+07 + i -4.373293e+07 ; 4.137791e+08 + i -1.634497e+08 ; -1.103555e+08 + i 3.749576e+08 ; -1.932690e+07 + i -1.223493e+07 ; 8.727144e+07 + i -1.259764e+08 ; 4.438319e+07 + i 6.332934e+08 ; 1.474007e+07 + i -5.349678e+07 ; 4.736485e+08 + i 1.984222e+07 ; 1.204569e+08 + i -6.238313e+08 ; 9.644577e+07 + i -6.875429e+08 ; 2.834141e+09 + i 9.343424e+08 ; 3.297463e+08 + i -5.924214e+08 ; 3.521292e+08 + i -8.785772e+08 ; 3.181242e+09 + i 4.715248e+09 ; 3.705309e+08 + i -8.178425e+08 ; 3.157160e+08 + i -6.452996e+08 ; 3.170044e+09 + i 4.675464e+09 ; 7.892510e+08 + i -3.295487e+08 ; 7.867907e+08 + i -3.847798e+08 ; -6.204512e+09 + i 3.319500e+10 ; 1.082962e+09 + i 6.953812e+08 ; 1.118332e+09 + i 6.267300e+08 ; 3.481161e+09 + i 1.907162e+09 ; 5.438277e+08 + i 7.439307e+08 ; 2.210649e+09 + i 3.045176e+09 ; -1.543605e+09 + i 5.526055e+09 ; 2.123378e+09 + i 3.102380e+09 ; 5.753311e+08 + i 7.040094e+08 ; -1.557236e+09 + i 5.479638e+09 ; -5.285877e+08 + i 1.926978e+09 ; -4.713099e+08 + i 1.898409e+09 ; -1.001247e+10 + i -1.146678e+10 ; 
-9.710043e+08 + i -2.076334e+08 ; 1.754582e+08 + i -1.559172e+08 ; -2.961174e+08 + i 8.477560e+07 ; -1.185066e+09 + i 1.449612e+08 ; 3.180687e+08 + i 2.834344e+08 ; -8.075698e+08 + i -8.903475e+08 ; -8.564660e+08 + i 6.573104e+08 ; 1.996211e+08 + i -1.930704e+08 ; -2.173388e+08 + i 1.168325e+08 ; -6.537316e+08 + i 9.371689e+08 ; 6.822660e+08 + i 2.150198e+08 ; -5.787155e+08 + i -3.526010e+08 ; -1.990523e+08 + i -1.421609e+09 ; 2.730199e+08 + i -7.621574e+07 ; -2.489475e+08 + i 3.525312e+07 ; -1.524460e+09 + i -2.054182e+09 ; 1.706173e+08 + i 6.604158e+08 ; 2.615128e+07 + i -6.185979e+08 ; -9.668611e+08 + i -2.085339e+08 ; 3.010703e+08 + i -1.750846e+08 ; -1.762245e+08 + i 1.136072e+08 ; -1.187145e+09 + i 1.312348e+08 ; 1.057405e+09 + i 7.126169e+08 ; -2.135499e+08 + i -3.158275e+08 ; 3.061543e+09 + i 4.535391e+09 ; -1.212350e+08 + i 6.529999e+08 ; 6.210838e+07 + i -9.812357e+08 ; -1.651873e+09 + i 5.337482e+09 ; -7.909835e+08 + i -4.703082e+08 ; 2.425803e+09 + i 3.274554e+09 ; 2.613983e+09 + i 8.763814e+08 ; 1.120034e+08 + i 6.506412e+08 ; -5.776600e+06 + i -6.265337e+08 ; 3.316853e+09 + i 1.827804e+09 ; -1.386701e+09 + i -1.856265e+08 ; 1.290512e+09 + i 5.512156e+08 ; -6.197414e+09 + i 3.291026e+10 ; -6.827154e+08 + i 5.359889e+08 ; 7.365676e+08 + i -5.096655e+08 ; -9.941949e+09 + i -1.163117e+10 ; -1.097737e+08 + i -2.218533e+09 ; -1.590994e+08 + i 2.179822e+09 ; 2.994526e+09 + i 4.525089e+09 ; -1.042770e+08 + i 9.046378e+08 ; 2.129954e+08 + i -6.034785e+08 ; -1.618641e+09 + i 5.342656e+09 ; -3.243354e+09 + i -2.628798e+09 ; 6.905682e+08 + i 5.895724e+08 ; 
-4.739794e+07 + i -4.226306e+08 ; 3.985437e+08 + i -1.468371e+08 ; -5.435022e+07 + i -8.903489e+07 ; -1.795943e+08 + i -4.018372e+08 ; 8.035168e+08 + i 4.543054e+08 ; 1.120782e+07 + i -2.109756e+08 ; 3.790243e+08 + i 2.756345e+08 ; 4.219905e+08 + i -1.661188e+08 ; 3.566446e+07 + i -6.357290e+07 ; 5.972648e+08 + i 1.760217e+08 ; 7.012779e+08 + i 5.909904e+08 ; 2.846825e+08 + i 1.362831e+08 ; 1.532411e+08 + i -4.247161e+08 ; 4.164542e+08 + i -1.839232e+07 ; -4.537642e+07 + i -9.463825e+07 ; -5.130128e+07 + i -5.270222e+08 ; 7.630674e+08 + i 9.758384e+08 ; 7.787457e+07 + i -1.687769e+08 ; 3.716350e+08 + i 7.276794e+08 ; 4.820854e+08 + i 2.141807e+07 ; 1.672345e+07 + i -5.113031e+07 ; 1.098240e+09 + i 6.837657e+08 ; 2.033437e+08 + i 1.078652e+09 ; 3.850751e+07 + i 6.045788e+07 ; -4.862774e+07 + i 6.901853e+08 ; 3.236605e+09 + i 4.609247e+09 ; -1.574410e+07 + i -1.071213e+09 ; 1.825336e+08 + i 7.378019e+08 ; 2.853274e+09 + i 9.524528e+08 ; -2.137842e+07 + i -6.982244e+08 ; -6.739672e+08 + i -3.522674e+08 ; -1.537504e+09 + i 5.358283e+09 ; 2.410270e+09 + i 3.264503e+09 ; -1.327683e+09 + i -1.035800e+08 ; 3.471272e+09 + i 1.937527e+09 ; 1.253167e+09 + i 5.192557e+08 ; -5.577776e+08 + i 5.940209e+08 ; -6.161242e+09 + i 3.306500e+10 ; 7.295241e+08 + i -6.179217e+08 ; -3.971234e+06 + i 9.624205e+08 ; 3.130738e+09 + i 4.674767e+09 ; 2.211058e+08 + i -6.676919e+08 ; -6.971510e+07 + i -1.983047e+09 ; -9.930475e+09 + i -1.161041e+10 ; -1.168934e+08 + i 2.138972e+09 ; -3.267105e+09 + i -2.533252e+09 ; -1.580304e+09 + i 5.479857e+09 ; 6.539359e+08 + i 5.597404e+08 ; 
-4.068858e+08 + i -7.251876e+08 ; 1.386748e+07 + i -4.921333e+07 ; 4.833657e+08 + i 3.774628e+07 ; -1.140211e+09 + i -7.033114e+08 ; 7.337804e+07 + i 5.694077e+07 ; 2.121524e+08 + i 1.097399e+09 ; -4.027904e+08 + i -2.561219e+08 ; 2.679354e+07 + i -7.010196e+07 ; 4.266758e+08 + i -1.535070e+08 ; -6.336818e+08 + i -1.747643e+08 ; 3.310950e+08 + i 7.623577e+07 ; 7.047499e+08 + i 6.009560e+08 ; -1.693037e+08 + i 4.152472e+08 ; -6.773363e+07 + i -9.353970e+07 ; 4.240411e+08 + i -3.974047e+07 ; -5.063033e+05 + i 4.858492e+08 ; 4.204759e+07 + i -2.026845e+08 ; 7.666505e+08 + i 9.593813e+08 ; 3.183326e+07 + i 4.290765e+08 ; -8.100158e+07 + i -8.161113e+07 ; 3.987836e+08 + i -1.679447e+08 ; 1.447929e+08 + i 3.911922e+08 ; -4.529487e+07 + i -2.258023e+08 ; 8.084479e+08 + i 4.431971e+08 ; 3.157823e+08 + i 2.093875e+09 ; 3.761790e+08 + i 2.296242e+09 ; -9.954173e+09 + i -1.158686e+10 ; 3.193407e+09 + i 2.586085e+09 ; 7.137482e+08 + i 4.216787e+08 ; -1.618234e+09 + i 5.479576e+09 ; 6.588766e+08 + i 3.098480e+08 ; 3.172503e+09 + i 2.644088e+09 ; -1.554065e+09 + i 5.391572e+09 ; 1.331115e+09 + i 1.657833e+08 ; 1.342719e+09 + i 2.316707e+08 ; 3.443455e+09 + i 1.969107e+09 ; 6.103838e+08 + i -6.896181e+08 ; 6.938671e+08 + i -7.065844e+08 ; -6.174025e+09 + i 3.307773e+10 ; -2.440789e+08 + i -1.120994e+09 ; 1.071425e+08 + i -7.794500e+08 ; 3.204698e+09 + i 4.736310e+09 ; 1.338632e+07 + i -7.489560e+08 ; -2.403063e+08 + i -1.150714e+09 ; 3.262382e+09 + i 4.644954e+09 ; -2.325580e+08 + i -7.344566e+08 ; -1.618944e+08 + i -7.169095e+08 ; 2.934738e+09 + i 9.380989e+08 ; 
-6.129301e+08 + i -3.764573e+08 ; -2.393056e+07 + i -8.593763e+07 ; -6.974372e+07 + i 6.489414e+07 ; -9.731838e+08 + i -1.840340e+08 ; 9.532154e+07 + i -1.148832e+08 ; -3.124489e+08 + i 2.451154e+07 ; -9.308631e+08 + i 3.011768e+08 ; -7.598353e+06 + i -8.990550e+07 ; -4.332195e+07 + i 9.160542e+07 ; -8.470665e+08 + i 6.752146e+08 ; 1.701701e+08 + i -1.303061e+08 ; -2.200992e+08 + i 1.065702e+08 ; 2.108399e+08 + i -6.725737e+08 ; 1.395324e+05 + i -8.319534e+07 ; -9.770039e+06 + i 4.678061e+07 ; -2.083094e+08 + i -1.411983e+09 ; 1.494126e+08 + i -5.607650e+07 ; -1.682869e+08 + i -3.439030e+07 ; -6.052492e+08 + i -3.818549e+08 ; 2.056864e+07 + i -9.033380e+07 ; -4.871548e+06 + i 7.113154e+07 ; -9.657345e+08 + i -1.946149e+08 ; 2.664270e+08 + i -8.827567e+07 ; -1.353751e+08 + i 7.413421e+07 ; -1.675079e+09 + i 5.268202e+09 ; 6.636253e+08 + i 4.968245e+08 ; -2.169595e+09 + i -3.018793e+09 ; 3.206192e+09 + i 4.657880e+09 ; 1.719382e+08 + i -7.327920e+08 ; 2.460253e+08 + i 1.308834e+09 ; 3.265135e+09 + i 1.841878e+09 ; 1.305456e+09 + i 2.472729e+08 ; -1.189780e+09 + i -5.062322e+08 ; 2.846294e+09 + i 8.438990e+08 ; -7.553110e+07 + i -7.396263e+08 ; 4.686425e+07 + i 6.641412e+08 ; -9.944145e+09 + i -1.165135e+10 ; -4.396091e+07 + i 2.127377e+09 ; -8.546009e+07 + i -2.341342e+09 ; -6.202589e+09 + i 3.316836e+10 ; 7.547272e+08 + i -5.718946e+08 ; -7.689971e+08 + i 3.582689e+08 ; -1.672830e+09 + i 5.329853e+09 ; 3.043013e+09 + i 2.771604e+09 ; -6.582412e+08 + i -5.380832e+08 ; 3.170032e+09 + i 4.629427e+09 ; 1.251796e+08 + i -9.365102e+08 ; -2.281603e+08 + i 6.116297e+08 ; 
1.981928e+08 + i 4.870214e+07 ; 6.972712e+07 + i -1.596937e+08 ; -3.882750e+07 + i -2.650637e+07 ; 2.250356e+08 + i -4.434668e+06 ; 3.971281e+08 + i -1.682467e+08 ; -3.411666e+07 + i -1.047035e+08 ; 3.320191e+07 + i 3.371543e+08 ; 5.264344e+07 + i -1.536912e+08 ; -1.389555e+07 + i -1.424918e+07 ; 1.756916e+08 + i 4.416356e+08 ; 4.130153e+08 + i -1.619883e+08 ; 4.326979e+07 + i -3.965081e+07 ; 1.468242e+08 + i 9.495653e+07 ; 1.041971e+08 + i -1.190750e+08 ; -3.326748e+07 + i -2.630383e+07 ; 1.892200e+08 + i 6.323070e+07 ; 4.267785e+08 + i -4.046183e+07 ; -1.904542e+07 + i -9.716134e+07 ; -1.221558e+08 + i 3.711751e+08 ; 8.794992e+07 + i -1.258602e+08 ; -1.915180e+07 + i -1.018440e+07 ; 2.573622e+07 + i 6.365954e+08 ; 4.730181e+08 + i 2.197603e+07 ; 1.002054e+07 + i -5.237206e+07 ; 9.924544e+07 + i -5.978836e+08 ; 2.835713e+09 + i 9.351392e+08 ; 5.632495e+07 + i -6.030029e+08 ; 2.871632e+08 + i -5.913255e+08 ; 3.188047e+09 + i 4.723622e+09 ; 9.814174e+07 + i -1.006185e+09 ; 1.135364e+09 + i 5.735030e+08 ; 3.465372e+09 + i 1.933342e+09 ; 1.197570e+09 + i 5.708357e+08 ; 5.969908e+08 + i 6.357267e+08 ; -1.588248e+09 + i 5.504972e+09 ; 2.228515e+09 + i 3.217764e+09 ; 2.870335e+08 + i -7.785461e+08 ; 3.153211e+09 + i 4.653740e+09 ; 2.236651e+08 + i -6.104286e+08 ; 7.817452e+08 + i -3.619361e+08 ; -6.190178e+09 + i 3.318500e+10 ; 7.533607e+08 + i -5.435324e+08 ; 2.071777e+09 + i 3.239805e+09 ; -1.590211e+09 + i 5.487536e+09 ; 6.138837e+08 + i 5.569732e+08 ; -4.686687e+08 + i 2.016368e+09 ; -1.001267e+10 + i -1.147988e+10 ; -2.106058e+08 + i 2.028283e+09 ; 
1.537457e+08 + i -3.622834e+08 ; -2.579526e+07 + i -1.433272e+07 ; 9.581298e+07 + i -1.374194e+08 ; 3.576390e+07 + i -6.236984e+08 ; -1.062997e+07 + i -6.142385e+07 ; 4.756197e+08 + i -1.494885e+05 ; 4.427420e+05 + i -3.407882e+08 ; -1.659006e+07 + i -1.668609e+07 ; 5.722244e+07 + i -1.645882e+08 ; -1.255596e+08 + i -4.534590e+08 ; 3.458528e+07 + i -5.606021e+07 ; 4.102901e+08 + i -1.771438e+08 ; -1.452782e+08 + i -6.401125e+07 ; -4.357141e+07 + i -1.839866e+07 ; 8.877268e+07 + i -1.179426e+08 ; -1.480640e+08 + i -4.988083e+06 ; -4.582357e+07 + i -9.375846e+07 ; 4.167468e+08 + i -3.250422e+07 ; -1.804113e+08 + i -3.177650e+07 ; -4.635023e+07 + i -1.755248e+07 ; 5.661825e+07 + i -1.524906e+08 ; -1.817387e+08 + i 2.471660e+07 ; -6.080315e+07 + i -1.001896e+08 ; 3.959448e+08 + i -1.594878e+08 ; -2.095733e+09 + i -3.138099e+09 ; 6.952112e+08 + i 4.061894e+08 ; -1.632401e+09 + i 5.399106e+09 ; -7.182610e+07 + i -2.407543e+09 ; 1.726319e+08 + i 2.313817e+09 ; -1.001303e+10 + i -1.152052e+10 ; -1.083820e+09 + i -6.585204e+08 ; 1.347802e+09 + i 2.983884e+08 ; 3.407273e+09 + i 1.955352e+09 ; -5.541208e+08 + i -5.604810e+08 ; 3.047873e+09 + i 2.844042e+09 ; -1.621277e+09 + i 5.512506e+09 ; 2.440595e+08 + i 1.269257e+09 ; 1.413290e+08 + i -7.550106e+08 ; 3.208580e+09 + i 4.758733e+09 ; -7.609357e+08 + i 3.063753e+08 ; 7.589022e+08 + i -6.421943e+08 ; -6.254743e+09 + i 3.322048e+10 ; -1.733388e+07 + i 5.935545e+08 ; -1.258581e+08 + i -6.556642e+08 ; 2.931934e+09 + i 9.470047e+08 ; -2.971405e+08 + i 6.512582e+08 ; -7.314316e+07 + i -1.140676e+09 ; 3.219610e+09 + i 4.793120e+09 ; 
-8.566737e+08 + i 6.542982e+08 ; -2.229010e+08 + i 9.889549e+07 ; -2.231879e+08 + i 9.854475e+07 ; -6.552355e+08 + i 9.385682e+08 ; -5.503794e+08 + i -3.776330e+08 ; -5.503135e+08 + i -3.781971e+08 ; -9.652624e+08 + i -2.111215e+08 ; -1.816328e+08 + i 9.330071e+07 ; -2.954421e+08 + i 6.648435e+07 ; -1.188200e+09 + i 1.449661e+08 ; -2.068185e+08 + i -3.467265e+08 ; -7.375674e+08 + i -9.012603e+08 ; -9.669214e+08 + i -2.121381e+08 ; -2.941496e+08 + i 6.605811e+07 ; -1.799785e+08 + i 9.378908e+07 ; -1.190824e+09 + i 1.433623e+08 ; -7.367601e+08 + i -9.001604e+08 ; -2.066206e+08 + i -3.449693e+08 ; -1.924939e+08 + i -1.423231e+09 ; -2.461923e+08 + i 1.760791e+07 ; -2.457970e+08 + i 1.881460e+07 ; -1.528282e+09 + i -2.051913e+09 ; 5.798966e+07 + i -6.132121e+08 ; 5.716827e+07 + i -6.131471e+08 ; 2.600448e+09 + i 8.487697e+08 ; 3.118158e+07 + i -5.270658e+08 ; 3.230040e+07 + i -5.264180e+08 ; 3.311929e+09 + i 1.832358e+09 ; 1.223364e+09 + i 5.290309e+08 ; 1.222661e+09 + i 5.304395e+08 ; 3.030817e+09 + i 4.503266e+09 ; 2.167481e+08 + i -5.760056e+08 ; 1.054537e+08 + i -9.111216e+08 ; -1.663791e+09 + i 5.351977e+09 ; 6.958660e+08 + i 5.533058e+08 ; 2.151127e+09 + i 3.301208e+09 ; 3.029445e+09 + i 4.508481e+09 ; 1.035398e+08 + i -9.106003e+08 ; 2.125208e+08 + i -5.760393e+08 ; -1.668257e+09 + i 5.353847e+09 ; 2.147868e+09 + i 3.298113e+09 ; 6.953184e+08 + i 5.461758e+08 ; -6.166995e+09 + i 3.287591e+10 ; 7.511328e+08 + i -4.695965e+08 ; 7.476332e+08 + i -4.731274e+08 ; -9.974685e+09 + i -1.165101e+10 ; -2.278047e+08 + i 2.148765e+09 ; -2.250336e+08 + i 2.145978e+09 ; 
-3.814549e+08 + i -2.817157e+08 ; 4.245749e+08 + i -1.511650e+08 ; -3.763868e+07 + i 5.552277e+07 ; -6.096976e+08 + i -2.019925e+08 ; 6.977173e+08 + i 5.980287e+08 ; -2.617252e+08 + i -1.497022e+08 ; 8.686668e+06 + i 4.370235e+08 ; 3.995794e+08 + i -1.635263e+08 ; 4.282368e+07 + i 8.418043e+07 ; 1.331945e+08 + i 4.166056e+08 ; 8.051476e+08 + i 4.476171e+08 ; -1.656610e+07 + i 1.871138e+08 ; -3.509168e+08 + i -7.478293e+08 ; 4.828226e+08 + i 3.818077e+07 ; -1.355726e+07 + i 5.012264e+07 ; -1.088483e+09 + i -7.591172e+08 ; 2.111655e+08 + i 1.089043e+09 ; -4.018643e+07 + i -4.972029e+07 ; -1.886373e+08 + i 4.118490e+08 ; 4.250911e+08 + i -3.389059e+07 ; 3.792615e+07 + i 9.360945e+07 ; -1.159190e+07 + i 5.037755e+08 ; 7.667382e+08 + i 9.655277e+08 ; -9.183444e+07 + i 1.591941e+08 ; 6.608248e+08 + i 3.401461e+08 ; -1.585553e+09 + i 5.321966e+09 ; -2.123094e+09 + i -3.056400e+09 ; 1.332048e+09 + i 2.017557e+08 ; 3.410787e+09 + i 1.947904e+09 ; -1.119288e+09 + i -5.062401e+08 ; 6.786890e+07 + i -7.144495e+08 ; 3.259563e+09 + i 4.640506e+09 ; 2.947975e+08 + i 1.269483e+09 ; -1.758474e+08 + i -6.978386e+08 ; 2.926285e+09 + i 9.486483e+08 ; 1.577703e+07 + i 6.417549e+08 ; 1.206053e+08 + i 2.081503e+09 ; -9.954881e+09 + i -1.165095e+10 ; -1.349854e+08 + i -2.327431e+09 ; 3.070817e+09 + i 2.749161e+09 ; -1.658870e+09 + i 5.455165e+09 ; -6.293688e+08 + i -5.276140e+08 ; 6.588881e+08 + i -6.330788e+08 ; -6.185654e+09 + i 3.310248e+10 ; -7.672183e+08 + i 3.681090e+08 ; -1.052960e+08 + i -1.081864e+09 ; 3.191538e+09 + i 4.757520e+09 ; -2.895532e+08 + i 6.260303e+08 ; 
-3.803253e+08 + i -2.815559e+08 ; -3.735720e+07 + i 5.570130e+07 ; 4.254379e+08 + i -1.503794e+08 ; -6.100236e+08 + i -2.014198e+08 ; -2.614272e+08 + i -1.490810e+08 ; 6.993067e+08 + i 5.998639e+08 ; -3.488165e+08 + i -7.476935e+08 ; -1.342115e+07 + i 5.061212e+07 ; 4.854217e+08 + i 3.832357e+07 ; -1.087725e+09 + i -7.590539e+08 ; -3.999422e+07 + i -4.873820e+07 ; 2.141676e+08 + i 1.093678e+09 ; 1.020168e+07 + i 4.367096e+08 ; 4.286256e+07 + i 8.419060e+07 ; 3.978162e+08 + i -1.656268e+08 ; 1.335834e+08 + i 4.161832e+08 ; -1.667489e+07 + i 1.880456e+08 ; 8.059225e+08 + i 4.471795e+08 ; -1.877040e+08 + i 4.151120e+08 ; 3.787868e+07 + i 9.337538e+07 ; 4.247109e+08 + i -3.822333e+07 ; -1.240230e+07 + i 5.064496e+08 ; -9.190631e+07 + i 1.589451e+08 ; 7.647176e+08 + i 9.633976e+08 ; 6.555691e+08 + i 3.405031e+08 ; -2.122488e+09 + i -3.054975e+09 ; -1.581936e+09 + i 5.319240e+09 ; 1.333094e+09 + i 2.028975e+08 ; -1.117155e+09 + i -5.048245e+08 ; 3.416303e+09 + i 1.945323e+09 ; 1.190129e+08 + i 2.077171e+09 ; -1.345781e+08 + i -2.323533e+09 ; -9.949904e+09 + i -1.163916e+10 ; 3.069109e+09 + i 2.750531e+09 ; -6.293744e+08 + i -5.266390e+08 ; -1.648152e+09 + i 5.472142e+09 ; 6.324095e+07 + i -7.129851e+08 ; 2.914679e+08 + i 1.275400e+09 ; 3.264235e+09 + i 4.672275e+09 ; -1.773918e+08 + i -6.919432e+08 ; 1.709904e+07 + i 6.462323e+08 ; 2.944201e+09 + i 9.455595e+08 ; 6.562008e+08 + i -6.407114e+08 ; -7.668448e+08 + i 3.667947e+08 ; -6.196799e+09 + i 3.310019e+10 ; -1.070468e+08 + i -1.081353e+09 ; -2.882013e+08 + i 6.247570e+08 ; 3.203254e+09 + i 4.762451e+09 ; 
-9.246792e+08 + i 3.029721e+08 ; -4.028818e+07 + i 9.945334e+07 ; -4.032077e+07 + i 9.957759e+07 ; -8.444773e+08 + i 6.835051e+08 ; -2.086067e+08 + i 1.083455e+08 ; -2.084567e+08 + i 1.082386e+08 ; -6.017946e+08 + i -3.765934e+08 ; -1.536283e+07 + i 7.745930e+07 ; -6.116821e+07 + i 7.218750e+07 ; -9.716064e+08 + i -1.785470e+08 ; -1.486865e+08 + i 8.642980e+07 ; -2.928551e+08 + i 2.462949e+07 ; -6.030909e+08 + i -3.773757e+08 ; -6.109987e+07 + i 7.166766e+07 ; -1.514163e+07 + i 7.714625e+07 ; -9.728204e+08 + i -1.791884e+08 ; -2.925495e+08 + i 2.435223e+07 ; -1.485486e+08 + i 8.710129e+07 ; 2.180248e+08 + i -6.688580e+08 ; -1.461846e+07 + i 5.616929e+07 ; -1.432397e+07 + i 5.596205e+07 ; -2.126109e+08 + i -1.407690e+09 ; -1.670733e+08 + i -2.102350e+07 ; -1.676688e+08 + i -2.099437e+07 ; 3.231975e+09 + i 1.827680e+09 ; -1.091373e+09 + i -5.252977e+08 ; -1.090211e+09 + i -5.273908e+08 ; 2.831083e+09 + i 8.462643e+08 ; -4.289561e+06 + i 4.932116e+08 ; -6.161868e+06 + i 4.924294e+08 ; -1.712045e+09 + i 5.265193e+09 ; -6.232065e+08 + i -4.528662e+08 ; -1.992850e+09 + i -3.063645e+09 ; 3.192112e+09 + i 4.669215e+09 ; -2.971789e+08 + i 6.206933e+08 ; 1.520715e+08 + i 1.168666e+09 ; -1.714267e+09 + i 5.269597e+09 ; -1.990794e+09 + i -3.059609e+09 ; -6.221467e+08 + i -4.451711e+08 ; 3.190011e+09 + i 4.675905e+09 ; 1.541521e+08 + i 1.169853e+09 ; -2.934214e+08 + i 6.208540e+08 ; -9.958044e+09 + i -1.172422e+10 ; 2.873645e+07 + i -2.243088e+09 ; 2.541960e+07 + i -2.238645e+09 ; -6.210908e+09 + i 3.317382e+10 ; -7.934571e+08 + i 3.373291e+08 ; -7.908112e+08 + i 3.409280e+08 ; 
-8.880458e+05 + i -3.433939e+08 ; 5.496156e+07 + i -1.614359e+08 ; 8.528170e+06 + i 9.803575e+06 ; -1.274870e+08 + i -4.580675e+08 ; 4.045543e+08 + i -1.712034e+08 ; -4.626112e+07 + i 2.927590e+07 ; -1.719148e+08 + i -4.667932e+07 ; 5.743630e+07 + i -1.512539e+08 ; 3.096839e+07 + i 2.679058e+07 ; -1.785209e+08 + i -6.025000e+06 ; 3.941134e+08 + i -1.542950e+08 ; 2.364043e+07 + i 9.910851e+07 ; 1.446309e+08 + i -3.540364e+08 ; 9.323273e+07 + i -1.351465e+08 ; 2.080773e+07 + i 5.918844e+06 ; 2.827631e+07 + i -6.165151e+08 ; 4.685680e+08 + i 3.227193e+06 ; -7.091269e+06 + i 3.896125e+07 ; -1.415527e+08 + i -7.805290e+07 ; 9.111363e+07 + i -1.161612e+08 ; 2.856768e+07 + i 2.406424e+07 ; -1.551625e+08 + i -3.062380e+07 ; 4.175731e+08 + i -2.835133e+07 ; 1.216336e+07 + i 9.214143e+07 ; -1.062343e+09 + i -6.086451e+08 ; 3.379979e+09 + i 1.943817e+09 ; -1.096670e+09 + i -5.444209e+08 ; -6.030609e+08 + i -5.065460e+08 ; -1.649860e+09 + i 5.454838e+09 ; -2.008107e+09 + i -3.079753e+09 ; -1.956440e+07 + i 4.440282e+08 ; 2.906328e+09 + i 9.546802e+08 ; -2.609782e+06 + i 4.898780e+08 ; -3.068454e+08 + i 5.721425e+08 ; 3.216220e+09 + i 4.794586e+09 ; 1.473337e+08 + i 1.176331e+09 ; -1.941017e+09 + i -3.133997e+09 ; -1.665088e+09 + i 5.391566e+09 ; -6.294317e+08 + i -4.596328e+08 ; 8.785796e+07 + i -2.291719e+09 ; -1.002124e+10 + i -1.156619e+10 ; 8.555271e+06 + i -2.259111e+09 ; 1.092115e+08 + i 1.134538e+09 ; 3.190995e+09 + i 4.772443e+09 ; -2.941144e+08 + i 6.203587e+08 ; -7.951492e+08 + i 2.919936e+08 ; -6.256702e+09 + i 3.325056e+10 ; -8.005607e+08 + i 3.410253e+08 ; 
