-8.930637e+09 + i 1.261893e+10 ; -4.352559e+07 + i 9.818082e+07 ; -4.344199e+07 + i 9.821778e+07 ; -5.106938e+08 + i -3.004028e+09 ; 9.476380e+06 + i -3.024293e+08 ; 9.344986e+06 + i -3.023632e+08 ; 1.090501e+08 + i 1.476635e+09 ; -1.705520e+07 + i 1.657732e+08 ; 1.317063e+07 + i 4.282773e+07 ; -2.525313e+08 + i 9.235771e+08 ; -1.911265e+08 + i -6.599989e+08 ; -4.297550e+07 + i -2.740387e+07 ; 1.091847e+08 + i 1.476583e+09 ; 1.293609e+07 + i 4.271209e+07 ; -1.716857e+07 + i 1.657584e+08 ; -2.522308e+08 + i 9.236109e+08 ; -4.236668e+07 + i -2.770942e+07 ; -1.911031e+08 + i -6.599998e+08 ; 3.192908e+08 + i -5.021226e+07 ; 2.543946e+07 + i 6.381147e+07 ; 2.567102e+07 + i 6.370018e+07 ; 2.921394e+08 + i -8.015710e+06 ; -9.548725e+07 + i -9.666140e+07 ; -9.550377e+07 + i -9.675720e+07 ; 2.622978e+07 + i -3.460166e+08 ; -7.168512e+06 + i 9.070725e+06 ; -7.154578e+06 + i 9.076882e+06 ; 4.505970e+07 + i -1.957273e+08 ; 1.246594e+06 + i 3.386126e+06 ; 1.251549e+06 + i 3.385279e+06 ; -8.773392e+07 + i -2.480804e+07 ; -1.773689e+07 + i -4.434795e+06 ; -1.764385e+06 + i 8.634346e+06 ; -6.052760e+07 + i -3.294298e+07 ; -1.386736e+06 + i -1.134230e+05 ; 1.205205e+06 + i 2.460880e+06 ; -8.764197e+07 + i -2.483932e+07 ; -1.728001e+06 + i 8.578433e+06 ; -1.772892e+07 + i -4.431911e+06 ; -6.047439e+07 + i -3.294003e+07 ; 1.199824e+06 + i 2.453262e+06 ; -1.387680e+06 + i -1.123519e+05 ; -9.589535e+06 + i 4.190658e+07 ; -9.058305e+06 + i -1.121966e+06 ; -9.075254e+06 + i -1.106256e+06 ; -1.491989e+07 + i 2.531966e+07 ; -9.933415e+05 + i -3.836078e+05 ; -9.911067e+05 + i -3.815209e+05 ; 
9.875254e+06 + i -1.344379e+07 ; -1.486316e+06 + i -2.375458e+06 ; 3.259162e+06 + i 5.197572e+06 ; 1.011494e+07 + i -2.049084e+07 ; -2.187343e+06 + i -1.041006e+07 ; 1.266707e+07 + i 1.854049e+06 ; 1.619895e+07 + i -7.151080e+06 ; -1.342784e+06 + i -1.929919e+06 ; 2.639383e+06 + i 5.022603e+06 ; 1.924699e+07 + i -1.365845e+07 ; -1.553719e+06 + i -7.577138e+06 ; 3.278909e+07 + i 5.142300e+06 ; 6.284243e+06 + i 5.317758e+07 ; 8.746211e+05 + i -8.250535e+05 ; 3.316518e+06 + i 4.610033e+06 ; 1.547724e+07 + i 7.935261e+07 ; 2.080821e+06 + i 1.039401e+06 ; 1.273307e+07 + i 1.654126e+06 ; -1.904143e+07 + i 8.768890e+07 ; 5.072642e+05 + i -2.029651e+06 ; 3.132732e+06 + i 4.319148e+06 ; -1.325925e+07 + i 1.469975e+08 ; -3.985952e+05 + i -5.699747e+06 ; 3.412949e+07 + i 9.927551e+06 ; -1.998872e+07 + i -8.225392e+07 ; -2.329894e+07 + i -8.287264e+07 ; 3.265983e+08 + i -4.530843e+07 ; -1.155685e+07 + i -5.252551e+07 ; 5.441606e+07 + i -1.965045e+08 ; 1.048356e+08 + i 1.489794e+09 ; 5.794881e+07 + i -1.944574e+08 ; -1.386370e+07 + i -5.321720e+07 ; 1.024606e+08 + i 1.487713e+09 ; 7.240522e+07 + i -1.066885e+08 ; 7.033116e+07 + i -1.089989e+08 ; -8.949789e+09 + i 1.263722e+10 ; 1.128819e+08 + i 1.436629e+08 ; 1.154810e+08 + i 1.308229e+08 ; 2.995695e+08 + i -8.380964e+06 ; 6.676031e+07 + i 3.837227e+07 ; 1.017468e+08 + i 8.377122e+08 ; -2.442751e+08 + i 9.384257e+08 ; 9.230546e+07 + i 8.564504e+08 ; 6.836087e+07 + i 3.093694e+07 ; -2.463446e+08 + i 9.364743e+08 ; -8.211524e+07 + i 3.755175e+08 ; -7.563954e+07 + i 3.651193e+08 ; -5.228328e+08 + i -2.967141e+09 ; 
-8.907664e+07 + i -2.495128e+07 ; 2.429632e+06 + i -6.962051e+06 ; -2.310202e+07 + i 4.055270e+06 ; -1.144465e+08 + i -5.989691e+06 ; 1.569020e+07 + i 2.662396e+07 ; -5.083153e+07 + i -2.239188e+08 ; -9.946152e+06 + i 4.241317e+07 ; 7.274277e+06 + i -8.329246e+05 ; -8.622147e+06 + i 2.286638e+05 ; 3.016457e+06 + i 6.687490e+07 ; 4.303669e+07 + i 7.212862e+07 ; -4.087022e+07 + i -8.603332e+07 ; 2.730972e+07 + i -3.458250e+08 ; 1.308845e+07 + i -1.030971e+07 ; -1.410173e+07 + i 9.080531e+06 ; -5.718103e+07 + i -6.046975e+08 ; 5.018423e+06 + i 8.608090e+07 ; 6.781645e+06 + i -9.997501e+07 ; -8.781190e+07 + i -2.464340e+07 ; 1.957022e+07 + i -5.694922e+06 ; -3.060009e+06 + i 6.734242e+06 ; -1.158013e+08 + i -5.496367e+06 ; 6.297456e+07 + i 1.922390e+08 ; -1.326200e+07 + i -3.290935e+07 ; 9.205044e+07 + i 1.466909e+09 ; 1.302587e+07 + i 3.696242e+07 ; 2.373138e+07 + i -1.646694e+08 ; -2.545951e+08 + i 9.270451e+08 ; -5.007473e+07 + i -2.659313e+07 ; 1.479241e+08 + i 7.992641e+08 ; 3.161467e+08 + i -4.499661e+07 ; 2.450766e+07 + i 5.710202e+07 ; -2.052072e+07 + i -6.516268e+07 ; 2.932189e+08 + i -7.639499e+06 ; -9.905813e+07 + i -1.036434e+08 ; 1.041120e+08 + i 1.237219e+08 ; -8.933599e+09 + i 1.257498e+10 ; -4.674488e+07 + i 9.117310e+07 ; 5.007133e+07 + i -9.487555e+07 ; -5.126591e+08 + i -3.002587e+09 ; 1.448417e+07 + i -3.144057e+08 ; -3.344525e+07 + i 3.422178e+08 ; 1.000675e+08 + i 1.469380e+09 ; -2.333901e+07 + i 1.592562e+08 ; -1.041587e+07 + i -4.078038e+07 ; -2.523734e+08 + i 9.255198e+08 ; -1.844044e+08 + i -6.937227e+08 ; 5.034635e+07 + i 3.343205e+07 ; 
-5.005929e+06 + i -2.970295e+07 ; 1.354948e+07 + i 9.481320e+05 ; -4.657354e+06 + i -6.261194e+06 ; -9.657638e+06 + i -3.537004e+07 ; 6.938123e+07 + i 9.670279e+07 ; 1.966355e+06 + i -3.489693e+07 ; 2.196417e+07 + i 5.008955e+07 ; 1.241582e+07 + i 1.657164e+06 ; 4.102727e+06 + i -3.507286e+06 ; 3.870222e+07 + i 7.678392e+07 ; 5.256324e+07 + i 8.212650e+07 ; 2.005058e+07 + i 4.781255e+07 ; 7.169255e+06 + i -4.967928e+07 ; 3.524858e+07 + i 4.993407e+06 ; -3.481908e+06 + i -4.714410e+06 ; -1.841106e+06 + i -6.588034e+07 ; 3.543392e+07 + i 2.818558e+08 ; 4.570300e+06 + i -2.356225e+07 ; 2.119415e+07 + i 1.172433e+08 ; 3.376297e+07 + i 9.686692e+06 ; 1.765845e+06 + i -5.039112e+06 ; 6.799302e+07 + i 1.875340e+08 ; -1.106697e+07 + i 2.149676e+08 ; 1.814546e+06 + i 1.157653e+07 ; 1.444414e+07 + i 4.305999e+07 ; 1.052394e+08 + i 1.471178e+09 ; 1.821142e+07 + i -1.706663e+08 ; 2.611401e+07 + i 6.788745e+07 ; 3.250518e+08 + i -4.734203e+07 ; -1.934448e+07 + i -7.605657e+07 ; -4.550305e+07 + i -1.442830e+07 ; -2.474111e+08 + i 9.262595e+08 ; 1.492452e+08 + i 7.947420e+08 ; -9.662743e+07 + i -9.639445e+07 ; 2.992619e+08 + i -7.996028e+06 ; 1.008433e+08 + i 1.237884e+08 ; -4.237106e+07 + i 9.564048e+07 ; -8.943437e+09 + i 1.261681e+10 ; 4.779919e+07 + i -1.025027e+08 ; -1.979598e+07 + i 1.662438e+08 ; 1.100656e+08 + i 1.488251e+09 ; -8.569026e+06 + i -4.947503e+07 ; 1.602331e+07 + i -2.873623e+08 ; -5.216996e+08 + i -2.986409e+09 ; -2.921003e+07 + i 3.326039e+08 ; -1.847601e+08 + i -6.814801e+08 ; -2.463488e+08 + i 9.372409e+08 ; 4.713010e+07 + i 3.346046e+07 ; 
-2.088565e+07 + i -1.161914e+08 ; 1.734078e+06 + i -4.942591e+06 ; 3.586675e+07 + i 9.288175e+06 ; -6.945077e+07 + i -1.855471e+08 ; 3.119688e+06 + i 9.255079e+06 ; -8.514510e+06 + i 2.140517e+08 ; -2.106696e+07 + i -4.996038e+07 ; 3.568099e+06 + i -3.641033e+06 ; 1.327845e+07 + i 1.021516e+06 ; -3.907641e+07 + i -7.571380e+07 ; 2.189307e+07 + i 4.007152e+07 ; 5.337459e+07 + i 8.148676e+07 ; -8.601577e+06 + i 5.039557e+07 ; -3.761871e+06 + i -3.810696e+06 ; 3.343173e+07 + i 5.201867e+06 ; -2.916776e+06 + i 6.888953e+07 ; 1.609291e+06 + i -2.097711e+07 ; 3.339269e+07 + i 2.819115e+08 ; 4.649442e+06 + i 3.013950e+07 ; -4.566224e+06 + i -5.059621e+06 ; 1.250421e+07 + i 1.622668e+06 ; 8.088707e+06 + i 3.713972e+07 ; -1.066189e+06 + i -3.061693e+07 ; 6.840178e+07 + i 9.695444e+07 ; -3.710637e+05 + i 2.751866e+08 ; 4.109081e+06 + i 2.942274e+08 ; -5.147920e+08 + i -2.986912e+09 ; 1.884773e+08 + i 6.839276e+08 ; 4.376763e+07 + i 2.791985e+07 ; -2.473317e+08 + i 9.383158e+08 ; 4.175241e+07 + i 1.454236e+07 ; 1.886457e+08 + i 6.909608e+08 ; -2.460029e+08 + i 9.252764e+08 ; 9.863194e+07 + i 9.481964e+07 ; 9.896011e+07 + i 1.021592e+08 ; 3.005114e+08 + i -8.462238e+06 ; 3.588114e+07 + i -9.653439e+07 ; 3.830413e+07 + i -9.766270e+07 ; -8.942655e+09 + i 1.261673e+10 ; 9.310934e+05 + i -1.534251e+08 ; -1.397567e+07 + i -4.264557e+07 ; 1.094823e+08 + i 1.485116e+09 ; -1.638197e+07 + i -4.007686e+07 ; -7.067317e+05 + i -1.515711e+08 ; 1.114880e+08 + i 1.469836e+09 ; -2.647970e+07 + i -6.478307e+07 ; -2.420284e+07 + i -6.534692e+07 ; 3.229380e+08 + i -4.870628e+07 ; 
-6.119015e+07 + i -3.312493e+07 ; -1.384116e+06 + i -2.762002e+06 ; -1.453829e+06 + i 1.410690e+06 ; -8.681224e+07 + i -2.504099e+07 ; 2.373779e+06 + i -9.547320e+06 ; -1.998937e+07 + i -5.941026e+06 ; -1.523258e+07 + i 2.571078e+07 ; 9.951950e+05 + i 4.908169e+05 ; -6.285767e+05 + i -7.450080e+04 ; -9.747432e+06 + i 4.191501e+07 ; 9.700707e+06 + i 1.551899e+06 ; -1.002241e+07 + i -2.354596e+06 ; 4.564729e+07 + i -1.953103e+08 ; -1.451974e+06 + i -3.977978e+06 ; -3.782821e+06 + i 5.933957e+06 ; 2.866911e+07 + i -3.458918e+08 ; 8.153038e+06 + i -9.973990e+06 ; -1.830056e+07 + i 1.394711e+07 ; -6.059801e+07 + i -3.277005e+07 ; 1.383724e+06 + i 1.408296e+05 ; -4.531849e+05 + i 4.636646e+06 ; -8.748183e+07 + i -2.520691e+07 ; 1.884278e+07 + i 5.519774e+06 ; -6.152999e+06 + i 1.250774e+07 ; -2.679780e+08 + i 9.323598e+08 ; 5.033591e+07 + i 2.931663e+07 ; -1.032791e+08 + i -8.379944e+08 ; 1.080799e+08 + i 1.476188e+09 ; -1.314333e+07 + i -4.616178e+07 ; 2.385755e+07 + i 1.386362e+08 ; 2.952636e+08 + i -6.001923e+06 ; 9.841552e+07 + i 1.082946e+08 ; -9.584154e+07 + i -1.320785e+08 ; 3.198475e+08 + i -4.982992e+07 ; -2.442231e+07 + i -7.060106e+07 ; 1.447714e+07 + i 7.567899e+07 ; -5.148837e+08 + i -3.001319e+09 ; -2.606196e+07 + i 3.207408e+08 ; -5.225806e+06 + i -3.061332e+08 ; -8.933448e+09 + i 1.261801e+10 ; 4.882398e+07 + i -1.025393e+08 ; -6.961147e+07 + i 1.106911e+08 ; -2.498175e+08 + i 9.270452e+08 ; 1.731264e+08 + i 7.186078e+08 ; -4.485738e+07 + i -3.186657e+07 ; 1.072826e+08 + i 1.477955e+09 ; 2.881550e+07 + i -1.741573e+08 ; 4.083611e+06 + i 5.186467e+07 ; 
9.771774e+06 + i -1.308114e+07 ; 3.265029e+06 + i 5.196008e+06 ; -1.447782e+06 + i -2.493874e+06 ; 1.000828e+07 + i -1.995176e+07 ; 1.267015e+07 + i 1.813954e+06 ; -2.013381e+06 + i -1.077729e+07 ; 5.440821e+06 + i 5.302679e+07 ; 3.325258e+06 + i 4.663337e+06 ; 1.295068e+06 + i -8.903940e+05 ; 1.368328e+07 + i 7.942551e+07 ; 1.281902e+07 + i 1.710210e+06 ; 3.161306e+06 + i 9.977811e+05 ; 1.619791e+07 + i -6.936358e+06 ; 2.615698e+06 + i 4.995654e+06 ; -1.355474e+06 + i -1.960404e+06 ; 1.919969e+07 + i -1.323968e+07 ; 3.276113e+07 + i 5.058485e+06 ; -1.464458e+06 + i -7.750005e+06 ; -1.869031e+07 + i 8.844373e+07 ; 3.116493e+06 + i 4.377808e+06 ; 6.236579e+05 + i -2.148090e+06 ; -1.251679e+07 + i 1.479772e+08 ; 3.417423e+07 + i 9.960473e+06 ; 9.266921e+04 + i -5.612518e+06 ; -1.504250e+07 + i -8.171827e+07 ; 3.268839e+08 + i -4.573150e+07 ; -1.518269e+07 + i -8.233177e+07 ; -7.875897e+06 + i -5.087257e+07 ; 1.058918e+08 + i 1.489555e+09 ; 2.997619e+07 + i -1.794878e+08 ; 9.659633e+07 + i 1.463168e+08 ; 3.003051e+08 + i -8.013341e+06 ; 1.092122e+08 + i 1.294159e+08 ; 5.397584e+07 + i 3.925810e+07 ; -2.481189e+08 + i 9.417794e+08 ; 1.172484e+08 + i 8.329454e+08 ; 5.369369e+07 + i -1.886665e+08 ; 1.028624e+08 + i 1.488930e+09 ; -8.034066e+06 + i -5.109978e+07 ; 6.716588e+07 + i -1.055492e+08 ; -8.951579e+09 + i 1.263678e+10 ; 5.699404e+07 + i -1.049352e+08 ; 1.058616e+08 + i 8.555415e+08 ; -2.450660e+08 + i 9.379445e+08 ; 5.533119e+07 + i 3.191605e+07 ; -6.522826e+07 + i 3.660762e+08 ; -5.252849e+08 + i -2.967237e+09 ; -5.191720e+07 + i 3.477303e+08 ; 
1.924875e+07 + i -8.985004e+07 ; -2.831746e+05 + i -1.534424e+06 ; 1.079351e+06 + i 4.529447e+06 ; 1.252898e+07 + i -1.509380e+08 ; -6.469397e+05 + i -4.269784e+06 ; 3.084599e+07 + i 1.089410e+07 ; -5.366028e+06 + i -5.383706e+07 ; 1.674306e+05 + i -6.711517e+05 ; 2.432015e+06 + i 5.325386e+06 ; -1.445020e+07 + i -8.070950e+07 ; 1.951728e+06 + i 1.086041e+06 ; 1.158991e+07 + i 2.881097e+06 ; -1.131260e+07 + i 5.503492e+06 ; -1.028720e+06 + i -1.668050e+06 ; 3.646703e+06 + i 5.417926e+06 ; -1.266914e+07 + i 9.205865e+06 ; -1.302725e+06 + i -6.915941e+06 ; 3.429915e+07 + i 5.346618e+06 ; -7.861388e+06 + i 1.134263e+07 ; -1.336099e+06 + i -2.036498e+06 ; 3.774168e+06 + i 5.003842e+06 ; -8.078176e+06 + i 1.712612e+07 ; -2.438390e+06 + i -9.346022e+06 ; 1.300110e+07 + i 1.435522e+06 ; -9.535035e+07 + i -8.589784e+08 ; 3.901340e+07 + i 3.087979e+07 ; -2.631041e+08 + i 9.457215e+08 ; -1.243823e+06 + i -3.155655e+08 ; -9.000850e+05 + i 3.073051e+08 ; -5.282673e+08 + i -2.965473e+09 ; -1.005176e+08 + i -1.457005e+08 ; 9.821940e+07 + i 1.075468e+08 ; 3.030692e+08 + i -5.511473e+06 ; -4.347931e+07 + i -4.252901e+07 ; 1.807875e+08 + i 7.187278e+08 ; -2.459542e+08 + i 9.429350e+08 ; 2.188026e+07 + i 1.352756e+08 ; -1.204442e+07 + i -4.378169e+07 ; 1.111168e+08 + i 1.484111e+09 ; -7.272442e+07 + i 1.077778e+08 ; 4.284866e+07 + i -1.014147e+08 ; -8.943030e+09 + i 1.263782e+10 ; 1.406607e+07 + i 7.532415e+07 ; -1.658917e+07 + i -6.919108e+07 ; 3.236797e+08 + i -4.926981e+07 ; 1.029685e+07 + i 4.870503e+07 ; 3.361511e+06 + i -1.601742e+08 ; 1.109673e+08 + i 1.486229e+09 ; 
-1.030325e+07 + i 4.294267e+07 ; -8.986753e+06 + i 1.184974e+05 ; -9.008596e+06 + i 1.328559e+05 ; 3.163960e+06 + i 6.670647e+07 ; -3.986818e+07 + i -9.051832e+07 ; -3.990836e+07 + i -9.052391e+07 ; -8.918022e+07 + i -2.479459e+07 ; -3.684423e+06 + i 7.324094e+06 ; -2.418013e+07 + i 3.141984e+06 ; -1.144207e+08 + i -6.059056e+06 ; -1.638341e+07 + i -3.259769e+07 ; -4.263005e+07 + i -2.356730e+08 ; -8.915146e+07 + i -2.478419e+07 ; -2.420336e+07 + i 3.164704e+06 ; -3.677001e+06 + i 7.287045e+06 ; -1.143388e+08 + i -6.009619e+06 ; -4.265946e+07 + i -2.357201e+08 ; -1.619664e+07 + i -3.265123e+07 ; 2.670857e+07 + i -3.462492e+08 ; -1.504670e+07 + i 8.914158e+06 ; -1.502952e+07 + i 8.859397e+06 ; -5.644019e+07 + i -6.046260e+08 ; 9.955977e+06 + i -1.036804e+08 ; 1.005099e+07 + i -1.036323e+08 ; 3.176849e+08 + i -4.279166e+07 ; -1.348214e+07 + i -7.005026e+07 ; -1.345444e+07 + i -7.009316e+07 ; 2.938656e+08 + i -7.435540e+06 ; 9.947202e+07 + i 1.337149e+08 ; 9.962979e+07 + i 1.337391e+08 ; 9.376270e+07 + i 1.468677e+09 ; -9.125384e+06 + i -4.192475e+07 ; 3.119177e+07 + i -1.691646e+08 ; -2.531552e+08 + i 9.265081e+08 ; 5.225220e+07 + i 3.166504e+07 ; 1.216114e+08 + i 8.393759e+08 ; 9.390355e+07 + i 1.468594e+09 ; 3.115949e+07 + i -1.692216e+08 ; -9.041932e+06 + i -4.184711e+07 ; -2.529063e+08 + i 9.265602e+08 ; 1.218075e+08 + i 8.395563e+08 ; 5.165516e+07 + i 3.188531e+07 ; -8.939345e+09 + i 1.257449e+10 ; 5.369533e+07 + i -9.624572e+07 ; 5.375709e+07 + i -9.602177e+07 ; -5.139248e+08 + i -3.001114e+09 ; -4.262682e+07 + i 3.502251e+08 ; -4.303181e+07 + i 3.501548e+08 ; 
-2.111901e+07 + i -5.211767e+07 ; 1.351048e+07 + i 8.909775e+05 ; -4.480192e+06 + i 3.542002e+06 ; -3.826248e+07 + i -7.964597e+07 ; 5.321684e+07 + i 8.197864e+07 ; -1.899505e+07 + i -5.097690e+07 ; 4.878650e+06 + i 3.104044e+07 ; 1.259726e+07 + i 1.430246e+06 ; 4.614817e+06 + i 7.114622e+06 ; 9.035893e+06 + i 3.772528e+07 ; 6.900051e+07 + i 9.683951e+07 ; -5.688112e+06 + i 3.622001e+07 ; -1.919967e+07 + i -1.207171e+08 ; 3.584087e+07 + i 9.253537e+06 ; -2.300813e+06 + i 4.765000e+06 ; -6.741004e+07 + i -1.935355e+08 ; -9.132807e+06 + i 2.143863e+08 ; 4.359892e+05 + i -1.211316e+07 ; -9.459499e+06 + i 5.152903e+07 ; 3.363430e+07 + i 5.006096e+06 ; 3.349960e+06 + i 5.068793e+06 ; -3.306093e+06 + i 7.002872e+07 ; 3.399509e+07 + i 2.817548e+08 ; -5.577002e+06 + i 2.460726e+07 ; 4.264913e+07 + i 1.577067e+07 ; -2.589883e+08 + i 9.318779e+08 ; -1.024917e+08 + i -8.412239e+08 ; 9.786543e+07 + i 1.006188e+08 ; 3.016632e+08 + i -5.484018e+06 ; -9.869019e+07 + i -1.366195e+08 ; -1.420530e+07 + i -4.311848e+07 ; 1.116609e+08 + i 1.469704e+09 ; 2.211256e+07 + i 1.371707e+08 ; -2.053703e+07 + i -6.983400e+07 ; 3.234248e+08 + i -4.908999e+07 ; 1.590688e+07 + i 7.730738e+07 ; -8.228965e+06 + i 2.878210e+08 ; -5.239172e+08 + i -2.984453e+09 ; -4.475419e+06 + i -3.044941e+08 ; 1.781192e+08 + i 7.105167e+08 ; -2.464258e+08 + i 9.413031e+08 ; -4.656968e+07 + i -3.423465e+07 ; 3.984090e+07 + i -9.984485e+07 ; -8.940310e+09 + i 1.261636e+10 ; -6.928229e+07 + i 1.098536e+08 ; 7.645729e+06 + i -1.622732e+08 ; 1.103744e+08 + i 1.484627e+09 ; 8.537520e+06 + i 5.359909e+07 ; 
-2.111459e+07 + i -5.214765e+07 ; -4.493094e+06 + i 3.541959e+06 ; 1.351177e+07 + i 8.878827e+05 ; -3.823762e+07 + i -7.966288e+07 ; -1.901237e+07 + i -5.098484e+07 ; 5.317357e+07 + i 8.196372e+07 ; -1.923860e+07 + i -1.207243e+08 ; -2.291024e+06 + i 4.756372e+06 ; 3.579705e+07 + i 9.238328e+06 ; -6.742265e+07 + i -1.935384e+08 ; 4.649260e+05 + i -1.212553e+07 ; -9.068857e+06 + i 2.141612e+08 ; 4.854177e+06 + i 3.103320e+07 ; 4.612554e+06 + i 7.106867e+06 ; 1.255438e+07 + i 1.498344e+06 ; 9.005212e+06 + i 3.774083e+07 ; -5.658424e+06 + i 3.621137e+07 ; 6.895854e+07 + i 9.685161e+07 ; -9.354492e+06 + i 5.142682e+07 ; 3.352745e+06 + i 5.066117e+06 ; 3.349649e+07 + i 5.148760e+06 ; -3.214147e+06 + i 6.997446e+07 ; -5.571954e+06 + i 2.461989e+07 ; 3.386890e+07 + i 2.818252e+08 ; 4.275725e+07 + i 1.586309e+07 ; -1.025091e+08 + i -8.412760e+08 ; -2.590806e+08 + i 9.318129e+08 ; 9.782034e+07 + i 1.006045e+08 ; -9.873013e+07 + i -1.366548e+08 ; 3.015929e+08 + i -5.441052e+06 ; -8.364242e+06 + i 2.879277e+08 ; -4.402376e+06 + i -3.045637e+08 ; -5.225723e+08 + i -2.984548e+09 ; 1.781438e+08 + i 7.104845e+08 ; -4.650996e+07 + i -3.424858e+07 ; -2.464814e+08 + i 9.404381e+08 ; -1.409283e+07 + i -4.309044e+07 ; 2.237595e+07 + i 1.370930e+08 ; 1.137623e+08 + i 1.468720e+09 ; -2.034092e+07 + i -6.996485e+07 ; 1.596597e+07 + i 7.720876e+07 ; 3.229950e+08 + i -4.941242e+07 ; 3.956556e+07 + i -9.954464e+07 ; -6.929510e+07 + i 1.098777e+08 ; -8.939379e+09 + i 1.261685e+10 ; 7.754824e+06 + i -1.622635e+08 ; 8.547565e+06 + i 5.360613e+07 ; 1.101755e+08 + i 1.483951e+09 ; 
-1.556166e+07 + i 2.601967e+07 ; -4.252027e+05 + i -5.284611e+05 ; -4.289692e+05 + i -5.261524e+05 ; -9.647774e+06 + i 4.180777e+07 ; -1.006762e+07 + i -3.312773e+06 ; -1.010072e+07 + i -3.319069e+06 ; -6.129532e+07 + i -3.309929e+07 ; 8.047305e+05 + i 4.930908e+06 ; -1.553717e+06 + i 1.039933e+06 ; -8.667195e+07 + i -2.526066e+07 ; -4.231984e+06 + i 1.299219e+07 ; -2.037091e+07 + i -7.485695e+06 ; -6.125352e+07 + i -3.309471e+07 ; -1.556974e+06 + i 1.046282e+06 ; 7.955025e+05 + i 4.927614e+06 ; -8.657492e+07 + i -2.523670e+07 ; -2.037414e+07 + i -7.470444e+06 ; -4.179233e+06 + i 1.296871e+07 ; 4.543606e+07 + i -1.957172e+08 ; -3.196274e+06 + i 5.621327e+06 ; -3.219337e+06 + i 5.623752e+06 ; 2.925482e+07 + i -3.457012e+08 ; -1.781006e+07 + i 1.312824e+07 ; -1.779936e+07 + i 1.313916e+07 ; 2.979802e+08 + i -2.783248e+06 ; -9.720124e+07 + i -1.417320e+08 ; -9.737431e+07 + i -1.417382e+08 ; 3.216676e+08 + i -4.984229e+07 ; -6.069453e+06 + i 8.413572e+07 ; -6.066160e+06 + i 8.415557e+07 ; -2.651129e+08 + i 9.336109e+08 ; -3.834480e+07 + i -3.415130e+07 ; -7.257771e+07 + i -8.702485e+08 ; 1.092321e+08 + i 1.475709e+09 ; 8.576309e+06 + i 5.458233e+07 ; 1.243669e+07 + i 1.501570e+08 ; -2.650724e+08 + i 9.336279e+08 ; -7.274838e+07 + i -8.704896e+08 ; -3.772595e+07 + i -3.436109e+07 ; 1.096556e+08 + i 1.475585e+09 ; 1.240728e+07 + i 1.501355e+08 ; 8.531845e+06 + i 5.449842e+07 ; -5.246960e+08 + i -2.998739e+09 ; 7.117951e+06 + i -3.200066e+08 ; 7.521038e+06 + i -3.199738e+08 ; -8.932161e+09 + i 1.261828e+10 ; -7.426731e+07 + i 1.114596e+08 ; -7.423857e+07 + i 1.112631e+08 ; 
-3.640469e+06 + i -5.523869e+07 ; 2.625483e+06 + i 5.245587e+06 ; -1.365028e+06 + i 1.173092e+06 ; -1.152953e+07 + i -8.288332e+07 ; 1.211595e+07 + i 2.721850e+06 ; -3.722241e+06 + i -8.307848e+05 ; -1.015745e+07 + i 1.157706e+07 ; 3.859121e+06 + i 4.995672e+06 ; 1.429191e+06 + i 2.663152e+06 ; -1.163268e+07 + i 1.816554e+07 ; 1.332014e+07 + i 1.296669e+06 ; 1.496008e+06 + i 1.167153e+07 ; 2.389350e+07 + i -9.165446e+07 ; 1.267766e+06 + i 4.516286e+06 ; -1.617910e+06 + i 2.264524e+06 ; 1.977512e+07 + i -1.545510e+08 ; 3.128190e+07 + i 1.087001e+07 ; -2.718547e+06 + i 5.818296e+06 ; -1.272214e+07 + i 5.711645e+06 ; 3.641575e+06 + i 5.383458e+06 ; 1.166938e+06 + i 2.301593e+06 ; -1.445151e+07 + i 1.003073e+07 ; 3.438987e+07 + i 5.202814e+06 ; 7.319921e+05 + i 8.417011e+06 ; -9.571037e+07 + i -1.553706e+08 ; 3.043531e+08 + i -3.192378e+06 ; -9.881188e+07 + i -1.426740e+08 ; -3.693466e+07 + i -4.183183e+07 ; -2.581852e+08 + i 9.488268e+08 ; -7.399513e+07 + i -8.711927e+08 ; -8.862617e+06 + i 8.199777e+07 ; 3.254060e+08 + i -4.928438e+07 ; -5.941246e+06 + i 8.353055e+07 ; 6.640946e+06 + i 5.291967e+07 ; 1.117743e+08 + i 1.486112e+09 ; 1.248053e+07 + i 1.501616e+08 ; -6.414964e+07 + i -8.894674e+08 ; -2.608373e+08 + i 9.475020e+08 ; -3.879371e+07 + i -3.494762e+07 ; 1.307867e+07 + i -3.319675e+08 ; -5.365156e+08 + i -2.963833e+09 ; 6.502009e+06 + i -3.201498e+08 ; 1.050177e+07 + i 1.487642e+08 ; 1.126555e+08 + i 1.484049e+09 ; 8.834810e+06 + i 5.382229e+07 ; -7.570733e+07 + i 1.086398e+08 ; -8.941505e+09 + i 1.263728e+10 ; -7.420154e+07 + i 1.113911e+08 ; 
