-3.875975e+09 + i 9.347585e+08 ; -1.690927e+07 + i 2.217666e+06 ; -1.691186e+07 + i 2.219680e+06 ; 8.319710e+08 + i -3.689332e+08 ; 6.670809e+07 + i -2.117495e+07 ; 6.669876e+07 + i -2.117750e+07 ; -3.996173e+08 + i 1.699233e+08 ; -3.616314e+07 + i 1.094682e+07 ; -7.862549e+06 + i 2.487503e+06 ; -1.834914e+08 + i 4.089701e+07 ; 1.954789e+08 + i -9.349005e+07 ; 1.023897e+07 + i -6.318437e+06 ; -3.996105e+08 + i 1.699261e+08 ; -7.866073e+06 + i 2.482453e+06 ; -3.616570e+07 + i 1.094466e+07 ; -1.834837e+08 + i 4.090319e+07 ; 1.028743e+07 + i -6.307212e+06 ; 1.954810e+08 + i -9.348943e+07 ; -2.273624e+07 + i 3.489797e+07 ; -1.520215e+07 + i 6.335209e+06 ; -1.518460e+07 + i 6.339416e+06 ; -1.891890e+07 + i 2.452500e+07 ; 4.018112e+07 + i -2.522098e+07 ; 4.018259e+07 + i -2.522150e+07 ; 8.368576e+07 + i -2.956162e+07 ; -1.032563e+06 + i -2.673975e+05 ; -1.031658e+06 + i -2.673507e+05 ; 4.464156e+07 + i -1.351191e+07 ; -6.187358e+05 + i 1.816475e+05 ; -6.187411e+05 + i 1.817452e+05 ; 1.464973e+07 + i -1.229606e+07 ; 4.812055e+06 + i -3.977022e+06 ; -1.178587e+06 + i 7.430350e+04 ; 1.176799e+07 + i -8.301445e+06 ; 9.085685e+05 + i -8.039746e+05 ; -5.846867e+05 + i 1.994541e+05 ; 1.465439e+07 + i -1.229434e+07 ; -1.174236e+06 + i 7.493614e+04 ; 4.812387e+06 + i -3.976921e+06 ; 1.176974e+07 + i -8.300436e+06 ; -5.839544e+05 + i 1.993497e+05 ; 9.084740e+05 + i -8.040041e+05 ; 2.147287e+05 + i -3.531961e+06 ; 2.985925e+06 + i -2.561679e+06 ; 2.985091e+06 + i -2.561911e+06 ; 2.500108e+06 + i -3.699685e+06 ; 6.685350e+05 + i -6.135892e+05 ; 6.685414e+05 + i -6.135527e+05 ; 
4.615679e+07 + i -2.683629e+07 ; 4.811283e+07 + i -2.738693e+07 ; -2.006785e+07 + i 2.545232e+07 ; 8.110553e+06 + i -5.367482e+06 ; 2.334097e+08 + i -9.845080e+07 ; -1.854637e+08 + i 4.134409e+07 ; 2.309690e+08 + i -9.794619e+07 ; 1.167463e+07 + i -6.495383e+06 ; -1.880871e+08 + i 4.193747e+07 ; 6.373925e+07 + i -2.028313e+07 ; 6.897821e+07 + i -2.177503e+07 ; 8.273681e+08 + i -3.682717e+08 ; -1.919794e+07 + i 6.330523e+06 ; -1.904069e+07 + i 6.072327e+06 ; -2.316761e+07 + i 3.530218e+07 ; -8.887808e+06 + i 2.768220e+06 ; -3.316224e+07 + i 1.147999e+07 ; -3.979831e+08 + i 1.696228e+08 ; -3.345834e+07 + i 1.177476e+07 ; -8.997268e+06 + i 2.497205e+06 ; -4.009921e+08 + i 1.704278e+08 ; -1.959154e+07 + i 2.191105e+06 ; -1.950275e+07 + i 1.771958e+06 ; -3.875605e+09 + i 9.343371e+08 ; -3.017645e+07 + i 1.471946e+07 ; 1.661886e+07 + i -8.037153e+06 ; -2.418135e+07 + i 1.249964e+07 ; -1.758312e+07 + i 7.727447e+06 ; 1.519701e+05 + i -6.575935e+05 ; -4.843079e+06 + i 3.703231e+06 ; -6.562528e+07 + i 2.952434e+07 ; 3.458921e+06 + i -1.130304e+06 ; -5.000317e+07 + i 1.737712e+07 ; -3.439888e+07 + i 1.274465e+07 ; -9.155709e+05 + i 8.567255e+04 ; -6.602020e+06 + i 5.342213e+06 ; 1.044677e+07 + i -3.503748e+06 ; -7.949878e+06 + i 2.321077e+06 ; -3.250852e+07 + i 1.841837e+07 ; 7.584396e+06 + i -2.093598e+06 ; -1.849621e+06 + i 8.369097e+05 ; -5.074301e+06 + i 3.975239e+06 ; 1.819891e+07 + i -4.552653e+06 ; -4.783602e+06 + i 9.847839e+05 ; -7.718210e+07 + i 3.364768e+07 ; 1.165992e+07 + i -2.093638e+06 ; -1.297327e+06 + i 5.370518e+05 ; -6.021665e+06 + i 5.479674e+06 ; 
8.374590e+07 + i -2.952185e+07 ; 5.199890e+05 + i 8.902921e+05 ; 5.212376e+05 + i 8.901574e+05 ; 1.645155e+08 + i -7.024502e+07 ; -1.903139e+07 + i 6.685301e+06 ; -1.902926e+07 + i 6.686326e+06 ; 1.466843e+07 + i -1.229117e+07 ; -2.622593e+06 + i 3.323652e+06 ; 2.638902e+05 + i 4.020211e+05 ; 1.615102e+07 + i -1.680528e+07 ; -5.607661e+07 + i 2.780080e+07 ; -7.564537e+06 + i 3.539953e+06 ; 1.466949e+07 + i -1.229082e+07 ; 2.634418e+05 + i 4.031579e+05 ; -2.622517e+06 + i 3.324198e+06 ; 1.615228e+07 + i -1.680420e+07 ; -7.575640e+06 + i 3.537568e+06 ; -5.607834e+07 + i 2.780034e+07 ; 2.123490e+05 + i -3.533866e+06 ; -2.496464e+06 + i 2.319614e+06 ; -2.502630e+06 + i 2.318261e+06 ; -5.904418e+06 + i -1.075033e+06 ; -2.448520e+07 + i 1.374125e+07 ; -2.448748e+07 + i 1.374077e+07 ; -3.866090e+09 + i 9.316048e+08 ; -1.538235e+07 + i 1.696265e+06 ; -1.538529e+07 + i 1.698261e+06 ; 8.320324e+08 + i -3.689456e+08 ; 6.786527e+07 + i -2.150718e+07 ; 6.785567e+07 + i -2.150968e+07 ; -3.964772e+08 + i 1.682114e+08 ; -3.415808e+07 + i 1.010482e+07 ; -6.320420e+06 + i 2.014175e+06 ; -1.836281e+08 + i 4.092644e+07 ; 1.966292e+08 + i -9.388825e+07 ; 1.058297e+07 + i -6.575758e+06 ; -3.964669e+08 + i 1.682141e+08 ; -6.323700e+06 + i 2.009301e+06 ; -3.416041e+07 + i 1.010265e+07 ; -1.836199e+08 + i 4.093238e+07 ; 1.063215e+07 + i -6.564063e+06 ; 1.966312e+08 + i -9.388765e+07 ; -2.220351e+07 + i 3.414913e+07 ; -1.301567e+07 + i 5.554001e+06 ; -1.299715e+07 + i 5.558590e+06 ; -1.894746e+07 + i 2.454433e+07 ; 4.071949e+07 + i -2.557078e+07 ; 4.072147e+07 + i -2.557120e+07 ; 
9.222071e+06 + i -2.325606e+06 ; -5.940428e+06 + i 5.513649e+06 ; -1.039681e+06 + i 5.199162e+05 ; 1.399340e+07 + i -4.690972e+06 ; -7.723081e+07 + i 3.365489e+07 ; -3.977586e+06 + i 1.065042e+06 ; -2.923039e+07 + i 1.232147e+07 ; -6.682170e+06 + i 5.346068e+06 ; -8.523069e+05 + i 1.218677e+05 ; -5.549023e+07 + i 2.796767e+07 ; -5.055922e+07 + i 1.734464e+07 ; 2.439271e+06 + i -1.141357e+06 ; 6.202232e+06 + i -2.069951e+06 ; -5.022464e+06 + i 3.986078e+06 ; -1.503764e+06 + i 7.960441e+05 ; 8.489002e+06 + i -3.370221e+06 ; -3.247876e+07 + i 1.843299e+07 ; -6.684612e+06 + i 2.350382e+06 ; -1.480310e+07 + i 7.354962e+06 ; -4.895297e+06 + i 3.701224e+06 ; 4.738838e+04 + i -5.583330e+05 ; -2.528915e+07 + i 1.385155e+07 ; -2.427962e+07 + i 1.250181e+07 ; 1.350862e+07 + i -7.571716e+06 ; -1.675313e+07 + i 2.511024e+06 ; -3.875619e+09 + i 9.343288e+08 ; -1.681251e+07 + i 2.234299e+06 ; -3.587242e+07 + i 1.103865e+07 ; -4.012128e+08 + i 1.703880e+08 ; -7.888971e+06 + i 2.469125e+06 ; 6.175100e+07 + i -1.952733e+07 ; 8.282634e+08 + i -3.681219e+08 ; 6.659968e+07 + i -2.118516e+07 ; 1.941272e+08 + i -9.314757e+07 ; -1.861971e+08 + i 4.203018e+07 ; 1.042078e+07 + i -6.381310e+06 ; -7.817306e+06 + i 2.673790e+06 ; -3.981775e+08 + i 1.696249e+08 ; -3.607356e+07 + i 1.097399e+07 ; -1.541451e+07 + i 6.530444e+06 ; -2.335035e+07 + i 3.527614e+07 ; -1.521106e+07 + i 6.323696e+06 ; 7.200033e+06 + i -5.187262e+06 ; -1.837452e+08 + i 4.145475e+07 ; 1.956259e+08 + i -9.355785e+07 ; 3.880762e+07 + i -2.483292e+07 ; -1.986936e+07 + i 2.525570e+07 ; 4.050447e+07 + i -2.536069e+07 ; 
9.225390e+06 + i -2.325851e+06 ; -1.039781e+06 + i 5.199443e+05 ; -5.934287e+06 + i 5.513924e+06 ; 1.399464e+07 + i -4.690645e+06 ; -3.977468e+06 + i 1.065161e+06 ; -7.722157e+07 + i 3.365583e+07 ; 6.202656e+06 + i -2.070550e+06 ; -1.503612e+06 + i 7.961243e+05 ; -5.018662e+06 + i 3.986029e+06 ; 8.486210e+06 + i -3.370652e+06 ; -6.685656e+06 + i 2.350002e+06 ; -3.247391e+07 + i 1.843588e+07 ; -2.923108e+07 + i 1.232084e+07 ; -8.528664e+05 + i 1.218679e+05 ; -6.683359e+06 + i 5.346874e+06 ; -5.549141e+07 + i 2.796725e+07 ; 2.437063e+06 + i -1.142015e+06 ; -5.056855e+07 + i 1.734325e+07 ; -1.479333e+07 + i 7.355784e+06 ; 4.841161e+04 + i -5.579068e+05 ; -4.897871e+06 + i 3.700518e+06 ; -2.528622e+07 + i 1.385205e+07 ; 1.350941e+07 + i -7.571649e+06 ; -2.427370e+07 + i 1.250328e+07 ; -1.676343e+07 + i 2.512093e+06 ; -1.681246e+07 + i 2.234637e+06 ; -3.875657e+09 + i 9.343156e+08 ; -3.587359e+07 + i 1.103766e+07 ; -7.889463e+06 + i 2.469405e+06 ; -4.012211e+08 + i 1.703960e+08 ; -7.818529e+06 + i 2.676548e+06 ; -3.608610e+07 + i 1.096933e+07 ; -3.983397e+08 + i 1.695789e+08 ; -1.539941e+07 + i 6.534624e+06 ; -1.521646e+07 + i 6.322592e+06 ; -2.334631e+07 + i 3.529630e+07 ; 6.175248e+07 + i -1.952546e+07 ; 6.659187e+07 + i -2.118823e+07 ; 8.281851e+08 + i -3.681407e+08 ; 1.941303e+08 + i -9.314633e+07 ; 1.041467e+07 + i -6.382768e+06 ; -1.862241e+08 + i 4.202779e+07 ; 7.166927e+06 + i -5.190905e+06 ; 1.956242e+08 + i -9.355912e+07 ; -1.837567e+08 + i 4.144453e+07 ; 3.879634e+07 + i -2.483525e+07 ; 4.050142e+07 + i -2.536100e+07 ; -1.987330e+07 + i 2.526238e+07 ; 
4.465628e+07 + i -1.349266e+07 ; 6.382462e+05 + i -1.866184e+05 ; 6.376834e+05 + i -1.866779e+05 ; 8.378483e+07 + i -2.953875e+07 ; 1.092302e+06 + i 2.823826e+05 ; 1.091950e+06 + i 2.827406e+05 ; 1.177602e+07 + i -8.299903e+06 ; -9.354808e+05 + i 8.175770e+05 ; 6.015733e+05 + i -2.036551e+05 ; 1.469006e+07 + i -1.230234e+07 ; -4.944165e+06 + i 4.047341e+06 ; 1.228428e+06 + i -6.870528e+04 ; 1.177760e+07 + i -8.299225e+06 ; 6.015752e+05 + i -2.034879e+05 ; -9.352447e+05 + i 8.176350e+05 ; 1.469315e+07 + i -1.230055e+07 ; 1.224867e+06 + i -6.918647e+04 ; -4.944523e+06 + i 4.047053e+06 ; 2.499308e+06 + i -3.703213e+06 ; -6.881973e+05 + i 6.241913e+05 ; -6.888417e+05 + i 6.241250e+05 ; 2.187501e+05 + i -3.542082e+06 ; -3.068108e+06 + i 2.607103e+06 ; -3.069207e+06 + i 2.606593e+06 ; 8.324306e+08 + i -3.688118e+08 ; -6.851360e+07 + i 2.122596e+07 ; -6.849968e+07 + i 2.123067e+07 ; -3.876196e+09 + i 9.346635e+08 ; 1.719207e+07 + i -2.188744e+06 ; 1.719595e+07 + i -2.190212e+06 ; -1.833331e+08 + i 4.091730e+07 ; -2.009418e+08 + i 9.452292e+07 ; -1.055422e+07 + i 6.401533e+06 ; -3.997498e+08 + i 1.698939e+08 ; 3.709880e+07 + i -1.095943e+07 ; 8.020344e+06 + i -2.499417e+06 ; -1.833359e+08 + i 4.091997e+07 ; -1.059325e+07 + i 6.391987e+06 ; -2.009434e+08 + i 9.452242e+07 ; -3.997235e+08 + i 1.699017e+08 ; 8.021327e+06 + i -2.495729e+06 ; 3.709934e+07 + i -1.095848e+07 ; -1.888880e+07 + i 2.451820e+07 ; -4.134005e+07 + i 2.558270e+07 ; -4.134443e+07 + i 2.558180e+07 ; -2.276420e+07 + i 3.490174e+07 ; 1.561897e+07 + i -6.390164e+06 ; 1.561378e+07 + i -6.391585e+06 ; 
9.203749e+05 + i 5.473328e+05 ; -3.035927e+06 + i 1.891084e+06 ; -5.021671e+05 + i 2.425809e+05 ; 1.980743e+06 + i 4.221459e+05 ; -6.087161e+06 + i 5.460159e+06 ; -1.618938e+06 + i 5.850519e+05 ; -1.875839e+07 + i 5.691126e+06 ; -2.673428e+06 + i 1.724861e+06 ; -4.057539e+05 + i 1.584809e+05 ; -3.382378e+07 + i 1.205598e+07 ; -6.642293e+06 + i 5.354674e+06 ; -8.309230e+05 + i 2.588321e+05 ; 1.423524e+06 + i 1.735998e+05 ; -2.339831e+06 + i 1.599392e+06 ; -6.420431e+05 + i 3.249863e+05 ; 2.702839e+06 + i -1.706088e+05 ; -5.090729e+06 + i 3.973818e+06 ; -2.312546e+06 + i 9.367408e+05 ; -1.174218e+07 + i 4.490308e+06 ; -2.122999e+06 + i 1.466757e+06 ; -3.114631e+04 + i -7.326125e+04 ; -1.926645e+07 + i 8.197812e+06 ; -4.871547e+06 + i 3.705071e+06 ; 1.113971e+06 + i -8.532412e+05 ; 4.000695e+07 + i -1.062887e+07 ; -4.018137e+08 + i 1.702520e+08 ; -7.972696e+06 + i 2.463228e+06 ; 1.821481e+07 + i -1.705262e+06 ; -3.880116e+09 + i 9.353549e+08 ; -1.731247e+07 + i 2.137382e+06 ; -2.232029e+08 + i 9.823167e+07 ; -1.862620e+08 + i 4.206517e+07 ; 1.053892e+07 + i -6.508428e+06 ; -7.666617e+07 + i 2.170982e+07 ; 8.246674e+08 + i -3.672629e+08 ; 6.855767e+07 + i -2.134579e+07 ; 1.662288e+07 + i -6.239636e+06 ; -2.336544e+07 + i 3.531340e+07 ; -1.548548e+07 + i 6.363997e+06 ; 8.359740e+06 + i -2.288706e+06 ; -4.016158e+08 + i 1.707005e+08 ; -3.710065e+07 + i 1.094565e+07 ; -4.786624e+07 + i 2.743554e+07 ; -1.990465e+07 + i 2.524964e+07 ; 4.158431e+07 + i -2.571518e+07 ; -1.299076e+07 + i 7.035199e+06 ; -1.868019e+08 + i 4.228953e+07 ; 2.011998e+08 + i -9.467232e+07 ; 
9.218589e+05 + i 5.474155e+05 ; -5.022651e+05 + i 2.425976e+05 ; -3.037361e+06 + i 1.891604e+06 ; 1.979886e+06 + i 4.226277e+05 ; -1.618995e+06 + i 5.850919e+05 ; -6.089657e+06 + i 5.461604e+06 ; 1.422901e+06 + i 1.728724e+05 ; -6.420159e+05 + i 3.250120e+05 ; -2.344279e+06 + i 1.598261e+06 ; 2.698065e+06 + i -1.719155e+05 ; -2.312740e+06 + i 9.367762e+05 ; -5.100709e+06 + i 3.971666e+06 ; -1.875868e+07 + i 5.690771e+06 ; -4.060833e+05 + i 1.584194e+05 ; -2.674930e+06 + i 1.725094e+06 ; -3.382520e+07 + i 1.205565e+07 ; -8.321242e+05 + i 2.584692e+05 ; -6.646290e+06 + i 5.354624e+06 ; -1.173653e+07 + i 4.491853e+06 ; -3.089560e+04 + i -7.316424e+04 ; -2.126121e+06 + i 1.466472e+06 ; -1.926543e+07 + i 8.199017e+06 ; 1.114054e+06 + i -8.532147e+05 ; -4.876964e+06 + i 3.703312e+06 ; 4.001047e+07 + i -1.062792e+07 ; -7.972826e+06 + i 2.463582e+06 ; -4.018124e+08 + i 1.702641e+08 ; 1.821979e+07 + i -1.705571e+06 ; -1.731227e+07 + i 2.138047e+06 ; -3.880138e+09 + i 9.353505e+08 ; 1.661459e+07 + i -6.242370e+06 ; -1.549110e+07 + i 6.362665e+06 ; -2.335486e+07 + i 3.533839e+07 ; 8.354271e+06 + i -2.292459e+06 ; -3.711319e+07 + i 1.094096e+07 ; -4.018229e+08 + i 1.706433e+08 ; -2.232041e+08 + i 9.823034e+07 ; 1.053422e+07 + i -6.509071e+06 ; -1.862951e+08 + i 4.205828e+07 ; -7.666816e+07 + i 2.170820e+07 ; 6.854760e+07 + i -2.135000e+07 ; 8.245908e+08 + i -3.672816e+08 ; -4.785197e+07 + i 2.743975e+07 ; 4.158432e+07 + i -2.571389e+07 ; -1.985242e+07 + i 2.527225e+07 ; -1.297560e+07 + i 7.037769e+06 ; 2.011964e+08 + i -9.467449e+07 ; -1.868213e+08 + i 4.227504e+07 ; 
1.456008e+07 + i -1.232223e+07 ; 3.040689e+06 + i -3.609295e+06 ; 2.694785e+05 + i 4.151923e+05 ; 1.626817e+07 + i -1.677182e+07 ; 6.317168e+07 + i -2.898689e+07 ; -7.777116e+06 + i 3.586481e+06 ; 8.372674e+07 + i -2.954162e+07 ; -3.566910e+05 + i -9.688375e+05 ; 5.146689e+05 + i 9.159429e+05 ; 1.645735e+08 + i -7.022013e+07 ; 2.172944e+07 + i -6.721928e+06 ; -1.958991e+07 + i 6.732920e+06 ; 1.709918e+05 + i -3.539339e+06 ; 2.858521e+06 + i -2.494318e+06 ; -2.587633e+06 + i 2.361096e+06 ; -5.887992e+06 + i -1.075532e+06 ; 2.764750e+07 + i -1.443195e+07 ; -2.521786e+07 + i 1.392959e+07 ; 1.467244e+07 + i -1.229059e+07 ; -1.995183e+05 + i -4.509615e+05 ; -2.715180e+06 + i 3.392297e+06 ; 1.617164e+07 + i -1.679531e+07 ; 8.655218e+06 + i -3.660626e+06 ; -5.770411e+07 + i 2.813980e+07 ; -3.969091e+08 + i 1.680713e+08 ; 3.597434e+07 + i -1.051520e+07 ; -6.471722e+06 + i 2.026509e+06 ; -1.838956e+08 + i 4.088671e+07 ; -2.200476e+08 + i 9.798888e+07 ; 1.070411e+07 + i -6.693000e+06 ; -3.866438e+09 + i 9.314639e+08 ; 1.610557e+07 + i -1.675432e+06 ; -1.573770e+07 + i 1.647547e+06 ; 8.317958e+08 + i -3.689864e+08 ; -7.367807e+07 + i 2.207739e+07 ; 6.961745e+07 + i -2.161306e+07 ; -2.225192e+07 + i 3.417332e+07 ; 1.452219e+07 + i -5.695786e+06 ; -1.326221e+07 + i 5.615550e+06 ; -1.902580e+07 + i 2.453398e+07 ; -4.584942e+07 + i 2.700997e+07 ; 4.191996e+07 + i -2.595254e+07 ; -3.964372e+08 + i 1.682507e+08 ; 6.924303e+06 + i -2.011227e+06 ; -3.499884e+07 + i 1.013197e+07 ; -1.835694e+08 + i 4.094890e+07 ; -1.188501e+07 + i 6.893633e+06 ; 2.022211e+08 + i -9.498913e+07 ; 
2.997115e+07 + i -1.241226e+07 ; -6.519049e+06 + i 5.389066e+06 ; 8.699516e+05 + i -1.195089e+05 ; 5.683106e+07 + i -2.828732e+07 ; -5.033450e+07 + i 1.739556e+07 ; -2.524122e+06 + i 1.152322e+06 ; -9.589299e+06 + i 2.285828e+06 ; -6.042039e+06 + i 5.477116e+06 ; 1.067166e+06 + i -5.257737e+05 ; -1.483748e+07 + i 4.607546e+06 ; -7.735710e+07 + i 3.360983e+07 ; 4.068470e+06 + i -1.068560e+06 ; 1.518446e+07 + i -7.428726e+06 ; -4.812271e+06 + i 3.714730e+06 ; -5.309139e+04 + i 5.727840e+05 ; 2.589970e+07 + i -1.402618e+07 ; -2.419285e+07 + i 1.251539e+07 ; -1.390275e+07 + i 7.678295e+06 ; -6.418527e+06 + i 2.072439e+06 ; -5.077308e+06 + i 3.972700e+06 ; 1.549150e+06 + i -8.057896e+05 ; -8.908737e+06 + i 3.365157e+06 ; -3.253569e+07 + i 1.841706e+07 ; 6.875985e+06 + i -2.364339e+06 ; -6.142830e+07 + i 1.999295e+07 ; 8.287599e+08 + i -3.680163e+08 ; -6.857655e+07 + i 2.126939e+07 ; -1.993801e+08 + i 9.426801e+07 ; -1.863881e+08 + i 4.200387e+07 ; -1.072972e+07 + i 6.475266e+06 ; 1.690805e+07 + i -2.668867e+06 ; -3.875884e+09 + i 9.342278e+08 ; 1.716647e+07 + i -2.204768e+06 ; 3.478971e+07 + i -1.149907e+07 ; -4.012032e+08 + i 1.704064e+08 ; 8.047116e+06 + i -2.488846e+06 ; -7.369088e+06 + i 5.235513e+06 ; -1.835680e+08 + i 4.149292e+07 ; -2.012712e+08 + i 9.466271e+07 ; -3.988203e+07 + i 2.517107e+07 ; -1.988094e+07 + i 2.526105e+07 ; -4.163347e+07 + i 2.574739e+07 ; 7.903797e+06 + i -2.691409e+06 ; -3.982644e+08 + i 1.695958e+08 ; 3.711636e+07 + i -1.100843e+07 ; 1.574297e+07 + i -6.559674e+06 ; -2.339802e+07 + i 3.526383e+07 ; 1.565358e+07 + i -6.385409e+06 ; 
6.353966e+06 + i -2.079524e+06 ; 1.699240e+06 + i -8.324363e+05 ; -5.007264e+06 + i 3.988427e+06 ; 8.682164e+06 + i -3.389513e+06 ; 7.504694e+06 + i -2.383832e+06 ; -3.248168e+07 + i 1.843714e+07 ; 9.451645e+06 + i -2.319374e+06 ; 1.183330e+06 + i -5.340748e+05 ; -5.937258e+06 + i 5.512903e+06 ; 1.434136e+07 + i -4.704628e+06 ; 4.447617e+06 + i -1.046029e+06 ; -7.723839e+07 + i 3.365006e+07 ; -1.519036e+07 + i 7.435552e+06 ; -1.031562e+05 + i 6.102409e+05 ; -4.894723e+06 + i 3.700498e+06 ; -2.606870e+07 + i 1.399969e+07 ; -1.527044e+07 + i 7.948886e+06 ; -2.425923e+07 + i 1.250751e+07 ; -3.002954e+07 + i 1.242576e+07 ; 8.785791e+05 + i -1.234437e+05 ; -6.678107e+06 + i 5.347479e+06 ; -5.704012e+07 + i 2.826996e+07 ; -2.863953e+06 + i 1.165033e+06 ; -5.055334e+07 + i 1.734706e+07 ; -8.049986e+06 + i 2.730331e+06 ; 4.032328e+07 + i -1.097590e+07 ; -3.988090e+08 + i 1.694694e+08 ; -1.589651e+07 + i 6.634768e+06 ; 1.704331e+07 + i -6.536337e+06 ; -2.338754e+07 + i 3.532142e+07 ; -1.721665e+07 + i 2.463908e+06 ; 1.855815e+07 + i -1.961194e+06 ; -3.875883e+09 + i 9.342354e+08 ; -3.690727e+07 + i 1.107584e+07 ; 8.698765e+06 + i -2.513559e+06 ; -4.012780e+08 + i 1.704079e+08 ; 6.924829e+06 + i -5.423592e+06 ; -2.197903e+08 + i 9.738678e+07 ; -1.836865e+08 + i 4.146528e+07 ; 3.972086e+07 + i -2.526323e+07 ; -4.539628e+07 + i 2.688504e+07 ; -1.986069e+07 + i 2.526179e+07 ; 6.354395e+07 + i -1.957377e+07 ; -7.456791e+07 + i 2.128513e+07 ; 8.282429e+08 + i -3.681106e+08 ; 1.995621e+08 + i -9.407350e+07 ; -1.135227e+07 + i 6.815457e+06 ; -1.862148e+08 + i 4.203250e+07 ; 
1.171197e+07 + i -8.314571e+06 ; 9.265908e+05 + i -8.559468e+05 ; 6.173347e+05 + i -2.050333e+05 ; 1.467411e+07 + i -1.227430e+07 ; 5.419040e+06 + i -4.276261e+06 ; 1.265990e+06 + i -6.219762e+04 ; 4.465660e+07 + i -1.349898e+07 ; -1.112812e+06 + i 1.089267e+05 ; 6.507454e+05 + i -1.872073e+05 ; 8.380180e+07 + i -2.951674e+07 ; -1.972571e+06 + i -4.537506e+05 ; 1.111303e+06 + i 2.964580e+05 ; 2.457824e+06 + i -3.706450e+06 ; 6.966262e+05 + i -6.562600e+05 ; -7.094648e+05 + i 6.342872e+05 ; 1.636620e+05 + i -3.538953e+06 ; 3.359564e+06 + i -2.769224e+06 ; -3.158399e+06 + i 2.647371e+06 ; 1.178127e+07 + i -8.296570e+06 ; -8.814934e+05 + i 1.888324e+05 ; -9.619514e+05 + i 8.307968e+05 ; 1.469360e+07 + i -1.229036e+07 ; -1.718488e+06 + i 1.259360e+04 ; -5.082469e+06 + i 4.110197e+06 ; -1.851603e+08 + i 4.071133e+07 ; 2.267627e+08 + i -9.788271e+07 ; -1.073440e+07 + i 6.509438e+06 ; -3.996010e+08 + i 1.699119e+08 ; -3.182320e+07 + i 1.162741e+07 ; 8.229305e+06 + i -2.513018e+06 ; 8.315780e+08 + i -3.690203e+08 ; 6.703490e+07 + i -2.194242e+07 ; -7.018910e+07 + i 2.132777e+07 ; -3.876125e+09 + i 9.346931e+08 ; -1.923194e+07 + i 1.811231e+06 ; 1.760929e+07 + i -2.141642e+06 ; -1.903158e+07 + i 2.459292e+07 ; 4.667858e+07 + i -2.689574e+07 ; -4.244992e+07 + i 2.592427e+07 ; -2.288624e+07 + i 3.488256e+07 ; -1.726329e+07 + i 6.351559e+06 ; 1.601269e+07 + i -6.447807e+06 ; -1.832443e+08 + i 4.098081e+07 ; 1.161875e+07 + i -6.544953e+06 ; -2.060885e+08 + i 9.551083e+07 ; -3.996823e+08 + i 1.699156e+08 ; -8.840159e+06 + i 2.419606e+06 ; 3.801667e+07 + i -1.099674e+07 ; 
1.950872e+07 + i -5.667240e+06 ; -2.808138e+06 + i 1.687381e+06 ; 4.167962e+05 + i -1.593282e+05 ; 3.514336e+07 + i -1.208916e+07 ; -6.903394e+06 + i 5.300424e+06 ; 8.519981e+05 + i -2.596285e+05 ; -5.222575e+05 + i -4.929288e+05 ; -2.998675e+06 + i 1.914450e+06 ; 5.157644e+05 + i -2.447157e+05 ; -1.286988e+06 + i -3.668842e+05 ; -6.003057e+06 + i 5.496442e+06 ; 1.657545e+06 + i -5.885691e+05 ; 1.222174e+07 + i -4.503962e+06 ; -2.189749e+06 + i 1.458392e+06 ; 3.243011e+04 + i 7.531631e+04 ; 2.005014e+07 + i -8.247315e+06 ; -4.972849e+06 + i 3.699091e+06 ; -1.141509e+06 + i 8.670797e+05 ; -1.232803e+06 + i -1.772431e+05 ; -2.314480e+06 + i 1.607766e+06 ; 6.598724e+05 + i -3.283449e+05 ; -2.412114e+06 + i 1.542542e+05 ; -5.042720e+06 + i 3.983413e+06 ; 2.374643e+06 + i -9.435344e+05 ; 2.306669e+08 + i -9.868640e+07 ; -1.881160e+08 + i 4.185120e+07 ; -1.083832e+07 + i 6.594574e+06 ; 6.938282e+07 + i -2.232951e+07 ; 8.243519e+08 + i -3.673366e+08 ; -7.029510e+07 + i 2.142148e+07 ; -3.142670e+07 + i 1.135852e+07 ; -4.010184e+08 + i 1.704398e+08 ; 8.111812e+06 + i -2.480070e+06 ; -1.865163e+07 + i 1.580211e+06 ; -3.879956e+09 + i 9.354191e+08 ; 1.759783e+07 + i -2.112049e+06 ; 4.938659e+07 + i -2.764945e+07 ; -1.998599e+07 + i 2.533774e+07 ; -4.267816e+07 + i 2.606600e+07 ; 1.310848e+07 + i -6.908728e+06 ; -1.865391e+08 + i 4.237511e+07 ; -2.063291e+08 + i 9.567544e+07 ; -1.678430e+07 + i 6.063263e+06 ; -2.348917e+07 + i 3.524978e+07 ; 1.589115e+07 + i -6.414656e+06 ; -8.428662e+06 + i 2.205702e+06 ; -4.017058e+08 + i 1.706479e+08 ; 3.803614e+07 + i -1.097405e+07 ; 
