-1.030071e+10 + i 1.116796e+10 ; -5.206501e+07 + i 7.786434e+07 ; -5.201424e+07 + i 7.789663e+07 ; 1.868730e+08 + i -2.850063e+09 ; 6.716856e+07 + i -2.660779e+08 ; 6.706050e+07 + i -2.660376e+08 ; -1.978963e+08 + i 1.378707e+09 ; -4.558013e+07 + i 1.443356e+08 ; 1.205754e+06 + i 3.738522e+07 ; -3.742436e+08 + i 7.735946e+08 ; -1.920464e+07 + i -6.453703e+08 ; -2.663108e+07 + i -3.238296e+07 ; -1.977908e+08 + i 1.378680e+09 ; 1.039021e+06 + i 3.729780e+07 ; -4.566032e+07 + i 1.443197e+08 ; -3.740264e+08 + i 7.736306e+08 ; -2.612321e+07 + i -3.257533e+07 ; -1.918328e+07 + i -6.453705e+08 ; 2.527813e+08 + i 1.559351e+07 ; 6.400694e+06 + i 5.969293e+07 ; 6.592203e+06 + i 5.962489e+07 ; 2.203998e+08 + i 4.023653e+07 ; -5.480497e+07 + i -1.112360e+08 ; -5.481440e+07 + i -1.112978e+08 ; 8.724834e+07 + i -3.094086e+08 ; -7.184236e+06 + i 6.377761e+06 ; -7.174326e+06 + i 6.381007e+06 ; 7.233892e+07 + i -1.697064e+08 ; 2.141566e+05 + i 3.002564e+06 ; 2.174134e+05 + i 3.002640e+06 ; -6.246722e+07 + i -3.821101e+07 ; -1.291888e+07 + i -9.024652e+06 ; -3.035255e+06 + i 6.726105e+06 ; -3.997392e+07 + i -3.856438e+07 ; -1.208526e+06 + i -9.745176e+05 ; 3.051349e+05 + i 2.375611e+06 ; -6.239650e+07 + i -3.822774e+07 ; -3.002261e+06 + i 6.689622e+06 ; -1.291331e+07 + i -9.023052e+06 ; -3.993496e+07 + i -3.856017e+07 ; 3.032060e+05 + i 2.369684e+06 ; -1.209489e+06 + i -9.738054e+05 ; -1.476894e+07 + i 2.648719e+07 ; -6.927528e+06 + i -4.305985e+06 ; -6.939853e+06 + i -4.296668e+06 ; -1.506146e+07 + i 1.248822e+07 ; -8.953303e+05 + i -8.726982e+05 ; -8.939410e+05 + i -8.714779e+05 ; 
9.531349e+06 + i -9.329321e+06 ; -6.459768e+05 + i -2.433065e+06 ; 1.975104e+06 + i 5.886227e+06 ; 1.108258e+07 + i -1.525648e+07 ; 5.307796e+05 + i -9.672742e+06 ; 9.254570e+06 + i 7.351958e+06 ; 1.366562e+07 + i -4.209906e+06 ; -6.253451e+05 + i -1.957519e+06 ; 1.071690e+06 + i 6.491096e+06 ; 1.723520e+07 + i -9.321896e+06 ; 4.618925e+05 + i -6.932607e+06 ; 2.421848e+07 + i 1.210380e+07 ; -5.309136e+06 + i 4.759332e+07 ; 9.050239e+05 + i -5.961397e+05 ; 2.063217e+06 + i 5.299238e+06 ; -3.335806e+06 + i 7.330515e+07 ; 1.418841e+06 + i 2.025151e+06 ; 9.173477e+06 + i 7.111793e+06 ; -3.150040e+07 + i 7.551197e+07 ; 8.245606e+05 + i -1.839401e+06 ; 1.634023e+06 + i 5.710451e+06 ; -3.857742e+07 + i 1.306118e+08 ; 7.561593e+05 + i -4.777746e+06 ; 2.415105e+07 + i 1.609902e+07 ; 2.382682e+05 + i -7.270118e+07 ; -1.974684e+06 + i -7.377923e+07 ; 2.576133e+08 + i 2.002630e+07 ; 9.743396e+05 + i -4.369747e+07 ; 7.976506e+07 + i -1.668201e+08 ; -2.035892e+08 + i 1.389690e+09 ; 8.204047e+07 + i -1.646887e+08 ; -5.092654e+05 + i -4.464880e+07 ; -2.049860e+08 + i 1.387654e+09 ; 7.557662e+07 + i -8.276505e+07 ; 7.445010e+07 + i -8.492338e+07 ; -1.031924e+10 + i 1.118288e+10 ; 5.911846e+07 + i 1.515532e+08 ; 6.347807e+07 + i 1.408751e+08 ; 2.256674e+08 + i 4.166205e+07 ; 4.283481e+07 + i 4.245338e+07 ; -8.257106e+07 + i 7.863866e+08 ; -3.708957e+08 + i 7.873706e+08 ; -9.336753e+07 + i 8.015613e+08 ; 4.538779e+07 + i 3.639966e+07 ; -3.720360e+08 + i 7.854151e+08 ; -1.357720e+08 + i 3.204214e+08 ; -1.288205e+08 + i 3.121300e+08 ; 1.706243e+08 + i -2.819494e+09 ; 
-6.358303e+07 + i -3.831087e+07 ; 3.220000e+06 + i -4.606036e+06 ; -1.852316e+07 + i -2.156645e+06 ; -8.729608e+07 + i -2.904468e+07 ; 6.323091e+06 + i 2.679667e+07 ; 4.109433e+06 + i -2.146051e+08 ; -1.506303e+07 + i 2.682421e+07 ; 5.997836e+06 + i 2.486445e+06 ; -6.763434e+06 + i -3.321028e+06 ; -1.042227e+07 + i 5.039746e+07 ; 1.901463e+07 + i 7.611424e+07 ; -1.465327e+07 + i -8.749358e+07 ; 8.806091e+07 + i -3.092506e+08 ; 1.180182e+07 + i -6.058373e+06 ; -1.232520e+07 + i 5.029603e+06 ; 7.242439e+07 + i -5.667309e+08 ; -1.336265e+07 + i 7.712915e+07 ; 2.475216e+07 + i -8.723914e+07 ; -6.252605e+07 + i -3.810594e+07 ; 1.625037e+07 + i 4.371637e+05 ; -3.592531e+06 + i 4.313416e+06 ; -8.842723e+07 + i -2.873585e+07 ; 1.113506e+07 + i 1.894054e+08 ; -3.339929e+06 + i -3.154757e+07 ; -2.090739e+08 + i 1.368198e+09 ; 2.402238e+06 + i 3.198672e+07 ; 5.047785e+07 + i -1.426252e+08 ; -3.764072e+08 + i 7.761199e+08 ; -3.207757e+07 + i -3.262016e+07 ; -4.043356e+07 + i 7.578637e+08 ; 2.498094e+08 + i 1.802681e+07 ; 7.142375e+06 + i 5.321179e+07 ; -2.743246e+06 + i -5.925431e+07 ; 2.211168e+08 + i 4.062280e+07 ; -5.607200e+07 + i -1.178909e+08 ; 5.570102e+07 + i 1.353300e+08 ; -1.029449e+10 + i 1.112920e+10 ; -5.307337e+07 + i 7.147374e+07 ; 5.623646e+07 + i -7.416135e+07 ; 1.852185e+08 + i -2.849167e+09 ; 7.326733e+07 + i -2.757384e+08 ; -9.270861e+07 + i 2.969360e+08 ; -2.029091e+08 + i 1.369982e+09 ; -4.897398e+07 + i 1.377193e+08 ; 2.022541e+05 + i -3.467614e+07 ; -3.744632e+08 + i 7.750978e+08 ; -7.373615e+06 + i -6.735955e+08 ; 3.090493e+07 + i 3.819564e+07 ; 
2.424000e+06 + i -2.655617e+07 ; 9.979985e+06 + i 6.767644e+06 ; -2.205918e+06 + i -6.283303e+06 ; 3.613594e+04 + i -3.309276e+07 ; 3.454821e+07 + i 1.017121e+08 ; 8.299502e+06 + i -3.043511e+07 ; 6.775978e+06 + i 5.013560e+07 ; 8.949572e+06 + i 7.105012e+06 ; 3.903507e+06 + i -1.946986e+06 ; 1.488093e+07 + i 7.962723e+07 ; 2.383423e+07 + i 8.308152e+07 ; 6.247191e+06 + i 4.829266e+07 ; 1.517127e+07 + i -4.167795e+07 ; 2.617714e+07 + i 1.205607e+07 ; -1.586435e+06 + i -4.655951e+06 ; 1.164357e+07 + i -5.819913e+07 ; -2.684969e+07 + i 2.654736e+08 ; 8.048045e+06 + i -1.961804e+07 ; -6.836464e+06 + i 1.092753e+08 ; 2.387903e+07 + i 1.592761e+07 ; 2.345006e+06 + i -4.063407e+06 ; 1.590632e+07 + i 1.860758e+08 ; -5.050980e+07 + i 1.916179e+08 ; -8.965698e+05 + i 1.071795e+07 ; 2.245765e+06 + i 3.784589e+07 ; -1.998316e+08 + i 1.373945e+09 ; 4.756503e+07 + i -1.488250e+08 ; 6.181952e+06 + i 6.320252e+07 ; 2.565095e+08 + i 1.862402e+07 ; 3.219369e+05 + i -6.884452e+07 ; -3.113309e+07 + i -2.090404e+07 ; -3.706930e+08 + i 7.764344e+08 ; -3.853951e+07 + i 7.538842e+08 ; -5.573599e+07 + i -1.110443e+08 ; 2.253034e+08 + i 4.200107e+07 ; 5.324904e+07 + i 1.349211e+08 ; -5.076937e+07 + i 7.643920e+07 ; -1.031027e+10 + i 1.116552e+10 ; 5.607414e+07 + i -8.099941e+07 ; -4.776525e+07 + i 1.447919e+08 ; -1.989040e+08 + i 1.388041e+09 ; 3.340949e+06 + i -4.207364e+07 ; 6.902890e+07 + i -2.517003e+08 ; 1.750743e+08 + i -2.835541e+09 ; -8.764075e+07 + i 2.891247e+08 ; -1.004981e+07 + i -6.629763e+08 ; -3.721329e+08 + i 7.859485e+08 ; 2.850239e+07 + i 3.777415e+07 ; 
6.919782e+06 + i -1.085191e+08 ; 2.301895e+06 + i -3.985041e+06 ; 2.559283e+07 + i 1.569331e+07 ; -1.730656e+07 + i -1.847051e+08 ; 5.001523e+05 + i 8.998166e+06 ; -4.838759e+07 + i 1.910324e+08 ; -6.157683e+06 + i -4.999199e+07 ; 3.533980e+06 + i -2.130445e+06 ; 9.665890e+06 + i 6.690137e+06 ; -1.536771e+07 + i -7.885602e+07 ; 9.141925e+06 + i 4.199257e+07 ; 2.450784e+07 + i 8.266367e+07 ; -1.639082e+07 + i 4.214004e+07 ; -1.962216e+06 + i -3.982820e+06 ; 2.474069e+07 + i 1.214811e+07 ; -1.575827e+07 + i 6.018693e+07 ; 5.388370e+06 + i -1.781755e+07 ; -2.847435e+07 + i 2.654652e+08 ; -2.770220e+06 + i 2.686749e+07 ; -2.356787e+06 + i -5.353861e+06 ; 9.146634e+06 + i 7.187640e+06 ; -1.500060e+06 + i 3.431402e+07 ; 5.266088e+06 + i -2.728925e+07 ; 3.379425e+07 + i 1.018481e+08 ; -5.513784e+07 + i 2.435786e+08 ; -5.562123e+07 + i 2.610387e+08 ; 1.806603e+08 + i -2.835849e+09 ; 1.248013e+07 + i 6.649930e+08 ; 2.703708e+07 + i 3.306091e+07 ; -3.730841e+08 + i 7.866624e+08 ; 2.821192e+07 + i 2.080514e+07 ; 1.122768e+07 + i 6.710418e+08 ; -3.695962e+08 + i 7.758273e+08 ; 5.737478e+07 + i 1.100617e+08 ; 5.614336e+07 + i 1.165646e+08 ; 2.261904e+08 + i 4.176671e+07 ; 4.601021e+07 + i -7.745501e+07 ; 4.802355e+07 + i -7.771357e+07 ; -1.030970e+10 + i 1.116549e+10 ; 3.132058e+07 + i -1.363410e+08 ; -1.728725e+06 + i -3.736575e+07 ; -1.991047e+08 + i 1.385943e+09 ; -4.028853e+06 + i -3.585027e+07 ; 2.975800e+07 + i -1.348271e+08 ; -1.946489e+08 + i 1.373055e+09 ; -6.917681e+06 + i -6.094025e+07 ; -5.147442e+06 + i -6.087573e+07 ; 2.551455e+08 + i 1.757935e+07 ; 
-4.055322e+07 + i -3.867861e+07 ; -3.590454e+05 + i -2.626080e+06 ; -1.379329e+06 + i -7.639589e+04 ; -6.177194e+07 + i -3.831012e+07 ; 3.647027e+06 + i -7.367318e+06 ; -1.409616e+07 + i -1.092877e+07 ; -1.531639e+07 + i 1.274768e+07 ; 8.870537e+05 + i 9.815581e+05 ; -7.265546e+05 + i -7.157368e+05 ; -1.487548e+07 + i 2.651534e+07 ; 7.284477e+06 + i 4.825219e+06 ; -7.386678e+06 + i -5.674610e+06 ; 7.277878e+07 + i -1.694137e+08 ; -2.812083e+05 + i -3.441932e+06 ; -4.073642e+06 + i 4.743237e+06 ; 8.912007e+07 + i -3.092680e+08 ; 8.055638e+06 + i -6.971805e+06 ; -1.646209e+07 + i 9.565634e+06 ; -4.002830e+07 + i -3.845513e+07 ; 1.193724e+06 + i 1.049494e+06 ; -1.311329e+06 + i 3.935118e+06 ; -6.226817e+07 + i -3.846667e+07 ; 1.351235e+07 + i 1.012037e+07 ; -6.962081e+06 + i 9.388242e+06 ; -3.877667e+08 + i 7.798597e+08 ; 3.190664e+07 + i 3.428182e+07 ; 8.115962e+07 + i -7.861995e+08 ; -1.985540e+08 + i 1.378360e+09 ; -6.770611e+05 + i -3.981662e+07 ; -9.925296e+06 + i 1.256682e+08 ; 2.224384e+08 + i 4.188918e+07 ; 5.469796e+07 + i 1.213821e+08 ; -4.800980e+07 + i -1.411897e+08 ; 2.533012e+08 + i 1.582568e+07 ; -4.499370e+06 + i -6.482663e+07 ; -4.047994e+06 + i 6.844754e+07 ; 1.833559e+08 + i -2.848311e+09 ; -8.310957e+07 + i 2.796215e+08 ; 5.679919e+07 + i -2.700250e+08 ; -1.030287e+10 + i 1.116729e+10 ; 5.678097e+07 + i -8.081668e+07 ; -7.387725e+07 + i 8.609010e+07 ; -3.725690e+08 + i 7.761309e+08 ; -5.934562e+06 + i 6.931168e+08 ; -2.699860e+07 + i -3.639945e+07 ; -1.994370e+08 + i 1.379603e+09 ; 5.601602e+07 + i -1.503027e+08 ; -7.093554e+06 + i 4.365154e+07 ; 
9.435616e+06 + i -9.072977e+06 ; 1.981277e+06 + i 5.883541e+06 ; -6.027902e+05 + i -2.510775e+06 ; 1.096309e+07 + i -1.487102e+07 ; 9.263732e+06 + i 7.323023e+06 ; 6.855130e+05 + i -9.913208e+06 ; -6.011306e+06 + i 4.751152e+07 ; 2.063658e+06 + i 5.336867e+06 ; 1.236149e+06 + i -6.345772e+05 ; -4.812873e+06 + i 7.337597e+07 ; 9.231068e+06 + i 7.159551e+06 ; 2.281431e+06 + i 2.006412e+06 ; 1.359428e+07 + i -4.042036e+06 ; 1.059224e+06 + i 6.473328e+06 ; -6.228705e+05 + i -1.978454e+06 ; 1.708434e+07 + i -8.991051e+06 ; 2.420020e+07 + i 1.204741e+07 ; 5.354093e+05 + i -7.041902e+06 ; -3.130321e+07 + i 7.605976e+07 ; 1.618464e+06 + i 5.751954e+06 ; 9.207399e+05 + i -1.918712e+06 ; -3.812377e+07 + i 1.313560e+08 ; 2.417406e+07 + i 1.613018e+07 ; 1.138839e+06 + i -4.715374e+06 ; 4.108195e+06 + i -7.223626e+07 ; 2.578486e+08 + i 1.974154e+07 ; 4.206830e+06 + i -7.310898e+07 ; 3.727037e+06 + i -4.249967e+07 ; -2.027098e+08 + i 1.389545e+09 ; 5.814335e+07 + i -1.550683e+08 ; 4.607800e+07 + i 1.531332e+08 ; 2.261012e+08 + i 4.201136e+07 ; 5.883698e+07 + i 1.396923e+08 ; 3.282647e+07 + i 4.271159e+07 ; -3.743374e+08 + i 7.896898e+08 ; -6.996667e+07 + i 7.834771e+08 ; 7.754072e+07 + i -1.601693e+08 ; -2.047431e+08 + i 1.388476e+09 ; 3.748528e+06 + i -4.302705e+07 ; 7.123205e+07 + i -8.199605e+07 ; -1.032061e+10 + i 1.118254e+10 ; 6.361014e+07 + i -8.248417e+07 ; -8.285777e+07 + i 8.014775e+08 ; -3.712331e+08 + i 7.865200e+08 ; 3.527062e+07 + i 3.661869e+07 ; -1.211121e+08 + i 3.136801e+08 ; 1.686741e+08 + i -2.819612e+09 ; -1.077328e+08 + i 3.001167e+08 ; 
3.194371e+07 + i -7.706787e+07 ; 1.190055e+05 + i -1.483470e+06 ; -2.248435e+04 + i 5.829360e+06 ; 3.852750e+07 + i -1.334872e+08 ; 3.894954e+05 + i -3.761589e+06 ; 2.143377e+07 + i 1.674159e+07 ; 6.261557e+06 + i -4.813099e+07 ; 3.122876e+05 + i -5.033924e+05 ; 1.339942e+06 + i 5.771035e+06 ; 4.511271e+06 + i -7.438036e+07 ; 1.378615e+06 + i 1.940106e+06 ; 8.178753e+06 + i 7.952277e+06 ; -9.558030e+06 + i 3.093161e+06 ; -4.322426e+05 + i -1.735476e+06 ; 1.834133e+06 + i 6.783746e+06 ; -1.141809e+07 + i 6.212424e+06 ; 4.837469e+05 + i -6.397712e+06 ; 2.540562e+07 + i 1.227260e+07 ; -7.765704e+06 + i 7.874431e+06 ; -5.877523e+05 + i -2.148496e+06 ; 2.337282e+06 + i 5.779598e+06 ; -9.080612e+06 + i 1.286825e+07 ; 9.215898e+04 + i -8.820433e+06 ; 9.522688e+06 + i 7.080315e+06 ; 9.136289e+07 + i -8.036473e+08 ; 2.284791e+07 + i 3.521587e+07 ; -3.865842e+08 + i 7.919604e+08 ; 6.173049e+07 + i -2.778689e+08 ; -6.168761e+07 + i 2.709185e+08 ; 1.661958e+08 + i -2.818455e+09 ; -4.893429e+07 + i -1.529797e+08 ; 5.443767e+07 + i 1.212151e+08 ; 2.279249e+08 + i 4.391245e+07 ; -2.411569e+07 + i -4.484873e+07 ; -6.953486e+04 + i 6.937307e+08 ; -3.727693e+08 + i 7.905461e+08 ; -1.078709e+07 + i 1.225681e+08 ; -6.562643e+04 + i -3.808250e+07 ; -1.977186e+08 + i 1.385273e+09 ; -7.572174e+07 + i 8.342699e+07 ; 5.199009e+07 + i -8.017439e+07 ; -1.031399e+10 + i 1.118340e+10 ; -4.016741e+06 + i 6.751048e+07 ; 1.319045e+06 + i -6.347176e+07 ; 2.557705e+08 + i 1.719897e+07 ; -1.730218e+06 + i 4.111000e+07 ; 3.426953e+07 + i -1.410501e+08 ; -1.983944e+08 + i 1.387335e+09 ; 
-1.534144e+07 + i 2.717615e+07 ; -6.963539e+06 + i -3.525608e+06 ; -6.980667e+06 + i -3.516411e+06 ; -1.029777e+07 + i 5.028748e+07 ; -1.305053e+07 + i -9.112758e+07 ; -1.308236e+07 + i -9.113245e+07 ; -6.363519e+07 + i -3.821892e+07 ; -4.106204e+06 + i 4.670854e+06 ; -1.918938e+07 + i -2.977441e+06 ; -8.729951e+07 + i -2.908202e+07 ; -5.782721e+06 + i -3.144134e+07 ; 1.255458e+07 + i -2.237795e+08 ; -6.361558e+07 + i -3.821181e+07 ; -1.920479e+07 + i -2.963827e+06 ; -4.093546e+06 + i 4.644834e+06 ; -8.724256e+07 + i -2.904862e+07 ; 1.253409e+07 + i -2.238108e+08 ; -5.633011e+06 + i -3.147316e+07 ; 8.760801e+07 + i -3.095526e+08 ; -1.300199e+07 + i 4.830728e+06 ; -1.298538e+07 + i 4.794391e+06 ; 7.300789e+07 + i -5.666609e+08 ; 2.784091e+07 + i -9.002041e+07 ; 2.791264e+07 + i -8.998591e+07 ; 2.509140e+08 + i 1.952482e+07 ; 3.281056e+06 + i -6.253464e+07 ; 3.303947e+06 + i -6.256324e+07 ; 2.215863e+08 + i 4.078131e+07 ; 5.047130e+07 + i 1.430847e+08 ; 5.059474e+07 + i 1.431052e+08 ; -2.078554e+08 + i 1.369400e+09 ; 1.293008e+06 + i -3.541159e+07 ; 5.690723e+07 + i -1.456993e+08 ; -3.752719e+08 + i 7.757816e+08 ; 3.279266e+07 + i 3.673512e+07 ; -6.785873e+07 + i 7.890538e+08 ; -2.077401e+08 + i 1.369351e+09 ; 5.687587e+07 + i -1.457358e+08 ; 1.340460e+06 + i -3.535349e+07 ; -3.750936e+08 + i 7.758268e+08 ; -6.771500e+07 + i 7.891762e+08 ; 3.231119e+07 + i 3.686926e+07 ; -1.029898e+10 + i 1.112876e+10 ; 5.923014e+07 + i -7.502520e+07 ; 5.926120e+07 + i -7.487199e+07 ; 1.840651e+08 + i -2.848164e+09 ; -1.011467e+08 + i 3.027971e+08 ; -1.014597e+08 + i 3.027398e+08 ; 
-5.780843e+06 + i -5.175747e+07 ; 9.850056e+06 + i 6.607344e+06 ; -4.175772e+06 + i 1.923034e+06 ; -1.399285e+07 + i -8.207006e+07 ; 2.432388e+07 + i 8.302241e+07 ; -4.864409e+06 + i -5.081091e+07 ; -2.755434e+06 + i 2.756122e+07 ; 9.231927e+06 + i 7.060846e+06 ; 2.075622e+06 + i 6.896461e+06 ; -9.076534e+05 + i 3.484878e+07 ; 3.427463e+07 + i 1.017763e+08 ; -1.140911e+07 + i 3.133751e+07 ; 9.057418e+06 + i -1.120614e+08 ; 2.557553e+07 + i 1.566662e+07 ; -2.750799e+06 + i 3.863483e+06 ; -1.421231e+07 + i -1.912012e+08 ; -4.888372e+07 + i 1.912398e+08 ; 2.753203e+06 + i -1.108430e+07 ; -1.724612e+07 + i 4.297112e+07 ; 2.491224e+07 + i 1.202105e+07 ; 1.423227e+06 + i 4.917193e+06 ; -1.630024e+07 + i 6.111591e+07 ; -2.798722e+07 + i 2.653672e+08 ; -8.970602e+06 + i 2.035196e+07 ; 2.865802e+07 + i 2.189641e+07 ; -3.808043e+08 + i 7.805634e+08 ; 8.258594e+07 + i -7.889828e+08 ; 5.566724e+07 + i 1.149435e+08 ; 2.267959e+08 + i 4.391702e+07 ; -4.956321e+07 + i -1.447978e+08 ; -1.912324e+06 + i -3.798691e+07 ; -1.944624e+08 + i 1.372925e+09 ; -1.100220e+07 + i 1.244868e+08 ; -1.526660e+06 + i -6.456012e+07 ; 2.555324e+08 + i 1.732412e+07 ; -3.046470e+06 + i 6.955248e+07 ; -6.329761e+07 + i 2.529135e+08 ; 1.731546e+08 + i -2.834240e+09 ; 5.712858e+07 + i -2.687859e+08 ; -5.187591e+05 + i 6.865036e+08 ; -3.726569e+08 + i 7.887806e+08 ; -2.805883e+07 + i -3.820814e+07 ; 4.950334e+07 + i -7.970201e+07 ; -1.030784e+10 + i 1.116530e+10 ; -7.363224e+07 + i 8.556283e+07 ; 3.792318e+07 + i -1.427633e+08 ; -1.984203e+08 + i 1.385656e+09 ; -3.802400e+06 + i 4.494035e+07 ; 
-5.771515e+06 + i -5.177981e+07 ; -4.184773e+06 + i 1.922613e+06 ; 9.852911e+06 + i 6.604317e+06 ; -1.397300e+07 + i -8.208021e+07 ; -4.877006e+06 + i -5.081640e+07 ; 2.429442e+07 + i 8.301284e+07 ; 9.031634e+06 + i -1.120684e+08 ; -2.742456e+06 + i 3.858115e+06 ; 2.555213e+07 + i 1.565403e+07 ; -1.422088e+07 + i -1.912037e+08 ; 2.776935e+06 + i -1.109149e+07 ; -4.881873e+07 + i 1.910917e+08 ; -2.770337e+06 + i 2.755363e+07 ; 2.073835e+06 + i 6.891329e+06 ; 9.189205e+06 + i 7.105730e+06 ; -9.320322e+05 + i 3.485840e+07 ; -1.138514e+07 + i 3.133300e+07 ; 3.424454e+07 + i 1.017841e+08 ; -1.715446e+07 + i 4.290413e+07 ; 1.424671e+06 + i 4.915394e+06 ; 2.479753e+07 + i 1.211306e+07 ; -1.622671e+07 + i 6.108319e+07 ; -8.966749e+06 + i 2.036040e+07 ; -2.810094e+07 + i 2.654158e+08 ; 2.871909e+07 + i 2.196927e+07 ; 8.257430e+07 + i -7.890173e+08 ; -3.808785e+08 + i 7.805115e+08 ; 5.563696e+07 + i 1.149328e+08 ; -4.958762e+07 + i -1.448228e+08 ; 2.267688e+08 + i 4.393237e+07 ; -6.341411e+07 + i 2.529825e+08 ; 5.718917e+07 + i -2.688283e+08 ; 1.742571e+08 + i -2.834280e+09 ; -5.003373e+05 + i 6.864848e+08 ; -2.801097e+07 + i -3.821523e+07 ; -3.726424e+08 + i 7.882015e+08 ; -1.840224e+06 + i -3.795818e+07 ; -1.079741e+07 + i 1.244470e+08 ; -1.927521e+08 + i 1.372318e+09 ; -1.368439e+06 + i -6.463938e+07 ; -2.993799e+06 + i 6.949005e+07 ; 2.552731e+08 + i 1.708058e+07 ; 4.926017e+07 + i -7.950303e+07 ; -7.364194e+07 + i 8.557768e+07 ; -1.030714e+10 + i 1.116565e+10 ; 3.800459e+07 + i -1.427539e+08 ; -3.794775e+06 + i 4.494303e+07 ; -1.985313e+08 + i 1.385186e+09 ; 
-1.555154e+07 + i 1.295320e+07 ; -5.382369e+05 + i -1.044651e+06 ; -5.409016e+05 + i -1.043304e+06 ; -1.480552e+07 + i 2.646454e+07 ; -7.277306e+06 + i -6.437768e+06 ; -7.302199e+06 + i -6.442880e+06 ; -4.059548e+07 + i -3.867394e+07 ; -3.513195e+05 + i 4.172655e+06 ; -1.364388e+06 + i -3.659177e+05 ; -6.166922e+07 + i -3.844902e+07 ; -5.487630e+06 + i 9.774744e+06 ; -1.410610e+07 + i -1.216684e+07 ; -4.056559e+07 + i -3.866993e+07 ; -1.367857e+06 + i -3.622015e+05 ; -3.577386e+05 + i 4.169950e+06 ; -6.159800e+07 + i -3.843105e+07 ; -1.410790e+07 + i -1.215703e+07 ; -5.444207e+06 + i 9.760674e+06 ; 7.263087e+07 + i -1.696918e+08 ; -3.636691e+06 + i 4.555982e+06 ; -3.654700e+06 + i 4.557065e+06 ; 8.957021e+07 + i -3.091178e+08 ; -1.605759e+07 + i 9.018400e+06 ; -1.605376e+07 + i 9.027216e+06 ; 2.242885e+08 + i 4.419726e+07 ; -4.761673e+07 + i -1.487581e+08 ; -4.775277e+07 + i -1.487678e+08 ; 2.547319e+08 + i 1.583350e+07 ; -2.137491e+07 + i 7.419012e+07 ; -2.137686e+07 + i 7.420347e+07 ; -3.856578e+08 + i 7.807681e+08 ; -2.161324e+07 + i -3.778740e+07 ; 1.112791e+08 + i -8.116770e+08 ; -1.976741e+08 + i 1.378071e+09 ; -3.831312e+06 + i 4.564288e+07 ; -2.011450e+07 + i 1.336377e+08 ; -3.856338e+08 + i 7.807899e+08 ; 1.111486e+08 + i -8.118389e+08 ; -2.111283e+07 + i -3.791325e+07 ; -1.973416e+08 + i 1.377999e+09 ; -2.013187e+07 + i 1.336215e+08 ; -3.849011e+06 + i 4.558228e+07 ; 1.752878e+08 + i -2.846649e+09 ; 6.823479e+07 + i -2.799443e+08 ; 6.854482e+07 + i -2.799111e+08 ; -1.030185e+10 + i 1.116750e+10 ; -7.784805e+07 + i 8.663685e+07 ; -7.781378e+07 + i 8.650381e+07 ; 
7.827652e+06 + i -4.919945e+07 ; 1.490432e+06 + i 5.725235e+06 ; -1.316259e+06 + i 8.233178e+05 ; 7.187628e+06 + i -7.608200e+07 ; 8.578700e+06 + i 7.864349e+06 ; -2.704980e+06 + i -1.941878e+06 ; -9.575524e+06 + i 7.985591e+06 ; 2.411034e+06 + i 5.774117e+06 ; 5.308281e+05 + i 2.646155e+06 ; -1.196236e+07 + i 1.352139e+07 ; 9.780457e+06 + i 6.995172e+06 ; -1.195923e+06 + i 1.055343e+07 ; 3.590066e+07 + i -7.840921e+07 ; 1.171198e+05 + i 5.829042e+06 ; -1.726254e+06 + i 1.992387e+06 ; 4.484793e+07 + i -1.362450e+08 ; 2.174663e+07 + i 1.674406e+07 ; -3.276239e+06 + i 4.834318e+06 ; -1.066288e+07 + i 3.193973e+06 ; 1.841654e+06 + i 6.759230e+06 ; 4.394438e+05 + i 2.220061e+06 ; -1.290213e+07 + i 6.733798e+06 ; 2.548781e+07 + i 1.217942e+07 ; -1.191346e+06 + i 7.512377e+06 ; -4.387380e+07 + i -1.603301e+08 ; 2.286787e+08 + i 4.560780e+07 ; -4.863494e+07 + i -1.497592e+08 ; -1.907713e+07 + i -4.421032e+07 ; -3.833450e+08 + i 7.948039e+08 ; 1.103907e+08 + i -8.127099e+08 ; -2.301589e+07 + i 7.198593e+07 ; 2.570734e+08 + i 1.722174e+07 ; -2.114940e+07 + i 7.367001e+07 ; -4.887756e+06 + i 4.392311e+07 ; -1.976925e+08 + i 1.387226e+09 ; -2.009740e+07 + i 1.336187e+08 ; 1.214066e+08 + i -8.275258e+08 ; -3.849789e+08 + i 7.932512e+08 ; -2.182201e+07 + i -3.852523e+07 ; 7.508823e+07 + i -2.896103e+08 ; 1.593856e+08 + i -2.817369e+09 ; 6.785784e+07 + i -2.802613e+08 ; -2.126144e+07 + i 1.320268e+08 ; -1.965509e+08 + i 1.385279e+09 ; -3.501198e+06 + i 4.501928e+07 ; -7.836900e+07 + i 8.405703e+07 ; -1.031274e+10 + i 1.118308e+10 ; -7.777908e+07 + i 8.653797e+07 ; 
