-7.188296e+09 + i 1.452308e+10 ; 6.510787e+08 + i -1.166148e+09 ; 6.416578e+08 + i -1.167958e+09 ; -2.620811e+07 + i -1.094887e+10 ; 1.905959e+09 + i 8.218710e+08 ; 1.899623e+09 + i 8.025859e+08 ; 2.316702e+09 + i 3.778171e+09 ; -7.792133e+08 + i 1.481043e+08 ; 6.616179e+07 + i -1.333068e+09 ; -5.751570e+09 + i -7.027098e+08 ; 4.900080e+08 + i -3.952493e+09 ; 1.291944e+09 + i -4.166021e+08 ; 2.312379e+09 + i 3.802994e+09 ; 7.406170e+07 + i -1.353028e+09 ; -7.621475e+08 + i 1.494339e+08 ; -5.750245e+09 + i -6.894329e+08 ; 1.320730e+09 + i -4.119541e+08 ; 4.926275e+08 + i -3.948755e+09 ; 2.235825e+09 + i -1.494669e+09 ; -2.588989e+08 + i 4.971441e+08 ; -2.477543e+08 + i 5.146312e+08 ; -4.113878e+09 + i 4.313206e+09 ; -4.942142e+08 + i -1.476107e+09 ; -4.959842e+08 + i -1.466001e+09 ; 8.833185e+08 + i -6.578250e+08 ; 2.185899e+08 + i -2.661625e+08 ; 2.176113e+08 + i -2.719932e+08 ; 5.754179e+08 + i -3.034737e+08 ; -7.471601e+06 + i -2.275517e+08 ; -9.083573e+06 + i -2.286924e+08 ; 3.894999e+08 + i -1.034667e+09 ; -1.529011e+08 + i -3.678861e+08 ; 1.383981e+08 + i -3.143138e+08 ; 8.506219e+08 + i -4.620620e+08 ; -6.223361e+07 + i -1.284643e+08 ; -4.645413e+07 + i -2.252937e+08 ; 3.920675e+08 + i -1.036184e+09 ; 1.430682e+08 + i -3.145555e+08 ; -1.488552e+08 + i -3.680565e+08 ; 8.472674e+08 + i -4.667267e+08 ; -4.459328e+07 + i -2.280734e+08 ; -5.880302e+07 + i -1.300843e+08 ; -1.004537e+08 + i -1.144632e+09 ; -1.329879e+08 + i -2.669306e+08 ; -1.307000e+08 + i -2.662097e+08 ; 1.063233e+09 + i -7.044347e+08 ; -3.748359e+07 + i -1.143461e+08 ; -3.596746e+07 + i -1.131941e+08 ; 
-1.598406e+08 + i 1.719028e+07 ; 2.998883e+07 + i 3.409398e+07 ; -1.505863e+08 + i 3.168851e+08 ; -4.223876e+07 + i 2.277927e+07 ; 2.615749e+07 + i 3.316213e+07 ; -2.738856e+08 + i 1.413879e+08 ; -1.469597e+08 + i -1.926794e+07 ; 5.756884e+07 + i 1.976679e+07 ; -1.133538e+08 + i 2.906928e+08 ; -9.700104e+07 + i 1.949521e+07 ; 9.635999e+07 + i 9.499350e+07 ; -1.484259e+08 + i 1.984851e+08 ; -2.044388e+08 + i -5.421746e+07 ; 5.016147e+07 + i 4.299189e+07 ; 8.522853e+07 + i 1.860940e+08 ; -1.978736e+08 + i 1.489339e+08 ; 5.572160e+07 + i 8.210382e+07 ; -1.240592e+07 + i 6.732990e+08 ; -1.795846e+08 + i -9.342634e+07 ; 4.166232e+07 + i 2.726162e+07 ; 3.483832e+07 + i 2.234698e+08 ; -2.938920e+08 + i 1.315319e+08 ; 3.369931e+07 + i 8.619852e+07 ; -1.877666e+08 + i 6.337961e+08 ; 6.786084e+07 + i -4.643608e+08 ; 8.168069e+07 + i -4.324756e+08 ; 2.223872e+09 + i -1.624499e+09 ; 1.959930e+08 + i 9.170299e+08 ; 4.773676e+08 + i -2.714754e+08 ; 2.218544e+09 + i 3.610381e+09 ; 4.583261e+08 + i -3.105445e+08 ; 1.990047e+08 + i 9.540550e+08 ; 2.228134e+09 + i 3.655088e+09 ; -2.032158e+08 + i 9.238567e+08 ; -2.162771e+08 + i 9.528750e+08 ; -7.224706e+09 + i 1.427408e+10 ; 6.786803e+08 + i 8.366792e+08 ; 6.880504e+08 + i 8.851738e+08 ; -4.246073e+09 + i 4.184388e+09 ; -8.673240e+08 + i 3.626754e+08 ; 4.345828e+08 + i 2.824654e+09 ; -5.904038e+09 + i -8.217456e+08 ; 4.215956e+08 + i 2.791079e+09 ; -8.881831e+08 + i 4.054483e+08 ; -5.875894e+09 + i -8.131582e+08 ; -1.507171e+09 + i -2.188818e+08 ; -1.536834e+09 + i -1.880923e+08 ; -2.038188e+08 + i -1.111934e+10 ; 
3.918587e+08 + i -1.002546e+09 ; -2.347667e+08 + i 4.207962e+08 ; -1.656323e+08 + i -1.436351e+08 ; -4.348168e+08 + i -8.602347e+08 ; -6.136529e+08 + i 6.137586e+07 ; -2.290536e+08 + i -9.167524e+08 ; -1.153348e+08 + i -1.117577e+09 ; 9.306734e+07 + i -4.856574e+06 ; -1.063710e+08 + i -6.238840e+07 ; -2.027008e+08 + i -1.555574e+08 ; 1.530816e+08 + i 5.305765e+08 ; -2.383825e+08 + i -4.505247e+08 ; 9.016825e+08 + i -6.387875e+08 ; -3.520735e+08 + i 3.434048e+08 ; 2.582265e+08 + i -3.969773e+08 ; -6.918189e+07 + i -2.093170e+09 ; -7.038364e+08 + i -1.435661e+08 ; 5.686691e+08 + i -1.173327e+08 ; 3.983759e+08 + i -1.030233e+09 ; 1.691810e+08 + i 1.102664e+08 ; 1.253853e+08 + i -4.556379e+08 ; -4.222022e+08 + i -8.732624e+08 ; 1.795143e+07 + i 1.030080e+09 ; 4.873910e+08 + i -2.013173e+08 ; 2.551804e+09 + i 3.599249e+09 ; 7.084143e+07 + i -1.151883e+09 ; 8.209136e+08 + i 2.199327e+08 ; -5.682014e+09 + i -6.094694e+08 ; 1.322939e+09 + i -2.591050e+08 ; 7.699059e+08 + i 3.013297e+09 ; 2.405383e+09 + i -1.756146e+09 ; -1.654893e+08 + i 5.148212e+08 ; 1.766848e+08 + i -5.772311e+08 ; -4.028122e+09 + i 4.342727e+09 ; -4.582652e+08 + i -1.209528e+09 ; 7.040515e+08 + i 7.793955e+08 ; -6.890832e+09 + i 1.432191e+10 ; 5.596182e+08 + i -9.851476e+08 ; -5.776908e+08 + i 9.820419e+08 ; -1.463275e+08 + i -1.093398e+10 ; 1.831691e+09 + i 7.372099e+08 ; -2.018072e+09 + i -8.017066e+08 ; 2.443437e+09 + i 3.544244e+09 ; -7.154244e+08 + i 1.905752e+08 ; 1.746077e+08 + i 1.162999e+09 ; -5.751562e+09 + i -6.234074e+08 ; 1.838220e+08 + i -3.577187e+09 ; -1.154141e+09 + i 5.221347e+08 ; 
6.520377e+06 + i 6.363812e+08 ; -2.476070e+08 + i 1.578922e+08 ; 1.345686e+07 + i 1.134644e+07 ; 2.981902e+08 + i 8.748638e+07 ; 7.031327e+07 + i 3.836500e+08 ; 1.592668e+08 + i -1.692597e+07 ; -4.438097e+08 + i 4.631061e+08 ; 7.318110e+06 + i 6.624311e+08 ; 7.743640e+07 + i 1.114220e+08 ; 1.235044e+08 + i 8.217841e+08 ; -7.717061e+08 + i 8.181503e+08 ; 1.613702e+08 + i 3.570827e+08 ; -8.672703e+07 + i 5.957720e+08 ; -1.291031e+08 + i 2.269832e+08 ; 1.400372e+08 + i 1.396745e+08 ; 3.264207e+08 + i 1.900451e+08 ; 7.412900e+07 + i 8.318301e+08 ; 7.972273e+07 + i 2.722520e+08 ; -5.933295e+08 + i 2.840767e+08 ; -1.682261e+08 + i 6.382703e+08 ; 1.167947e+07 + i 1.537491e+08 ; -1.303967e+08 + i 1.290809e+09 ; -1.017664e+09 + i 4.325756e+08 ; -1.585952e+08 + i 2.029314e+08 ; -1.064439e+08 + i -1.232968e+09 ; 2.290093e+09 + i 3.587373e+09 ; 9.461118e+08 + i 2.574477e+08 ; -2.786297e+08 + i 4.177509e+08 ; 2.201562e+09 + i -1.682936e+09 ; 1.929777e+08 + i -5.877915e+08 ; 1.072924e+09 + i -4.197714e+08 ; -5.791978e+09 + i -6.673664e+08 ; 8.081442e+08 + i 2.999587e+09 ; -4.907489e+08 + i -1.358132e+09 ; -4.173847e+09 + i 4.242072e+09 ; 6.821227e+08 + i 7.848888e+08 ; 4.053506e+08 + i -1.165717e+09 ; -7.204557e+09 + i 1.427311e+10 ; -5.769222e+08 + i 1.121291e+09 ; -9.227888e+08 + i 1.152741e+08 ; 2.140240e+09 + i 3.568422e+09 ; 2.264647e+08 + i 1.270450e+09 ; 1.674267e+09 + i 5.410729e+08 ; -2.418982e+08 + i -1.099601e+10 ; -2.053570e+09 + i -7.842330e+08 ; 1.147485e+08 + i -3.597670e+09 ; -5.925023e+09 + i -7.389358e+08 ; -1.083086e+09 + i 5.864262e+08 ; 
5.663038e+08 + i -2.060438e+08 ; -5.194074e+05 + i 1.588621e+08 ; -1.589496e+08 + i 6.214050e+08 ; 8.785489e+07 + i -1.237342e+09 ; -2.156418e+08 + i 1.480462e+08 ; -1.022804e+09 + i 3.917731e+08 ; 4.481476e+08 + i -4.100862e+08 ; 8.443603e+07 + i 1.301959e+08 ; 1.161633e+07 + i 6.496002e+08 ; -1.490730e+08 + i -7.700122e+08 ; 8.818687e+07 + i 4.433550e+08 ; -7.835558e+08 + i 8.072630e+08 ; 5.830005e+07 + i -5.583508e+08 ; 1.185563e+08 + i 1.718895e+08 ; -1.416101e+08 + i 1.849458e+08 ; -3.220922e+08 + i -9.823683e+07 ; 2.378102e+07 + i 3.073019e+08 ; 5.847354e+07 + i 8.256939e+08 ; -3.027650e+07 + i -6.173750e+08 ; 5.941098e+06 + i 4.939617e+06 ; -2.735122e+08 + i 1.187387e+08 ; -3.002251e+08 + i -4.749038e+07 ; 1.656934e+08 + i 1.442022e+07 ; 5.728656e+07 + i 3.690696e+08 ; -1.955096e+09 + i -1.020154e+09 ; -2.126181e+09 + i -1.177374e+09 ; -3.029472e+08 + i -1.105460e+10 ; -1.186421e+08 + i 3.603475e+09 ; -1.374828e+09 + i 4.740401e+08 ; -5.887895e+09 + i -6.538768e+08 ; -1.220758e+09 + i 5.351808e+08 ; -1.585209e+08 + i 3.549067e+09 ; -5.852849e+09 + i -5.907640e+08 ; 5.204143e+08 + i 1.351018e+09 ; 4.685296e+08 + i 1.239280e+09 ; -4.105150e+09 + i 4.235744e+09 ; -5.013714e+08 + i 1.171581e+09 ; -6.179854e+08 + i 1.203181e+09 ; -7.240459e+09 + i 1.432510e+10 ; 1.118361e+09 + i 3.213789e+08 ; 5.137101e+07 + i 1.318022e+09 ; 2.337137e+09 + i 3.570736e+09 ; 1.325485e+08 + i 1.294194e+09 ; 1.023353e+09 + i 3.278129e+08 ; 2.318684e+09 + i 3.569248e+09 ; 4.483476e+08 + i -4.456821e+08 ; 3.698748e+08 + i -5.338428e+08 ; 2.320279e+09 + i -1.852723e+09 ; 
8.388070e+08 + i -4.542457e+08 ; 5.412514e+07 + i 1.705853e+08 ; -1.016499e+08 + i -4.232543e+07 ; 4.120816e+08 + i -1.035455e+09 ; -1.043627e+08 + i 2.611705e+08 ; -1.633518e+08 + i -1.350577e+08 ; 1.064139e+09 + i -7.012008e+08 ; 4.137593e+07 + i 8.270816e+07 ; -7.560188e+07 + i -2.166826e+07 ; -9.693925e+07 + i -1.159035e+09 ; 1.231154e+08 + i 2.138715e+08 ; -9.505885e+07 + i -9.696374e+07 ; 5.825351e+08 + i -2.983625e+08 ; 2.431007e+07 + i 1.786829e+08 ; -6.646337e+07 + i -1.221234e+08 ; 9.010102e+08 + i -6.253431e+08 ; -1.577520e+08 + i 2.308848e+08 ; 6.321542e+07 + i -1.659116e+08 ; 8.742787e+08 + i -4.760342e+08 ; 5.913807e+07 + i 9.568193e+07 ; -8.967575e+07 + i -9.293437e+07 ; 4.256346e+08 + i -1.025011e+09 ; 1.559712e+08 + i 2.898458e+08 ; 4.216367e+07 + i -2.007496e+08 ; -5.653823e+09 + i -6.121972e+08 ; -1.178355e+09 + i 4.922966e+08 ; -3.333170e+08 + i -2.938245e+09 ; 2.322738e+09 + i 3.777670e+09 ; 5.010866e+07 + i 1.188201e+09 ; -1.196181e+09 + i -3.639331e+08 ; -4.003841e+09 + i 4.334552e+09 ; 4.900180e+08 + i 1.191100e+09 ; -6.243585e+08 + i -8.325349e+08 ; 2.280816e+09 + i -1.560537e+09 ; 1.771786e+08 + i -5.087128e+08 ; -2.597856e+08 + i 5.945715e+08 ; -1.721838e+08 + i -1.091148e+10 ; -1.791793e+09 + i -5.578264e+08 ; 2.227907e+09 + i 8.498636e+08 ; -7.201934e+09 + i 1.452453e+10 ; -4.248095e+08 + i 1.063578e+09 ; 1.963050e+08 + i -9.702069e+08 ; -5.765254e+09 + i -5.916952e+08 ; -1.538691e+07 + i 3.351280e+09 ; 1.110313e+09 + i -6.483898e+08 ; 2.267307e+09 + i 3.758404e+09 ; 7.903828e+08 + i -1.865653e+08 ; -2.171150e+08 + i -1.154111e+09 ; 
-1.673423e+08 + i 2.478321e+07 ; -1.480167e+08 + i 3.180373e+08 ; 2.814425e+07 + i 4.573513e+07 ; -4.047987e+07 + i 3.201677e+07 ; -2.673322e+08 + i 1.319149e+08 ; 1.245545e+07 + i 2.508265e+07 ; -2.085556e+08 + i -4.793194e+07 ; 9.072502e+07 + i 1.853828e+08 ; 5.220524e+07 + i 5.409243e+07 ; -1.989608e+08 + i 1.567633e+08 ; -6.158110e+06 + i 6.672015e+08 ; 3.952620e+07 + i 9.040766e+07 ; -1.598682e+08 + i -1.401381e+07 ; -1.105032e+08 + i 2.942982e+08 ; 5.719123e+07 + i 1.647288e+07 ; -1.064321e+08 + i 3.443821e+07 ; -1.480963e+08 + i 1.965763e+08 ; 1.130384e+08 + i 1.020732e+08 ; -1.894445e+08 + i -9.098880e+07 ; 4.152946e+07 + i 2.260357e+08 ; 4.522669e+07 + i 2.230355e+07 ; -3.036279e+08 + i 1.449321e+08 ; -1.813997e+08 + i 6.407044e+08 ; 4.235545e+07 + i 1.069490e+08 ; 9.119826e+07 + i -4.855540e+08 ; 2.238747e+09 + i -1.684764e+09 ; 2.908306e+08 + i -6.286562e+08 ; 1.749710e+08 + i 9.930367e+08 ; 2.258102e+09 + i 3.569884e+09 ; 8.822163e+08 + i 7.576174e+07 ; 5.371429e+08 + i 8.506876e+08 ; -4.155872e+09 + i 4.181385e+09 ; 5.953590e+08 + i 6.792312e+08 ; -9.933669e+08 + i 4.182222e+08 ; -5.822339e+09 + i -7.513308e+08 ; 5.829932e+08 + i 2.791409e+09 ; 6.546448e+08 + i -3.039407e+08 ; 2.173367e+09 + i 3.623268e+09 ; 2.267275e+08 + i 1.272832e+09 ; -2.503000e+08 + i 9.435205e+08 ; -7.235632e+09 + i 1.423555e+10 ; -4.703577e+08 + i 1.090216e+09 ; 4.889031e+08 + i 2.856934e+09 ; -5.881446e+09 + i -7.410082e+08 ; -1.227834e+09 + i 6.145411e+08 ; -1.573942e+09 + i -2.738249e+08 ; -2.719692e+08 + i -1.107919e+10 ; -1.958591e+09 + i -5.931545e+08 ; 
2.019131e+08 + i 4.742211e+07 ; 4.599738e+07 + i 4.125292e+07 ; 3.120479e+07 + i 2.408523e+08 ; 2.925071e+08 + i -2.403031e+08 ; 4.239881e+07 + i 1.324767e+08 ; -1.856989e+08 + i 6.599573e+08 ; 2.319415e+08 + i -5.827660e+06 ; 5.276584e+07 + i 6.994716e+07 ; 8.193674e+07 + i 2.112579e+08 ; 1.621902e+08 + i -2.308941e+08 ; 5.271336e+07 + i 1.285558e+08 ; 8.562568e+05 + i 6.901690e+08 ; 1.816423e+08 + i -2.091611e+07 ; 6.727814e+07 + i 4.281180e+07 ; -1.303282e+08 + i 3.063139e+08 ; 1.306932e+08 + i -9.103675e+07 ; 1.054648e+08 + i 1.276209e+08 ; -1.385745e+08 + i 2.103544e+08 ; 2.030741e+08 + i -7.764844e+07 ; 3.159998e+07 + i 6.106194e+07 ; -1.673678e+08 + i 3.409979e+08 ; 4.782650e+07 + i -9.067138e+07 ; 2.027715e+07 + i 3.898373e+07 ; -2.646836e+08 + i 1.409187e+08 ; -4.165745e+08 + i -2.916312e+09 ; -1.331358e+09 + i 6.389941e+08 ; -5.796789e+09 + i -7.045491e+08 ; 2.150706e+09 + i 8.518945e+08 ; -2.119164e+09 + i -9.042576e+08 ; -3.336686e+08 + i -1.109072e+10 ; -5.617201e+08 + i -8.641966e+08 ; 4.720664e+08 + i 1.146370e+09 ; -4.092875e+09 + i 4.173495e+09 ; 1.127454e+09 + i -6.483086e+08 ; -9.016114e+06 + i 3.336486e+09 ; -5.843483e+09 + i -6.991270e+08 ; -1.120143e+09 + i -2.476478e+08 ; 1.350967e+08 + i 1.227577e+09 ; 2.347300e+09 + i 3.567956e+09 ; 2.249144e+08 + i -9.086894e+08 ; -5.177618e+08 + i 1.130272e+09 ; -7.197139e+09 + i 1.433276e+10 ; -2.798471e+08 + i 6.118306e+08 ; 3.730547e+08 + i -6.539646e+08 ; 2.281763e+09 + i -1.873627e+09 ; -2.673279e+08 + i -1.001044e+09 ; 1.020387e+09 + i 1.349349e+08 ; 2.357493e+09 + i 3.520481e+09 ; 
-1.192919e+08 + i -1.112225e+09 ; -1.201734e+08 + i -3.232175e+07 ; -1.211144e+08 + i -3.590302e+07 ; -2.202719e+08 + i -1.520728e+08 ; -2.243620e+08 + i -4.290444e+08 ; -2.244651e+08 + i -4.312019e+08 ; 3.808381e+08 + i -1.015506e+09 ; 1.100341e+08 + i -4.252458e+08 ; -1.800788e+08 + i -1.182664e+08 ; -4.448521e+08 + i -8.703411e+08 ; 4.569104e+08 + i -1.622147e+08 ; -2.139161e+08 + i -8.637604e+08 ; 3.785957e+08 + i -1.018672e+09 ; -1.765834e+08 + i -1.172946e+08 ; 1.114077e+08 + i -4.287211e+08 ; -4.536519e+08 + i -8.743281e+08 ; -2.119198e+08 + i -8.613229e+08 ; 4.616241e+08 + i -1.651178e+08 ; 8.895894e+08 + i -6.569252e+08 ; 2.333673e+08 + i -3.717495e+08 ; 2.345012e+08 + i -3.687021e+08 ; -7.219713e+07 + i -2.117065e+09 ; 5.266688e+08 + i -5.106013e+07 ; 5.272579e+08 + i -4.740991e+07 ; 2.429570e+09 + i -1.742462e+09 ; 2.446461e+08 + i -5.699835e+08 ; 2.517667e+08 + i -5.612021e+08 ; -3.967452e+09 + i 4.272196e+09 ; 5.300745e+08 + i 8.397065e+08 ; 5.350178e+08 + i 8.488635e+08 ; 2.469314e+09 + i 3.563928e+09 ; 1.329560e+08 + i 1.052856e+09 ; 8.168811e+08 + i -1.214410e+07 ; -5.687151e+09 + i -5.608602e+08 ; -1.231574e+09 + i 5.129765e+08 ; 5.901555e+08 + i 2.879693e+09 ; 2.465967e+09 + i 3.585649e+09 ; 8.126130e+08 + i -1.162401e+07 ; 1.313609e+08 + i 1.066226e+09 ; -5.685465e+09 + i -5.514027e+08 ; 5.819469e+08 + i 2.869340e+09 ; -1.243220e+09 + i 5.223677e+08 ; -6.958774e+09 + i 1.425309e+10 ; -4.892656e+08 + i 9.394474e+08 ; -4.956888e+08 + i 9.331008e+08 ; -1.914766e+08 + i -1.085111e+10 ; -1.838821e+09 + i -5.975736e+08 ; -1.837263e+09 + i -6.093882e+08 ; 
4.268612e+08 + i -4.100553e+08 ; 6.836764e+06 + i 6.444096e+08 ; -9.112300e+07 + i -1.076715e+08 ; -1.404414e+08 + i -7.361582e+08 ; -7.884229e+08 + i 8.032913e+08 ; -1.611297e+08 + i -3.625514e+08 ; -2.087246e+07 + i -5.734748e+08 ; -2.689511e+08 + i 1.277737e+08 ; -1.071097e+07 + i -1.157454e+07 ; -2.595093e+08 + i -5.893725e+07 ; 5.473625e+07 + i 3.755876e+08 ; -1.599222e+08 + i 3.359054e+07 ; 5.615230e+08 + i -2.355865e+08 ; -1.663848e+08 + i 6.201569e+08 ; -2.656275e+07 + i -1.501443e+08 ; 8.173625e+07 + i -1.179127e+09 ; -1.032346e+09 + i 4.123233e+08 ; 1.462328e+08 + i -2.046497e+08 ; 6.433244e+07 + i -5.362760e+08 ; -1.454342e+08 + i 1.899055e+08 ; -1.280403e+08 + i -1.370530e+08 ; -2.723041e+08 + i -1.217490e+08 ; 6.327883e+07 + i 8.254656e+08 ; -7.142331e+07 + i -2.402559e+08 ; -1.142040e+09 + i 6.168167e+08 ; -5.805366e+09 + i -6.348673e+08 ; -3.965063e+08 + i -2.946360e+09 ; 5.201451e+08 + i 1.297616e+09 ; -4.126856e+09 + i 4.193951e+09 ; -5.779701e+08 + i -9.750287e+08 ; 1.371734e+08 + i 1.181945e+09 ; 2.285576e+09 + i 3.586263e+09 ; -1.172419e+09 + i -2.411602e+08 ; 3.898966e+08 + i -5.417573e+08 ; 2.281479e+09 + i -1.815283e+09 ; -2.982669e+08 + i 5.772821e+08 ; -1.889569e+09 + i -7.351801e+08 ; -3.134718e+08 + i -1.097389e+10 ; 2.154316e+09 + i 7.660706e+08 ; -3.685249e+07 + i 3.368295e+09 ; -5.830072e+09 + i -6.533974e+08 ; 1.163304e+09 + i -6.419470e+08 ; -4.005135e+08 + i 1.105362e+09 ; -7.197505e+09 + i 1.432385e+10 ; 2.633857e+08 + i -9.838501e+08 ; 1.089565e+09 + i 9.034060e+07 ; 2.346963e+09 + i 3.549537e+09 ; -1.673119e+08 + i -1.031315e+09 ; 
4.276138e+08 + i -4.106215e+08 ; -9.002827e+07 + i -1.083640e+08 ; 1.762720e+06 + i 6.477101e+08 ; -1.407641e+08 + i -7.352107e+08 ; -1.625009e+08 + i -3.632381e+08 ; -7.894883e+08 + i 8.100325e+08 ; 5.653180e+08 + i -2.312909e+08 ; -2.555763e+07 + i -1.504679e+08 ; -1.671520e+08 + i 6.190671e+08 ; 8.256511e+07 + i -1.176081e+09 ; 1.464041e+08 + i -2.020977e+08 ; -1.024042e+09 + i 4.104555e+08 ; -2.068807e+07 + i -5.746185e+08 ; -8.399103e+06 + i -1.244636e+07 ; -2.785695e+08 + i 1.250732e+08 ; -2.605463e+08 + i -6.098781e+07 ; -1.589494e+08 + i 3.533063e+07 ; 5.309451e+07 + i 3.671881e+08 ; 6.633256e+07 + i -5.324542e+08 ; -1.279133e+08 + i -1.380004e+08 ; -1.463505e+08 + i 1.850728e+08 ; -2.746251e+08 + i -1.183429e+08 ; -7.129364e+07 + i -2.403609e+08 ; 6.525422e+07 + i 8.234302e+08 ; -1.146935e+09 + i 6.208828e+08 ; -4.030832e+08 + i -2.942673e+09 ; -5.793347e+09 + i -6.321779e+08 ; 5.236888e+08 + i 1.296111e+09 ; -5.759442e+08 + i -9.652893e+08 ; -4.127627e+09 + i 4.161105e+09 ; -1.894238e+09 + i -7.437282e+08 ; 2.150285e+09 + i 7.765950e+08 ; -2.825060e+08 + i -1.098171e+10 ; -3.847194e+07 + i 3.366805e+09 ; 1.174215e+09 + i -6.361817e+08 ; -5.841254e+09 + i -6.839281e+08 ; 1.338793e+08 + i 1.185350e+09 ; -1.175933e+09 + i -2.276711e+08 ; 2.335306e+09 + i 3.562197e+09 ; 3.947200e+08 + i -5.320322e+08 ; -2.882810e+08 + i 5.932404e+08 ; 2.293022e+09 + i -1.876293e+09 ; -4.095592e+08 + i 1.100574e+09 ; 2.658314e+08 + i -9.861338e+08 ; -7.200696e+09 + i 1.434391e+10 ; 1.089379e+09 + i 9.184588e+07 ; -1.607243e+08 + i -1.029237e+09 ; 2.364233e+09 + i 3.558296e+09 ; 
1.056493e+09 + i -6.822832e+08 ; -4.928790e+07 + i -1.595881e+07 ; -5.114950e+07 + i -1.653966e+07 ; -9.199292e+07 + i -1.163521e+09 ; -7.288892e+07 + i -1.169736e+08 ; -7.415081e+07 + i -1.188236e+08 ; 8.666876e+08 + i -4.591596e+08 ; -6.741122e+07 + i -9.117041e+07 ; -7.005739e+07 + i -3.408311e+07 ; 4.344827e+08 + i -1.015741e+09 ; 7.185484e+07 + i -1.822390e+08 ; -1.325499e+08 + i -1.620024e+08 ; 8.656560e+08 + i -4.658248e+08 ; -6.808167e+07 + i -3.449737e+07 ; -6.757699e+07 + i -9.306646e+07 ; 4.391616e+08 + i -1.022794e+09 ; -1.301716e+08 + i -1.607869e+08 ; 7.221358e+07 + i -1.850289e+08 ; 6.107972e+08 + i -3.053730e+08 ; -4.112440e+07 + i -1.124941e+08 ; -4.002682e+07 + i -1.123138e+08 ; 9.324333e+08 + i -6.013439e+08 ; 1.000921e+08 + i -1.596056e+08 ; 1.005263e+08 + i -1.578730e+08 ; -3.986061e+09 + i 4.276263e+09 ; -5.683707e+08 + i -9.468715e+08 ; -5.676471e+08 + i -9.559936e+08 ; 2.238407e+09 + i -1.539849e+09 ; -3.192325e+08 + i 6.567094e+08 ; -3.271972e+08 + i 6.454276e+08 ; -5.652841e+09 + i -5.463371e+08 ; 1.142824e+09 + i -7.430146e+08 ; -3.491569e+08 + i -2.827316e+09 ; 2.318829e+09 + i 3.763836e+09 ; -1.512184e+08 + i -1.012742e+09 ; -1.067796e+09 + i -1.017572e+08 ; -5.652604e+09 + i -5.440892e+08 ; -3.441595e+08 + i -2.820464e+09 ; 1.155495e+09 + i -7.510166e+08 ; 2.316792e+09 + i 3.779670e+09 ; -1.061398e+09 + i -1.024395e+08 ; -1.500296e+08 + i -1.024001e+09 ; -2.144853e+08 + i -1.082449e+10 ; 1.982935e+09 + i 6.196110e+08 ; 1.980658e+09 + i 6.290116e+08 ; -7.200457e+09 + i 1.448807e+10 ; 2.798258e+08 + i -9.290000e+08 ; 2.838360e+08 + i -9.219993e+08 ; 
2.013675e+08 + i 1.167864e+07 ; 8.379996e+07 + i 2.065187e+08 ; -5.565696e+07 + i -4.596065e+07 ; 1.477915e+08 + i -1.844736e+08 ; -1.918584e+06 + i 6.901118e+08 ; -5.809299e+07 + i -8.836000e+07 ; 1.712771e+08 + i -5.979228e+07 ; -1.632576e+08 + i 3.395676e+08 ; -3.631497e+07 + i -4.159566e+07 ; 3.156126e+07 + i -7.066247e+07 ; -2.561350e+08 + i 1.477071e+08 ; -1.316573e+07 + i -2.544029e+07 ; 1.803592e+08 + i 5.992493e+07 ; 3.184806e+07 + i 2.455003e+08 ; -4.849029e+07 + i -2.344012e+07 ; 2.703875e+08 + i -1.862831e+08 ; -1.839586e+08 + i 6.626475e+08 ; -5.949671e+07 + i -9.833276e+07 ; 1.586468e+08 + i -1.006632e+07 ; -1.289258e+08 + i 3.110984e+08 ; -6.497591e+07 + i -2.333559e+07 ; 1.137850e+08 + i -7.361632e+07 ; -1.393857e+08 + i 2.087786e+08 ; -9.886226e+07 + i -9.598443e+07 ; -5.461763e+08 + i -8.937496e+08 ; -4.144705e+09 + i 4.152163e+09 ; -5.529741e+08 + i -9.547193e+08 ; 1.153289e+09 + i -6.787320e+08 ; -5.804207e+09 + i -7.328194e+08 ; -3.223917e+08 + i -2.819429e+09 ; -2.819292e+08 + i 7.017131e+08 ; 2.235980e+09 + i -1.794221e+09 ; -3.268514e+08 + i 6.523708e+08 ; -1.489195e+08 + i -9.639463e+08 ; 2.337455e+09 + i 3.555593e+09 ; -1.051029e+09 + i -9.904101e+07 ; -3.348674e+08 + i -2.767003e+09 ; -5.771380e+09 + i -7.114970e+08 ; 1.187085e+09 + i -7.299895e+08 ; 1.983655e+09 + i 6.650116e+08 ; -3.267923e+08 + i -1.104681e+10 ; 2.008679e+09 + i 6.584290e+08 ; -1.012456e+09 + i -2.255160e+07 ; 2.347247e+09 + i 3.544369e+09 ; -1.395514e+08 + i -1.011460e+09 ; 2.822298e+08 + i -8.818587e+08 ; -7.171219e+09 + i 1.429792e+10 ; 3.010092e+08 + i -9.107147e+08 ; 
