-4.639477e+10 + i 2.783578e+10 ; 4.161689e+08 + i -1.087019e+08 ; 4.160553e+08 + i -1.086806e+08 ; 1.959368e+10 + i -2.069757e+10 ; 1.021485e+09 + i 1.313885e+09 ; 1.021552e+09 + i 1.313684e+09 ; -8.097540e+09 + i 1.126477e+10 ; -6.147680e+08 + i -6.369341e+08 ; 2.617554e+08 + i -1.844121e+08 ; -2.243544e+09 + i -6.172290e+09 ; 5.469750e+09 + i -5.714480e+09 ; 6.929569e+08 + i 4.311519e+08 ; -8.097676e+09 + i 1.126482e+10 ; 2.621678e+08 + i -1.844799e+08 ; -6.147139e+08 + i -6.368378e+08 ; -2.243732e+09 + i -6.172163e+09 ; 6.936925e+08 + i 4.315766e+08 ; 5.469744e+09 + i -5.714413e+09 ; -1.116010e+09 + i 5.284815e+09 ; -4.632646e+08 + i -3.441511e+08 ; -4.633057e+08 + i -3.439346e+08 ; -3.310241e+09 + i -1.507481e+09 ; 1.531728e+09 + i -2.590625e+09 ; 1.531685e+09 + i -2.590534e+09 ; 1.623939e+09 + i -3.835187e+08 ; 1.357047e+08 + i 1.582217e+07 ; 1.357355e+08 + i 1.577187e+07 ; 6.269324e+08 + i -4.186147e+06 ; 5.341574e+07 + i -2.686673e+07 ; 5.341012e+07 + i -2.687957e+07 ; 1.065448e+09 + i -7.197247e+08 ; 2.557515e+08 + i -5.997745e+08 ; 1.117636e+08 + i -1.116176e+07 ; 6.013522e+08 + i -1.129153e+08 ; 3.291746e+07 + i -2.285966e+08 ; 4.501186e+07 + i -3.151949e+07 ; 1.065423e+09 + i -7.196522e+08 ; 1.118991e+08 + i -1.110542e+07 ; 2.557638e+08 + i -5.997541e+08 ; 6.013433e+08 + i -1.129222e+08 ; 4.508191e+07 + i -3.151996e+07 ; 3.292848e+07 + i -2.285869e+08 ; 6.658486e+08 + i -7.946447e+08 ; 1.581371e+08 + i -4.785096e+08 ; 1.581471e+08 + i -4.785029e+08 ; 5.476531e+08 + i -1.974175e+08 ; 1.768980e+07 + i -1.990216e+08 ; 1.769091e+07 + i -1.990094e+08 ; 
-5.470321e+07 + i -3.790500e+07 ; 2.922489e+07 + i 1.966077e+07 ; -1.024283e+08 + i 2.418399e+08 ; -7.078085e+07 + i -1.206073e+06 ; 6.311257e+07 + i 5.209620e+07 ; -2.112970e+08 + i 5.510006e+08 ; -5.267327e+07 + i -5.115705e+07 ; 8.911238e+06 + i 2.625100e+07 ; -1.169256e+08 + i 2.611502e+08 ; -9.229673e+07 + i -2.992365e+07 ; -1.115411e+06 + i 5.109815e+07 ; -2.771974e+08 + i 6.587570e+08 ; -1.991177e+08 + i -3.815221e+07 ; 4.590202e+06 + i 5.774765e+07 ; -1.855483e+08 + i 2.226947e+08 ; -4.563047e+08 + i 1.557032e+08 ; -4.176362e+07 + i 1.730841e+08 ; -4.928197e+08 + i 3.094620e+08 ; -2.145595e+08 + i -6.046523e+07 ; 3.181952e+05 + i 1.918164e+07 ; -2.110223e+08 + i 2.253699e+08 ; -6.031580e+08 + i 1.365858e+08 ; -2.322147e+07 + i 2.558704e+07 ; -5.780563e+08 + i 2.698653e+08 ; 4.393138e+08 + i 2.965510e+08 ; 4.456808e+08 + i 3.156815e+08 ; -1.100426e+09 + i 5.250324e+09 ; -2.475406e+08 + i 1.648356e+08 ; 5.926693e+08 + i 5.912870e+08 ; -8.088924e+09 + i 1.121651e+10 ; 5.880674e+08 + i 5.705822e+08 ; -2.487124e+08 + i 1.770783e+08 ; -8.078114e+09 + i 1.122859e+10 ; -3.944338e+08 + i 9.620869e+07 ; -3.971893e+08 + i 1.076591e+08 ; -4.637693e+10 + i 2.778714e+10 ; -1.418826e+09 + i 2.445828e+09 ; -1.412203e+09 + i 2.480488e+09 ; -3.354991e+09 + i -1.575709e+09 ; -6.574912e+08 + i -4.382967e+08 ; -5.104340e+09 + i 5.532318e+09 ; -2.283945e+09 + i -6.271099e+09 ; -5.105516e+09 + i 5.496854e+09 ; -6.634782e+08 + i -4.241200e+08 ; -2.281366e+09 + i -6.252653e+09 ; -9.920792e+08 + i -1.252489e+09 ; -1.000435e+09 + i -1.239418e+09 ; 1.956422e+10 + i -2.081095e+10 ; 
1.063477e+09 + i -7.198001e+08 ; -1.936796e+08 + i -3.206378e+07 ; 1.879990e+08 + i -6.124761e+08 ; 9.306402e+08 + i -2.279343e+09 ; -3.088551e+08 + i -2.495171e+08 ; 1.545547e+09 + i -1.771012e+09 ; 6.645052e+08 + i -7.947247e+08 ; -1.206033e+08 + i 4.766383e+08 ; 1.120506e+08 + i -4.673161e+08 ; 5.219583e+07 + i -1.340859e+09 ; -8.135546e+08 + i 1.146923e+09 ; 7.762146e+08 + i -1.128425e+09 ; 1.623269e+09 + i -3.829342e+08 ; -2.340437e+08 + i -7.194115e+07 ; 2.312740e+08 + i 6.420355e+07 ; 3.590404e+09 + i -4.048107e+09 ; -3.794640e+08 + i -4.287243e+08 ; 3.793896e+08 + i 3.993272e+08 ; 1.065226e+09 + i -7.194520e+08 ; -1.999735e+08 + i 6.246197e+08 ; 1.905547e+08 + i 2.607007e+07 ; 9.310545e+08 + i -2.276308e+09 ; -1.613070e+09 + i 1.795109e+09 ; 3.053338e+08 + i 2.323090e+08 ; -7.890924e+09 + i 1.136045e+10 ; 2.533989e+08 + i -1.461639e+08 ; 5.251110e+08 + i 6.206259e+08 ; -2.244908e+09 + i -6.161029e+09 ; 6.901890e+08 + i 4.670120e+08 ; -5.169000e+09 + i 5.565034e+09 ; -9.350360e+08 + i 5.327355e+09 ; -4.130090e+08 + i -2.926402e+08 ; 4.076201e+08 + i 2.919395e+08 ; -3.307797e+09 + i -1.503459e+09 ; 1.533074e+09 + i -2.536972e+09 ; -1.447568e+09 + i 2.488371e+09 ; -4.615575e+10 + i 2.801275e+10 ; 4.028972e+08 + i -7.174186e+07 ; -4.040093e+08 + i 6.797255e+07 ; 1.958931e+10 + i -2.069991e+10 ; 1.016957e+09 + i 1.327693e+09 ; -9.831003e+08 + i -1.342216e+09 ; -7.888869e+09 + i 1.135995e+10 ; -5.595205e+08 + i -5.811241e+08 ; -2.500528e+08 + i 1.461590e+08 ; -2.242856e+09 + i -6.172910e+09 ; 5.407798e+09 + i -5.643417e+09 ; -6.790959e+08 + i -4.578321e+08 ; 
-4.948448e+07 + i 1.435123e+08 ; -2.106641e+08 + i 5.516058e+08 ; 6.891339e+07 + i 4.424672e+07 ; 1.884850e+08 + i 2.214332e+08 ; -8.929738e+08 + i 1.514449e+09 ; 1.382430e+08 + i 1.326743e+08 ; -5.445529e+08 + i 1.776315e+08 ; -4.922708e+08 + i 3.097664e+08 ; -2.398769e+07 + i 1.929157e+08 ; -8.684450e+08 + i 1.159791e+09 ; -1.046311e+09 + i 3.987511e+07 ; -4.306293e+08 + i 6.770276e+08 ; -8.029914e+07 + i 1.375802e+08 ; -2.768707e+08 + i 6.595637e+08 ; -5.686743e+06 + i 5.160505e+07 ; 2.077509e+08 + i 2.918714e+08 ; -1.636513e+09 + i 2.081380e+09 ; -4.490202e+07 + i 7.534023e+07 ; -7.269164e+08 + i 8.623306e+07 ; -5.778770e+08 + i 2.699984e+08 ; -4.519862e+07 + i 1.773067e+07 ; -1.693201e+09 + i 1.790238e+09 ; -1.100333e+09 + i -3.395948e+08 ; -1.275328e+08 + i -6.074111e+07 ; 2.069777e+08 + i -2.038090e+08 ; -8.047964e+09 + i 1.126742e+10 ; 5.889931e+08 + i 6.806226e+08 ; -4.734924e+08 + i -3.618691e+08 ; -1.098728e+09 + i 5.249355e+09 ; 4.535027e+08 + i 3.356913e+08 ; 6.123024e+08 + i 3.630413e+08 ; -2.297669e+09 + i -6.203885e+09 ; -5.138078e+09 + i 5.584008e+09 ; 1.505532e+09 + i -2.587630e+09 ; -3.354092e+09 + i -1.569087e+09 ; -1.427789e+09 + i 2.500474e+09 ; 3.535776e+08 + i -1.436803e+08 ; -4.633463e+10 + i 2.784296e+10 ; -4.152762e+08 + i 1.075890e+08 ; -6.398393e+08 + i -6.537779e+08 ; -8.076645e+09 + i 1.122660e+10 ; -2.567788e+08 + i 1.807293e+08 ; 9.480474e+08 + i 1.197148e+09 ; 1.954705e+10 + i -2.075922e+10 ; -9.880093e+08 + i -1.324107e+09 ; 5.375124e+09 + i -5.686942e+09 ; -2.283638e+09 + i -6.251327e+09 ; -6.720464e+08 + i -4.361461e+08 ; 
7.242659e+08 + i -8.367958e+07 ; -4.548791e+07 + i 1.710078e+07 ; -5.762444e+08 + i 2.694381e+08 ; 1.690461e+09 + i -1.786006e+09 ; -1.285318e+08 + i -6.778686e+07 ; -1.098247e+09 + i -3.429099e+08 ; 5.434709e+08 + i -1.750224e+08 ; -2.668126e+07 + i 1.976598e+08 ; -4.912548e+08 + i 3.092274e+08 ; 8.666254e+08 + i -1.155794e+09 ; -4.520877e+08 + i 6.883348e+08 ; -1.045862e+09 + i 3.799233e+07 ; 7.798699e+07 + i -1.348224e+08 ; -6.402960e+06 + i 5.265765e+07 ; -2.770093e+08 + i 6.587426e+08 ; -2.132790e+08 + i -2.797428e+08 ; -4.727465e+07 + i 7.644585e+07 ; -1.637760e+09 + i 2.080720e+09 ; 4.847173e+07 + i -1.410441e+08 ; 7.023288e+07 + i 4.627044e+07 ; -2.109065e+08 + i 5.507666e+08 ; -1.904233e+08 + i -2.148212e+08 ; 1.399557e+08 + i 1.381306e+08 ; -8.935171e+08 + i 1.513884e+09 ; -9.245473e+08 + i -1.263122e+09 ; -9.968698e+08 + i -1.372319e+09 ; 1.954905e+10 + i -2.076068e+10 ; -5.369947e+09 + i 5.692850e+09 ; -6.901658e+08 + i -4.460407e+08 ; -2.286519e+09 + i -6.239981e+09 ; -6.211386e+08 + i -3.669651e+08 ; -5.373042e+09 + i 5.665855e+09 ; -2.297985e+09 + i -6.203732e+09 ; -1.502147e+09 + i 2.593087e+09 ; -1.509817e+09 + i 2.555304e+09 ; -3.353631e+09 + i -1.563514e+09 ; -3.620023e+08 + i 1.364207e+08 ; -4.202643e+08 + i 1.092293e+08 ; -4.633502e+10 + i 2.784298e+10 ; 6.141882e+08 + i 7.173293e+08 ; -2.637933e+08 + i 1.816660e+08 ; -8.071553e+09 + i 1.122912e+10 ; -2.119458e+08 + i 2.040869e+08 ; 5.972286e+08 + i 7.056659e+08 ; -8.043153e+09 + i 1.126713e+10 ; 4.763723e+08 + i 3.774618e+08 ; 4.617226e+08 + i 3.518366e+08 ; -1.093180e+09 + i 5.248565e+09 ; 
6.013971e+08 + i -1.127679e+08 ; -4.390391e+07 + i 3.035475e+07 ; 2.565480e+07 + i -2.159134e+08 ; 1.066787e+09 + i -7.178200e+08 ; -1.094642e+08 + i 9.993968e+06 ; 2.296160e+08 + i -5.701343e+08 ; 5.478613e+08 + i -1.972358e+08 ; -1.614890e+07 + i 1.941768e+08 ; 1.228647e+07 + i -1.872123e+08 ; 6.670319e+08 + i -7.933562e+08 ; -1.517417e+08 + i 4.677953e+08 ; 1.405973e+08 + i -4.529779e+08 ; 6.266725e+08 + i -4.079790e+06 ; -5.193780e+07 + i 2.621491e+07 ; 4.907509e+07 + i -2.470869e+07 ; 1.623311e+09 + i -3.826944e+08 ; -1.327529e+08 + i -1.516167e+07 ; 1.266296e+08 + i 1.783936e+07 ; 6.013718e+08 + i -1.127873e+08 ; -3.060507e+07 + i 2.234184e+08 ; 4.154378e+07 + i -2.849405e+07 ; 1.065187e+09 + i -7.189543e+08 ; -2.458916e+08 + i 5.876839e+08 ; 1.056886e+08 + i -7.099113e+06 ; -2.243088e+09 + i -6.150871e+09 ; -6.811819e+08 + i -4.303501e+08 ; 5.091162e+09 + i -5.537508e+09 ; -8.096982e+09 + i 1.126418e+10 ; -2.564902e+08 + i 1.820460e+08 ; -5.954832e+08 + i -7.168225e+08 ; -3.305972e+09 + i -1.497439e+09 ; -1.479452e+09 + i 2.537582e+09 ; 1.400778e+09 + i -2.486909e+09 ; -1.114654e+09 + i 5.285057e+09 ; 4.578954e+08 + i 3.328781e+08 ; -4.590255e+08 + i -3.394225e+08 ; 1.958859e+10 + i -2.069965e+10 ; -1.014923e+09 + i -1.285538e+09 ; 9.963454e+08 + i 1.353184e+09 ; -4.639440e+10 + i 2.783508e+10 ; -4.070068e+08 + i 1.100555e+08 ; 3.956121e+08 + i -1.123017e+08 ; -2.246293e+09 + i -6.168711e+09 ; -5.304813e+09 + i 5.624500e+09 ; 6.768011e+08 + i 4.320892e+08 ; -8.097846e+09 + i 1.126473e+10 ; 6.149782e+08 + i 6.278532e+08 ; 2.508662e+08 + i -1.823150e+08 ; 
-5.471581e+07 + i -3.765235e+07 ; -1.023533e+08 + i 2.418224e+08 ; 2.945444e+07 + i 1.965626e+07 ; -7.074288e+07 + i -6.894078e+05 ; -2.110767e+08 + i 5.509784e+08 ; 6.406642e+07 + i 5.227021e+07 ; -1.989597e+08 + i -3.797657e+07 ; -1.853937e+08 + i 2.228055e+08 ; 4.567128e+06 + i 5.769970e+07 ; -4.561793e+08 + i 1.556057e+08 ; -4.924279e+08 + i 3.098967e+08 ; -4.157548e+07 + i 1.727835e+08 ; -5.272099e+07 + i -5.088582e+07 ; -1.169255e+08 + i 2.611604e+08 ; 8.944642e+06 + i 2.637157e+07 ; -9.219116e+07 + i -2.914435e+07 ; -2.771515e+08 + i 6.587429e+08 ; -1.255125e+06 + i 5.144362e+07 ; -2.144087e+08 + i -6.024521e+07 ; -2.110109e+08 + i 2.254778e+08 ; 1.541953e+05 + i 1.925523e+07 ; -6.025669e+08 + i 1.368300e+08 ; -5.780090e+08 + i 2.701163e+08 ; -2.415913e+07 + i 2.546272e+07 ; 4.414634e+08 + i 2.980668e+08 ; -1.099219e+09 + i 5.250200e+09 ; 4.577802e+08 + i 3.325553e+08 ; -2.487393e+08 + i 1.655109e+08 ; -8.087268e+09 + i 1.121700e+10 ; 5.801011e+08 + i 6.666388e+08 ; -1.424328e+09 + i 2.438489e+09 ; -3.352908e+09 + i -1.569211e+09 ; -1.408635e+09 + i 2.474782e+09 ; -6.653269e+08 + i -4.433878e+08 ; -2.286208e+09 + i -6.257423e+09 ; -5.091351e+09 + i 5.532719e+09 ; 5.965412e+08 + i 5.844393e+08 ; -8.078429e+09 + i 1.122805e+10 ; -2.560808e+08 + i 1.802467e+08 ; -3.956453e+08 + i 9.647135e+07 ; -4.637645e+10 + i 2.778647e+10 ; -4.129177e+08 + i 1.022865e+08 ; -5.096601e+09 + i 5.490012e+09 ; -2.281700e+09 + i -6.250778e+09 ; -6.802403e+08 + i -4.436742e+08 ; -9.932166e+08 + i -1.263309e+09 ; 1.956175e+10 + i -2.081207e+10 ; -9.870138e+08 + i -1.315010e+09 ; 
2.158646e+08 + i 5.829880e+07 ; -3.423404e+05 + i 2.016680e+07 ; -2.114187e+08 + i 2.255920e+08 ; 6.052942e+08 + i -1.414510e+08 ; -2.500811e+07 + i 2.735453e+07 ; -5.791378e+08 + i 2.713130e+08 ; 2.001705e+08 + i 3.613029e+07 ; 3.701730e+06 + i 5.976626e+07 ; -1.858313e+08 + i 2.230496e+08 ; 4.574025e+08 + i -1.599309e+08 ; -4.530532e+07 + i 1.783731e+08 ; -4.932985e+08 + i 3.111165e+08 ; 5.423091e+07 + i 4.935058e+07 ; 8.922454e+06 + i 2.725005e+07 ; -1.172809e+08 + i 2.611486e+08 ; 9.530997e+07 + i 2.391378e+07 ; -1.548202e+06 + i 5.280160e+07 ; -2.772661e+08 + i 6.591980e+08 ; 5.601186e+07 + i 3.619163e+07 ; 3.005249e+07 + i 2.067588e+07 ; -1.027143e+08 + i 2.418282e+08 ; 7.240386e+07 + i -3.665515e+06 ; 6.526782e+07 + i 5.470686e+07 ; -2.110016e+08 + i 5.511997e+08 ; 5.100573e+09 + i -5.488628e+09 ; -6.946275e+08 + i -4.437952e+08 ; -2.281284e+09 + i -6.232111e+09 ; 9.867979e+08 + i 1.376323e+09 ; -9.959491e+08 + i -1.362416e+09 ; 1.956091e+10 + i -2.081246e+10 ; 1.419807e+09 + i -2.446423e+09 ; -1.487620e+09 + i 2.533252e+09 ; -3.350185e+09 + i -1.561488e+09 ; 6.766027e+08 + i 4.439623e+08 ; -5.315079e+09 + i 5.615879e+09 ; -2.287631e+09 + i -6.256356e+09 ; -5.861348e+08 + i -6.953305e+08 ; -2.612391e+08 + i 1.801473e+08 ; -8.070681e+09 + i 1.122890e+10 ; 3.946616e+08 + i -9.695310e+07 ; -4.174499e+08 + i 1.032635e+08 ; -4.637715e+10 + i 2.778837e+10 ; -4.509377e+08 + i -3.183743e+08 ; 4.659243e+08 + i 3.479302e+08 ; -1.092686e+09 + i 5.248008e+09 ; 2.509868e+08 + i -1.657532e+08 ; 5.885767e+08 + i 6.912268e+08 ; -8.082208e+09 + i 1.121742e+10 ; 
6.634798e+08 + i -7.951474e+08 ; 1.097699e+08 + i -4.626443e+08 ; 1.097766e+08 + i -4.626716e+08 ; 5.147048e+07 + i -1.342796e+09 ; 7.657106e+08 + i -1.116876e+09 ; 7.657259e+08 + i -1.116896e+09 ; 1.063997e+09 + i -7.201733e+08 ; 1.883552e+08 + i 2.536329e+07 ; 1.840469e+08 + i -6.065990e+08 ; 9.311454e+08 + i -2.279441e+09 ; 3.012817e+08 + i 2.308578e+08 ; 1.524123e+09 + i -1.755404e+09 ; 1.064006e+09 + i -7.202712e+08 ; 1.840521e+08 + i -6.065725e+08 ; 1.885134e+08 + i 2.536823e+07 ; 9.311454e+08 + i -2.279596e+09 ; 1.524117e+09 + i -1.755364e+09 ; 3.015004e+08 + i 2.309383e+08 ; 1.624094e+09 + i -3.834833e+08 ; 2.280716e+08 + i 6.266387e+07 ; 2.280825e+08 + i 6.267848e+07 ; 3.591679e+09 + i -4.048148e+09 ; 3.728657e+08 + i 3.932854e+08 ; 3.728308e+08 + i 3.933184e+08 ; -9.361537e+08 + i 5.328009e+09 ; 4.121548e+08 + i 2.915090e+08 ; 4.121528e+08 + i 2.915891e+08 ; -3.305968e+09 + i -1.498582e+09 ; -1.434438e+09 + i 2.458900e+09 ; -1.434487e+09 + i 2.458983e+09 ; -7.891320e+09 + i 1.135957e+10 ; -2.466924e+08 + i 1.461507e+08 ; 5.327098e+08 + i 6.182579e+08 ; -2.245549e+09 + i -6.161026e+09 ; -6.858400e+08 + i -4.640777e+08 ; -5.100882e+09 + i 5.514583e+09 ; -7.891405e+09 + i 1.135958e+10 ; 5.326921e+08 + i 6.182123e+08 ; -2.470376e+08 + i 1.462100e+08 ; -2.245702e+09 + i -6.160940e+09 ; -5.100879e+09 + i 5.514485e+09 ; -6.865436e+08 + i -4.643270e+08 ; -4.615546e+10 + i 2.801075e+10 ; -3.994119e+08 + i 6.906552e+07 ; -3.995047e+08 + i 6.903686e+07 ; 1.958547e+10 + i -2.070015e+10 ; -9.811748e+08 + i -1.329990e+09 ; -9.810812e+08 + i -1.330128e+09 ; 
5.373802e+08 + i -1.744067e+08 ; -4.910441e+08 + i 3.091203e+08 ; 2.327738e+07 + i -1.912671e+08 ; 8.559095e+08 + i -1.146307e+09 ; -1.045413e+09 + i 3.832839e+07 ; 4.248206e+08 + i -6.712539e+08 ; 4.801498e+07 + i -1.393717e+08 ; -2.108742e+08 + i 5.508087e+08 ; -6.888809e+07 + i -4.341133e+07 ; -1.870376e+08 + i -2.121277e+08 ; -8.936042e+08 + i 1.513844e+09 ; -1.395629e+08 + i -1.317682e+08 ; 7.172242e+08 + i -8.415609e+07 ; -5.765020e+08 + i 2.693956e+08 ; 4.512150e+07 + i -1.817065e+07 ; 1.669691e+09 + i -1.770184e+09 ; -1.099444e+09 + i -3.431011e+08 ; 1.279709e+08 + i 6.010822e+07 ; 7.755896e+07 + i -1.334081e+08 ; -2.769423e+08 + i 6.588601e+08 ; 5.381396e+06 + i -5.097185e+07 ; -2.092720e+08 + i -2.763331e+08 ; -1.637625e+09 + i 2.080922e+09 ; 4.343437e+07 + i -7.434900e+07 ; -6.180732e+08 + i -3.719400e+08 ; -2.293411e+09 + i -6.196063e+09 ; 5.086746e+09 + i -5.528312e+09 ; -1.482493e+09 + i 2.563414e+09 ; -3.349940e+09 + i -1.561497e+09 ; 1.417009e+09 + i -2.475424e+09 ; -2.077648e+08 + i 2.024511e+08 ; -8.044901e+09 + i 1.126601e+10 ; -6.078980e+08 + i -7.235906e+08 ; 4.785806e+08 + i 3.716943e+08 ; -1.094151e+09 + i 5.248196e+09 ; -4.579769e+08 + i -3.387312e+08 ; -9.254437e+08 + i -1.245389e+09 ; 1.954436e+10 + i -2.075991e+10 ; 1.000191e+09 + i 1.357531e+09 ; -5.299597e+09 + i 5.642362e+09 ; -2.287209e+09 + i -6.237631e+09 ; 6.772170e+08 + i 4.387761e+08 ; -3.570492e+08 + i 1.365851e+08 ; -4.633493e+10 + i 2.784412e+10 ; 3.948532e+08 + i -1.134463e+08 ; 6.191060e+08 + i 7.071326e+08 ; -8.071671e+09 + i 1.122986e+10 ; 2.486331e+08 + i -1.780986e+08 ; 
5.374309e+08 + i -1.744282e+08 ; 2.328007e+07 + i -1.912655e+08 ; -4.910543e+08 + i 3.091126e+08 ; 8.559050e+08 + i -1.146291e+09 ; 4.248140e+08 + i -6.712570e+08 ; -1.045446e+09 + i 3.840511e+07 ; 7.172310e+08 + i -8.412587e+07 ; 4.511901e+07 + i -1.815197e+07 ; -5.763302e+08 + i 2.693817e+08 ; 1.669686e+09 + i -1.770174e+09 ; 1.279568e+08 + i 6.014154e+07 ; -1.099082e+09 + i -3.429689e+08 ; 4.805206e+07 + i -1.393883e+08 ; -6.888442e+07 + i -4.339827e+07 ; -2.108962e+08 + i 5.506844e+08 ; -1.870368e+08 + i -2.121269e+08 ; -1.395781e+08 + i -1.317387e+08 ; -8.933913e+08 + i 1.513806e+09 ; 7.758881e+07 + i -1.333643e+08 ; 5.384976e+06 + i -5.097083e+07 ; -2.769560e+08 + i 6.587752e+08 ; -2.092948e+08 + i -2.762980e+08 ; 4.343428e+07 + i -7.435161e+07 ; -1.637705e+09 + i 2.080936e+09 ; -6.182608e+08 + i -3.718341e+08 ; 5.086734e+09 + i -5.528304e+09 ; -2.293340e+09 + i -6.196076e+09 ; -1.482488e+09 + i 2.563445e+09 ; 1.417002e+09 + i -2.475395e+09 ; -3.349667e+09 + i -1.561648e+09 ; -9.254497e+08 + i -1.245497e+09 ; 1.000135e+09 + i 1.357638e+09 ; 1.954585e+10 + i -2.075940e+10 ; -5.299612e+09 + i 5.642353e+09 ; 6.771959e+08 + i 4.388693e+08 ; -2.286020e+09 + i -6.237535e+09 ; -2.078986e+08 + i 2.025421e+08 ; -6.080071e+08 + i -7.234332e+08 ; -8.042237e+09 + i 1.126700e+10 ; 4.785311e+08 + i 3.718339e+08 ; -4.580314e+08 + i -3.385809e+08 ; -1.092433e+09 + i 5.247894e+09 ; -3.571898e+08 + i 1.364886e+08 ; 3.948760e+08 + i -1.134400e+08 ; -4.633521e+10 + i 2.784421e+10 ; 6.190853e+08 + i 7.071321e+08 ; 2.486510e+08 + i -1.780731e+08 ; -8.071257e+09 + i 1.122982e+10 ; 
5.481522e+08 + i -1.970668e+08 ; 1.257411e+07 + i -1.848390e+08 ; 1.257293e+07 + i -1.848538e+08 ; 6.683521e+08 + i -7.924390e+08 ; 1.402348e+08 + i -4.475006e+08 ; 1.402474e+08 + i -4.475228e+08 ; 6.016574e+08 + i -1.124936e+08 ; 4.152895e+07 + i -2.776968e+07 ; 2.561061e+07 + i -2.132122e+08 ; 1.066627e+09 + i -7.173360e+08 ; 1.056944e+08 + i -5.839130e+06 ; 2.276623e+08 + i -5.635865e+08 ; 6.016903e+08 + i -1.124963e+08 ; 2.561612e+07 + i -2.132060e+08 ; 4.158656e+07 + i -2.778830e+07 ; 1.066645e+09 + i -7.172634e+08 ; 2.276612e+08 + i -5.635727e+08 ; 1.058212e+08 + i -5.822761e+06 ; 6.269051e+08 + i -3.694830e+06 ; 4.883360e+07 + i -2.402247e+07 ; 4.883221e+07 + i -2.401795e+07 ; 1.622856e+09 + i -3.819447e+08 ; 1.260828e+08 + i 1.845697e+07 ; 1.260483e+08 + i 1.848985e+07 ; -3.301378e+09 + i -1.491194e+09 ; 1.392732e+09 + i -2.459441e+09 ; 1.392781e+09 + i -2.459519e+09 ; -1.114557e+09 + i 5.284377e+09 ; -4.681156e+08 + i -3.348889e+08 ; -4.680963e+08 + i -3.349689e+08 ; -2.244681e+09 + i -6.150197e+09 ; 6.891884e+08 + i 4.332083e+08 ; 5.031598e+09 + i -5.482191e+09 ; -8.096893e+09 + i 1.126449e+10 ; 2.461585e+08 + i -1.786979e+08 ; -6.070344e+08 + i -7.081673e+08 ; -2.244846e+09 + i -6.149949e+09 ; 5.031595e+09 + i -5.482100e+09 ; 6.898754e+08 + i 4.334882e+08 ; -8.096951e+09 + i 1.126469e+10 ; -6.070258e+08 + i -7.081155e+08 ; 2.465192e+08 + i -1.787371e+08 ; 1.958144e+10 + i -2.069964e+10 ; 9.983058e+08 + i 1.336779e+09 ; 9.981932e+08 + i 1.336909e+09 ; -4.639426e+10 + i 2.783554e+10 ; 3.900601e+08 + i -1.094618e+08 ; 3.901267e+08 + i -1.094109e+08 ; 
1.976287e+08 + i 3.550610e+07 ; -1.857348e+08 + i 2.230977e+08 ; -4.804190e+06 + i -5.720207e+07 ; 4.519847e+08 + i -1.582643e+08 ; -4.929384e+08 + i 3.112197e+08 ; 4.080619e+07 + i -1.712286e+08 ; 5.492156e+07 + i 3.549644e+07 ; -1.026838e+08 + i 2.418803e+08 ; -2.944763e+07 + i -1.933435e+07 ; 7.010647e+07 + i -3.863163e+06 ; -2.110231e+08 + i 5.513286e+08 ; -6.415465e+07 + i -5.133826e+07 ; 2.132114e+08 + i 5.758013e+07 ; -2.114774e+08 + i 2.257417e+08 ; -3.507996e+05 + i -1.926138e+07 ; 5.980290e+08 + i -1.402487e+08 ; -5.792225e+08 + i 2.716346e+08 ; 2.335296e+07 + i -2.558484e+07 ; 5.319241e+07 + i 4.871207e+07 ; -1.172404e+08 + i 2.612199e+08 ; -9.113257e+06 + i -2.605814e+07 ; 9.289734e+07 + i 2.368200e+07 ; -2.771976e+08 + i 6.593373e+08 ; 5.125614e+05 + i -5.053194e+07 ; 1.411222e+09 + i -2.416449e+09 ; -3.346209e+09 + i -1.560055e+09 ; 1.404671e+09 + i -2.451319e+09 ; 6.838145e+08 + i 4.560889e+08 ; -2.282637e+09 + i -6.248950e+09 ; 5.047119e+09 + i -5.472092e+09 ; -4.592301e+08 + i -3.138892e+08 ; -1.094013e+09 + i 5.247560e+09 ; -4.661003e+08 + i -3.333826e+08 ; 2.463032e+08 + i -1.635634e+08 ; -8.083967e+09 + i 1.121659e+10 ; -6.012025e+08 + i -7.064572e+08 ; 5.047770e+09 + i -5.436145e+09 ; -2.281063e+09 + i -6.230526e+09 ; 6.903590e+08 + i 4.420562e+08 ; 9.890121e+08 + i 1.358119e+09 ; 1.955647e+10 + i -2.081122e+10 ; 9.977237e+08 + i 1.347000e+09 ; -5.960171e+08 + i -6.839222e+08 ; -8.070810e+09 + i 1.122967e+10 ; 2.476789e+08 + i -1.757137e+08 ; 3.895935e+08 + i -9.428429e+07 ; -4.637689e+10 + i 2.778953e+10 ; 3.924549e+08 + i -1.051691e+08 ; 
