-6.535268e+09 + i 5.535838e+08 ; -1.946078e+07 + i -9.025712e+05 ; -1.946523e+07 + i -9.026854e+05 ; 1.891956e+09 + i -2.735103e+08 ; 1.157547e+08 + i -8.196119e+06 ; 1.157506e+08 + i -8.197660e+06 ; -8.906856e+08 + i 1.270187e+08 ; -6.159766e+07 + i 4.196737e+06 ; -1.225650e+07 + i 3.018658e+05 ; -2.597068e+08 + i 2.779023e+06 ; 4.690494e+08 + i -7.266926e+07 ; 2.697255e+07 + i -3.957042e+06 ; -8.906835e+08 + i 1.270199e+08 ; -1.225520e+07 + i 3.013126e+05 ; -6.159774e+07 + i 4.196321e+06 ; -2.597073e+08 + i 2.780554e+06 ; 2.699671e+07 + i -3.949111e+06 ; 4.690502e+08 + i -7.266892e+07 ; -1.387216e+08 + i 3.755040e+07 ; -3.048039e+07 + i 3.014196e+06 ; -3.047130e+07 + i 3.016879e+06 ; -8.633354e+07 + i 1.773037e+07 ; 1.194034e+08 + i -2.322970e+07 ; 1.194042e+08 + i -2.322939e+07 ; 1.621744e+08 + i -1.747779e+07 ; 1.481077e+05 + i -4.728952e+05 ; 1.490759e+05 + i -4.728442e+05 ; 7.921135e+07 + i -6.967208e+06 ; -8.620439e+05 + i -2.207681e+04 ; -8.621455e+05 + i -2.207491e+04 ; 5.204861e+07 + i -1.083861e+07 ; 1.827897e+07 + i -4.277393e+06 ; -8.796531e+05 + i -2.481243e+05 ; 3.525641e+07 + i -6.267856e+06 ; 4.009567e+06 + i -1.087870e+06 ; -9.276820e+05 + i 1.483111e+04 ; 5.205029e+07 + i -1.083783e+07 ; -8.775252e+05 + i -2.473338e+05 ; 1.827916e+07 + i -4.277344e+06 ; 3.525683e+07 + i -6.267572e+06 ; -9.271021e+05 + i 1.496112e+04 ; 4.009537e+06 + i -1.087886e+06 ; 1.564075e+07 + i -5.700687e+06 ; 1.206081e+07 + i -2.983643e+06 ; 1.206048e+07 + i -2.983774e+06 ; 1.603628e+07 + i -4.401510e+06 ; 3.089612e+06 + i -8.685573e+05 ; 3.089575e+06 + i -8.685497e+05 ; 
5.877066e+05 + i 3.778923e+05 ; 1.580855e+06 + i -1.919536e+05 ; -7.849428e+06 + i 1.763900e+06 ; 2.557711e+06 + i 3.214707e+05 ; 4.888553e+06 + i -4.426959e+05 ; -1.878400e+07 + i 4.354619e+06 ; -6.318734e+05 + i 4.874632e+05 ; 1.165587e+06 + i -1.267180e+05 ; -9.498214e+06 + i 2.021038e+06 ; 5.326157e+05 + i 5.758310e+05 ; 3.086373e+06 + i -2.079875e+05 ; -2.398810e+07 + i 5.573560e+06 ; -2.347151e+07 + i 2.417045e+06 ; -3.623951e+05 + i 1.917123e+05 ; -7.136218e+06 + i 1.587476e+06 ; -4.202651e+07 + i 5.260295e+06 ; -4.411949e+06 + i 1.039455e+06 ; -1.719958e+07 + i 3.757630e+06 ; -3.331188e+07 + i 2.618586e+06 ; 8.799838e+05 + i -5.677268e+04 ; -8.508985e+06 + i 1.807896e+06 ; -6.656264e+07 + i 6.924910e+06 ; 1.468070e+06 + i -3.042588e+04 ; -2.308247e+07 + i 4.759059e+06 ; 3.162946e+07 + i -2.706399e+06 ; 3.262058e+07 + i -2.841150e+06 ; -1.402841e+08 + i 3.770696e+07 ; 1.210554e+07 + i -1.182472e+05 ; 6.636968e+07 + i -3.627069e+06 ; -8.946273e+08 + i 1.271507e+08 ; 6.522328e+07 + i -3.491920e+06 ; 1.279612e+07 + i -1.981105e+05 ; -8.935893e+08 + i 1.270333e+08 ; 1.985548e+07 + i 1.318033e+06 ; 2.074889e+07 + i 1.245925e+06 ; -6.540766e+09 + i 5.535813e+08 ; -1.325552e+08 + i 2.379258e+07 ; -1.288400e+08 + i 2.365071e+07 ; -8.922961e+07 + i 1.820203e+07 ; -2.979966e+07 + i 4.242483e+06 ; -5.077517e+08 + i 7.184788e+07 ; -2.661526e+08 + i 3.359735e+06 ; -5.126763e+08 + i 7.190974e+07 ; -2.793787e+07 + i 4.206403e+06 ; -2.651415e+08 + i 3.259114e+06 ; -1.279729e+08 + i 7.175683e+06 ; -1.254702e+08 + i 7.196571e+06 ; 1.881046e+09 + i -2.731135e+08 ; 
5.199498e+07 + i -1.085239e+07 ; -1.475697e+06 + i 6.161951e+05 ; 1.557165e+07 + i -4.119320e+06 ; 7.176929e+07 + i -1.757128e+07 ; -1.682587e+07 + i 1.974158e+06 ; 1.470670e+08 + i -2.194000e+07 ; 1.561899e+07 + i -5.706728e+06 ; -1.117916e+07 + i 2.879054e+06 ; 1.171939e+07 + i -2.919089e+06 ; 4.515575e+06 + i -5.114266e+06 ; -6.753810e+07 + i 1.189851e+07 ; 7.076909e+07 + i -1.188793e+07 ; 1.621885e+08 + i -1.747134e+07 ; -2.609749e+06 + i 9.903221e+05 ; 2.806102e+06 + i -9.842121e+05 ; 3.660989e+08 + i -5.164984e+07 ; -3.561743e+07 + i 2.849166e+06 ; 3.740866e+07 + i -2.617704e+06 ; 5.204871e+07 + i -1.084040e+07 ; -1.484576e+07 + i 4.058380e+06 ; 1.593426e+06 + i -6.170185e+05 ; 7.172580e+07 + i -1.759170e+07 ; -1.403721e+08 + i 2.208339e+07 ; 1.769157e+07 + i -1.893027e+06 ; -8.832533e+08 + i 1.258898e+08 ; -9.780908e+06 + i 1.495817e+05 ; 5.975994e+07 + i -3.824453e+06 ; -2.600818e+08 + i 2.720415e+06 ; 2.799861e+07 + i -4.176049e+06 ; -5.009077e+08 + i 7.242717e+07 ; -1.357430e+08 + i 3.683851e+07 ; -2.674829e+07 + i 2.647200e+06 ; 2.797827e+07 + i -2.570857e+06 ; -8.643671e+07 + i 1.773528e+07 ; 1.226993e+08 + i -2.351668e+07 ; -1.283986e+08 + i 2.365537e+07 ; -6.517944e+09 + i 5.521706e+08 ; -1.682048e+07 + i -1.078657e+06 ; 1.732450e+07 + i 1.135553e+06 ; 1.891901e+09 + i -2.735401e+08 ; 1.186630e+08 + i -8.205905e+06 ; -1.237172e+08 + i 7.951407e+06 ; -8.831163e+08 + i 1.259445e+08 ; -5.769513e+07 + i 3.742415e+06 ; 1.016013e+07 + i -9.214887e+04 ; -2.600110e+08 + i 2.770947e+06 ; 4.783792e+08 + i -7.285417e+07 ; -2.935612e+07 + i 4.143226e+06 ; 
1.075095e+07 + i -5.917423e+05 ; -1.873753e+07 + i 4.366665e+06 ; 3.782828e+06 + i -4.426996e+05 ; 1.685890e+07 + i -1.540795e+06 ; -8.799397e+07 + i 1.555823e+07 ; 1.303715e+07 + i -9.258852e+05 ; -3.630600e+07 + i 5.392872e+06 ; -1.720418e+07 + i 3.756271e+06 ; -2.596967e+06 + i 9.266868e+05 ; -6.868052e+07 + i 1.194022e+07 ; -5.877019e+07 + i 8.581689e+06 ; -3.926341e+07 + i 6.659771e+06 ; 1.401032e+07 + i -3.735139e+05 ; -2.391694e+07 + i 5.595740e+06 ; 2.388011e+06 + i -2.109459e+05 ; 2.529808e+07 + i -1.818029e+06 ; -1.743389e+08 + i 2.514214e+07 ; 6.449287e+06 + i -1.413460e+05 ; -6.336469e+07 + i 7.747383e+06 ; -2.308527e+07 + i 4.757818e+06 ; 9.634716e+05 + i 7.043758e+04 ; -1.403478e+08 + i 2.234115e+07 ; -9.458559e+07 + i 9.034393e+06 ; -5.829414e+06 + i 6.117743e+05 ; -1.316535e+07 + i 5.017329e+05 ; -8.887881e+08 + i 1.268141e+08 ; 6.368539e+07 + i -4.299288e+06 ; -3.187087e+07 + i 3.115979e+06 ; -1.402457e+08 + i 3.770579e+07 ; 3.225019e+07 + i -2.879074e+06 ; 2.146642e+07 + i -3.512417e+06 ; -2.616870e+08 + i 3.092861e+06 ; -4.989936e+08 + i 7.227385e+07 ; 1.191743e+08 + i -2.319427e+07 ; -8.931206e+07 + i 1.818820e+07 ; -1.276499e+08 + i 2.350508e+07 ; -2.046631e+07 + i -6.224390e+05 ; -6.533970e+09 + i 5.532605e+08 ; 2.007489e+07 + i 9.695531e+05 ; -6.225958e+07 + i 4.277175e+06 ; -8.932877e+08 + i 1.270983e+08 ; 1.289965e+07 + i -1.969439e+05 ; 1.081371e+08 + i -7.452270e+06 ; 1.886270e+09 + i -2.732805e+08 ; -1.212323e+08 + i 7.923341e+06 ; 4.740609e+08 + i -7.258031e+07 ; -2.651684e+08 + i 3.248657e+06 ; -2.867780e+07 + i 4.014484e+06 ; 
6.331347e+07 + i -7.759605e+06 ; 9.417417e+05 + i 7.041366e+04 ; -2.301534e+07 + i 4.781581e+06 ; 1.402058e+08 + i -2.237780e+07 ; -5.534523e+06 + i 6.467289e+05 ; -9.449121e+07 + i 9.070103e+06 ; 3.630222e+07 + i -5.392739e+06 ; -2.466502e+06 + i 9.105684e+05 ; -1.716355e+07 + i 3.768793e+06 ; 6.859915e+07 + i -1.196095e+07 ; -3.746072e+07 + i 6.668260e+06 ; -5.873802e+07 + i 8.595321e+06 ; -1.405476e+07 + i 3.485766e+05 ; 2.277423e+06 + i -2.220819e+05 ; -2.396338e+07 + i 5.579421e+06 ; -2.549924e+07 + i 1.730347e+06 ; 6.157385e+06 + i -1.878216e+05 ; -1.743870e+08 + i 2.512298e+07 ; -1.077820e+07 + i 5.802872e+05 ; 3.611807e+06 + i -4.518991e+05 ; -1.877466e+07 + i 4.354990e+06 ; -1.698395e+07 + i 1.502451e+06 ; 1.244914e+07 + i -9.842920e+05 ; -8.801041e+07 + i 1.554927e+07 ; -1.075088e+08 + i 7.802579e+06 ; -1.158288e+08 + i 8.504619e+06 ; 1.886573e+09 + i -2.732153e+08 ; -4.743768e+08 + i 7.259193e+07 ; -2.746889e+07 + i 4.003162e+06 ; -2.651629e+08 + i 3.209492e+06 ; -2.142731e+07 + i 3.472256e+06 ; -4.766581e+08 + i 7.271170e+07 ; -2.616354e+08 + i 3.106815e+06 ; -1.190788e+08 + i 2.321497e+07 ; -1.218506e+08 + i 2.339580e+07 ; -8.929037e+07 + i 1.819039e+07 ; 2.065021e+07 + i 5.739710e+05 ; 1.943122e+07 + i 8.507400e+05 ; -6.533963e+09 + i 5.532655e+08 ; 6.156979e+07 + i -4.660055e+06 ; 1.228683e+07 + i -2.995141e+05 ; -8.932230e+08 + i 1.271189e+08 ; 1.298378e+07 + i -5.411247e+05 ; 6.085211e+07 + i -4.604969e+06 ; -8.884836e+08 + i 1.268844e+08 ; 3.161275e+07 + i -3.159243e+06 ; 3.078582e+07 + i -2.999019e+06 ; -1.401858e+08 + i 3.770893e+07 ; 
3.521963e+07 + i -6.275390e+06 ; 9.726133e+05 + i -1.108820e+04 ; 4.207982e+06 + i -1.131848e+06 ; 5.204407e+07 + i -1.083120e+07 ; 9.557182e+05 + i 2.641761e+05 ; 1.954567e+07 + i -4.378557e+06 ; 1.601290e+07 + i -4.405801e+06 ; -3.176117e+06 + i 8.788706e+05 ; 3.260783e+06 + i -8.995438e+05 ; 1.561902e+07 + i -5.701151e+06 ; -1.240658e+07 + i 3.014884e+06 ; 1.291801e+07 + i -3.057439e+06 ; 7.921232e+07 + i -6.964717e+06 ; 9.102040e+05 + i 2.677809e+04 ; -1.195116e+06 + i -8.918025e+04 ; 1.622250e+08 + i -1.746019e+07 ; -9.259730e+04 + i 4.903100e+05 ; -4.089849e+05 + i -6.128114e+05 ; 3.525272e+07 + i -6.268921e+06 ; -4.119932e+06 + i 1.100377e+06 ; -1.159900e+06 + i -2.171753e+04 ; 5.206077e+07 + i -1.083535e+07 ; -1.880488e+07 + i 4.316718e+06 ; -1.245077e+06 + i -3.242140e+05 ; -2.610558e+08 + i 2.558977e+06 ; -2.744720e+07 + i 4.026823e+06 ; 5.069730e+08 + i -7.177017e+07 ; -8.906640e+08 + i 1.270165e+08 ; 1.255334e+07 + i -2.683113e+05 ; -5.868876e+07 + i 4.858276e+06 ; -8.655628e+07 + i 1.773307e+07 ; -1.229218e+08 + i 2.335768e+07 ; 1.289741e+08 + i -2.340328e+07 ; -1.386893e+08 + i 3.755828e+07 ; 3.138768e+07 + i -2.952963e+06 ; -3.232399e+07 + i 2.847849e+06 ; 1.891750e+09 + i -2.735670e+08 ; -1.185013e+08 + i 7.910781e+06 ; 1.171995e+08 + i -8.395338e+06 ; -6.535314e+09 + i 5.535655e+08 ; 1.985820e+07 + i 9.895253e+05 ; -2.088319e+07 + i -1.224854e+06 ; -2.599114e+08 + i 2.771083e+06 ; -4.829570e+08 + i 7.258471e+07 ; 2.829010e+07 + i -3.978260e+06 ; -8.908301e+08 + i 1.269941e+08 ; 6.279638e+07 + i -4.030800e+06 ; -1.318203e+07 + i 1.467824e+05 ; 
5.608169e+05 + i 3.754881e+05 ; -7.848551e+06 + i 1.764087e+06 ; 1.586452e+06 + i -1.906745e+05 ; 2.512539e+06 + i 3.178732e+05 ; -1.878108e+07 + i 4.355195e+06 ; 4.902889e+06 + i -4.390993e+05 ; -2.352730e+07 + i 2.409961e+06 ; -7.140785e+06 + i 1.587220e+06 ; -3.470425e+05 + i 1.954280e+05 ; -4.214019e+07 + i 5.244670e+06 ; -1.720751e+07 + i 3.757854e+06 ; -4.371095e+06 + i 1.049190e+06 ; -6.686605e+05 + i 4.842207e+05 ; -9.497231e+06 + i 2.021161e+06 ; 1.168073e+06 + i -1.262026e+05 ; 4.594843e+05 + i 5.703357e+05 ; -2.398600e+07 + i 5.573744e+06 ; 3.090811e+06 + i -2.066138e+05 ; -3.336738e+07 + i 2.617175e+06 ; -8.514134e+06 + i 1.807551e+06 ; 8.890216e+05 + i -5.529336e+04 ; -6.666007e+07 + i 6.926067e+06 ; -2.309174e+07 + i 4.759032e+06 ; 1.485254e+06 + i -2.712405e+04 ; 3.172232e+07 + i -2.665576e+06 ; -1.402639e+08 + i 3.771200e+07 ; 3.268457e+07 + i -2.788597e+06 ; 1.212550e+07 + i -9.918765e+04 ; -8.945900e+08 + i 1.271636e+08 ; 6.472218e+07 + i -4.080917e+06 ; -1.332134e+08 + i 2.364509e+07 ; -8.929774e+07 + i 1.819780e+07 ; -1.288574e+08 + i 2.361823e+07 ; -3.005060e+07 + i 4.127207e+06 ; -2.664416e+08 + i 3.282699e+06 ; -5.072217e+08 + i 7.202564e+07 ; 6.413195e+07 + i -3.573982e+06 ; -8.936205e+08 + i 1.270295e+08 ; 1.280910e+07 + i -1.745228e+05 ; 1.957040e+07 + i 1.262079e+06 ; -6.540788e+09 + i 5.535695e+08 ; 2.033297e+07 + i 1.093579e+06 ; -5.126759e+08 + i 7.205456e+07 ; -2.652547e+08 + i 3.258050e+06 ; -2.813415e+07 + i 4.100617e+06 ; -1.264196e+08 + i 7.389082e+06 ; 1.880999e+09 + i -2.731370e+08 ; -1.238305e+08 + i 7.647399e+06 ; 
3.349817e+07 + i -2.598079e+06 ; 8.038060e+05 + i -6.854539e+04 ; -8.590260e+06 + i 1.788083e+06 ; 6.689409e+07 + i -6.897251e+06 ; 1.357187e+06 + i -4.531604e+04 ; -2.325855e+07 + i 4.721991e+06 ; 2.362902e+07 + i -2.397397e+06 ; -3.738080e+05 + i 1.797091e+05 ; -7.190968e+06 + i 1.576385e+06 ; 4.228621e+07 + i -5.232657e+06 ; -4.236484e+06 + i 1.023556e+06 ; -1.730616e+07 + i 3.739395e+06 ; 9.237906e+05 + i -4.291612e+05 ; 1.126303e+06 + i -1.265213e+05 ; -9.488228e+06 + i 2.026615e+06 ; 4.058150e+04 + i -4.772086e+05 ; 2.980489e+06 + i -2.142977e+05 ; -2.395323e+07 + i 5.585381e+06 ; -3.929267e+05 + i -3.454852e+05 ; 1.519196e+06 + i -1.928293e+05 ; -7.844359e+06 + i 1.766847e+06 ; -2.230859e+06 + i -2.751929e+05 ; 4.689356e+06 + i -4.545217e+05 ; -1.876599e+07 + i 4.359191e+06 ; 5.131360e+08 + i -7.194484e+07 ; -2.799888e+07 + i 3.948546e+06 ; -2.665398e+08 + i 3.027694e+06 ; 1.199185e+08 + i -8.444736e+06 ; -1.177901e+08 + i 8.384052e+06 ; 1.880823e+09 + i -2.731728e+08 ; 1.332590e+08 + i -2.366953e+07 ; -1.235155e+08 + i 2.343467e+07 ; -8.947001e+07 + i 1.819700e+07 ; 3.054994e+07 + i -4.002897e+06 ; -4.835183e+08 + i 7.274777e+07 ; -2.664614e+08 + i 3.290956e+06 ; -5.726053e+07 + i 4.725944e+06 ; 1.231714e+07 + i -2.596873e+05 ; -8.931145e+08 + i 1.271400e+08 ; -1.983880e+07 + i -1.319656e+06 ; 1.961437e+07 + i 9.440839e+05 ; -6.540604e+09 + i 5.536325e+08 ; -3.111271e+07 + i 2.714966e+06 ; 3.124487e+07 + i -2.893146e+06 ; -1.401291e+08 + i 3.771846e+07 ; -1.199767e+07 + i 1.309775e+05 ; 6.164601e+07 + i -4.450673e+06 ; -8.942718e+08 + i 1.272327e+08 ; 
1.559281e+07 + i -5.711112e+06 ; 1.189580e+07 + i -2.934228e+06 ; 1.189504e+07 + i -2.934466e+06 ; 4.515908e+06 + i -5.109739e+06 ; 7.181252e+07 + i -1.188947e+07 ; 7.181180e+07 + i -1.188979e+07 ; 5.199818e+07 + i -1.085222e+07 ; 1.587951e+06 + i -6.271385e+05 ; 1.584764e+07 + i -4.140497e+06 ; 7.175880e+07 + i -1.757129e+07 ; 1.765622e+07 + i -1.923628e+06 ; 1.495479e+08 + i -2.186133e+07 ; 5.199912e+07 + i -1.085217e+07 ; 1.584721e+07 + i -4.140619e+06 ; 1.590267e+06 + i -6.265516e+05 ; 7.175990e+07 + i -1.757112e+07 ; 1.495482e+08 + i -2.186131e+07 ; 1.766153e+07 + i -1.921586e+06 ; 1.621881e+08 + i -1.747363e+07 ; 2.869547e+06 + i -9.926760e+05 ; 2.871996e+06 + i -9.922301e+05 ; 3.661066e+08 + i -5.164278e+07 ; 3.802184e+07 + i -2.566877e+06 ; 3.802222e+07 + i -2.566367e+06 ; -1.357767e+08 + i 3.683980e+07 ; 2.847561e+07 + i -2.475692e+06 ; 2.847730e+07 + i -2.475237e+06 ; -8.641982e+07 + i 1.773374e+07 ; -1.304238e+08 + i 2.362860e+07 ; -1.304211e+08 + i 2.362980e+07 ; -8.832638e+08 + i 1.258929e+08 ; 1.022166e+07 + i -7.231393e+04 ; 6.030680e+07 + i -3.722538e+06 ; -2.600168e+08 + i 2.733381e+06 ; -2.889827e+07 + i 4.169694e+06 ; -5.091099e+08 + i 7.215809e+07 ; -8.832586e+08 + i 1.258944e+08 ; 6.030545e+07 + i -3.722909e+06 ; 1.021736e+07 + i -7.285114e+04 ; -2.600177e+08 + i 2.734513e+06 ; -5.091094e+08 + i 7.215869e+07 ; -2.891696e+07 + i 4.162916e+06 ; -6.518076e+09 + i 5.521254e+08 ; 1.746972e+07 + i 1.179643e+06 ; 1.746137e+07 + i 1.178690e+06 ; 1.891794e+09 + i -2.735648e+08 ; -1.249515e+08 + i 7.813367e+06 ; -1.249582e+08 + i 7.810480e+06 ; 
3.677052e+07 + i -5.390371e+06 ; -1.715351e+07 + i 3.771305e+06 ; 2.647458e+06 + i -9.346090e+05 ; 6.954332e+07 + i -1.196335e+07 ; -5.879280e+07 + i 8.590836e+06 ; 3.994317e+07 + i -6.652013e+06 ; -1.088958e+07 + i 5.734691e+05 ; -1.876472e+07 + i 4.356850e+06 ; -3.858133e+06 + i 4.364650e+05 ; -1.711828e+07 + i 1.507089e+06 ; -8.798356e+07 + i 1.555479e+07 ; -1.326790e+07 + i 8.835765e+05 ; 6.416098e+07 + i -7.727391e+06 ; -2.301052e+07 + i 4.781293e+06 ; -9.613436e+05 + i -7.364732e+04 ; 1.420801e+08 + i -2.237228e+07 ; -9.450829e+07 + i 9.062411e+06 ; 5.957890e+06 + i -5.882094e+05 ; -1.420708e+07 + i 3.314550e+05 ; -2.395080e+07 + i 5.582236e+06 ; -2.430690e+06 + i 2.064712e+05 ; -2.574260e+07 + i 1.720093e+06 ; -1.743620e+08 + i 2.512910e+07 ; -6.562051e+06 + i 1.239743e+05 ; -2.179034e+07 + i 3.490394e+06 ; -2.628144e+08 + i 2.950247e+06 ; 5.079517e+08 + i -7.177878e+07 ; -1.207358e+08 + i 2.325689e+07 ; -8.952045e+07 + i 1.818392e+07 ; 1.298826e+08 + i -2.347412e+07 ; 1.328171e+07 + i -4.955638e+05 ; -8.884192e+08 + i 1.268860e+08 ; -5.859169e+07 + i 4.878934e+06 ; 3.230334e+07 + i -3.068501e+06 ; -1.401481e+08 + i 3.771318e+07 ; -3.230237e+07 + i 2.840718e+06 ; -1.092131e+08 + i 7.631916e+06 ; 1.886117e+09 + i -2.733142e+08 ; 1.170681e+08 + i -8.411410e+06 ; -4.806558e+08 + i 7.254472e+07 ; -2.653471e+08 + i 3.197308e+06 ; 2.862158e+07 + i -4.001293e+06 ; 2.096537e+07 + i 6.355539e+05 ; -6.533893e+09 + i 5.532867e+08 ; -2.089556e+07 + i -1.215089e+06 ; 6.268672e+07 + i -4.528018e+06 ; -8.932024e+08 + i 1.271271e+08 ; -1.313275e+07 + i 1.612564e+05 ; 
3.677379e+07 + i -5.389980e+06 ; 2.647344e+06 + i -9.346680e+05 ; -1.715293e+07 + i 3.771405e+06 ; 6.954418e+07 + i -1.196309e+07 ; 3.994291e+07 + i -6.652095e+06 ; -5.879402e+07 + i 8.590718e+06 ; 6.416131e+07 + i -7.727458e+06 ; -9.609537e+05 + i -7.351057e+04 ; -2.300923e+07 + i 4.781566e+06 ; 1.420801e+08 + i -2.237231e+07 ; 5.958711e+06 + i -5.878900e+05 ; -9.450111e+07 + i 9.064572e+06 ; -1.088819e+07 + i 5.734940e+05 ; -3.858079e+06 + i 4.364766e+05 ; -1.876896e+07 + i 4.355879e+06 ; -1.711958e+07 + i 1.506781e+06 ; -1.326725e+07 + i 8.838705e+05 ; -8.798579e+07 + i 1.555470e+07 ; -1.419961e+07 + i 3.330263e+05 ; -2.430639e+06 + i 2.064769e+05 ; -2.395873e+07 + i 5.580380e+06 ; -2.573938e+07 + i 1.721049e+06 ; -6.562168e+06 + i 1.239707e+05 ; -1.743722e+08 + i 2.512722e+07 ; -2.179910e+07 + i 3.489945e+06 ; 5.079524e+08 + i -7.177868e+07 ; -2.628133e+08 + i 2.949756e+06 ; -1.207359e+08 + i 2.325677e+07 ; 1.298836e+08 + i -2.347403e+07 ; -8.951117e+07 + i 1.818443e+07 ; -1.092210e+08 + i 7.630021e+06 ; 1.170704e+08 + i -8.410469e+06 ; 1.886155e+09 + i -2.732995e+08 ; -4.806552e+08 + i 7.254494e+07 ; 2.862285e+07 + i -4.000702e+06 ; -2.653217e+08 + i 3.202805e+06 ; 1.327704e+07 + i -4.954614e+05 ; -5.858664e+07 + i 4.881191e+06 ; -8.883496e+08 + i 1.269114e+08 ; 3.231034e+07 + i -3.066339e+06 ; -3.229921e+07 + i 2.841782e+06 ; -1.401322e+08 + i 3.771506e+07 ; 2.094319e+07 + i 6.311948e+05 ; -2.089591e+07 + i -1.215233e+06 ; -6.533888e+09 + i 5.532913e+08 ; 6.268837e+07 + i -4.527343e+06 ; -1.313196e+07 + i 1.613616e+05 ; -8.931748e+08 + i 1.271296e+08 ; 
1.599543e+07 + i -4.408583e+06 ; 3.322510e+06 + i -8.997788e+05 ; 3.322479e+06 + i -8.998129e+05 ; 1.560506e+07 + i -5.699901e+06 ; 1.311885e+07 + i -3.063001e+06 ; 1.311856e+07 + i -3.063214e+06 ; 3.522671e+07 + i -6.274420e+06 ; -1.150178e+06 + i -1.311450e+04 ; 4.289554e+06 + i -1.133682e+06 ; 5.204692e+07 + i -1.082959e+07 ; -1.231423e+06 + i -3.107991e+05 ; 1.987111e+07 + i -4.385892e+06 ; 3.522745e+07 + i -6.274209e+06 ; 4.289263e+06 + i -1.133754e+06 ; -1.150215e+06 + i -1.310187e+04 ; 5.204774e+07 + i -1.082904e+07 ; 1.987083e+07 + i -4.385928e+06 ; -1.230015e+06 + i -3.100988e+05 ; 7.921894e+07 + i -6.964184e+06 ; -1.183251e+06 + i -8.427795e+04 ; -1.183965e+06 + i -8.446544e+04 ; 1.622278e+08 + i -1.745655e+07 ; -3.622643e+05 + i -6.059261e+05 ; -3.640500e+05 + i -6.060590e+05 ; -8.670203e+07 + i 1.773356e+07 ; 1.307194e+08 + i -2.342663e+07 ; 1.307160e+08 + i -2.342802e+07 ; -1.386217e+08 + i 3.757304e+07 ; -3.364216e+07 + i 2.602706e+06 ; -3.364293e+07 + i 2.602451e+06 ; -2.610428e+08 + i 2.572079e+06 ; 2.849173e+07 + i -3.895345e+06 ; 5.146131e+08 + i -7.150675e+07 ; -8.906283e+08 + i 1.270264e+08 ; -1.322212e+07 + i 1.620040e+05 ; -5.984819e+07 + i 4.676903e+06 ; -2.610496e+08 + i 2.571989e+06 ; 5.146130e+08 + i -7.150723e+07 ; 2.851053e+07 + i -3.888341e+06 ; -8.906160e+08 + i 1.270303e+08 ; -5.984738e+07 + i 4.676994e+06 ; -1.321725e+07 + i 1.628652e+05 ; 1.891297e+09 + i -2.736756e+08 ; 1.189056e+08 + i -8.192159e+06 ; 1.189122e+08 + i -8.189249e+06 ; -6.535282e+09 + i 5.535758e+08 ; -2.114913e+07 + i -1.281501e+06 ; -2.114048e+07 + i -1.280116e+06 ; 
2.391672e+07 + i -2.379212e+06 ; -7.186520e+06 + i 1.578254e+06 ; 3.400459e+05 + i -1.993016e+05 ; 4.281792e+07 + i -5.207046e+06 ; -1.729744e+07 + i 3.744054e+06 ; 4.410121e+06 + i -1.059377e+06 ; -4.550445e+05 + i -3.664684e+05 ; -7.840047e+06 + i 1.767886e+06 ; -1.619043e+06 + i 1.879759e+05 ; -2.378519e+06 + i -3.130393e+05 ; -1.875274e+07 + i 4.362509e+06 ; -4.998812e+06 + i 4.284786e+05 ; 3.394515e+07 + i -2.552165e+06 ; -8.589258e+06 + i 1.789332e+06 ; -9.334147e+05 + i 4.572930e+04 ; 6.778981e+07 + i -6.828819e+06 ; -2.325843e+07 + i 4.724513e+06 ; -1.595356e+06 + i 1.452737e+03 ; 8.961680e+05 + i -4.424854e+05 ; -9.485126e+06 + i 2.027181e+06 ; -1.199992e+06 + i 1.221883e+05 ; -3.472907e+04 + i -4.998872e+05 ; -2.394591e+07 + i 5.587049e+06 ; -3.169030e+06 + i 1.951423e+05 ; 1.350714e+08 + i -2.364897e+07 ; -8.965959e+07 + i 1.819544e+07 ; 1.313464e+08 + i -2.351108e+07 ; 3.070290e+07 + i -3.966480e+06 ; -2.675836e+08 + i 3.144613e+06 ; 5.153371e+08 + i -7.160788e+07 ; -3.239867e+07 + i 2.464239e+06 ; -1.400794e+08 + i 3.772924e+07 ; -3.342957e+07 + i 2.590720e+06 ; -1.229601e+07 + i 7.406111e+04 ; -8.941873e+08 + i 1.272402e+08 ; -5.975785e+07 + i 4.656856e+06 ; 5.202168e+08 + i -7.167196e+07 ; -2.666041e+08 + i 3.035001e+06 ; 2.884334e+07 + i -3.929812e+06 ; 1.219345e+08 + i -8.204191e+06 ; 1.880409e+09 + i -2.732615e+08 ; 1.192673e+08 + i -8.236738e+06 ; -5.866725e+07 + i 4.529568e+06 ; -8.930887e+08 + i 1.271511e+08 ; -1.300149e+07 + i 1.521897e+05 ; -2.005305e+07 + i -1.362217e+06 ; -6.540544e+09 + i 5.536493e+08 ; -2.102056e+07 + i -1.299249e+06 ; 
