-6.773697e+08 + i 2.556483e+09 ; 5.339782e+06 + i 2.380148e+07 ; 5.376871e+06 + i 2.378147e+07 ; -4.066176e+08 + i -3.651719e+08 ; -3.645414e+07 + i -4.736637e+07 ; -3.647447e+07 + i -4.732563e+07 ; 1.709252e+08 + i 2.088589e+08 ; 1.731087e+07 + i 2.850981e+07 ; 1.015268e+07 + i 3.638361e+06 ; 6.800221e+07 + i 1.894414e+08 ; -1.004149e+08 + i -6.471829e+07 ; -1.108968e+07 + i 4.893567e+06 ; 1.709441e+08 + i 2.088147e+08 ; 1.004582e+07 + i 3.648560e+06 ; 1.727297e+07 + i 2.853573e+07 ; 6.810918e+07 + i 1.893815e+08 ; -1.099438e+07 + i 4.710974e+06 ; -1.004099e+08 + i -6.471703e+07 ; 5.245973e+07 + i -7.079242e+07 ; 1.393016e+07 + i 4.373471e+06 ; 1.396414e+07 + i 4.303536e+06 ; 5.730453e+07 + i -6.128574e+07 ; -2.417896e+07 + i 3.431690e+06 ; -2.421607e+07 + i 3.395913e+06 ; -3.350118e+07 + i -5.782884e+07 ; 1.092140e+05 + i 2.830443e+06 ; 1.181984e+05 + i 2.829269e+06 ; -1.323082e+07 + i -3.857203e+07 ; 8.043499e+05 + i 2.094875e+05 ; 8.048238e+05 + i 2.070833e+05 ; -1.940576e+07 + i 1.243682e+07 ; -2.534685e+06 + i 2.625965e+06 ; 1.234282e+06 + i 1.691647e+06 ; -1.674206e+07 + i 5.942879e+06 ; 1.354235e+05 + i 1.257832e+05 ; 5.148121e+05 + i -1.619596e+04 ; -1.938804e+07 + i 1.240609e+07 ; 1.228398e+06 + i 1.667686e+06 ; -2.529544e+06 + i 2.624918e+06 ; -1.672472e+07 + i 5.931775e+06 ; 5.107799e+05 + i -1.524706e+04 ; 1.353245e+05 + i 1.257484e+05 ; 1.055315e+07 + i 1.000957e+07 ; -6.389049e+05 + i 1.468696e+06 ; -6.393215e+05 + i 1.480241e+06 ; 6.301029e+06 + i 8.916029e+06 ; -3.622493e+04 + i -7.153094e+04 ; -3.397560e+04 + i -7.138959e+04 ; 
-5.090166e+05 + i -4.854019e+06 ; -4.950304e+05 + i -6.082682e+04 ; 7.696339e+05 + i 7.765785e+05 ; -1.593754e+06 + i -6.011434e+06 ; -1.676971e+06 + i -9.541027e+05 ; -4.618227e+04 + i -2.541120e+06 ; 2.669515e+06 + i -4.190331e+06 ; -4.599614e+05 + i -2.736891e+04 ; 1.669336e+04 + i 1.171556e+05 ; 2.326178e+06 + i -5.807588e+06 ; -1.293682e+06 + i -6.443944e+05 ; 5.609641e+06 + i -5.412867e+06 ; 8.456140e+06 + i 7.444434e+06 ; 8.928930e+04 + i -2.037456e+05 ; 7.887085e+05 + i 5.827838e+05 ; 1.287497e+07 + i 9.703521e+06 ; -7.492880e+03 + i -2.888093e+05 ; -2.594393e+04 + i -2.754140e+06 ; 6.657706e+06 + i 1.721182e+07 ; -5.028461e+04 + i -3.499943e+05 ; 1.968545e+05 + i 1.249285e+04 ; 1.415060e+07 + i 2.518435e+07 ; -1.055240e+06 + i -9.037062e+05 ; 6.749069e+06 + i -4.995491e+06 ; -1.727690e+07 + i -9.936336e+06 ; -1.805008e+07 + i -9.138417e+06 ; 5.543515e+07 + i -7.099524e+07 ; -1.283409e+07 + i -6.853243e+06 ; -1.271012e+07 + i -4.056106e+07 ; 1.716948e+08 + i 2.118416e+08 ; -1.156114e+07 + i -4.091356e+07 ; -1.343355e+07 + i -6.329658e+06 ; 1.708036e+08 + i 2.119656e+08 ; 9.617206e+05 + i -3.062845e+07 ; 9.719066e+04 + i -3.060769e+07 ; -6.803751e+08 + i 2.562338e+09 ; 3.703897e+07 + i 1.104740e+06 ; 3.573315e+07 + i -1.585087e+06 ; 5.831826e+07 + i -6.340084e+07 ; 2.017841e+07 + i -7.211103e+06 ; 1.066209e+08 + i 1.104779e+08 ; 7.209753e+07 + i 1.901789e+08 ; 1.070397e+08 + i 1.152348e+08 ; 1.935459e+07 + i -8.859343e+06 ; 7.135610e+07 + i 1.903397e+08 ; 3.018639e+07 + i 7.362333e+07 ; 3.025651e+07 + i 7.077917e+07 ; -4.042226e+08 + i -3.568608e+08 ; 
-1.985733e+07 + i 1.247300e+07 ; -1.350620e+06 + i -1.553217e+06 ; -2.693879e+06 + i 5.127425e+06 ; -2.027613e+07 + i 1.995825e+07 ; 5.907844e+06 + i 5.701972e+05 ; -3.288831e+07 + i -2.485630e+07 ; 1.055820e+07 + i 1.026972e+07 ; -1.610787e+05 + i -1.347820e+06 ; -7.946319e+04 + i 1.712323e+06 ; 1.630466e+07 + i 1.110140e+07 ; 1.395823e+07 + i 2.658765e+06 ; -1.577039e+07 + i -5.233985e+06 ; -3.309403e+07 + i -5.795776e+07 ; 5.371646e+05 + i -4.331278e+06 ; -1.081858e+06 + i 4.341497e+06 ; -7.255303e+07 + i -8.207418e+07 ; 1.178451e+07 + i 1.186778e+07 ; -1.147512e+07 + i -1.665813e+07 ; -1.938834e+07 + i 1.252871e+07 ; 1.536586e+06 + i -4.587911e+06 ; 1.201142e+06 + i 1.726121e+06 ; -2.054167e+07 + i 2.028397e+07 ; 3.053944e+07 + i 1.738692e+07 ; -6.600408e+06 + i -2.125461e+06 ; 1.655584e+08 + i 2.103110e+08 ; 9.555316e+06 + i 2.986198e+06 ; -1.552382e+07 + i -2.956343e+07 ; 6.822055e+07 + i 1.904811e+08 ; -1.252977e+07 + i 6.486999e+06 ; 1.126306e+08 + i 9.512941e+07 ; 5.386143e+07 + i -6.869861e+07 ; 1.324605e+07 + i 3.711857e+06 ; -1.389687e+07 + i -6.011206e+06 ; 5.766721e+07 + i -6.147308e+07 ; -2.582638e+07 + i 3.113870e+06 ; 3.031531e+07 + i -1.353895e+06 ; -6.841344e+08 + i 2.550080e+09 ; 3.553231e+06 + i 2.340481e+07 ; -3.413888e+06 + i -2.473207e+07 ; -4.067586e+08 + i -3.644060e+08 ; -3.707602e+07 + i -5.023624e+07 ; 3.718565e+07 + i 5.871874e+07 ; 1.689069e+08 + i 2.100517e+08 ; 1.510270e+07 + i 2.884051e+07 ; -9.807430e+06 + i -4.231296e+06 ; 6.851524e+07 + i 1.897735e+08 ; -1.037495e+08 + i -7.104375e+07 ; 1.389449e+07 + i -5.549332e+06 ; 
-5.160026e+06 + i -3.086478e+06 ; -2.354670e+04 + i -3.039828e+06 ; -1.737517e+06 + i 7.714486e+04 ; -6.196682e+06 + i -2.980733e+06 ; 2.284315e+07 + i 1.688515e+06 ; -4.153375e+06 + i -5.789719e+06 ; 9.105422e+06 + i 3.069408e+06 ; -1.436424e+05 + i -2.666056e+06 ; 5.504065e+04 + i -1.281855e+06 ; 1.365987e+07 + i 4.259212e+06 ; 1.958545e+07 + i 2.273810e+06 ; 8.177806e+06 + i 3.578051e+06 ; -5.755680e+06 + i -9.085782e+06 ; 6.322337e+06 + i -5.806484e+06 ; -1.342117e+06 + i 1.188212e+05 ; -9.020438e+06 + i -9.633566e+06 ; 3.560877e+07 + i 3.679923e+07 ; -2.469847e+06 + i -4.581297e+06 ; 1.762448e+07 + i 1.368354e+07 ; 6.570295e+06 + i -5.021274e+06 ; -3.521059e+05 + i -1.101209e+06 ; 3.092782e+07 + i 1.574608e+07 ; 2.272137e+07 + i 3.478284e+07 ; 1.700085e+06 + i 1.417392e+06 ; 1.039824e+07 + i 3.605966e+06 ; 1.688382e+08 + i 2.085915e+08 ; -1.738080e+07 + i -2.929204e+07 ; 1.475681e+07 + i 4.977340e+06 ; 5.435446e+07 + i -7.153469e+07 ; -1.491953e+07 + i -7.854702e+06 ; -1.025921e+07 + i 7.296873e+06 ; 6.963256e+07 + i 1.891952e+08 ; 1.124821e+08 + i 9.419348e+07 ; -2.446127e+07 + i 3.652038e+06 ; 5.825603e+07 + i -6.336503e+07 ; 2.962340e+07 + i -6.639102e+05 ; 4.724737e+06 + i 2.306556e+07 ; -6.814253e+08 + i 2.558226e+09 ; -5.053346e+06 + i -2.539078e+07 ; 1.643156e+07 + i 2.907740e+07 ; 1.734813e+08 + i 2.112502e+08 ; -1.052623e+07 + i -5.879021e+06 ; -3.324394e+07 + i -4.650347e+07 ; -4.070865e+08 + i -3.603383e+08 ; 3.680594e+07 + i 5.638680e+07 ; -1.021383e+08 + i -6.910353e+07 ; 7.157197e+07 + i 1.905419e+08 ; 1.319974e+07 + i -4.875068e+06 ; 
-1.722915e+07 + i -1.350250e+07 ; -3.469294e+05 + i -1.081460e+06 ; 7.110484e+06 + i -5.420695e+06 ; -3.082794e+07 + i -1.502738e+07 ; 1.555619e+06 + i 7.408436e+05 ; 2.326357e+07 + i 3.416826e+07 ; -8.796962e+06 + i -3.284030e+06 ; -8.830347e+04 + i -1.190412e+06 ; -3.977522e+04 + i -3.022567e+06 ; -1.347878e+07 + i -4.022859e+06 ; 7.352515e+06 + i 1.994625e+06 ; 1.967558e+07 + i 1.917429e+06 ; 5.517699e+06 + i 9.476157e+06 ; -1.204513e+06 + i 3.257104e+05 ; 5.827253e+06 + i -5.453516e+06 ; 8.394208e+06 + i 1.111813e+07 ; -2.713196e+06 + i -3.485416e+06 ; 3.499741e+07 + i 3.709392e+07 ; 5.146467e+06 + i 3.232369e+06 ; -1.426642e+06 + i 2.630344e+05 ; -1.620943e+05 + i -2.594055e+06 ; 6.186395e+06 + i 3.657459e+06 ; -4.069984e+06 + i -4.399054e+06 ; 2.259912e+07 + i 1.973750e+06 ; 3.464563e+07 + i 4.115158e+07 ; 3.803770e+07 + i 4.301374e+07 ; -4.049605e+08 + i -3.613423e+08 ; 1.038367e+08 + i 6.890408e+07 ; 1.122093e+07 + i -5.103428e+06 ; 7.160052e+07 + i 1.908898e+08 ; 9.201368e+06 + i -6.664077e+06 ; 1.049377e+08 + i 6.995204e+07 ; 6.979538e+07 + i 1.885121e+08 ; 2.458553e+07 + i -4.570293e+06 ; 2.561611e+07 + i -3.555099e+06 ; 5.850472e+07 + i -6.392693e+07 ; -6.832006e+06 + i -2.198406e+07 ; -6.781871e+06 + i -2.269089e+07 ; -6.811985e+08 + i 2.558012e+09 ; -1.861720e+07 + i -2.300723e+07 ; -1.028323e+07 + i -3.256795e+06 ; 1.722994e+08 + i 2.103168e+08 ; -1.012168e+07 + i -2.360872e+06 ; -1.881392e+07 + i -2.234626e+07 ; 1.704909e+08 + i 2.074993e+08 ; -1.407002e+07 + i -4.200990e+06 ; -1.386991e+07 + i -4.811608e+06 ; 5.327549e+07 + i -7.136105e+07 ; 
-1.698032e+07 + i 5.864924e+06 ; -6.359033e+05 + i 4.369745e+04 ; 7.080003e+05 + i 6.354996e+05 ; -1.921325e+07 + i 1.214791e+07 ; -1.295293e+06 + i -1.986512e+06 ; -2.964913e+06 + i 3.159259e+06 ; 6.299100e+06 + i 9.128158e+06 ; 4.005125e+04 + i 1.086920e+05 ; 2.669591e+05 + i -1.930160e+05 ; 1.043853e+07 + i 1.006496e+07 ; 7.897900e+05 + i -1.587695e+06 ; -8.312280e+05 + i 1.474014e+06 ; -1.292679e+07 + i -3.850330e+07 ; -1.023068e+06 + i -2.989147e+05 ; -1.285111e+05 + i 1.593554e+06 ; -3.266969e+07 + i -5.820492e+07 ; -7.726917e+04 + i -3.230751e+06 ; -2.057153e+06 + i 5.874306e+06 ; -1.671137e+07 + i 6.036147e+06 ; -1.795284e+05 + i -1.270380e+05 ; 5.388779e+05 + i 7.306469e+05 ; -1.943304e+07 + i 1.222151e+07 ; 2.912805e+06 + i -2.708345e+06 ; 9.043239e+05 + i 3.357374e+06 ; 6.523201e+07 + i 1.935720e+08 ; 1.362854e+07 + i -5.882953e+06 ; -1.075222e+08 + i -1.107066e+08 ; 1.704660e+08 + i 2.089688e+08 ; -1.103322e+07 + i -4.358803e+06 ; 2.309623e+07 + i 1.552971e+07 ; 5.873451e+07 + i -6.148195e+07 ; 2.673028e+07 + i -2.232574e+06 ; -2.991129e+07 + i -1.845001e+06 ; 5.273231e+07 + i -7.055663e+07 ; -1.521600e+07 + i -5.905428e+06 ; 1.326511e+07 + i 8.553377e+06 ; -4.071440e+08 + i -3.636711e+08 ; 3.548896e+07 + i 5.365497e+07 ; -4.137611e+07 + i -4.505916e+07 ; -6.785478e+08 + i 2.556544e+09 ; -4.926354e+06 + i -2.569045e+07 ; 5.652553e+05 + i 3.131603e+07 ; 6.983516e+07 + i 1.899050e+08 ; 1.052174e+08 + i 7.722654e+07 ; -1.219905e+07 + i 4.840900e+06 ; 1.707434e+08 + i 2.094893e+08 ; -1.567328e+07 + i -3.221466e+07 ; 9.781620e+06 + i 7.283526e+06 ; 
-4.705385e+05 + i -4.693871e+06 ; 7.742226e+05 + i 7.787937e+05 ; -5.261615e+05 + i -1.011054e+05 ; -1.511880e+06 + i -5.801481e+06 ; -5.659891e+04 + i -2.549411e+06 ; -1.731013e+06 + i -1.121261e+06 ; 8.122151e+06 + i 7.436920e+06 ; 8.087797e+05 + i 5.963375e+05 ; 2.125909e+05 + i -2.950369e+05 ; 1.228311e+07 + i 9.896946e+06 ; 9.309351e+03 + i -2.757264e+06 ; 3.366581e+05 + i -4.466045e+05 ; 2.746207e+06 + i -4.203398e+06 ; -5.759566e+03 + i 1.172782e+05 ; -4.829518e+05 + i -1.900661e+04 ; 2.429035e+06 + i -5.788624e+06 ; 5.575511e+06 + i -5.441753e+06 ; -1.319881e+06 + i -7.319954e+05 ; 6.964659e+06 + i 1.738130e+07 ; 2.049622e+05 + i 3.825026e+04 ; -4.208031e+04 + i -4.143966e+05 ; 1.461944e+07 + i 2.531816e+07 ; 6.769072e+06 + i -5.004788e+06 ; -8.661396e+05 + i -9.422255e+05 ; -1.555750e+07 + i -1.043830e+07 ; 5.543217e+07 + i -7.121497e+07 ; -1.541031e+07 + i -1.038651e+07 ; -1.116092e+07 + i -6.853537e+06 ; 1.719440e+08 + i 2.116554e+08 ; -1.591726e+07 + i -3.297221e+07 ; 3.250647e+07 + i 4.351367e+06 ; 5.861013e+07 + i -6.356583e+07 ; 3.336384e+07 + i -8.499686e+05 ; 1.640772e+07 + i -4.855494e+06 ; 7.176026e+07 + i 1.916220e+08 ; 1.101099e+08 + i 1.066801e+08 ; -1.169684e+07 + i -3.944970e+07 ; 1.712964e+08 + i 2.123500e+08 ; -1.095220e+07 + i -6.735209e+06 ; -4.239359e+05 + i -2.970024e+07 ; -6.810639e+08 + i 2.562460e+09 ; -2.860565e+06 + i -2.736121e+07 ; 1.108939e+08 + i 1.125906e+08 ; 7.213575e+07 + i 1.905065e+08 ; 1.562730e+07 + i -6.305801e+06 ; 3.330142e+07 + i 6.897451e+07 ; -4.050113e+08 + i -3.565844e+08 ; 3.311163e+07 + i 6.317059e+07 ; 
-7.162636e+06 + i -1.778660e+07 ; -1.764248e+05 + i -1.382563e+05 ; -3.969623e+05 + i 3.499639e+05 ; -1.541328e+07 + i -2.605149e+07 ; -7.499312e+05 + i -4.836207e+05 ; 5.956290e+06 + i -4.276997e+06 ; -8.317734e+06 + i -7.512185e+06 ; -8.271193e+04 + i -8.629683e+04 ; 6.906781e+05 + i 1.001265e+06 ; -1.287059e+07 + i -9.890450e+06 ; 6.014205e+04 + i -1.578484e+05 ; -7.767571e+04 + i -2.170193e+06 ; -1.559656e+06 + i 3.129372e+06 ; -3.216381e+05 + i -3.948725e+04 ; 4.393162e+05 + i 9.896454e+04 ; -1.439106e+06 + i 3.810778e+06 ; -1.050823e+06 + i -6.596357e+05 ; 6.132141e+06 + i -5.543654e+06 ; 6.416869e+05 + i 3.877653e+06 ; -4.078222e+05 + i -2.190185e+04 ; 8.994398e+05 + i 5.409018e+05 ; 1.381727e+06 + i 4.796135e+06 ; -1.528333e+06 + i -8.110092e+05 ; -4.910096e+04 + i -2.774343e+06 ; -1.084742e+08 + i -1.153470e+08 ; 1.039139e+07 + i -3.754191e+06 ; 6.829151e+07 + i 1.948968e+08 ; -4.165379e+07 + i -4.720659e+07 ; 3.949766e+07 + i 4.640470e+07 ; -4.054630e+08 + i -3.555376e+08 ; -3.346474e+07 + i -3.123569e+06 ; 2.614025e+07 + i -2.705397e+06 ; 6.010678e+07 + i -6.337426e+07 ; -1.395467e+07 + i 2.547958e+06 ; 1.073652e+08 + i 7.591953e+07 ; 7.277870e+07 + i 1.916239e+08 ; 2.212587e+07 + i 1.535448e+07 ; -1.004443e+07 + i -3.823442e+06 ; 1.725298e+08 + i 2.097717e+08 ; -7.664179e+05 + i 3.136373e+07 ; -6.470364e+06 + i -2.445245e+07 ; -6.779993e+08 + i 2.561501e+09 ; 1.363769e+07 + i 8.982085e+06 ; -1.248652e+07 + i -6.935566e+06 ; 5.336335e+07 + i -7.166550e+07 ; 1.127407e+07 + i 5.638300e+06 ; -1.976236e+07 + i -2.481667e+07 ; 1.726135e+08 + i 2.098963e+08 ; 
1.055983e+07 + i 1.057218e+07 ; -1.224142e+05 + i 1.848164e+06 ; -1.264149e+05 + i 1.857859e+06 ; 1.630665e+07 + i 1.101439e+07 ; -1.628741e+07 + i -6.173743e+06 ; -1.630070e+07 + i -6.170891e+06 ; -1.985690e+07 + i 1.260982e+07 ; 1.207258e+06 + i 2.052570e+06 ; -3.153825e+06 + i 5.143085e+06 ; -2.027574e+07 + i 1.988465e+07 ; -7.470473e+06 + i -1.507472e+06 ; -3.265843e+07 + i -2.834986e+07 ; -1.984261e+07 + i 1.260449e+07 ; -3.155378e+06 + i 5.162337e+06 ; 1.197695e+06 + i 2.045784e+06 ; -2.022856e+07 + i 1.988337e+07 ; -3.268332e+07 + i -2.836309e+07 ; -7.426257e+06 + i -1.554932e+06 ; -3.339277e+07 + i -5.803299e+07 ; -1.374239e+06 + i 4.504830e+06 ; -1.385158e+06 + i 4.481948e+06 ; -7.231397e+07 + i -8.215268e+07 ; -1.130306e+07 + i -1.789950e+07 ; -1.125903e+07 + i -1.789581e+07 ; 5.501961e+07 + i -6.806070e+07 ; -1.303722e+07 + i -8.518367e+06 ; -1.303779e+07 + i -8.539681e+06 ; 5.793556e+07 + i -6.153554e+07 ; 3.095237e+07 + i 1.451884e+06 ; 3.100669e+07 + i 1.438905e+06 ; 1.666902e+08 + i 2.106743e+08 ; -9.753844e+06 + i -4.829485e+06 ; -1.437123e+07 + i -3.183044e+07 ; 6.854991e+07 + i 1.900220e+08 ; 1.424076e+07 + i -6.039482e+06 ; 1.125197e+08 + i 1.069115e+08 ; 1.667016e+08 + i 2.106220e+08 ; -1.439547e+07 + i -3.186249e+07 ; -9.701255e+06 + i -4.835689e+06 ; 6.864777e+07 + i 1.899812e+08 ; 1.126406e+08 + i 1.069493e+08 ; 1.411559e+07 + i -5.869933e+06 ; -6.861080e+08 + i 2.550742e+09 ; -2.678991e+06 + i -2.565973e+07 ; -2.592114e+06 + i -2.559355e+07 ; -4.067565e+08 + i -3.638036e+08 ; 3.616081e+07 + i 6.183527e+07 ; 3.601376e+07 + i 6.187110e+07 ; 
-9.209826e+06 + i -3.616620e+06 ; -7.172030e+02 + i -3.115860e+06 ; -1.337734e+05 + i 1.389504e+06 ; -1.392771e+07 + i -4.805278e+06 ; 1.974188e+07 + i 2.070361e+06 ; -8.460438e+06 + i -4.325718e+06 ; 5.434627e+06 + i 3.349143e+06 ; -1.926549e+05 + i -2.678014e+06 ; 1.947522e+06 + i 1.700144e+05 ; 6.562734e+06 + i 3.550122e+06 ; 2.276320e+07 + i 1.848393e+06 ; 3.296993e+06 + i 6.654123e+06 ; -1.764263e+07 + i -1.455596e+07 ; 7.094666e+06 + i -5.428018e+06 ; 1.095549e+05 + i 1.074554e+06 ; -3.164143e+07 + i -1.667861e+07 ; 2.316026e+07 + i 3.439612e+07 ; -1.102143e+06 + i -1.857176e+06 ; 5.527272e+06 + i 9.836419e+06 ; 5.831946e+06 + i -5.553931e+06 ; 1.393301e+06 + i -3.102127e+04 ; 8.473571e+06 + i 1.133123e+07 ; 3.514911e+07 + i 3.695630e+07 ; 2.423968e+06 + i 5.001474e+06 ; 9.649394e+06 + i -6.628064e+06 ; 6.720228e+07 + i 1.918851e+08 ; -1.077953e+08 + i -1.110273e+08 ; 2.527410e+07 + i -3.502159e+06 ; 5.966101e+07 + i -6.319276e+07 ; -3.181037e+07 + i -2.430050e+06 ; -1.027376e+07 + i -3.429669e+06 ; 1.705375e+08 + i 2.074895e+08 ; 2.224825e+07 + i 1.558100e+07 ; -1.344021e+07 + i -6.260980e+06 ; 5.333989e+07 + i -7.160329e+07 ; 1.424092e+07 + i 8.896503e+06 ; 3.522203e+07 + i 4.498146e+07 ; -4.072284e+08 + i -3.593948e+08 ; -4.075136e+07 + i -4.483478e+07 ; 1.053991e+08 + i 7.510298e+07 ; 7.270758e+07 + i 1.916829e+08 ; -1.331292e+07 + i 4.449795e+06 ; -6.517815e+06 + i -2.348047e+07 ; -6.805670e+08 + i 2.557513e+09 ; 4.418521e+05 + i 3.085169e+07 ; -1.872039e+07 + i -2.596228e+07 ; 1.724279e+08 + i 2.099283e+08 ; 1.171873e+07 + i 7.088283e+06 ; 
-9.216317e+06 + i -3.621322e+06 ; -1.386088e+05 + i 1.393393e+06 ; 1.687404e+02 + i -3.112687e+06 ; -1.392599e+07 + i -4.816552e+06 ; -8.469033e+06 + i -4.324806e+06 ; 1.971818e+07 + i 2.077949e+06 ; -1.765737e+07 + i -1.454495e+07 ; 1.096118e+05 + i 1.070326e+06 ; 7.070044e+06 + i -5.411009e+06 ; -3.164627e+07 + i -1.667564e+07 ; -1.097763e+06 + i -1.865350e+06 ; 2.311048e+07 + i 3.430670e+07 ; 5.426253e+06 + i 3.356982e+06 ; 1.944747e+06 + i 1.665943e+05 ; -1.814859e+05 + i -2.654789e+06 ; 6.557708e+06 + i 3.561628e+06 ; 3.302320e+06 + i 6.646964e+06 ; 2.274958e+07 + i 1.864226e+06 ; 5.528086e+06 + i 9.788472e+06 ; 1.394403e+06 + i -3.400669e+04 ; 5.830600e+06 + i -5.478326e+06 ; 8.484158e+06 + i 1.129443e+07 ; 2.428929e+06 + i 5.006342e+06 ; 3.513242e+07 + i 3.698406e+07 ; 9.710532e+06 + i -6.641246e+06 ; -1.078172e+08 + i -1.110454e+08 ; 6.717696e+07 + i 1.918701e+08 ; 2.525195e+07 + i -3.492723e+06 ; -3.183660e+07 + i -2.428589e+06 ; 5.964659e+07 + i -6.311677e+07 ; 3.521348e+07 + i 4.503340e+07 ; -4.075335e+07 + i -4.487173e+07 ; -4.068541e+08 + i -3.595614e+08 ; 1.053938e+08 + i 7.508200e+07 ; -1.330025e+07 + i 4.435878e+06 ; 7.242437e+07 + i 1.913861e+08 ; -1.023272e+07 + i -3.461479e+06 ; 2.229898e+07 + i 1.550108e+07 ; 1.709031e+08 + i 2.068225e+08 ; -1.342411e+07 + i -6.344545e+06 ; 1.422552e+07 + i 8.853313e+06 ; 5.309267e+07 + i -7.156247e+07 ; -6.512526e+06 + i -2.334378e+07 ; 4.453455e+05 + i 3.086488e+07 ; -6.801258e+08 + i 2.557544e+09 ; -1.868099e+07 + i -2.598103e+07 ; 1.172996e+07 + i 7.090377e+06 ; 1.721874e+08 + i 2.097193e+08 ; 
6.236499e+06 + i 9.359282e+06 ; 2.425695e+05 + i -3.792970e+05 ; 2.418307e+05 + i -3.768243e+05 ; 1.042089e+07 + i 9.989503e+06 ; -1.024250e+06 + i 1.274822e+06 ; -1.037135e+06 + i 1.278620e+06 ; -1.702140e+07 + i 5.961262e+06 ; 1.007213e+06 + i 6.290848e+05 ; 5.484055e+05 + i 6.214729e+05 ; -1.922183e+07 + i 1.201632e+07 ; 1.621187e+06 + i 3.235829e+06 ; -3.437806e+06 + i 2.954528e+06 ; -1.700497e+07 + i 5.951462e+06 ; 5.510518e+05 + i 6.238189e+05 ; 1.003515e+06 + i 6.301553e+05 ; -1.917974e+07 + i 1.200525e+07 ; -3.434966e+06 + i 2.963517e+06 ; 1.629515e+06 + i 3.219886e+06 ; -1.310380e+07 + i -3.862914e+07 ; -1.286950e+04 + i 1.325303e+06 ; -1.935913e+04 + i 1.330191e+06 ; -3.245152e+07 + i -5.822344e+07 ; -2.101296e+06 + i 5.455845e+06 ; -2.093057e+06 + i 5.452313e+06 ; 6.049385e+07 + i -6.083558e+07 ; -3.237065e+07 + i -3.795146e+06 ; -3.242207e+07 + i -3.771388e+06 ; 5.334004e+07 + i -7.083665e+07 ; 8.995874e+06 + i 1.360378e+07 ; 9.005314e+06 + i 1.360524e+07 ; 6.655923e+07 + i 1.935017e+08 ; -1.091142e+07 + i 3.266814e+06 ; -1.040047e+08 + i -1.206962e+08 ; 1.707194e+08 + i 2.085311e+08 ; 1.195315e+07 + i 7.438643e+06 ; 2.252282e+07 + i 2.060568e+07 ; 6.656370e+07 + i 1.934908e+08 ; -1.041263e+08 + i -1.207757e+08 ; -1.078038e+07 + i 3.100991e+06 ; 1.708178e+08 + i 2.084109e+08 ; 2.250677e+07 + i 2.061128e+07 ; 1.191011e+07 + i 7.433691e+06 ; -4.095712e+08 + i -3.616093e+08 ; -4.090618e+07 + i -5.054110e+07 ; -4.076954e+07 + i -5.059512e+07 ; -6.780855e+08 + i 2.556496e+09 ; -6.814643e+05 + i 3.184828e+07 ; -7.260430e+05 + i 3.177339e+07 ; 
-8.037329e+06 + i -8.087511e+06 ; 7.257910e+05 + i 9.320675e+05 ; -1.485883e+05 + i 3.945022e+05 ; -1.234028e+07 + i -1.073357e+07 ; 4.802349e+04 + i -2.343926e+06 ; -4.429292e+05 + i 6.298650e+05 ; -3.091122e+04 + i 4.317702e+06 ; 9.216513e+05 + i 5.372528e+05 ; 5.757705e+05 + i 9.162745e+04 ; 5.289428e+05 + i 5.658581e+06 ; 6.992532e+03 + i -2.875946e+06 ; 1.787188e+06 + i 1.444347e+06 ; -6.037822e+06 + i -1.883072e+07 ; -3.419230e+05 + i 3.011585e+05 ; -2.532866e+05 + i 5.755479e+05 ; -1.378236e+07 + i -2.781174e+07 ; 6.098611e+06 + i -4.400480e+06 ; 8.744044e+04 + i 1.308600e+06 ; -1.946255e+06 + i 3.436464e+06 ; 4.213958e+05 + i 1.035653e+05 ; 5.065140e+05 + i 1.468882e+05 ; -1.740620e+06 + i 4.321706e+06 ; 6.112068e+06 + i -5.606819e+06 ; 1.252621e+06 + i 1.020636e+06 ; -3.402434e+07 + i -6.292478e+06 ; 6.113400e+07 + i -6.289085e+07 ; -3.290506e+07 + i -3.605811e+06 ; -1.170797e+07 + i 1.739162e+06 ; 7.025347e+07 + i 1.946244e+08 ; -1.044270e+08 + i -1.205697e+08 ; 8.038793e+06 + i 1.388537e+07 ; 5.395206e+07 + i -7.201971e+07 ; 8.941798e+06 + i 1.350120e+07 ; 1.129738e+07 + i 7.675561e+06 ; 1.728499e+08 + i 2.098276e+08 ; 2.256377e+07 + i 2.057807e+07 ; -1.045915e+08 + i -1.253329e+08 ; 6.952295e+07 + i 1.951059e+08 ; -1.111901e+07 + i 3.189871e+06 ; -4.120230e+07 + i -5.355655e+07 ; -4.076756e+08 + i -3.540922e+08 ; -4.096836e+07 + i -5.035790e+07 ; 2.203728e+07 + i 2.082284e+07 ; 1.730101e+08 + i 2.094468e+08 ; 1.190697e+07 + i 7.250958e+06 ; -1.443465e+06 + i 3.170751e+07 ; -6.777182e+08 + i 2.561123e+09 ; -6.367030e+05 + i 3.183132e+07 ; 
