-7.123160e+09 + i 5.276290e+08 ; -1.950587e+07 + i -1.148218e+06 ; -1.951033e+07 + i -1.148475e+06 ; 2.134820e+09 + i -2.680441e+08 ; 1.247827e+08 + i -6.863323e+06 ; 1.247793e+08 + i -6.864652e+06 ; -1.004112e+09 + i 1.249837e+08 ; -6.631058e+07 + i 3.519094e+06 ; -1.281270e+07 + i 7.930775e+04 ; -2.695906e+08 + i -1.332094e+06 ; 5.324772e+08 + i -7.159422e+07 ; 3.038728e+07 + i -3.641650e+06 ; -1.004111e+09 + i 1.249846e+08 ; -1.281118e+07 + i 7.905849e+04 ; -6.631046e+07 + i 3.518814e+06 ; -2.695919e+08 + i -1.330990e+06 ; 3.040769e+07 + i -3.634595e+06 ; 5.324780e+08 + i -7.159393e+07 ; -1.681459e+08 + i 3.838339e+07 ; -3.339845e+07 + i 2.647354e+06 ; -3.339059e+07 + i 2.649709e+06 ; -1.004716e+08 + i 1.663555e+07 ; 1.387325e+08 + i -2.338700e+07 ; 1.387331e+08 + i -2.338671e+07 ; 1.789887e+08 + i -1.649919e+07 ; 4.600707e+05 + i -4.802354e+05 ; 4.610399e+05 + i -4.801750e+05 ; 8.640085e+07 + i -6.435108e+06 ; -8.707313e+05 + i -4.410408e+04 ; -8.708340e+05 + i -4.410896e+04 ; 6.087183e+07 + i -1.075156e+07 ; 2.172948e+07 + i -4.384158e+06 ; -7.421879e+05 + i -2.741448e+05 ; 4.049223e+07 + i -6.066885e+06 ; 4.875894e+06 + i -1.149116e+06 ; -9.627747e+05 + i -6.862900e+03 ; 6.087314e+07 + i -1.075091e+07 ; -7.404593e+05 + i -2.734233e+05 ; 2.172965e+07 + i -4.384114e+06 ; 4.049252e+07 + i -6.066668e+06 ; -9.622612e+05 + i -6.727483e+03 ; 4.875871e+06 + i -1.149128e+06 ; 1.997936e+07 + i -5.979552e+06 ; 1.445378e+07 + i -3.088966e+06 ; 1.445351e+07 + i -3.089076e+06 ; 1.947751e+07 + i -4.463346e+06 ; 3.779253e+06 + i -9.236750e+05 ; 3.779211e+06 + i -9.236694e+05 ; 
3.675800e+05 + i 3.760192e+05 ; 1.755128e+06 + i -1.734682e+05 ; -9.286013e+06 + i 1.819333e+06 ; 2.435661e+06 + i 3.476394e+05 ; 5.331056e+06 + i -3.853296e+05 ; -2.230400e+07 + i 4.464558e+06 ; -9.559545e+05 + i 4.599722e+05 ; 1.283400e+06 + i -1.103010e+05 ; -1.115987e+07 + i 2.073859e+06 ; 1.885288e+05 + i 5.650191e+05 ; 3.316834e+06 + i -1.645923e+05 ; -2.847110e+07 + i 5.665724e+06 ; -2.581237e+07 + i 2.226660e+06 ; -5.049667e+05 + i 2.099309e+05 ; -8.429106e+06 + i 1.628764e+06 ; -4.685082e+07 + i 5.012683e+06 ; -5.253836e+06 + i 1.077341e+06 ; -2.025335e+07 + i 3.788677e+06 ; -3.612208e+07 + i 2.360662e+06 ; 9.447294e+05 + i -4.588555e+04 ; -9.992478e+06 + i 1.844240e+06 ; -7.329861e+07 + i 6.509567e+06 ; 1.532444e+06 + i -6.952072e+03 ; -2.696463e+07 + i 4.716022e+06 ; 3.438926e+07 + i -2.334056e+06 ; 3.549628e+07 + i -2.451203e+06 ; -1.698519e+08 + i 3.850538e+07 ; 1.254136e+07 + i 9.446164e+04 ; 7.089608e+07 + i -2.946349e+06 ; -1.008267e+09 + i 1.250698e+08 ; 6.962893e+07 + i -2.831398e+06 ; 1.330330e+07 + i 2.772341e+04 ; -1.007122e+09 + i 1.249680e+08 ; 1.967084e+07 + i 1.517659e+06 ; 2.063707e+07 + i 1.461148e+06 ; -7.128845e+09 + i 5.275826e+08 ; -1.526427e+08 + i 2.373464e+07 ; -1.487158e+08 + i 2.363565e+07 ; -1.037601e+08 + i 1.706289e+07 ; -3.346600e+07 + i 3.847776e+06 ; -5.719279e+08 + i 7.036282e+07 ; -2.766108e+08 + i -8.428890e+05 ; -5.770563e+08 + i 7.037656e+07 ; -3.152106e+07 + i 3.834021e+06 ; -2.755043e+08 + i -9.271562e+05 ; -1.367882e+08 + i 5.801472e+06 ; -1.342149e+08 + i 5.845435e+06 ; 2.123296e+09 + i -2.677642e+08 ; 
6.082419e+07 + i -1.076374e+07 ; -1.929524e+06 + i 6.227285e+05 ; 1.882546e+07 + i -4.241800e+06 ; 8.578172e+07 + i -1.791960e+07 ; -1.863843e+07 + i 1.776181e+06 ; 1.663957e+08 + i -2.156498e+07 ; 1.996049e+07 + i -5.985165e+06 ; -1.347585e+07 + i 2.993150e+06 ; 1.405704e+07 + i -3.021774e+06 ; 8.164238e+06 + i -5.669118e+06 ; -7.763197e+07 + i 1.186470e+07 ; 8.095783e+07 + i -1.181005e+07 ; 1.789999e+08 + i -1.649409e+07 ; -3.334528e+06 + i 9.706387e+05 ; 3.532005e+06 + i -9.598727e+05 ; 4.122872e+08 + i -5.062602e+07 ; -3.860339e+07 + i 2.435655e+06 ; 4.031186e+07 + i -2.201402e+06 ; 6.087303e+07 + i -1.075320e+07 ; -1.804116e+07 + i 4.198339e+06 ; 2.050595e+06 + i -6.201798e+05 ; 8.574884e+07 + i -1.793826e+07 ; -1.595755e+08 + i 2.178508e+07 ; 1.948093e+07 + i -1.687780e+06 ; -9.957175e+08 + i 1.239463e+08 ; -1.016111e+07 + i -3.873331e+04 ; 6.417445e+07 + i -3.167629e+06 ; -2.699415e+08 + i -1.391647e+06 ; 3.158093e+07 + i -3.834708e+06 ; -5.652058e+08 + i 7.096510e+07 ; -1.646054e+08 + i 3.768838e+07 ; -2.930909e+07 + i 2.323206e+06 ; 3.053198e+07 + i -2.237599e+06 ; -1.005800e+08 + i 1.663688e+07 ; 1.423151e+08 + i -2.362524e+07 ; -1.482745e+08 + i 2.366802e+07 ; -7.104363e+09 + i 5.264076e+08 ; -1.667182e+07 + i -1.282433e+06 ; 1.715791e+07 + i 1.340054e+06 ; 2.134780e+09 + i -2.680703e+08 ; 1.277931e+08 + i -6.842685e+06 ; -1.328571e+08 + i 6.550326e+06 ; -9.956052e+08 + i 1.239913e+08 ; -6.199309e+07 + i 3.117440e+06 ; 1.051805e+07 + i 9.511019e+04 ; -2.698991e+08 + i -1.344249e+06 ; 5.422237e+08 + i -7.165890e+07 ; -3.295893e+07 + i 3.781859e+06 ; 
1.146612e+07 + i -4.348913e+05 ; -2.226302e+07 + i 4.475506e+06 ; 4.188531e+06 + i -3.966126e+05 ; 1.839067e+07 + i -1.333425e+06 ; -1.011723e+08 + i 1.549912e+07 ; 1.405798e+07 + i -7.814945e+05 ; -4.103474e+07 + i 5.221083e+06 ; -2.025742e+07 + i 3.787598e+06 ; -3.305900e+06 + i 9.823197e+05 ; -7.884460e+07 + i 1.190780e+07 ; -6.629222e+07 + i 8.197263e+06 ; -4.496597e+07 + i 6.639377e+06 ; 1.469632e+07 + i -1.906845e+05 ; -2.840987e+07 + i 5.684797e+06 ; 2.596325e+06 + i -1.727221e+05 ; 2.728407e+07 + i -1.517621e+06 ; -1.967056e+08 + i 2.470662e+07 ; 6.745946e+06 + i -5.800167e+04 ; -7.050910e+07 + i 7.334684e+06 ; -2.696699e+07 + i 4.715190e+06 ; 9.471249e+05 + i 8.737096e+04 ; -1.597175e+08 + i 2.204741e+07 ; -1.035802e+08 + i 8.258192e+06 ; -6.415039e+06 + i 5.529172e+05 ; -1.388169e+07 + i 2.739369e+05 ; -1.002022e+09 + i 1.248012e+08 ; 6.853006e+07 + i -3.592079e+06 ; -3.489885e+07 + i 2.731817e+06 ; -1.698127e+08 + i 3.850650e+07 ; 3.514188e+07 + i -2.499183e+06 ; 2.441270e+07 + i -3.251967e+06 ; -2.718347e+08 + i -1.044094e+06 ; -5.631291e+08 + i 7.082968e+07 ; 1.384708e+08 + i -2.334859e+07 ; -1.038363e+08 + i 1.704812e+07 ; -1.474068e+08 + i 2.352980e+07 ; -2.072700e+07 + i -8.736766e+05 ; -7.121619e+09 + i 5.273331e+08 ; 2.009996e+07 + i 1.215514e+06 ; -6.704935e+07 + i 3.599228e+06 ; -1.006846e+09 + i 1.250256e+08 ; 1.341308e+07 + i 2.414802e+04 ; 1.164446e+08 + i -6.218203e+06 ; 2.128793e+09 + i -2.678628e+08 ; -1.302723e+08 + i 6.548382e+06 ; 5.375897e+08 + i -7.143546e+07 ; -2.755255e+08 + i -9.374776e+05 ; -3.217836e+07 + i 3.666271e+06 ; 
7.046423e+07 + i -7.347439e+06 ; 9.247014e+05 + i 8.712370e+04 ; -2.690832e+07 + i 4.736257e+06 ; 1.595933e+08 + i -2.208268e+07 ; -6.132351e+06 + i 5.894956e+05 ; -1.035037e+08 + i 8.290665e+06 ; 4.103147e+07 + i -5.222256e+06 ; -3.161503e+06 + i 9.692362e+05 ; -2.022281e+07 + i 3.799063e+06 ; 7.877356e+07 + i -1.192842e+07 ; -4.311147e+07 + i 6.671460e+06 ; -6.626714e+07 + i 8.209883e+06 ; -1.472741e+07 + i 1.679182e+05 ; 2.489138e+06 + i -1.845976e+05 ; -2.844883e+07 + i 5.670889e+06 ; -2.743938e+07 + i 1.436327e+06 ; 6.472094e+06 + i -1.027356e+05 ; -1.967447e+08 + i 2.469026e+07 ; -1.148715e+07 + i 4.238176e+05 ; 4.018143e+06 + i -4.081139e+05 ; -2.229472e+07 + i 4.465235e+06 ; -1.849640e+07 + i 1.296601e+06 ; 1.348654e+07 + i -8.423467e+05 ; -1.011843e+08 + i 1.549158e+07 ; -1.160080e+08 + i 6.546005e+06 ; -1.250451e+08 + i 7.143275e+06 ; 2.129070e+09 + i -2.678044e+08 ; -5.379197e+08 + i 7.143691e+07 ; -3.092812e+07 + i 3.679050e+06 ; -2.754956e+08 + i -9.742649e+05 ; -2.435009e+07 + i 3.219578e+06 ; -5.403507e+08 + i 7.152728e+07 ; -2.717893e+08 + i -1.031814e+06 ; -1.383835e+08 + i 2.336639e+07 ; -1.413600e+08 + i 2.351169e+07 ; -1.038143e+08 + i 1.704854e+07 ; 2.094206e+07 + i 8.390107e+05 ; 1.950430e+07 + i 1.104745e+06 ; -7.121615e+09 + i 5.273371e+08 ; 6.656728e+07 + i -3.954623e+06 ; 1.284163e+07 + i -7.484891e+04 ; -1.006793e+09 + i 1.250459e+08 ; 1.371774e+07 + i -3.111949e+05 ; 6.578882e+07 + i -3.903426e+06 ; -1.001748e+09 + i 1.248648e+08 ; 3.466024e+07 + i -2.777573e+06 ; 3.370475e+07 + i -2.630003e+06 ; -1.697543e+08 + i 3.851245e+07 ; 
4.045852e+07 + i -6.073749e+06 ; 1.006584e+06 + i 1.136071e+04 ; 5.108326e+06 + i -1.188482e+06 ; 6.086326e+07 + i -1.074596e+07 ; 8.109580e+05 + i 2.897376e+05 ; 2.309795e+07 + i -4.460286e+06 ; 1.945592e+07 + i -4.467430e+06 ; -3.875093e+06 + i 9.326175e+05 ; 3.975748e+06 + i -9.517475e+05 ; 1.995728e+07 + i -5.980447e+06 ; -1.482973e+07 + i 3.113483e+06 ; 1.538377e+07 + i -3.146711e+06 ; 8.640069e+07 + i -6.433373e+06 ; 9.172795e+05 + i 4.949089e+04 ; -1.175439e+06 + i -1.067663e+05 ; 1.790314e+08 + i -1.648456e+07 ; -4.129867e+05 + i 4.961427e+05 ; -3.428330e+04 + i -6.077326e+05 ; 4.048904e+07 + i -6.067852e+06 ; -4.997696e+06 + i 1.159751e+06 ; -1.180287e+06 + i -4.311375e+04 ; 6.088252e+07 + i -1.074866e+07 ; -2.229587e+07 + i 4.413112e+06 ; -1.074181e+06 + i -3.464749e+05 ; -2.708532e+08 + i -1.544410e+06 ; -3.091502e+07 + i 3.691647e+06 ; 5.710724e+08 + i -7.029124e+07 ; -1.004089e+09 + i 1.249829e+08 ; 1.309773e+07 + i -4.338469e+04 ; -6.370115e+07 + i 4.147251e+06 ; -1.007003e+08 + i 1.663021e+07 ; -1.424393e+08 + i 2.345612e+07 ; 1.487099e+08 + i -2.341510e+07 ; -1.681171e+08 + i 3.839057e+07 ; 3.429566e+07 + i -2.576238e+06 ; -3.520216e+07 + i 2.475212e+06 ; 2.134639e+09 + i -2.680954e+08 ; -1.274456e+08 + i 6.569247e+06 ; 1.263880e+08 + i -7.016778e+06 ; -7.123198e+09 + i 5.276142e+08 ; 1.986502e+07 + i 1.229414e+06 ; -2.078874e+07 + i -1.442444e+06 ; -2.697947e+08 + i -1.345613e+06 ; -5.467759e+08 + i 7.133289e+07 ; 3.175712e+07 + i -3.639194e+06 ; -1.004247e+09 + i 1.249605e+08 ; 6.745016e+07 + i -3.357339e+06 ; -1.367614e+07 + i -6.977009e+04 ; 
3.413466e+05 + i 3.733927e+05 ; -9.285225e+06 + i 1.819521e+06 ; 1.760142e+06 + i -1.722662e+05 ; 2.391338e+06 + i 3.435958e+05 ; -2.230134e+07 + i 4.465139e+06 ; 5.343721e+06 + i -3.819961e+05 ; -2.586602e+07 + i 2.220044e+06 ; -8.433646e+06 + i 1.628441e+06 ; -4.911892e+05 + i 2.132081e+05 ; -4.695944e+07 + i 4.998226e+06 ; -2.026159e+07 + i 3.788616e+06 ; -5.217093e+06 + i 1.085960e+06 ; -9.918804e+05 + i 4.564188e+05 ; -1.115894e+07 + i 2.073996e+06 ; 1.285652e+06 + i -1.098051e+05 ; 1.165405e+05 + i 5.587927e+05 ; -2.846907e+07 + i 5.665955e+06 ; 3.320624e+06 + i -1.633775e+05 ; -3.617816e+07 + i 2.358131e+06 ; -9.997572e+06 + i 1.843840e+06 ; 9.531926e+05 + i -4.448070e+04 ; -7.339924e+07 + i 6.508378e+06 ; -2.697412e+07 + i 4.715781e+06 ; 1.548408e+06 + i -4.073270e+03 ; 3.446290e+07 + i -2.299857e+06 ; -1.698341e+08 + i 3.851016e+07 ; 3.553571e+07 + i -2.411790e+06 ; 1.255250e+07 + i 1.087616e+05 ; -1.008236e+09 + i 1.250812e+08 ; 6.946808e+07 + i -3.378394e+06 ; -1.532403e+08 + i 2.360479e+07 ; -1.038269e+08 + i 1.705634e+07 ; -1.487179e+08 + i 2.361212e+07 ; -3.366148e+07 + i 3.750282e+06 ; -2.768625e+08 + i -9.168213e+05 ; -5.714820e+08 + i 7.052023e+07 ; 6.855301e+07 + i -2.921801e+06 ; -1.007151e+09 + i 1.249637e+08 ; 1.330591e+07 + i 4.374268e+04 ; 1.940838e+07 + i 1.466570e+06 ; -7.128862e+09 + i 5.275731e+08 ; 2.029406e+07 + i 1.327573e+06 ; -5.771375e+08 + i 7.049840e+07 ; -2.756194e+08 + i -9.313908e+05 ; -3.166705e+07 + i 3.748435e+06 ; -1.353095e+08 + i 6.007879e+06 ; 2.123261e+09 + i -2.677841e+08 ; -1.327934e+08 + i 6.275270e+06 ; 
3.630137e+07 + i -2.338749e+06 ; 8.730689e+05 + i -5.729753e+04 ; -1.006526e+07 + i 1.826632e+06 ; 7.362233e+07 + i -6.477558e+06 ; 1.427342e+06 + i -2.241396e+04 ; -2.712513e+07 + i 4.682023e+06 ; 2.596305e+07 + i -2.206712e+06 ; -5.096163e+05 + i 1.990400e+05 ; -8.479156e+06 + i 1.618427e+06 ; 4.710184e+07 + i -4.983635e+06 ; -5.062906e+06 + i 1.064679e+06 ; -2.035249e+07 + i 3.771022e+06 ; 1.223695e+06 + i -4.060712e+05 ; 1.243069e+06 + i -1.111862e+05 ; -1.115237e+07 + i 2.078161e+06 ; 3.449900e+05 + i -4.706303e+05 ; 3.211834e+06 + i -1.724786e+05 ; -2.844149e+07 + i 5.675644e+06 ; -1.858536e+05 + i -3.446161e+05 ; 1.692325e+06 + i -1.755867e+05 ; -9.282329e+06 + i 1.821674e+06 ; -2.126515e+06 + i -3.010591e+05 ; 5.133063e+06 + i -3.994512e+05 ; -2.228808e+07 + i 4.468743e+06 ; 5.775503e+08 + i -7.040011e+07 ; -3.144372e+07 + i 3.625579e+06 ; -2.768115e+08 + i -1.149395e+06 ; 1.292276e+08 + i -7.035552e+06 ; -1.269950e+08 + i 7.006452e+06 ; 2.123100e+09 + i -2.678170e+08 ; 1.532996e+08 + i -2.362175e+07 ; -1.431021e+08 + i 2.352641e+07 ; -1.040018e+08 + i 1.704917e+07 ; 3.410575e+07 + i -3.637840e+06 ; -5.474545e+08 + i 7.147823e+07 ; -2.768866e+08 + i -9.117178e+05 ; -6.214335e+07 + i 4.035142e+06 ; 1.284905e+07 + i -3.842841e+04 ; -1.006693e+09 + i 1.250654e+08 ; -1.965276e+07 + i -1.518633e+06 ; 1.963718e+07 + i 1.191858e+06 ; -7.128706e+09 + i 5.276258e+08 ; -3.386696e+07 + i 2.358625e+06 ; 3.411661e+07 + i -2.531150e+06 ; -1.697013e+08 + i 3.852148e+07 ; -1.243893e+07 + i -7.981659e+04 ; 6.651130e+07 + i -3.745187e+06 ; -1.007947e+09 + i 1.251450e+08 ; 
1.993603e+07 + i -5.989279e+06 ; 1.424829e+07 + i -3.033404e+06 ; 1.424764e+07 + i -3.033613e+06 ; 8.161748e+06 + i -5.664774e+06 ; 8.203552e+07 + i -1.179810e+07 ; 8.203495e+07 + i -1.179836e+07 ; 6.082733e+07 + i -1.076343e+07 ; 2.050782e+06 + i -6.288937e+05 ; 1.912269e+07 + i -4.256967e+06 ; 8.577090e+07 + i -1.791977e+07 ; 1.946140e+07 + i -1.713397e+06 ; 1.689101e+08 + i -2.146432e+07 ; 6.082828e+07 + i -1.076339e+07 ; 1.912231e+07 + i -4.257069e+06 ; 2.052813e+06 + i -6.283259e+05 ; 8.577196e+07 + i -1.791964e+07 ; 1.689104e+08 + i -2.146428e+07 ; 1.946573e+07 + i -1.711614e+06 ; 1.790005e+08 + i -1.649555e+07 ; 3.601946e+06 + i -9.655774e+05 ; 3.604205e+06 + i -9.651474e+05 ; 4.122913e+08 + i -5.062010e+07 ; 4.091400e+07 + i -2.147194e+06 ; 4.091414e+07 + i -2.146814e+06 ; -1.646399e+08 + i 3.768754e+07 ; 3.099004e+07 + i -2.148770e+06 ; 3.099151e+07 + i -2.148352e+06 ; -1.005610e+08 + i 1.663446e+07 ; -1.503500e+08 + i 2.362091e+07 ; -1.503478e+08 + i 2.362190e+07 ; -9.957292e+08 + i 1.239475e+08 ; 1.056999e+07 + i 1.131080e+05 ; 6.467954e+07 + i -3.071910e+06 ; -2.698816e+08 + i -1.380017e+06 ; -3.250264e+07 + i 3.812493e+06 ; -5.735124e+08 + i 7.062300e+07 ; -9.957248e+08 + i 1.239488e+08 ; 6.467834e+07 + i -3.072231e+06 ; 1.056594e+07 + i 1.124655e+05 ; -2.698831e+08 + i -1.379231e+06 ; -5.735121e+08 + i 7.062340e+07 ; -3.251808e+07 + i 3.806541e+06 ; -7.104475e+09 + i 5.263696e+08 ; 1.728262e+07 + i 1.379401e+06 ; 1.727465e+07 + i 1.378341e+06 ; 2.134684e+09 + i -2.680935e+08 ; -1.340489e+08 + i 6.410908e+06 ; -1.340543e+08 + i 6.408553e+06 ; 
4.151266e+07 + i -5.212902e+06 ; -2.021389e+07 + i 3.801332e+06 ; 3.362718e+06 + i -9.887654e+05 ; 7.974925e+07 + i -1.191830e+07 ; -6.632089e+07 + i 8.204981e+06 ; 4.566277e+07 + i -6.623637e+06 ; -1.159750e+07 + i 4.153521e+05 ; -2.228557e+07 + i 4.467003e+06 ; -4.262255e+06 + i 3.896261e+05 ; -1.863697e+07 + i 1.297507e+06 ; -1.011597e+08 + i 1.549652e+07 ; -1.427189e+07 + i 7.422935e+05 ; 7.131881e+07 + i -7.306195e+06 ; -2.690319e+07 + i 4.736097e+06 ; -9.433092e+05 + i -8.973635e+04 ; 1.615239e+08 + i -2.205306e+07 ; -1.035169e+08 + i 8.283899e+06 ; 6.534237e+06 + i -5.312408e+05 ; -1.487426e+07 + i 1.503870e+05 ; -2.843748e+07 + i 5.673468e+06 ; -2.637598e+06 + i 1.679975e+05 ; -2.768390e+07 + i 1.422982e+06 ; -1.967224e+08 + i 2.469571e+07 ; -6.851983e+06 + i 4.106028e+04 ; -2.473522e+07 + i 3.230658e+06 ; -2.729153e+08 + i -1.183252e+06 ; 5.720881e+08 + i -7.028762e+07 ; -1.401196e+08 + i 2.338476e+07 ; -1.040465e+08 + i 1.703762e+07 ; 1.496916e+08 + i -2.347274e+07 ; 1.399787e+07 + i -2.664229e+05 ; -1.001683e+09 + i 1.248673e+08 ; -6.361648e+07 + i 4.173411e+06 ; 3.531922e+07 + i -2.688029e+06 ; -1.697178e+08 + i 3.851652e+07 ; -3.517420e+07 + i 2.466617e+06 ; -1.176628e+08 + i 6.367161e+06 ; 2.128655e+09 + i -2.678941e+08 ; 1.262636e+08 + i -7.035808e+06 ; -5.443716e+08 + i 7.131408e+07 ; -2.756771e+08 + i -9.894897e+05 ; 3.211271e+07 + i -3.655825e+06 ; 2.123122e+07 + i 8.969432e+05 ; -7.121553e+09 + i 5.273554e+08 ; -2.080756e+07 + i -1.433490e+06 ; 6.764034e+07 + i -3.820506e+06 ; -1.006776e+09 + i 1.250528e+08 ; -1.363112e+07 + i -6.090956e+04 ; 
4.151579e+07 + i -5.212492e+06 ; 3.362631e+06 + i -9.888114e+05 ; -2.021335e+07 + i 3.801428e+06 ; 7.974998e+07 + i -1.191807e+07 ; 4.566255e+07 + i -6.623704e+06 ; -6.632209e+07 + i 8.204873e+06 ; 7.131916e+07 + i -7.306221e+06 ; -9.429844e+05 + i -8.961681e+04 ; -2.690205e+07 + i 4.736401e+06 ; 1.615239e+08 + i -2.205308e+07 ; 6.534908e+06 + i -5.309683e+05 ; -1.035108e+08 + i 8.285925e+06 ; -1.159610e+07 + i 4.154227e+05 ; -4.262209e+06 + i 3.896400e+05 ; -2.228937e+07 + i 4.466102e+06 ; -1.863813e+07 + i 1.297233e+06 ; -1.427138e+07 + i 7.425392e+05 ; -1.011620e+08 + i 1.549644e+07 ; -1.486747e+07 + i 1.518388e+05 ; -2.637550e+06 + i 1.680035e+05 ; -2.844460e+07 + i 5.671777e+06 ; -2.768112e+07 + i 1.423815e+06 ; -6.852097e+06 + i 4.105022e+04 ; -1.967318e+08 + i 2.469394e+07 ; -2.474390e+07 + i 3.229998e+06 ; 5.720887e+08 + i -7.028751e+07 ; -2.729139e+08 + i -1.183559e+06 ; -1.401197e+08 + i 2.338469e+07 ; 1.496926e+08 + i -2.347263e+07 ; -1.040373e+08 + i 1.703832e+07 ; -1.176699e+08 + i 6.365443e+06 ; 1.262655e+08 + i -7.034999e+06 ; 2.128687e+09 + i -2.678813e+08 ; -5.443711e+08 + i 7.131426e+07 ; 3.211370e+07 + i -3.655329e+06 ; -2.756544e+08 + i -9.840067e+05 ; 1.399307e+07 + i -2.665183e+05 ; -6.361249e+07 + i 4.175283e+06 ; -1.001625e+09 + i 1.248896e+08 ; 3.532524e+07 + i -2.686145e+06 ; -3.517156e+07 + i 2.467561e+06 ; -1.697028e+08 + i 3.851894e+07 ; 2.121087e+07 + i 8.928647e+05 ; -2.080784e+07 + i -1.433613e+06 ; -7.121551e+09 + i 5.273588e+08 ; 6.764169e+07 + i -3.819958e+06 ; -1.363037e+07 + i -6.080109e+04 ; -1.006749e+09 + i 1.250558e+08 ; 
1.943952e+07 + i -4.470093e+06 ; 4.039755e+06 + i -9.515415e+05 ; 4.039743e+06 + i -9.515699e+05 ; 1.994225e+07 + i -5.979762e+06 ; 1.559449e+07 + i -3.149511e+06 ; 1.559430e+07 + i -3.149679e+06 ; 4.046519e+07 + i -6.072698e+06 ; -1.174755e+06 + i -3.632187e+04 ; 5.193689e+06 + i -1.189316e+06 ; 6.086528e+07 + i -1.074459e+07 ; -1.067114e+06 + i -3.359035e+05 ; 2.343810e+07 + i -4.462727e+06 ; 4.046585e+07 + i -6.072522e+06 ; 5.193430e+06 + i -1.189380e+06 ; -1.174808e+06 + i -3.629917e+04 ; 6.086584e+07 + i -1.074416e+07 ; 2.343782e+07 + i -4.462764e+06 ; -1.066062e+06 + i -3.352892e+05 ; 8.640704e+07 + i -6.432579e+06 ; -1.165891e+06 + i -1.026399e+05 ; -1.166525e+06 + i -1.028021e+05 ; 1.790325e+08 + i -1.648182e+07 ; 9.870544e+03 + i -6.011045e+05 ; 8.118000e+03 + i -6.012652e+05 ; -1.008487e+08 + i 1.662493e+07 ; 1.505240e+08 + i -2.341266e+07 ; 1.505212e+08 + i -2.341381e+07 ; -1.680555e+08 + i 3.840361e+07 ; -3.642170e+07 + i 2.247732e+06 ; -3.642234e+07 + i 2.247496e+06 ; -2.708461e+08 + i -1.534855e+06 ; 3.191787e+07 + i -3.566149e+06 ; 5.788065e+08 + i -6.996824e+07 ; -1.004058e+09 + i 1.249916e+08 ; -1.372383e+07 + i -6.106511e+04 ; -6.479040e+07 + i 3.971675e+06 ; -2.708530e+08 + i -1.535131e+06 ; 5.788066e+08 + i -6.996853e+07 ; 3.193331e+07 + i -3.560020e+06 ; -1.004047e+09 + i 1.249949e+08 ; -6.478963e+07 + i 3.971790e+06 ; -1.371938e+07 + i -6.015379e+04 ; 2.134234e+09 + i -2.681932e+08 ; 1.280274e+08 + i -6.812404e+06 ; 1.280327e+08 + i -6.810027e+06 ; -7.123171e+09 + i 5.276228e+08 ; -2.103071e+07 + i -1.494506e+06 ; -2.102263e+07 + i -1.493124e+06 ; 
2.624933e+07 + i -2.187038e+06 ; -8.475607e+06 + i 1.620026e+06 ; 4.863730e+05 + i -2.169142e+05 ; 4.763591e+07 + i -4.954836e+06 ; -2.034606e+07 + i 3.774954e+06 ; 5.263387e+06 + i -1.094502e+06 ; -2.383328e+05 + i -3.627054e+05 ; -9.278468e+06 + i 1.822607e+06 ; -1.792077e+06 + i 1.692785e+05 ; -2.257483e+06 + i -3.348766e+05 ; -2.227627e+07 + i 4.471683e+06 ; -5.436266e+06 + i 3.710693e+05 ; 3.673648e+07 + i -2.293791e+06 ; -1.006488e+07 + i 1.827606e+06 ; -9.936411e+05 + i 3.590491e+04 ; 7.450772e+07 + i -6.407633e+06 ; -2.712631e+07 + i 4.683932e+06 ; -1.647666e+06 + i -1.878392e+04 ; 1.202573e+06 + i -4.173847e+05 ; -1.114951e+07 + i 2.078715e+06 ; -1.316153e+06 + i 1.057401e+05 ; 2.802593e+05 + i -4.909389e+05 ; -2.843490e+07 + i 5.677187e+06 ; -3.394541e+06 + i 1.521680e+05 ; 1.551596e+08 + i -2.358401e+07 ; -1.041953e+08 + i 1.704335e+07 ; 1.512247e+08 + i -2.348829e+07 ; 3.424573e+07 + i -3.610013e+06 ; -2.779598e+08 + i -1.053500e+06 ; 5.796185e+08 + i -7.006009e+07 ; -3.505129e+07 + i 2.128658e+06 ; -1.696558e+08 + i 3.853063e+07 ; -3.619442e+07 + i 2.237957e+06 ; -1.271330e+07 + i -1.336736e+05 ; -1.007864e+09 + i 1.251525e+08 ; -6.468386e+07 + i 3.951789e+06 ; 5.847022e+08 + i -7.007702e+07 ; -2.768808e+08 + i -1.145959e+06 ; 3.230253e+07 + i -3.595424e+06 ; 1.311643e+08 + i -6.793517e+06 ; 2.122723e+09 + i -2.678975e+08 ; 1.284288e+08 + i -6.850982e+06 ; -6.347800e+07 + i 3.841462e+06 ; -1.006672e+09 + i 1.250746e+08 ; -1.348959e+07 + i -6.867273e+04 ; -1.984912e+07 + i -1.558479e+06 ; -7.128654e+09 + i 5.276405e+08 ; -2.088641e+07 + i -1.511033e+06 ; 
