-4.636633e+10 + i 2.180295e+10 ; 2.593720e+08 + i -5.811835e+06 ; 2.593331e+08 + i -5.809279e+06 ; 2.070222e+10 + i -1.621141e+10 ; 5.960234e+08 + i 1.053051e+09 ; 5.960605e+08 + i 1.052996e+09 ; -9.321553e+09 + i 8.999536e+09 ; -3.673134e+08 + i -5.407514e+08 ; 1.710273e+08 + i -6.790086e+07 ; -5.321287e+08 + i -5.078148e+09 ; 5.662670e+09 + i -4.411219e+09 ; 4.145016e+08 + i 3.990268e+08 ; -9.321593e+09 + i 8.999541e+09 ; 1.711792e+08 + i -6.787793e+07 ; -3.673080e+08 + i -5.407216e+08 ; -5.321970e+08 + i -5.078120e+09 ; 4.147493e+08 + i 3.992502e+08 ; 5.662662e+09 + i -4.411200e+09 ; -2.226182e+09 + i 4.429487e+09 ; -2.832557e+08 + i -3.172982e+08 ; -2.832845e+08 + i -3.172380e+08 ; -2.017474e+09 + i -1.569187e+09 ; 1.786435e+09 + i -2.030666e+09 ; 1.786415e+09 + i -2.030642e+09 ; 1.419616e+09 + i -2.419240e+08 ; 8.437495e+07 + i 3.434025e+07 ; 8.438930e+07 + i 3.432723e+07 ; 5.372338e+08 + i -1.914686e+06 ; 3.588971e+07 + i -5.357552e+06 ; 3.588941e+07 + i -5.361505e+06 ; 9.545113e+08 + i -4.905600e+08 ; 3.307791e+08 + i -4.730391e+08 ; 7.080901e+07 + i 1.375142e+07 ; 4.901063e+08 + i -7.699465e+07 ; 7.712713e+07 + i -1.857310e+08 ; 3.110127e+07 + i -9.394896e+06 ; 9.544963e+08 + i -4.905392e+08 ; 7.085580e+07 + i 1.378614e+07 ; 3.307800e+08 + i -4.730324e+08 ; 4.901037e+08 + i -7.699621e+07 ; 3.112653e+07 + i -9.386996e+06 ; 7.712867e+07 + i -1.857274e+08 ; 6.304655e+08 + i -5.466624e+08 ; 2.284236e+08 + i -3.806154e+08 ; 2.284255e+08 + i -3.806131e+08 ; 4.327489e+08 + i -1.311603e+08 ; 5.897999e+07 + i -1.629301e+08 ; 5.897890e+07 + i -1.629265e+08 ; 
-3.029566e+07 + i -3.006304e+07 ; 1.861943e+07 + i 1.847956e+07 ; -1.309048e+08 + i 2.008291e+08 ; -4.514973e+07 + i -1.161028e+07 ; 3.963396e+07 + i 4.716362e+07 ; -2.959182e+08 + i 4.647496e+08 ; -2.897515e+07 + i -3.891826e+07 ; 3.077744e+06 + i 1.708474e+07 ; -1.482659e+08 + i 2.168569e+08 ; -5.759137e+07 + i -3.430703e+07 ; -4.431503e+06 + i 3.109080e+07 ; -3.746168e+08 + i 5.493250e+08 ; -1.651472e+08 + i -2.668883e+07 ; -9.708568e+06 + i 4.834008e+07 ; -1.796132e+08 + i 1.463895e+08 ; -4.084049e+08 + i 1.092123e+08 ; -7.266703e+07 + i 1.415048e+08 ; -4.166748e+08 + i 1.813771e+08 ; -1.826944e+08 + i -4.216956e+07 ; -1.942306e+06 + i 1.116570e+07 ; -1.995084e+08 + i 1.473922e+08 ; -5.378892e+08 + i 9.486953e+07 ; -1.703900e+07 + i 1.102267e+07 ; -4.785991e+08 + i 1.506214e+08 ; 2.739309e+08 + i 2.889029e+08 ; 2.770634e+08 + i 3.020222e+08 ; -2.213788e+09 + i 4.411532e+09 ; -1.651114e+08 + i 5.783176e+07 ; 3.594641e+08 + i 5.169916e+08 ; -9.313765e+09 + i 8.970625e+09 ; 3.575909e+08 + i 5.031977e+08 ; -1.661624e+08 + i 6.541205e+07 ; -9.306622e+09 + i 8.980964e+09 ; -2.508007e+08 + i -1.166468e+06 ; -2.526247e+08 + i 6.006750e+06 ; -4.635407e+10 + i 2.177417e+10 ; -1.713310e+09 + i 1.953749e+09 ; -1.710171e+09 + i 1.978502e+09 ; -2.041440e+09 + i -1.618389e+09 ; -3.981457e+08 + i -4.044315e+08 ; -5.440279e+09 + i 4.331832e+09 ; -5.519670e+08 + i -5.147583e+09 ; -5.440028e+09 + i 4.306569e+09 ; -4.019377e+08 + i -3.954061e+08 ; -5.515865e+08 + i -5.135748e+09 ; -5.854146e+08 + i -1.027163e+09 ; -5.905321e+08 + i -1.018637e+09 ; 2.068957e+10 + i -1.629075e+10 ; 
9.537817e+08 + i -4.909303e+08 ; -1.187171e+08 + i -5.505164e+07 ; 2.890484e+08 + i -4.958299e+08 ; 1.251191e+09 + i -1.838417e+09 ; -1.820218e+08 + i -2.148472e+08 ; 1.660482e+09 + i -1.384337e+09 ; 6.299621e+08 + i -5.468860e+08 ; -2.049630e+08 + i 3.883642e+08 ; 1.989448e+08 + i -3.839147e+08 ; 3.381317e+08 + i -1.116832e+09 ; -9.077844e+08 + i 8.990527e+08 ; 8.850038e+08 + i -8.913136e+08 ; 1.419312e+09 + i -2.418194e+08 ; -1.419489e+08 + i -8.615148e+07 ; 1.416507e+08 + i 8.240675e+07 ; 3.873528e+09 + i -3.200898e+09 ; -2.218181e+08 + i -3.495810e+08 ; 2.245597e+08 + i 3.358826e+08 ; 9.543739e+08 + i -4.904475e+08 ; -2.972687e+08 + i 5.015008e+08 ; 1.181189e+08 + i 5.209370e+07 ; 1.250812e+09 + i -1.836720e+09 ; -1.700839e+09 + i 1.393857e+09 ; 1.821663e+08 + i 2.066612e+08 ; -9.193066e+09 + i 9.101296e+09 ; 1.642749e+08 + i -4.553771e+07 ; 3.111532e+08 + i 5.117085e+08 ; -5.340250e+08 + i -5.073004e+09 ; 4.108901e+08 + i 4.196040e+08 ; -5.485769e+09 + i 4.340837e+09 ; -2.112454e+09 + i 4.490921e+09 ; -2.535245e+08 + i -2.750560e+08 ; 2.499523e+08 + i 2.747413e+08 ; -2.016863e+09 + i -1.567215e+09 ; 1.785912e+09 + i -1.996804e+09 ; -1.734711e+09 + i 1.976812e+09 ; -4.622059e+10 + i 2.196678e+10 ; 2.502676e+08 + i 1.574278e+07 ; -2.505776e+08 + i -1.764912e+07 ; 2.070072e+10 + i -1.621275e+10 ; 5.931703e+08 + i 1.063615e+09 ; -5.710663e+08 + i -1.069608e+09 ; -9.192125e+09 + i 9.101499e+09 ; -3.342870e+08 + i -4.944854e+08 ; -1.631669e+08 + i 4.555074e+07 ; -5.312443e+08 + i -5.078668e+09 ; 5.625971e+09 + i -4.370554e+09 ; -4.055724e+08 + i -4.154439e+08 ; 
-3.505022e+07 + i 8.330806e+07 ; -2.957265e+08 + i 4.650033e+08 ; 4.328946e+07 + i 4.266912e+07 ; 1.097949e+08 + i 1.779773e+08 ; -1.084144e+09 + i 1.236819e+09 ; 8.376320e+07 + i 1.150733e+08 ; -4.602472e+08 + i 1.128077e+08 ; -4.165205e+08 + i 1.815720e+08 ; -6.220261e+07 + i 1.578099e+08 ; -9.434491e+08 + i 8.942455e+08 ; -8.008577e+08 + i -5.639223e+07 ; -4.999497e+08 + i 5.347748e+08 ; -5.273265e+07 + i 7.814573e+07 ; -3.745415e+08 + i 5.496173e+08 ; -7.700983e+06 + i 2.948188e+07 ; 1.203096e+08 + i 2.303634e+08 ; -1.834520e+09 + i 1.672512e+09 ; -3.233619e+07 + i 3.996324e+07 ; -6.095090e+08 + i 4.722441e+07 ; -4.785490e+08 + i 1.506627e+08 ; -3.014141e+07 + i 1.937250e+06 ; -1.750330e+09 + i 1.376123e+09 ; -8.063325e+08 + i -3.409030e+08 ; -7.870815e+07 + i -6.468489e+07 ; 1.388428e+08 + i -8.921621e+07 ; -9.288261e+09 + i 9.013817e+09 ; 3.489008e+08 + i 5.615196e+08 ; -2.889085e+08 + i -3.305090e+08 ; -2.213070e+09 + i 4.411386e+09 ; 2.779219e+08 + i 3.128108e+08 ; 3.675395e+08 + i 3.407161e+08 ; -5.645415e+08 + i -5.108171e+09 ; -5.466608e+09 + i 4.359377e+09 ; 1.770136e+09 + i -2.034184e+09 ; -2.041960e+09 + i -1.615176e+09 ; -1.722033e+09 + i 1.988552e+09 ; 2.234748e+08 + i -3.676945e+07 ; -4.632758e+10 + i 2.182139e+10 ; -2.593658e+08 + i 5.428491e+06 ; -3.811112e+08 + i -5.544801e+08 ; -9.305894e+09 + i 8.980377e+09 ; -1.692694e+08 + i 6.621561e+07 ; 5.549214e+08 + i 9.663172e+08 ; 2.067697e+10 + i -1.625908e+10 ; -5.745652e+08 + i -1.057598e+09 ; 5.606560e+09 + i -4.405983e+09 ; -5.526479e+08 + i -5.135309e+09 ; -4.028812e+08 + i -4.016374e+08 ; 
6.081585e+08 + i -4.631286e+07 ; -3.011473e+07 + i 1.567641e+06 ; -4.777832e+08 + i 1.505307e+08 ; 1.748642e+09 + i -1.374247e+09 ; -7.834740e+07 + i -6.807269e+07 ; -8.049540e+08 + i -3.423687e+08 ; 4.595031e+08 + i -1.117498e+08 ; -6.427815e+07 + i 1.600105e+08 ; -4.160215e+08 + i 1.814007e+08 ; 9.421800e+08 + i -8.924621e+08 ; -5.129876e+08 + i 5.394608e+08 ; -8.003588e+08 + i -5.731875e+07 ; 5.134409e+07 + i -7.697151e+07 ; -7.999566e+06 + i 2.986275e+07 ; -3.745504e+08 + i 5.493321e+08 ; -1.244969e+08 + i -2.248098e+08 ; -3.325083e+07 + i 4.027465e+07 ; -1.834974e+09 + i 1.672124e+09 ; 3.427550e+07 + i -8.218923e+07 ; 4.373586e+07 + i 4.373471e+07 ; -2.957582e+08 + i 4.647123e+08 ; -1.115660e+08 + i -1.748796e+08 ; 8.422626e+07 + i 1.177268e+08 ; -1.084325e+09 + i 1.236551e+09 ; -5.348849e+08 + i -9.965090e+08 ; -5.761924e+08 + i -1.080225e+09 ; 2.067787e+10 + i -1.625943e+10 ; -5.604763e+09 + i 4.409152e+09 ; -4.107883e+08 + i -4.068752e+08 ; -5.556841e+08 + i -5.129981e+09 ; -3.706928e+08 + i -3.433467e+08 ; -5.605431e+09 + i 4.391097e+09 ; -5.646063e+08 + i -5.108149e+09 ; -1.769600e+09 + i 2.037144e+09 ; -1.772689e+09 + i 2.011804e+09 ; -2.042593e+09 + i -1.612539e+09 ; -2.263975e+08 + i 3.280550e+07 ; -2.612971e+08 + i 5.780193e+06 ; -4.632767e+10 + i 2.182138e+10 ; 3.604025e+08 + i 5.835760e+08 ; -1.718693e+08 + i 6.615494e+07 ; -9.304189e+09 + i 8.981780e+09 ; -1.407809e+08 + i 8.874946e+07 ; 3.511032e+08 + i 5.737545e+08 ; -9.286388e+09 + i 9.014194e+09 ; 2.878435e+08 + i 3.383247e+08 ; 2.804023e+08 + i 3.208380e+08 ; -2.211002e+09 + i 4.411719e+09 ; 
4.901216e+08 + i -7.684862e+07 ; -3.059931e+07 + i 9.053781e+06 ; 7.181220e+07 + i -1.799219e+08 ; 9.548299e+08 + i -4.895540e+08 ; -6.979645e+07 + i -1.404235e+07 ; 3.134286e+08 + i -4.599846e+08 ; 4.328071e+08 + i -1.310050e+08 ; -5.747069e+07 + i 1.606264e+08 ; 5.469122e+07 + i -1.574776e+08 ; 6.307669e+08 + i -5.459232e+08 ; -2.235623e+08 + i 3.756678e+08 ; 2.159285e+08 + i -3.691519e+08 ; 5.371341e+08 + i -1.904275e+06 ; -3.530972e+07 + i 5.283090e+06 ; 3.403313e+07 + i -4.756037e+06 ; 1.419324e+09 + i -2.417374e+08 ; -8.331281e+07 + i -3.375319e+07 ; 8.050669e+07 + i 3.467804e+07 ; 4.900815e+08 + i -7.695722e+07 ; -7.521027e+07 + i 1.833281e+08 ; 2.953194e+07 + i -8.395268e+06 ; 9.543203e+08 + i -4.903554e+08 ; -3.240080e+08 + i 4.676141e+08 ; 6.798149e+07 + i 1.513610e+07 ; -5.343430e+08 + i -5.067730e+09 ; -4.086085e+08 + i -3.983413e+08 ; 5.430711e+09 + i -4.338718e+09 ; -9.321303e+09 + i 8.999368e+09 ; -1.690103e+08 + i 6.745442e+07 ; -3.484414e+08 + i -5.777960e+08 ; -2.016851e+09 + i -1.564134e+09 ; -1.751389e+09 + i 2.007065e+09 ; 1.702640e+09 + i -1.985662e+09 ; -2.225738e+09 + i 4.429701e+09 ; 2.816810e+08 + i 3.117478e+08 ; -2.802976e+08 + i -3.152266e+08 ; 2.070046e+10 + i -1.621264e+10 ; -5.947940e+08 + i -1.039740e+09 ; 5.764321e+08 + i 1.071459e+09 ; -4.636614e+10 + i 2.180276e+10 ; -2.560919e+08 + i 7.136266e+06 ; 2.519733e+08 + i -8.785881e+06 ; -5.333676e+08 + i -5.076927e+09 ; -5.561994e+09 + i 4.373823e+09 ; 4.054040e+08 + i 3.994714e+08 ; -9.321634e+09 + i 8.999611e+09 ; 3.678864e+08 + i 5.364353e+08 ; 1.669980e+08 + i -6.779905e+07 ; 
-3.030549e+07 + i -2.994972e+07 ; -1.308744e+08 + i 2.008323e+08 ; 1.871705e+07 + i 1.852406e+07 ; -4.515278e+07 + i -1.138345e+07 ; -2.958376e+08 + i 4.647675e+08 ; 3.997698e+07 + i 4.740709e+07 ; -1.650541e+08 + i -2.661683e+07 ; -1.795656e+08 + i 1.464630e+08 ; -9.700820e+06 + i 4.831302e+07 ; -4.082446e+08 + i 1.091362e+08 ; -4.165751e+08 + i 1.816269e+08 ; -7.254653e+07 + i 1.414069e+08 ; -2.899102e+07 + i -3.878678e+07 ; -1.482654e+08 + i 2.168591e+08 ; 3.071690e+06 + i 1.712342e+07 ; -5.756692e+07 + i -3.394369e+07 ; -3.745994e+08 + i 5.493243e+08 ; -4.522672e+06 + i 3.117675e+07 ; -1.825874e+08 + i -4.206574e+07 ; -1.995110e+08 + i 1.474331e+08 ; -2.020426e+06 + i 1.114100e+07 ; -5.375119e+08 + i 9.497185e+07 ; -4.785957e+08 + i 1.507213e+08 ; -1.737377e+07 + i 1.078270e+07 ; 2.746723e+08 + i 2.897143e+08 ; -2.213330e+09 + i 4.411639e+09 ; 2.794605e+08 + i 3.113934e+08 ; -1.655443e+08 + i 5.797365e+07 ; -9.313184e+09 + i 8.970987e+09 ; 3.431967e+08 + i 5.527362e+08 ; -1.714351e+09 + i 1.949942e+09 ; -2.041478e+09 + i -1.615137e+09 ; -1.708337e+09 + i 1.976739e+09 ; -4.008701e+08 + i -4.072291e+08 ; -5.548867e+08 + i -5.141149e+09 ; -5.434858e+09 + i 4.332895e+09 ; 3.601894e+08 + i 5.100910e+08 ; -9.306684e+09 + i 8.980798e+09 ; -1.691098e+08 + i 6.557720e+07 ; -2.512323e+08 + i -1.034860e+06 ; -4.635387e+10 + i 2.177399e+10 ; -2.583227e+08 + i 2.215634e+06 ; -5.434379e+09 + i 4.303244e+09 ; -5.517614e+08 + i -5.134999e+09 ; -4.059417e+08 + i -4.062637e+08 ; -5.854014e+08 + i -1.032248e+09 ; 2.068871e+10 + i -1.629145e+10 ; -5.739327e+08 + i -1.054348e+09 ; 
1.833303e+08 + i 4.130933e+07 ; -2.284928e+06 + i 1.149810e+07 ; -1.996918e+08 + i 1.475018e+08 ; 5.390060e+08 + i -9.674154e+07 ; -1.788242e+07 + i 1.156917e+07 ; -4.791902e+08 + i 1.512130e+08 ; 1.656726e+08 + i 2.588443e+07 ; -1.039660e+07 + i 4.927203e+07 ; -1.797590e+08 + i 1.465595e+08 ; 4.091291e+08 + i -1.108928e+08 ; -7.522270e+07 + i 1.439420e+08 ; -4.170543e+08 + i 1.820954e+08 ; 2.975854e+07 + i 3.809249e+07 ; 3.026002e+06 + i 1.746953e+07 ; -1.483728e+08 + i 2.168322e+08 ; 5.936075e+07 + i 3.167821e+07 ; -4.680747e+06 + i 3.172467e+07 ; -3.746733e+08 + i 5.494578e+08 ; 3.093744e+07 + i 2.929972e+07 ; 1.891547e+07 + i 1.903124e+07 ; -1.309809e+08 + i 2.008072e+08 ; 4.624045e+07 + i 9.484687e+06 ; 4.035338e+07 + i 4.862342e+07 ; -2.958237e+08 + i 4.648437e+08 ; 5.435765e+09 + i -4.302502e+09 ; -4.129050e+08 + i -4.068839e+08 ; -5.538181e+08 + i -5.125749e+09 ; 5.699870e+08 + i 1.085788e+09 ; -5.755462e+08 + i -1.076934e+09 ; 2.068844e+10 + i -1.629156e+10 ; 1.713439e+09 + i -1.954117e+09 ; -1.758044e+09 + i 2.001896e+09 ; -2.041263e+09 + i -1.611202e+09 ; 4.050830e+08 + i 4.086408e+08 ; -5.569653e+09 + i 4.365584e+09 ; -5.554664e+08 + i -5.140908e+09 ; -3.433932e+08 + i -5.625764e+08 ; -1.710141e+08 + i 6.527674e+07 ; -9.303836e+09 + i 8.981753e+09 ; 2.509323e+08 + i 9.091285e+05 ; -2.600886e+08 + i 2.371008e+06 ; -4.635421e+10 + i 2.177453e+10 ; -2.759539e+08 + i -3.004422e+08 ; 2.820012e+08 + i 3.192249e+08 ; -2.210766e+09 + i 4.411571e+09 ; 1.664964e+08 + i -5.776593e+07 ; 3.454634e+08 + i 5.649021e+08 ; -9.311317e+09 + i 8.971581e+09 ; 
6.296430e+08 + i -5.472660e+08 ; 1.969450e+08 + i -3.815349e+08 ; 1.969491e+08 + i -3.815423e+08 ; 3.381740e+08 + i -1.117923e+09 ; 8.774008e+08 + i -8.859185e+08 ; 8.774068e+08 + i -8.859236e+08 ; 9.540196e+08 + i -4.909830e+08 ; 1.173120e+08 + i 5.154084e+07 ; 2.860135e+08 + i -4.929854e+08 ; 1.251414e+09 + i -1.838358e+09 ; 1.806623e+08 + i 2.055734e+08 ; 1.646166e+09 + i -1.377444e+09 ; 9.540340e+08 + i -4.910126e+08 ; 2.860119e+08 + i -4.929776e+08 ; 1.173708e+08 + i 5.156129e+07 ; 1.251432e+09 + i -1.838405e+09 ; 1.646161e+09 + i -1.377433e+09 ; 1.807401e+08 + i 2.056279e+08 ; 1.419684e+09 + i -2.418913e+08 ; 1.404775e+08 + i 8.135078e+07 ; 1.404811e+08 + i 8.135505e+07 ; 3.874048e+09 + i -3.200717e+09 ; 2.222807e+08 + i 3.323462e+08 ; 2.222669e+08 + i 3.323542e+08 ; -2.112940e+09 + i 4.491032e+09 ; 2.516700e+08 + i 2.748405e+08 ; 2.516621e+08 + i 2.748633e+08 ; -2.016952e+09 + i -1.564646e+09 ; -1.721940e+09 + i 1.962440e+09 ; -1.721961e+09 + i 1.962461e+09 ; -9.193117e+09 + i 9.101022e+09 ; -1.618747e+08 + i 4.599603e+07 ; 3.141386e+08 + i 5.115486e+08 ; -5.342518e+08 + i -5.073120e+09 ; -4.078902e+08 + i -4.189280e+08 ; -5.439715e+09 + i 4.318509e+09 ; -9.193136e+09 + i 9.101018e+09 ; 3.141381e+08 + i 5.115344e+08 ; -1.620061e+08 + i 4.597621e+07 ; -5.343058e+08 + i -5.073103e+09 ; -5.439706e+09 + i 4.318483e+09 ; -4.081417e+08 + i -4.190999e+08 ; -4.622034e+10 + i 2.196618e+10 ; -2.489028e+08 + i -1.673928e+07 ; -2.489341e+08 + i -1.674994e+07 ; 2.069931e+10 + i -1.621325e+10 ; -5.708737e+08 + i -1.064143e+09 ; -5.708345e+08 + i -1.064179e+09 ; 
4.562441e+08 + i -1.117473e+08 ; -4.159223e+08 + i 1.813937e+08 ; 6.153180e+07 + i -1.569279e+08 ; 9.349775e+08 + i -8.882273e+08 ; -8.001763e+08 + i -5.708033e+07 ; 4.957098e+08 + i -5.319888e+08 ; 3.403499e+07 + i -8.156110e+07 ; -2.957458e+08 + i 4.647227e+08 ; -4.332312e+07 + i -4.230786e+07 ; -1.103726e+08 + i -1.733348e+08 ; -1.084351e+09 + i 1.236512e+09 ; -8.431399e+07 + i -1.147901e+08 ; 6.042318e+08 + i -4.676924e+07 ; -4.778876e+08 + i 1.504749e+08 ; 3.015040e+07 + i -2.100835e+06 ; 1.735045e+09 + i -1.367261e+09 ; -8.054109e+08 + i -3.425961e+08 ; 7.891857e+07 + i 6.445243e+07 ; 5.112724e+07 + i -7.640686e+07 ; -3.745372e+08 + i 5.493723e+08 ; 7.532584e+06 + i -2.927616e+07 ; -1.230997e+08 + i -2.228537e+08 ; -1.834947e+09 + i 1.672193e+09 ; 3.170686e+07 + i -3.974372e+07 ; -3.679236e+08 + i -3.461580e+08 ; -5.631246e+08 + i -5.103949e+09 ; 5.426716e+09 + i -4.333326e+09 ; -1.754429e+09 + i 2.023239e+09 ; -2.041177e+09 + i -1.611051e+09 ; 1.710404e+09 + i -1.975595e+09 ; -1.391596e+08 + i 8.849376e+07 ; -9.286988e+09 + i 9.013519e+09 ; -3.543760e+08 + i -5.831688e+08 ; 2.889596e+08 + i 3.360962e+08 ; -2.211329e+09 + i 4.411449e+09 ; -2.794327e+08 + i -3.144442e+08 ; -5.359318e+08 + i -9.889841e+08 ; 2.067603e+10 + i -1.625954e+10 ; 5.779043e+08 + i 1.074281e+09 ; -5.559527e+09 + i 4.387233e+09 ; -5.560874e+08 + i -5.129093e+09 ; 4.046733e+08 + i 4.032803e+08 ; -2.246081e+08 + i 3.325486e+07 ; -4.632775e+10 + i 2.182173e+10 ; 2.518928e+08 + i -9.786813e+06 ; 3.626869e+08 + i 5.797621e+08 ; -9.304306e+09 + i 8.982007e+09 ; 1.659927e+08 + i -6.624593e+07 ; 
4.562633e+08 + i -1.117515e+08 ; 6.153236e+07 + i -1.569273e+08 ; -4.159230e+08 + i 1.813904e+08 ; 9.349750e+08 + i -8.882228e+08 ; 4.957084e+08 + i -5.319901e+08 ; -8.001942e+08 + i -5.705912e+07 ; 6.042317e+08 + i -4.676102e+07 ; 3.014779e+07 + i -2.095340e+06 ; -4.778208e+08 + i 1.504913e+08 ; 1.735043e+09 + i -1.367259e+09 ; 7.891154e+07 + i 6.446147e+07 ; -8.052843e+08 + i -3.425100e+08 ; 3.404856e+07 + i -8.156442e+07 ; -4.332365e+07 + i -4.230379e+07 ; -2.957400e+08 + i 4.646854e+08 ; -1.103735e+08 + i -1.733341e+08 ; -8.432110e+07 + i -1.147823e+08 ; -1.084266e+09 + i 1.236532e+09 ; 5.113639e+07 + i -7.639344e+07 ; 7.533377e+06 + i -2.927556e+07 ; -3.745372e+08 + i 5.493468e+08 ; -1.231078e+08 + i -2.228446e+08 ; 3.170694e+07 + i -3.974443e+07 ; -1.834978e+09 + i 1.672194e+09 ; -3.679961e+08 + i -3.461338e+08 ; 5.426713e+09 + i -4.333325e+09 ; -5.631004e+08 + i -5.103952e+09 ; -1.754431e+09 + i 2.023248e+09 ; 1.710401e+09 + i -1.975589e+09 ; -2.041079e+09 + i -1.611081e+09 ; -5.359277e+08 + i -9.890149e+08 ; 5.778788e+08 + i 1.074310e+09 ; 2.067656e+10 + i -1.625918e+10 ; -5.559530e+09 + i 4.387230e+09 ; 4.046578e+08 + i 4.033061e+08 ; -5.556442e+08 + i -5.128921e+09 ; -1.392123e+08 + i 8.851588e+07 ; -3.544216e+08 + i -5.831274e+08 ; -9.286028e+09 + i 9.014187e+09 ; 2.889348e+08 + i 3.361343e+08 ; -2.794611e+08 + i -3.144043e+08 ; -2.210674e+09 + i 4.411550e+09 ; -2.246529e+08 + i 3.322214e+07 ; 2.518977e+08 + i -9.783556e+06 ; -4.632784e+10 + i 2.182175e+10 ; 3.626816e+08 + i 5.797610e+08 ; 1.659957e+08 + i -6.623825e+07 ; -9.304159e+09 + i 8.982010e+09 ; 
4.329142e+08 + i -1.308465e+08 ; 5.436020e+07 + i -1.562133e+08 ; 5.436162e+07 + i -1.562178e+08 ; 6.311795e+08 + i -5.452971e+08 ; 2.145749e+08 + i -3.662738e+08 ; 2.145808e+08 + i -3.662796e+08 ; 4.901728e+08 + i -7.674805e+07 ; 2.947776e+07 + i -8.145294e+06 ; 7.125428e+07 + i -1.785420e+08 ; 9.547212e+08 + i -4.894242e+08 ; 6.788945e+07 + i 1.557498e+07 ; 3.110672e+08 + i -4.566973e+08 ; 4.901808e+08 + i -7.674506e+07 ; 7.125476e+07 + i -1.785398e+08 ; 2.950140e+07 + i -8.143550e+06 ; 9.547159e+08 + i -4.893995e+08 ; 3.110652e+08 + i -4.566934e+08 ; 6.793736e+07 + i 1.559791e+07 ; 5.371601e+08 + i -1.772169e+06 ; 3.387490e+07 + i -4.572080e+06 ; 3.387370e+07 + i -4.570956e+06 ; 1.419075e+09 + i -2.415555e+08 ; 8.019307e+07 + i 3.474629e+07 ; 8.017825e+07 + i 3.475457e+07 ; -2.015814e+09 + i -1.560465e+09 ; 1.692165e+09 + i -1.971000e+09 ; 1.692186e+09 + i -1.971021e+09 ; -2.225612e+09 + i 4.429480e+09 ; -2.840237e+08 + i -3.140272e+08 ; -2.840113e+08 + i -3.140483e+08 ; -5.349555e+08 + i -5.067668e+09 ; 4.102571e+08 + i 4.015465e+08 ; 5.388079e+09 + i -4.312727e+09 ; -9.321301e+09 + i 8.999473e+09 ; 1.649159e+08 + i -6.713924e+07 ; -3.534196e+08 + i -5.755982e+08 ; -5.350364e+08 + i -5.067600e+09 ; 5.388070e+09 + i -4.312702e+09 ; 4.105021e+08 + i 4.017269e+08 ; -9.321333e+09 + i 8.999530e+09 ; -3.534218e+08 + i -5.755831e+08 ; 1.650520e+08 + i -6.711033e+07 ; 2.069771e+10 + i -1.621336e+10 ; 5.780454e+08 + i 1.064757e+09 ; 5.780019e+08 + i 1.064790e+09 ; -4.636615e+10 + i 2.180292e+10 ; 2.495117e+08 + i -8.493761e+06 ; 2.495325e+08 + i -8.477239e+06 ; 
1.644216e+08 + i 2.552114e+07 ; -1.797177e+08 + i 1.465903e+08 ; 9.524349e+06 + i -4.803408e+07 ; 4.060724e+08 + i -1.103486e+08 ; -4.169051e+08 + i 1.821885e+08 ; 7.186968e+07 + i -1.405528e+08 ; 3.056862e+07 + i 2.893976e+07 ; -1.309742e+08 + i 2.008237e+08 ; -1.872475e+07 + i -1.837567e+07 ; 4.535224e+07 + i 9.172765e+06 ; -2.958398e+08 + i 4.648758e+08 ; -4.006721e+07 + i -4.701748e+07 ; 1.819741e+08 + i 4.085567e+07 ; -1.997259e+08 + i 1.475468e+08 ; 1.955672e+06 + i -1.114247e+07 ; 5.349865e+08 + i -9.656141e+07 ; -4.792491e+08 + i 1.513171e+08 ; 1.708744e+07 + i -1.086931e+07 ; 2.939064e+07 + i 3.773563e+07 ; -1.483674e+08 + i 2.168566e+08 ; -3.166272e+06 + i -1.701304e+07 ; 5.841673e+07 + i 3.129769e+07 ; -3.746669e+08 + i 5.495063e+08 ; 4.152498e+06 + i -3.091972e+07 ; 1.702697e+09 + i -1.938574e+09 ; -2.039670e+09 + i -1.609892e+09 ; 1.699596e+09 + i -1.963389e+09 ; 4.060663e+08 + i 4.157073e+08 ; -5.537900e+08 + i -5.136773e+09 ; 5.397730e+09 + i -4.303279e+09 ; -2.794194e+08 + i -2.992584e+08 ; -2.211178e+09 + i 4.411257e+09 ; -2.827137e+08 + i -3.125295e+08 ; 1.644330e+08 + i -5.753520e+07 ; -9.311942e+09 + i 8.970991e+09 ; -3.498444e+08 + i -5.735213e+08 ; 5.397279e+09 + i -4.277855e+09 ; -5.538170e+08 + i -5.125077e+09 ; 4.100598e+08 + i 4.067974e+08 ; 5.717268e+08 + i 1.078194e+09 ; 2.068664e+10 + i -1.629152e+10 ; 5.769138e+08 + i 1.070557e+09 ; -3.478238e+08 + i -5.589345e+08 ; -9.303964e+09 + i 8.981994e+09 ; 1.655507e+08 + i -6.504754e+07 ; 2.486863e+08 + i 1.205472e+06 ; -4.635425e+10 + i 2.177490e+10 ; 2.505250e+08 + i -5.697721e+06 ; 
