-4.518553e+09 + i 2.535323e+10 ; -1.349412e+08 + i 4.646507e+08 ; -1.346517e+08 + i 4.664130e+08 ; -6.874484e+09 + i -6.176810e+09 ; -4.933808e+08 + i -1.071925e+09 ; -4.947531e+08 + i -1.071771e+09 ; 2.346596e+09 + i 3.041558e+09 ; 1.726145e+08 + i 5.707241e+08 ; 1.812385e+08 + i 2.935772e+08 ; 5.680656e+07 + i 3.337060e+09 ; -1.981558e+09 + i -1.063658e+09 ; -3.712058e+08 + i -2.412425e+07 ; 2.348682e+09 + i 3.042363e+09 ; 1.812943e+08 + i 2.909278e+08 ; 1.720316e+08 + i 5.689037e+08 ; 5.770267e+07 + i 3.340112e+09 ; -3.660355e+08 + i -2.364037e+07 ; -1.981379e+09 + i -1.063925e+09 ; 1.856227e+09 + i -4.014451e+08 ; 2.882719e+08 + i 2.785187e+08 ; 2.907177e+08 + i 2.788855e+08 ; 2.040298e+09 + i -8.270403e+07 ; -6.482300e+08 + i 8.024812e+07 ; -6.467151e+08 + i 7.989528e+07 ; -3.311282e+08 + i -9.438794e+08 ; -3.489532e+07 + i 6.056301e+07 ; -3.520294e+07 + i 6.081467e+07 ; 5.971820e+06 + i -5.614916e+08 ; 2.273746e+07 + i 2.084442e+07 ; 2.285005e+07 + i 2.100284e+07 ; -5.184668e+08 + i 5.346083e+07 ; -9.246978e+07 + i 7.801255e+07 ; 2.378350e+06 + i 6.220843e+07 ; -3.812230e+08 + i -8.002290e+07 ; 9.348601e+06 + i 2.407021e+07 ; 2.789254e+07 + i 1.091355e+07 ; -5.175131e+08 + i 5.421441e+07 ; 3.105952e+06 + i 6.200741e+07 ; -9.268156e+07 + i 7.809852e+07 ; -3.809207e+08 + i -7.937462e+07 ; 2.786396e+07 + i 1.069011e+07 ; 9.295899e+06 + i 2.416700e+07 ; -1.181044e+08 + i 5.115751e+08 ; -3.708649e+07 + i 7.261773e+07 ; -3.741872e+07 + i 7.236380e+07 ; -2.202903e+08 + i 3.932932e+08 ; 1.654937e+07 + i 1.371025e+07 ; 1.644465e+07 + i 1.371836e+07 ; 
9.856475e+07 + i -6.512075e+07 ; -1.917258e+07 + i -1.312855e+06 ; -1.709022e+07 + i -3.844716e+07 ; 9.455104e+07 + i -1.024798e+08 ; -4.333646e+07 + i -3.944580e+07 ; 1.024504e+08 + i -1.467479e+08 ; 9.946957e+07 + i -1.478140e+07 ; -1.661446e+07 + i -1.959045e+06 ; 1.381009e+07 + i -4.339750e+07 ; 1.114109e+08 + i -4.613524e+07 ; -3.477587e+07 + i -3.583925e+07 ; 1.886374e+08 + i -8.607505e+07 ; 9.017767e+07 + i 1.901695e+08 ; -2.883791e+06 + i -2.600901e+06 ; -1.614849e+07 + i -3.219423e+07 ; 1.787198e+08 + i 2.377048e+08 ; 1.269269e+07 + i -2.394685e+07 ; 1.119837e+08 + i -1.453191e+08 ; 5.472734e+06 + i 2.724949e+08 ; -4.792539e+06 + i -1.344213e+06 ; 1.031573e+07 + i -3.934238e+07 ; 1.236733e+08 + i 4.123661e+08 ; -6.072874e+06 + i -3.025995e+07 ; 2.157146e+08 + i -6.275181e+07 ; -1.513636e+08 + i -4.003880e+08 ; -1.854121e+08 + i -4.137875e+08 ; 1.882879e+09 + i -3.579203e+08 ; -6.755193e+07 + i -3.743945e+08 ; 2.807737e+07 + i -6.350313e+08 ; 2.340733e+09 + i 3.077331e+09 ; 5.554687e+07 + i -6.177770e+08 ; -9.229322e+07 + i -3.864237e+08 ; 2.323929e+09 + i 3.062913e+09 ; 3.084350e+08 + i -4.109436e+08 ; 2.896428e+08 + i -4.285863e+08 ; -4.557486e+09 + i 2.535637e+10 ; 7.678875e+08 + i 2.609288e+08 ; 7.731171e+08 + i 2.119346e+08 ; 2.128673e+09 + i -9.286441e+07 ; 4.765613e+08 + i 2.150432e+08 ; 1.617949e+09 + i 1.790196e+09 ; 1.298499e+08 + i 3.416141e+09 ; 1.583743e+09 + i 1.853577e+09 ; 4.836956e+08 + i 1.838657e+08 ; 1.097484e+08 + i 3.402492e+09 ; 7.486322e+07 + i 1.269338e+09 ; 9.917326e+07 + i 1.235020e+09 ; -6.915515e+09 + i -6.053006e+09 ; 
-5.189599e+08 + i 5.173766e+07 ; 9.585451e+06 + i -9.202681e+07 ; -1.252989e+08 + i 9.463917e+07 ; -5.828554e+08 + i 2.346896e+08 ; 1.814053e+08 + i 5.662731e+07 ; -5.751575e+08 + i -4.607381e+08 ; -1.226607e+08 + i 5.110043e+08 ; 2.406560e+07 + i -9.996836e+07 ; -5.376891e+07 + i 9.310707e+07 ; 2.965600e+07 + i 5.966301e+08 ; 3.532308e+08 + i 3.488024e+07 ; -3.573435e+08 + i -1.186633e+08 ; -3.300826e+08 + i -9.357694e+08 ; 8.211720e+07 + i -9.097083e+07 ; -8.988559e+07 + i 7.334903e+07 ; -1.094094e+09 + i -1.260843e+09 ; 1.999538e+08 + i 2.946792e+08 ; -1.124971e+08 + i -3.558265e+08 ; -5.201291e+08 + i 5.279735e+07 ; 9.297483e+07 + i -1.209792e+08 ; -2.289608e+07 + i 8.632120e+07 ; -5.912890e+08 + i 2.320641e+08 ; 6.263777e+08 + i 3.012264e+08 ; -1.607331e+08 + i -1.028590e+08 ; 2.252622e+09 + i 2.992398e+09 ; 1.523340e+08 + i 2.759368e+08 ; -1.403104e+08 + i -5.535172e+08 ; 3.837271e+07 + i 3.360336e+09 ; -4.270827e+08 + i -2.603776e+07 ; 1.864392e+09 + i 1.766074e+09 ; 1.793029e+09 + i -3.213362e+08 ; 2.522196e+08 + i 2.723250e+08 ; -2.088038e+08 + i -3.166150e+08 ; 2.050444e+09 + i -7.257324e+07 ; -6.928327e+08 + i 5.712212e+07 ; 7.774275e+08 + i 9.317492e+07 ; -4.577302e+09 + i 2.517816e+10 ; -1.717122e+08 + i 4.246882e+08 ; 1.980002e+08 + i -4.398134e+08 ; -6.899938e+09 + i -6.174563e+09 ; -4.779970e+08 + i -1.122272e+09 ; 3.516821e+08 + i 1.231754e+09 ; 2.238130e+09 + i 3.041156e+09 ; 1.143266e+08 + i 5.391708e+08 ; -1.164193e+08 + i -3.038950e+08 ; 5.071068e+07 + i 3.354658e+09 ; -2.009157e+09 + i -1.218679e+09 ; 4.399304e+08 + i 8.864471e+07 ; 
-1.208921e+08 + i -1.457741e+08 ; 1.146399e+08 + i -1.437363e+08 ; -4.733081e+07 + i -2.518837e+07 ; -1.631103e+08 + i -1.248898e+08 ; 5.119276e+08 + i 1.414289e+08 ; -3.716372e+07 + i -1.254394e+08 ; 2.265941e+08 + i 8.476308e+07 ; 1.113671e+08 + i -1.492883e+08 ; 9.518403e+06 + i -3.022490e+07 ; 3.198344e+08 + i 5.418255e+07 ; 4.519633e+08 + i 1.866637e+08 ; 1.692445e+08 + i 5.931448e+07 ; -3.446391e+07 + i -2.311827e+08 ; 1.982288e+08 + i -7.502622e+07 ; -4.230767e+07 + i -2.367347e+07 ; -1.314554e+08 + i -2.476699e+08 ; 5.475285e+08 + i 5.844357e+08 ; -3.433708e+06 + i -1.052618e+08 ; 3.208878e+08 + i 3.254020e+08 ; 2.171228e+08 + i -6.670863e+07 ; -1.182268e+06 + i -2.324065e+07 ; 6.460391e+08 + i 2.801419e+08 ; 2.706091e+08 + i 6.249081e+08 ; 2.953981e+07 + i 3.098910e+07 ; 1.782554e+08 + i 2.807379e+08 ; 2.339605e+09 + i 2.993976e+09 ; -1.937902e+08 + i -5.739724e+08 ; 2.900197e+08 + i 2.978575e+08 ; 1.900603e+09 + i -3.697237e+08 ; -2.247779e+08 + i -3.488405e+08 ; -3.636991e+08 + i 3.155824e+06 ; 7.959635e+07 + i 3.344166e+09 ; 1.863152e+09 + i 1.760330e+09 ; -6.565588e+08 + i 7.930364e+07 ; 2.135852e+09 + i -8.843752e+07 ; 7.534654e+08 + i 9.137646e+07 ; -1.211101e+08 + i 4.220485e+08 ; -4.565360e+09 + i 2.528547e+10 ; 1.659960e+08 + i -4.817354e+08 ; 1.595363e+08 + i 5.467221e+08 ; 2.323186e+09 + i 3.097717e+09 ; -1.235905e+08 + i -3.358668e+08 ; -4.129786e+08 + i -1.020286e+09 ; -6.920153e+09 + i -6.149836e+09 ; 3.649583e+08 + i 1.196807e+09 ; -1.992139e+09 + i -1.165687e+09 ; 1.048107e+08 + i 3.410377e+09 ; 4.163624e+08 + i 8.631367e+07 ; 
-3.263722e+08 + i -3.111011e+08 ; -8.620360e+05 + i -2.235750e+07 ; 2.258451e+08 + i -6.064681e+07 ; -6.643564e+08 + i -2.683375e+08 ; 4.043624e+07 + i 1.697310e+07 ; 2.836331e+08 + i 6.292704e+08 ; -2.208625e+08 + i -7.256481e+07 ; 5.472931e+06 + i -3.098928e+07 ; 1.191368e+08 + i -1.478477e+08 ; -3.258769e+08 + i -4.087381e+07 ; 1.721442e+08 + i 1.874810e+07 ; 4.590623e+08 + i 1.882567e+08 ; 2.577378e+07 + i 2.321575e+08 ; -4.645351e+07 + i -1.487032e+07 ; 1.894087e+08 + i -8.381732e+07 ; 9.683028e+07 + i 2.530193e+08 ; -2.888296e+07 + i -9.907572e+07 ; 5.409136e+08 + i 5.764133e+08 ; 1.201483e+08 + i 1.497959e+08 ; -5.011366e+07 + i -1.207501e+07 ; 1.038574e+08 + i -1.483887e+08 ; 1.484088e+08 + i 1.337399e+08 ; -6.329939e+07 + i -1.057576e+08 ; 5.064370e+08 + i 1.353715e+08 ; 5.362212e+08 + i 9.716685e+08 ; 6.095507e+08 + i 1.047348e+09 ; -6.907807e+09 + i -6.122766e+09 ; 2.001147e+09 + i 1.211508e+09 ; 3.885559e+08 + i 2.754584e+07 ; 9.580524e+07 + i 3.422356e+09 ; 3.457004e+08 + i -1.455686e+07 ; 2.010609e+09 + i 1.247315e+09 ; 9.658138e+07 + i 3.355180e+09 ; 6.859797e+08 + i -7.323217e+07 ; 7.038277e+08 + i -4.490691e+07 ; 2.149587e+09 + i -7.199884e+07 ; 8.847110e+07 + i -4.696952e+08 ; 1.087727e+08 + i -4.943875e+08 ; -4.560736e+09 + i 2.529273e+10 ; -3.029048e+08 + i -5.091552e+08 ; -1.972630e+08 + i -3.066358e+08 ; 2.360466e+09 + i 3.071578e+09 ; -2.149814e+08 + i -2.733010e+08 ; -3.149007e+08 + i -5.129034e+08 ; 2.359178e+09 + i 3.003030e+09 ; -3.060088e+08 + i -2.739005e+08 ; -2.817460e+08 + i -2.881080e+08 ; 1.902692e+09 + i -4.069915e+08 ; 
-3.806602e+08 + i -7.871610e+07 ; -2.983466e+07 + i -1.787082e+07 ; -1.256430e+07 + i 4.355054e+07 ; -5.090948e+08 + i 5.958980e+07 ; 4.882968e+06 + i -6.911731e+07 ; -1.379603e+08 + i 7.277252e+07 ; -2.247429e+08 + i 3.914472e+08 ; -1.776377e+07 + i -1.653776e+07 ; 1.421739e+07 + i 3.601694e+07 ; -1.133453e+08 + i 5.084577e+08 ; 4.653187e+07 + i -7.196361e+07 ; -5.834350e+07 + i 8.226075e+07 ; 2.884791e+06 + i -5.570517e+08 ; -2.073045e+07 + i -2.856188e+07 ; -3.850436e+06 + i 1.664429e+07 ; -3.263379e+08 + i -9.278818e+08 ; 4.680241e+07 + i -6.407325e+07 ; -1.021931e+08 + i 4.033043e+07 ; -3.840100e+08 + i -8.095828e+07 ; -7.728123e+06 + i -2.785415e+07 ; 1.441000e+07 + i 2.334398e+07 ; -5.127286e+08 + i 5.438044e+07 ; 1.060511e+08 + i -7.250077e+07 ; -3.564857e+07 + i 7.309092e+07 ; -1.383113e+07 + i 3.338619e+09 ; 4.066073e+08 + i 7.432537e+07 ; -1.597259e+09 + i -1.802270e+09 ; 2.348943e+09 + i 3.028207e+09 ; -1.631049e+08 + i -3.294767e+08 ; 4.350802e+08 + i 5.604679e+08 ; 2.048254e+09 + i -4.314612e+07 ; 6.882977e+08 + i -1.119965e+07 ; -7.138247e+08 + i -1.220366e+08 ; 1.851542e+09 + i -4.078730e+08 ; -2.631955e+08 + i -3.325015e+08 ; 2.141584e+08 + i 3.201826e+08 ; -6.914023e+09 + i -6.180347e+09 ; 3.939493e+08 + i 1.141655e+09 ; -5.668387e+08 + i -1.180736e+09 ; -4.514464e+09 + i 2.533684e+10 ; 1.852589e+08 + i -4.816505e+08 ; -3.062376e+08 + i 4.223106e+08 ; 3.765250e+07 + i 3.380828e+09 ; 1.962088e+09 + i 1.343140e+09 ; -4.120396e+08 + i -7.028813e+07 ; 2.330330e+09 + i 3.041531e+09 ; -1.012643e+08 + i -5.776542e+08 ; 9.009228e+07 + i 3.253665e+08 ; 
9.716422e+07 + i -6.539794e+07 ; -1.729058e+07 + i -3.871701e+07 ; -1.721571e+07 + i -1.926477e+06 ; 9.230817e+07 + i -1.019304e+08 ; 1.026400e+08 + i -1.471871e+08 ; -3.871180e+07 + i -3.952516e+07 ; 9.307602e+07 + i 1.884220e+08 ; -1.684634e+07 + i -3.195808e+07 ; -1.699257e+06 + i -3.432116e+05 ; 1.789352e+08 + i 2.319625e+08 ; 1.123539e+08 + i -1.444672e+08 ; 1.446780e+07 + i -1.904265e+07 ; 9.771383e+07 + i -1.016161e+07 ; 1.448042e+07 + i -4.385094e+07 ; -1.567125e+07 + i -3.090935e+06 ; 1.098355e+08 + i -3.935409e+07 ; 1.896024e+08 + i -8.624563e+07 ; -3.198721e+07 + i -3.553981e+07 ; 7.613663e+05 + i 2.786642e+08 ; 9.982839e+06 + i -3.959491e+07 ; -3.557249e+06 + i -9.378919e+05 ; 1.207710e+08 + i 4.230574e+08 ; 2.162385e+08 + i -6.210143e+07 ; -6.296600e+06 + i -2.718241e+07 ; -1.441768e+08 + i -3.769317e+08 ; 1.885694e+09 + i -3.568861e+08 ; -1.568077e+08 + i -3.662040e+08 ; -7.584657e+07 + i -3.473535e+08 ; 2.345723e+09 + i 3.078287e+09 ; -1.221240e+08 + i -5.955280e+08 ; 7.100529e+08 + i 1.903374e+08 ; 2.135526e+09 + i -8.139410e+07 ; 7.613579e+08 + i 1.601402e+08 ; 4.301937e+08 + i 1.507677e+08 ; 1.020429e+08 + i 3.423963e+09 ; 1.707325e+09 + i 1.834197e+09 ; 4.350461e+07 + i -5.803797e+08 ; 2.310429e+09 + i 3.069739e+09 ; -9.266379e+07 + i -3.326389e+08 ; 2.912916e+08 + i -4.218906e+08 ; -4.558567e+09 + i 2.534534e+10 ; 2.088127e+08 + i -4.622358e+08 ; 1.644641e+09 + i 1.921976e+09 ; 1.052323e+08 + i 3.420703e+09 ; 4.237506e+08 + i 1.186801e+08 ; 1.544109e+08 + i 1.282661e+09 ; -6.920659e+09 + i -6.061310e+09 ; 2.524978e+08 + i 1.190352e+09 ; 
9.364669e+06 + i -2.900490e+08 ; -8.488146e+06 + i -4.983396e+05 ; 4.352367e+06 + i -4.811745e+07 ; -1.010072e+08 + i -4.490527e+08 ; -1.650251e+07 + i -2.055935e+07 ; 2.025919e+08 + i -7.225028e+07 ; -9.031195e+07 + i -2.024652e+08 ; -4.854528e+06 + i -2.999648e+06 ; -2.454251e+07 + i -3.663099e+07 ; -1.767066e+08 + i -2.569926e+08 ; 5.092051e+06 + i -2.237970e+07 ; 1.004337e+08 + i -1.469703e+08 ; -7.828379e+07 + i 2.346879e+07 ; -1.416203e+07 + i 2.650956e+06 ; 1.315506e+07 + i -3.532714e+07 ; -6.699047e+07 + i 3.998990e+07 ; -3.469205e+07 + i -2.284633e+07 ; 1.912692e+08 + i -7.820785e+07 ; -8.200253e+07 + i 6.490382e+07 ; -1.618108e+07 + i 2.040465e+06 ; -1.372772e+07 + i -3.154051e+07 ; -7.018421e+07 + i 8.911831e+07 ; -4.375591e+07 + i -2.728674e+07 ; 1.074725e+08 + i -1.450674e+08 ; -1.588987e+09 + i -1.879987e+09 ; 3.674229e+08 + i 2.561962e+07 ; 3.087881e+07 + i 3.394410e+09 ; -5.660057e+08 + i -1.210650e+09 ; 5.551240e+08 + i 1.133936e+09 ; -6.944961e+09 + i -6.070345e+09 ; -7.446632e+08 + i -2.266386e+08 ; 7.173369e+08 + i -2.218820e+07 ; 2.131333e+09 + i -4.752151e+07 ; -3.843713e+08 + i -1.338204e+08 ; 1.998666e+09 + i 1.370991e+09 ; 9.821370e+07 + i 3.443378e+09 ; 4.193398e+08 + i 5.411809e+08 ; -1.809878e+08 + i -3.121509e+08 ; 2.373993e+09 + i 3.074441e+09 ; -3.233994e+08 + i 3.964655e+08 ; 1.545636e+08 + i -5.034293e+08 ; -4.550491e+09 + i 2.539678e+10 ; 1.747951e+08 + i 3.303372e+08 ; -2.377953e+08 + i -2.805918e+08 ; 1.909147e+09 + i -4.043346e+08 ; 1.091836e+08 + i 3.577700e+08 ; -2.641655e+08 + i -5.755171e+08 ; 2.388405e+09 + i 3.082207e+09 ; 
-1.265065e+08 + i 5.082351e+08 ; -6.211152e+07 + i 9.119694e+07 ; -6.226030e+07 + i 9.115791e+07 ; 3.130914e+07 + i 5.972051e+08 ; -3.527111e+08 + i -1.416156e+08 ; -3.528544e+08 + i -1.417537e+08 ; -5.209650e+08 + i 4.833500e+07 ; -3.374271e+07 + i 8.559908e+07 ; -1.307763e+08 + i 8.660051e+07 ; -5.823916e+08 + i 2.365960e+08 ; -1.747066e+08 + i -1.170075e+08 ; -5.362972e+08 + i -4.961756e+08 ; -5.212249e+08 + i 4.901339e+07 ; -1.311073e+08 + i 8.603910e+07 ; -3.337927e+07 + i 8.499702e+07 ; -5.831513e+08 + i 2.377587e+08 ; -5.356922e+08 + i -4.965124e+08 ; -1.737467e+08 + i -1.163653e+08 ; -3.283694e+08 + i -9.397799e+08 ; -9.628845e+07 + i 6.723117e+07 ; -9.558847e+07 + i 6.715373e+07 ; -1.092644e+09 + i -1.256970e+09 ; -9.396265e+07 + i -3.673931e+08 ; -9.419562e+07 + i -3.667955e+08 ; 1.770508e+09 + i -3.116602e+08 ; -1.477556e+08 + i -3.105058e+08 ; -1.474039e+08 + i -3.106419e+08 ; 2.050655e+09 + i -6.711776e+07 ; 7.356491e+08 + i 1.292580e+08 ; 7.360223e+08 + i 1.300200e+08 ; 2.232123e+09 + i 3.008887e+09 ; -9.948039e+07 + i -3.015962e+08 ; -9.034309e+07 + i -5.507355e+08 ; 4.636489e+07 + i 3.369752e+09 ; 4.347322e+08 + i 8.403138e+07 ; 1.725320e+09 + i 1.900223e+09 ; 2.234412e+09 + i 3.009543e+09 ; -8.976199e+07 + i -5.500719e+08 ; -9.992215e+07 + i -2.996360e+08 ; 4.668390e+07 + i 3.372318e+09 ; 1.723324e+09 + i 1.901886e+09 ; 4.308684e+08 + i 8.206826e+07 ; -4.586828e+09 + i 2.514869e+10 ; 2.207439e+08 + i -4.332876e+08 ; 2.183881e+08 + i -4.318500e+08 ; -6.914456e+09 + i -6.167349e+09 ; 3.002161e+08 + i 1.246330e+09 ; 2.996394e+08 + i 1.244026e+09 ; 
-2.225727e+08 + i -8.876565e+07 ; 1.208461e+08 + i -1.462326e+08 ; -1.340850e+07 + i 2.872913e+07 ; -3.242692e+08 + i -6.175106e+07 ; 4.560276e+08 + i 1.909827e+08 ; -1.632211e+08 + i -7.455683e+07 ; 1.185129e+08 + i 1.610768e+08 ; 1.065115e+08 + i -1.484047e+08 ; 4.148713e+07 + i 3.009333e+07 ; 1.554885e+08 + i 1.444544e+08 ; 5.086841e+08 + i 1.382225e+08 ; 2.165955e+07 + i 1.173807e+08 ; -3.162442e+08 + i -3.396441e+08 ; 2.260611e+08 + i -6.070388e+07 ; 2.129283e+06 + i 2.035717e+07 ; -6.596741e+08 + i -3.101367e+08 ; 2.786306e+08 + i 6.271400e+08 ; -2.288631e+07 + i -2.445803e+07 ; 1.886882e+07 + i 2.385780e+08 ; 1.923746e+08 + i -8.355477e+07 ; 4.018478e+07 + i 2.668024e+07 ; 9.857489e+07 + i 2.607804e+08 ; 5.437252e+08 + i 5.782992e+08 ; -5.556045e+06 + i 1.081972e+08 ; 3.531034e+08 + i -5.518179e+06 ; 4.019688e+07 + i 3.340422e+09 ; -1.603749e+09 + i -1.833123e+09 ; 6.876269e+08 + i -5.056678e+07 ; 2.128734e+09 + i -5.271040e+07 ; -7.004982e+08 + i -1.646692e+08 ; -1.870374e+08 + i -2.894928e+08 ; 2.357665e+09 + i 3.002743e+09 ; 4.273447e+08 + i 5.328477e+08 ; -2.670308e+08 + i -2.840403e+08 ; 1.907880e+09 + i -4.030739e+08 ; 1.973757e+08 + i 3.364237e+08 ; 4.682831e+08 + i 1.042770e+09 ; -6.944593e+09 + i -6.148334e+09 ; -5.691484e+08 + i -1.158693e+09 ; 1.975322e+09 + i 1.321124e+09 ; 7.267000e+07 + i 3.442246e+09 ; -4.004926e+08 + i -8.964080e+07 ; 1.263590e+08 + i -4.759429e+08 ; -4.549679e+09 + i 2.530451e+10 ; -2.975574e+08 + i 4.256232e+08 ; -2.436590e+08 + i -5.531514e+08 ; 2.370946e+09 + i 3.079174e+09 ; 8.576592e+07 + i 3.636593e+08 ; 
-2.223982e+08 + i -8.923238e+07 ; -1.337674e+07 + i 2.853187e+07 ; 1.209628e+08 + i -1.466485e+08 ; -3.239145e+08 + i -6.153713e+07 ; -1.630370e+08 + i -7.479222e+07 ; 4.566033e+08 + i 1.901614e+08 ; -3.163241e+08 + i -3.405064e+08 ; 2.321197e+06 + i 2.032953e+07 ; 2.262418e+08 + i -6.188888e+07 ; -6.597027e+08 + i -3.104120e+08 ; -2.252714e+07 + i -2.444831e+07 ; 2.815332e+08 + i 6.264073e+08 ; 1.183132e+08 + i 1.604340e+08 ; 4.154132e+07 + i 3.009899e+07 ; 1.054053e+08 + i -1.479094e+08 ; 1.552127e+08 + i 1.442251e+08 ; 2.202432e+07 + i 1.174697e+08 ; 5.085573e+08 + i 1.377280e+08 ; 2.047862e+07 + i 2.384949e+08 ; 4.012312e+07 + i 2.676888e+07 ; 1.901999e+08 + i -8.388550e+07 ; 9.979052e+07 + i 2.612986e+08 ; -5.688982e+06 + i 1.082320e+08 ; 5.426950e+08 + i 5.787897e+08 ; 3.528583e+08 + i -2.961336e+06 ; -1.603045e+09 + i -1.833351e+09 ; 3.911634e+07 + i 3.339309e+09 ; 6.880497e+08 + i -5.133383e+07 ; -6.999870e+08 + i -1.656304e+08 ; 2.127467e+09 + i -5.554351e+07 ; 4.663991e+08 + i 1.043016e+09 ; -5.675372e+08 + i -1.158656e+09 ; -6.939432e+09 + i -6.146171e+09 ; 1.976145e+09 + i 1.321694e+09 ; -4.000182e+08 + i -8.941301e+07 ; 8.311651e+07 + i 3.438101e+09 ; -1.864684e+08 + i -2.872761e+08 ; 4.300121e+08 + i 5.348260e+08 ; 2.374821e+09 + i 3.008555e+09 ; -2.641770e+08 + i -2.829713e+08 ; 1.992990e+08 + i 3.360864e+08 ; 1.909118e+09 + i -4.114757e+08 ; 1.221451e+08 + i -4.757125e+08 ; -2.980860e+08 + i 4.255180e+08 ; -4.552842e+09 + i 2.531157e+10 ; -2.435020e+08 + i -5.521834e+08 ; 8.514550e+07 + i 3.634450e+08 ; 2.375807e+09 + i 3.075036e+09 ; 
-2.257522e+08 + i 3.868334e+08 ; 1.789907e+07 + i 3.539151e+07 ; 1.792255e+07 + i 3.534002e+07 ; -1.098769e+08 + i 5.084831e+08 ; -5.580361e+07 + i 7.569843e+07 ; -5.578975e+07 + i 7.549168e+07 ; -3.810445e+08 + i -8.356928e+07 ; 1.557582e+07 + i 3.171817e+07 ; -8.658938e+06 + i 3.856625e+07 ; -5.064412e+08 + i 6.041073e+07 ; -3.338053e+07 + i 8.452846e+07 ; -1.331843e+08 + i 5.934897e+07 ; -3.811952e+08 + i -8.290707e+07 ; -8.868854e+06 + i 3.857034e+07 ; 1.551799e+07 + i 3.161122e+07 ; -5.067267e+08 + i 6.125816e+07 ; -1.333501e+08 + i 5.920618e+07 ; -3.294884e+07 + i 8.467190e+07 ; 6.178970e+06 + i -5.595973e+08 ; 8.806329e+05 + i 2.154976e+07 ; 7.854207e+05 + i 2.138096e+07 ; -3.254207e+08 + i -9.241209e+08 ; -9.380197e+07 + i 4.246626e+07 ; -9.387430e+07 + i 4.280637e+07 ; 2.026522e+09 + i -1.872892e+07 ; -6.882658e+08 + i -1.848641e+08 ; -6.890199e+08 + i -1.858340e+08 ; 1.852949e+09 + i -3.967187e+08 ; 1.075635e+08 + i 2.867237e+08 ; 1.072923e+08 + i 2.872921e+08 ; -2.194331e+07 + i 3.362301e+09 ; -3.667898e+08 + i -6.207401e+07 ; -1.501672e+09 + i -1.881060e+09 ; 2.356055e+09 + i 3.038138e+09 ; 7.970489e+07 + i 3.661736e+08 ; 3.237312e+08 + i 5.685196e+08 ; -2.045524e+07 + i 3.363094e+09 ; -1.499203e+09 + i -1.882099e+09 ; -3.628120e+08 + i -6.017338e+07 ; 2.358916e+09 + i 3.040367e+09 ; 3.240356e+08 + i 5.675503e+08 ; 8.030248e+07 + i 3.645997e+08 ; -6.954784e+09 + i -6.204600e+09 ; -4.612048e+08 + i -1.204991e+09 ; -4.599710e+08 + i -1.202620e+09 ; -4.513071e+09 + i 2.534298e+10 ; -3.188502e+08 + i 4.222199e+08 ; -3.167578e+08 + i 4.214462e+08 ; 
-8.510933e+07 + i -2.003889e+08 ; -2.280541e+07 + i -3.513717e+07 ; -1.477089e+06 + i 2.058663e+06 ; -1.700695e+08 + i -2.544496e+08 ; 1.036967e+08 + i -1.427918e+08 ; -1.974035e+07 + i 1.718415e+07 ; -8.910788e+07 + i 5.358335e+07 ; -1.323280e+07 + i -3.178783e+07 ; 1.642313e+07 + i 5.591632e+06 ; -8.716915e+07 + i 7.651372e+07 ; 1.102161e+08 + i -1.434552e+08 ; 3.246295e+07 + i 4.260418e+07 ; 2.098213e+07 + i -2.774487e+08 ; 5.272563e+06 + i -4.637269e+07 ; 1.351967e+06 + i -2.578427e+06 ; -8.366408e+07 + i -4.348911e+08 ; 2.040001e+08 + i -6.761196e+07 ; -5.110228e+04 + i 1.874765e+07 ; -8.450775e+07 + i 1.680593e+07 ; 1.392766e+07 + i -3.642397e+07 ; 1.323047e+07 + i 4.288227e+06 ; -8.103272e+07 + i 3.702980e+07 ; 1.935827e+08 + i -7.827710e+07 ; 2.675215e+07 + i 3.634124e+07 ; -6.925713e+08 + i -2.407827e+08 ; 2.116652e+09 + i -3.009176e+07 ; -6.985330e+08 + i -1.933907e+08 ; -3.684442e+08 + i -9.353807e+07 ; 4.925008e+07 + i 3.430082e+09 ; -1.512585e+09 + i -1.884829e+09 ; 8.410852e+07 + i 2.701176e+08 ; 1.911763e+09 + i -3.890686e+08 ; 1.074620e+08 + i 2.840756e+08 ; 5.841102e+07 + i 3.516947e+08 ; 2.389242e+09 + i 3.083819e+09 ; 3.247542e+08 + i 5.711288e+08 ; -1.479471e+09 + i -1.938647e+09 ; 1.969508e+07 + i 3.415255e+09 ; -3.702888e+08 + i -6.420364e+07 ; -4.420689e+08 + i -1.247953e+09 ; -6.970611e+09 + i -6.089742e+09 ; -4.721370e+08 + i -1.203606e+09 ; 3.011828e+08 + i 5.677822e+08 ; 2.379371e+09 + i 3.086143e+09 ; 8.109325e+07 + i 3.638939e+08 ; -3.339459e+08 + i 4.044331e+08 ; -4.536680e+09 + i 2.540092e+10 ; -3.194047e+08 + i 4.247283e+08 ; 
